[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rosiglitazone.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Rosiglitazone.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Ertugliflozin.]
[R06AX18, acrivastine, Rosiglitazone may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Rosiglitazone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Rosiglitazone can be increased when combined with Carbamazepine.]
[C07AG02, carvedilol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Rosiglitazone can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Rosiglitazone can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Rosiglitazone may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01GB14, plazomicin, Rosiglitazone may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Rosiglitazone.]
[L01XX62, ivosidenib, The metabolism of Rosiglitazone can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Rosiglitazone may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Rosiglitazone can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Rosiglitazone can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Rosiglitazone.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Rosiglitazone.]
[D08AE05, chloroxylenol, Rosiglitazone may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[R03BB08, revefenacin, Rosiglitazone may decrease the excretion rate of Revefenacin which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Rosiglitazone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Rosiglitazone.]
[A06AX05, prucalopride, Rosiglitazone may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Rosiglitazone.]
[B01AC23, cilostazol, Rosiglitazone may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[P02BX04, triclabendazole, The metabolism of Rosiglitazone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Rosiglitazone.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Rosiglitazone.]
[J01FA09, clarithromycin, The metabolism of Rosiglitazone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Rosiglitazone may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Rosiglitazone.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Rosiglitazone.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Rosiglitazone.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Rosiglitazone.]
[C09CA06, candesartan, The metabolism of Rosiglitazone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Rosiglitazone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Rosiglitazone.]
[L01EM03, alpelisib, The serum concentration of Rosiglitazone can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Rosiglitazone may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Rosiglitazone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Rosiglitazone.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of congestive heart failure can be increased when Insulin pork is combined with Rosiglitazone.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Rosiglitazone.]
[G03AC09, desogestrel, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Rosiglitazone.]
[N03AX25, cenobamate, The serum concentration of Rosiglitazone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M09AX08, golodirsen, Rosiglitazone may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Rosiglitazone may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Rosiglitazone can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Rosiglitazone can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Rosiglitazone can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Rosiglitazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Rosiglitazone.]
[R02AA03, dichlorobenzyl alcohol, Rosiglitazone may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Rosiglitazone.]
[N02CC06, eletriptan, The metabolism of Rosiglitazone can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Rosiglitazone can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Rosiglitazone can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Rosiglitazone can be decreased when combined with Dronedarone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Rosiglitazone.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Rosiglitazone.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[V08CA05, mangafodipir, Rosiglitazone may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Rosiglitazone can be increased when it is combined with Selpercatinib.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Rosiglitazone.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Rosiglitazone.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Rosiglitazone.]
[L01FX15, belantamab mafodotin, Rosiglitazone may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Rosiglitazone can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Rosiglitazone.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Rosiglitazone.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Rosiglitazone can be decreased when combined with Chlorzoxazone.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Rosiglitazone.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C10AC01, cholestyramine resin, The serum concentration of Rosiglitazone can be decreased when it is combined with Cholestyramine.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Rosiglitazone.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Rosiglitazone.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Rosiglitazone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Rosiglitazone can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Rosiglitazone may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Rosiglitazone can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Rosiglitazone can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Rosiglitazone can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C01CA19, fenoldopam, Rosiglitazone may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Rosiglitazone may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Rosiglitazone.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Rosiglitazone.]
[S01JA01, fluorescein, Rosiglitazone may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[N02BG07, flupirtine, Rosiglitazone may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Rosiglitazone.]
[A10AF01, insulin, regular, human, The risk or severity of congestive heart failure can be increased when Insulin human is combined with Rosiglitazone.]
[L03AB10, peginterferon alfa-2b, The metabolism of Rosiglitazone can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[V08CA04, gadoteridol, Rosiglitazone may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Rosiglitazone.]
[J01MB06, cinoxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Rosiglitazone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Ciprofloxacin.]
[L01XA01, cisplatin, Rosiglitazone may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Rosiglitazone.]
[H01AC07, somapacitan, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Lonapegsomatropin.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Rosiglitazone.]
[V09AB03, ioflupane I-123, Rosiglitazone may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Rosiglitazone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Rosiglitazone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Rosiglitazone.]
[N06AX25, St. John's wort extract, The metabolism of Rosiglitazone can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Rosiglitazone can be decreased when combined with Asciminib.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Rosiglitazone.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Rosiglitazone.]
[C10AB01, clofibrate, The metabolism of Rosiglitazone can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Mitapivat.]
[N01BB10, levobupivacaine, Rosiglitazone may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Rosiglitazone.]
[N03AE01, clonazepam, The metabolism of Rosiglitazone can be decreased when combined with Clonazepam.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Rosiglitazone.]
[C01EB24, mavacamten, The serum concentration of Rosiglitazone can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Clopamide.]
[A05BA08, glycyrrhizic acid, Rosiglitazone may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[H01CC04, linzagolix, The serum concentration of Rosiglitazone can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Rosiglitazone.]
[N05AH02, clozapine, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Sotagliflozin.]
[J01GB12, arbekacin, Rosiglitazone may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Rosiglitazone.]
[H01AC08, somatrogon, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Rosiglitazone can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M04AC01, colchicine, Rosiglitazone may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Rosiglitazone may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Rosiglitazone can be decreased when combined with Leflunomide.]
[A04AA03, tropisetron, Rosiglitazone may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of congestive heart failure can be increased when Insulin glargine is combined with Rosiglitazone.]
[J01FA15, telithromycin, The metabolism of Rosiglitazone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Rosiglitazone.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J05AB14, valganciclovir, Rosiglitazone may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Rosiglitazone may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Rosiglitazone may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Rosiglitazone may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Rosiglitazone may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Rosiglitazone may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Rosiglitazone.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Rosiglitazone.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Rosiglitazone can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N05BA10, ketazolam, Rosiglitazone may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Rosiglitazone can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Rosiglitazone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Rosiglitazone.]
[N03AX09, lamotrigine, Rosiglitazone may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Rosiglitazone.]
[N07BC04, lofexidine, Rosiglitazone may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Rosiglitazone can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C09AA03, lisinopril, Rosiglitazone may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Rosiglitazone may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Rosiglitazone can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Rosiglitazone.]
[C07AA14, mepindolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Rosiglitazone.]
[J01DH02, meropenem, Rosiglitazone may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Rosiglitazone.]
[R06AE03, cyclizine, The metabolism of Rosiglitazone can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Rosiglitazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Rosiglitazone may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Rosiglitazone can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Rosiglitazone can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Rosiglitazone.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Rosiglitazone.]
[N06BA07, modafinil, The metabolism of Rosiglitazone can be decreased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Rosiglitazone can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Rosiglitazone can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Rosiglitazone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Rosiglitazone can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Rosiglitazone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, Rosiglitazone may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Rosiglitazone.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[N07BB05, nalmefene, Rosiglitazone may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The therapeutic efficacy of Rosiglitazone can be increased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Rosiglitazone may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Rosiglitazone can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Rosiglitazone may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Rosiglitazone can be decreased when combined with Nilutamide.]
[B01AX05, fondaparinux, Rosiglitazone may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Rosiglitazone.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Rosiglitazone.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Rosiglitazone.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Rosiglitazone.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Rosiglitazone.]
[V04CH02, indigo carmine, Rosiglitazone may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Rosiglitazone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Rosiglitazone.]
[G04BD04, oxybutynin, The metabolism of Rosiglitazone can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Rosiglitazone can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Rosiglitazone can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Rosiglitazone which could result in a higher serum level.]
