[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dasatinib.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Dasatinib.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Dasatinib is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Dasatinib.]
[A10BX03, nateglinide, The metabolism of Dasatinib can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Dasatinib is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Dasatinib can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Dasatinib is combined with Ciclesonide.]
[B01AC10, indobufen, Dasatinib may increase the anticoagulant activities of Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Desloratadine.]
[J02AC02, itraconazole, The metabolism of Dasatinib can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Dasatinib can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Emedastine.]
[N05BA10, ketazolam, The metabolism of Dasatinib can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Dasatinib can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Dasatinib can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, Esomeprazole can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Lacidipine.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Dasatinib.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Dasatinib.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Dasatinib.]
[S01BA03, cortisone, The metabolism of Dasatinib can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Dasatinib.]
[S01AE04, lomefloxacin, The metabolism of Dasatinib can be decreased when combined with Lomefloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Dasatinib can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Dasatinib can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Dasatinib can be decreased when combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Dasatinib.]
[C03DA04, eplerenone, The metabolism of Dasatinib can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Dasatinib.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Dasatinib.]
[J01FA03, midecamycin, The metabolism of Dasatinib can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Dasatinib can be increased when it is combined with Tenofovir disoproxil.]
[L01AA01, cyclophosphamide, The metabolism of Dasatinib can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Dasatinib may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Dasatinib can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Dasatinib.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Dasatinib.]
[C10AA07, rosuvastatin, The metabolism of Dasatinib can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Dasatinib can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Dasatinib.]
[J05AF10, entecavir, The metabolism of Dasatinib can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Dasatinib.]
[M01AH05, etoricoxib, The metabolism of Dasatinib can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Dasatinib.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Dasatinib.]
[G03XA01, danazol, The metabolism of Dasatinib can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dasatinib can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Dasatinib can be decreased when combined with Daunorubicin.]
[M01AX01, nabumetone, The metabolism of Dasatinib can be decreased when combined with Nabumetone.]
[N06AX06, nefazodone, The metabolism of Dasatinib can be decreased when combined with Nefazodone.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Dasatinib.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Dasatinib.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Dasatinib can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Dasatinib.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Dasatinib.]
[N03AF02, oxcarbazepine, The metabolism of Dasatinib can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Dasatinib can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Dasatinib can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dasatinib can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Dasatinib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Dasatinib can be decreased when combined with Gefitinib.]
[R05DA09, dextromethorphan, The metabolism of Dasatinib can be decreased when combined with Dextromethorphan.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Dasatinib.]
[N06AB05, paroxetine, The metabolism of Dasatinib can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, Dasatinib may increase the anticoagulant activities of Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Dasatinib.]
[N05BA01, diazepam, The metabolism of Dasatinib can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Dasatinib can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Dasatinib can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Dasatinib.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Pinaverium.]
[L01DC04, ixabepilone, The serum concentration of Dasatinib can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Dasatinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Dasatinib is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Dasatinib can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Dasatinib can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Dasatinib can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Dasatinib.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Dasatinib.]
[C02DB01, dihydralazine, The metabolism of Dasatinib can be decreased when combined with Dihydralazine.]
[C10AX09, ezetimibe, Dasatinib may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Dasatinib.]
[C04AE04, dihydroergocristine, The metabolism of Dasatinib can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Dasatinib.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Dasatinib.]
[J05AE08, atazanavir, The metabolism of Dasatinib can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Dasatinib.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Dasatinib.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Dasatinib can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Dimenhydrinate.]
[M02AX03, dimethyl sulfoxide, The metabolism of Dasatinib can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Dasatinib.]
[C05CA03, diosmin, The serum concentration of Dasatinib can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Dasatinib.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Dasatinib can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Dasatinib.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Dasatinib is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Dasatinib can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The serum concentration of Dasatinib can be increased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Dasatinib can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Dasatinib may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[N05AX08, risperidone, The metabolism of Dasatinib can be decreased when combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Levocetirizine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Dasatinib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Dasatinib can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Dasatinib.]
[A04AD12, aprepitant, The metabolism of Dasatinib can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Dasatinib.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Dasatinib.]
[J05AE07, fosamprenavir, The metabolism of Dasatinib can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Dasatinib can be decreased when combined with Tadalafil.]
[C02KX02, ambrisentan, The metabolism of Dasatinib can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Dasatinib can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Dasatinib can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Dasatinib.]
[A03FA03, domperidone, The metabolism of Dasatinib can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Dasatinib can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Doxepin can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Dasatinib.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Dasatinib.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Dasatinib.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Droperidol.]
[C10AA01, simvastatin, The serum concentration of Dasatinib can be increased when it is combined with Simvastatin.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Sultopride.]
[N02CC01, sumatriptan, Dasatinib may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Talinolol.]
[H01AA01, corticotropin, The metabolism of Dasatinib can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Dasatinib can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Dasatinib.]
[D01BA02, terbinafine, The metabolism of Dasatinib can be increased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Terodiline.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Dasatinib.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Dasatinib.]
[N03AX11, topiramate, The metabolism of Dasatinib can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Dasatinib can be increased when it is combined with Toremifene.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Dasatinib.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Dasatinib.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Triptorelin.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Dasatinib is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Troxerutin.]
[J01MA04, enoxacin, The metabolism of Dasatinib can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Dasatinib.]
[S01GX10, epinastine, Epinastine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Dasatinib which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Dasatinib can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Dasatinib can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Dasatinib.]
[N05CF02, zolpidem, The metabolism of Dasatinib can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The serum concentration of Dasatinib can be increased when it is combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Dasatinib.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Dasatinib.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Dasatinib.]
[B01AC11, iloprost, Dasatinib may increase the anticoagulant activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Dasatinib.]
[N02CA02, ergotamine, The metabolism of Dasatinib can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The serum concentration of Dasatinib can be increased when it is combined with Erythromycin.]
[A02BC02, pantoprazole, Pantoprazole can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H05BX01, cinacalcet, The metabolism of Dasatinib can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Dasatinib can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Dasatinib.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Dasatinib can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Dasatinib can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Dasatinib can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Dasatinib can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Dasatinib can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Dasatinib can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Dasatinib.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Dasatinib is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Dasatinib.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Dasatinib.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Dasatinib.]
[R06AX12, terfenadine, The metabolism of Dasatinib can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Dasatinib can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Dasatinib can be decreased when combined with Tocainide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Dasatinib.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Leuprolide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Dasatinib.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Dasatinib which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Dasatinib.]
[A02BA03, famotidine, Famotidine can cause a decrease in the absorption of Dasatinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02CA03, albendazole, The metabolism of Dasatinib can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Dasatinib can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Dasatinib can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Dasatinib.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Dasatinib.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Dasatinib.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Dasatinib.]
[C01BC04, flecainide, The metabolism of Dasatinib can be decreased when combined with Flecainide.]
[J01CF05, floxacillin, The metabolism of Dasatinib can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The serum concentration of Dasatinib can be increased when it is combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Dasatinib.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Dasatinib.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Dasatinib.]
[D07AC08, fluocinonide, The metabolism of Dasatinib can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Dasatinib can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Dasatinib can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Dasatinib.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Dasatinib.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Dasatinib.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Dasatinib.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Dasatinib.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Dasatinib can be decreased when combined with Flutamide.]
[V04CX02, folic acid, Dasatinib may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Dasatinib.]
[J05AE10, darunavir, The serum concentration of Dasatinib can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Dasatinib.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dasatinib.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Gallopamil.]
[N03AA04, barbexaclone, The metabolism of Dasatinib can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Dasatinib can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Degarelix.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Dasatinib can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Methsuximide.]
[N01AH02, alfentanil, The metabolism of Dasatinib can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The serum concentration of Dasatinib can be increased when it is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Dasatinib can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The metabolism of Dasatinib can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Dasatinib.]
[C02CA04, doxazosin, The metabolism of Dasatinib can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Dasatinib.]
[L01EX02, sorafenib, The serum concentration of Dasatinib can be increased when it is combined with Sorafenib.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Dasatinib.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Fluindione.]
[D01BA01, griseofulvin, The metabolism of Dasatinib can be increased when combined with Griseofulvin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Dasatinib can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Histrelin.]
[N05AH04, quetiapine, The metabolism of Dasatinib can be decreased when combined with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Dasatinib.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Dasatinib.]
[C09CA01, losartan, The metabolism of Dasatinib can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Heparin.]
[G03DC01, allylestrenol, The metabolism of Dasatinib can be decreased when combined with Allylestrenol.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Dasatinib.]
[J05AG01, nevirapine, The metabolism of Dasatinib can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Dasatinib can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Dasatinib may increase the anticoagulant activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Oxatomide.]
[C02DB02, hydralazine, The metabolism of Dasatinib can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Dasatinib.]
[S02BA01, hydrocortisone, The metabolism of Dasatinib can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Dasatinib.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Dasatinib is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Dasatinib.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Dasatinib can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Dasatinib is combined with Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Dasatinib.]
[L01AA06, ifosfamide, The metabolism of Dasatinib can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, The metabolism of Dasatinib can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Dasatinib can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Dasatinib can be increased when combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Terlipressin.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Dasatinib is combined with Tixocortol.]
