[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apremilast.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Apremilast.]
[J05AX18, letermovir, The metabolism of Letermovir can be increased when combined with Apremilast.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be increased when combined with Apremilast.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Apremilast may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Apremilast can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Apremilast.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Apremilast.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Apremilast.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be increased when combined with Apremilast.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Apremilast is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be increased when combined with Apremilast.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Apremilast.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01GB14, plazomicin, Apremilast may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be increased when combined with Apremilast.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Apremilast.]
[L01XX62, ivosidenib, The metabolism of Apremilast can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be increased when combined with Apremilast.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Apremilast can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Apremilast.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Apremilast.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Apremilast.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be increased when combined with Apremilast.]
[D08AE05, chloroxylenol, Apremilast may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be increased when combined with Apremilast.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be increased when combined with Apremilast.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be increased when combined with Apremilast.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be increased when combined with Apremilast.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Apremilast.]
[L04AA39, emapalumab, The metabolism of Apremilast can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be increased when combined with Apremilast.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Apremilast.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be increased when combined with Apremilast.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Ravulizumab.]
[A06AX05, prucalopride, Apremilast may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Apremilast.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be increased when combined with Apremilast.]
[N06AX27, esketamine, The metabolism of Esketamine can be increased when combined with Apremilast.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Apremilast.]
[J01FA09, clarithromycin, The metabolism of Apremilast can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Apremilast may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Apremilast.]
[N05BA09, clobazam, The metabolism of Clobazam can be increased when combined with Apremilast.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Apremilast is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Candesartan can be increased when combined with Apremilast.]
[L04AB01, etanercept, The therapeutic efficacy of Apremilast can be decreased when used in combination with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Apremilast is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Apremilast.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Apremilast.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be increased when combined with Apremilast.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Apremilast is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be increased when combined with Apremilast.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Apremilast.]
[N07XX11, pitolisant, The serum concentration of Apremilast can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Apremilast.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Apremilast.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Apremilast.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be increased when combined with Apremilast.]
[A10AE03, insulin, regular, pork, The metabolism of Apremilast can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Apremilast.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Apremilast is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Apremilast.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Apremilast is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Apremilast.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Apremilast.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be increased when combined with Apremilast.]
[N03AX25, cenobamate, The serum concentration of Apremilast can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Apremilast can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Apremilast may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be increased when combined with Apremilast.]
[S01XA12, dexpanthenol, Apremilast may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be increased when combined with Apremilast.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be increased when combined with Apremilast.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Apremilast.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Apremilast can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Apremilast can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be increased when combined with Apremilast.]
[J05AE05, amprenavir, The metabolism of Apremilast can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be increased when combined with Apremilast.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Apremilast.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Apremilast is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Apremilast.]
[R02AA03, dichlorobenzyl alcohol, Apremilast may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Apremilast may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be increased when combined with Apremilast.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be increased when combined with Apremilast.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be increased when combined with Apremilast.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be increased when combined with Apremilast.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be increased when combined with Apremilast.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Apremilast.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Apremilast.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Apremilast.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Apremilast.]
[L01EX17, capmatinib, The metabolism of Apremilast can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Apremilast is combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be increased when combined with Apremilast.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V08CA05, mangafodipir, Apremilast may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be increased when combined with Apremilast.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Apremilast is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Apremilast.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Apremilast.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Apremilast.]
[P01BB01, proguanil, The metabolism of Proguanil can be increased when combined with Apremilast.]
[L04AC19, satralizumab, The serum concentration of Apremilast can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be increased when combined with Apremilast.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Apremilast.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Apremilast.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be increased when combined with Apremilast.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be increased when combined with Apremilast.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Apremilast.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02BA03, choline salicylate, Apremilast may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The metabolism of Etodolac can be increased when combined with Apremilast.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Apremilast can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Apremilast can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Apremilast.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Apremilast.]
[M01AX25, chondroitin sulfates, Apremilast may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Apremilast is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Apremilast can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Apremilast can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Felbamate can be increased when combined with Apremilast.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be increased when combined with Apremilast.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Apremilast.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Apremilast can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Apremilast.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Apremilast.]
[N02BG07, flupirtine, Apremilast may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be increased when combined with Apremilast.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be increased when combined with Apremilast.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Apremilast can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Apremilast.]
[J01MB06, cinoxacin, The metabolism of Apremilast can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Apremilast can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Apremilast.]
[S03AA07, ciprofloxacin, The metabolism of Apremilast can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Apremilast.]
[N06AB04, citalopram, The metabolism of Citalopram can be increased when combined with Apremilast.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Apremilast is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Apremilast can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Apremilast is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Apremilast.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Anifrolumab.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be increased when combined with Apremilast.]
[H01AC09, lonapegsomatropin, The metabolism of Apremilast can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Apremilast.]
[V09AX06, florbetaben f-18, Apremilast may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Apremilast.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be increased when combined with Apremilast.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be increased when combined with Apremilast.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Apremilast.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be increased when combined with Apremilast.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Apremilast is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be increased when combined with Apremilast.]
[C10AB01, clofibrate, The metabolism of Apremilast can be decreased when combined with Clofibrate.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be increased when combined with Apremilast.]
[L01EJ03, pacritinib, The metabolism of Apremilast can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Apremilast.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Apremilast.]
[C01EB24, mavacamten, The serum concentration of Apremilast can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Apremilast.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Apremilast is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Apremilast is combined with Deucravacitinib.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be increased when combined with Apremilast.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Apremilast.]
[N05AH02, clozapine, The metabolism of Clozapine can be increased when combined with Apremilast.]
[J01GB12, arbekacin, Apremilast may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Apremilast can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Apremilast can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be increased when combined with Apremilast.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01XB01, colistin, Apremilast may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Apremilast is combined with Leflunomide.]
[A04AA03, tropisetron, Apremilast may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be increased when combined with Apremilast.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Apremilast.]
[J01FA15, telithromycin, The metabolism of Apremilast can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be increased when combined with Apremilast.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C05BB03, invert sugar, Apremilast may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[V08AB05, iopromide, Apremilast may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Apremilast may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Apremilast may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be increased when combined with Apremilast.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be increased when combined with Apremilast.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be increased when combined with Apremilast.]
[J02AC02, itraconazole, The metabolism of Apremilast can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Apremilast.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Apremilast.]
[J02AC04, posaconazole, The metabolism of Apremilast can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be increased when combined with Apremilast.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be increased when combined with Apremilast.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Apremilast.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Apremilast may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be increased when combined with Apremilast.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Apremilast is combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be increased when combined with Apremilast.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be increased when combined with Apremilast.]
[N05AD03, metylperon, Apremilast may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Apremilast.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Apremilast.]
[N06AX07, minaprine, The metabolism of Minaprine can be increased when combined with Apremilast.]
[S01XA18, cyclosporine, Apremilast may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be increased when combined with Apremilast.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Apremilast.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Apremilast.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Apremilast can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Apremilast.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Apremilast.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be increased when combined with Apremilast.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be increased when combined with Apremilast.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be increased when combined with Apremilast.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Apremilast.]
[G03XA01, danazol, The metabolism of Apremilast can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Apremilast.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Apremilast.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be increased when combined with Apremilast.]
[A04AD11, nabilone, The metabolism of Nabilone can be increased when combined with Apremilast.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Apremilast.]
[N07BB05, nalmefene, Apremilast may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be increased when combined with Apremilast.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Apremilast can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Apremilast may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be increased when combined with Apremilast.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be increased when combined with Apremilast.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Apremilast.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be increased when combined with Apremilast.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be increased when combined with Apremilast.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be increased when combined with Apremilast.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Apremilast.]
[V04CH02, indigo carmine, Apremilast may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Apremilast.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be increased when combined with Apremilast.]
