[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Ticlopidine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Ticlopidine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Ticlopidine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Ticlopidine.]
[A16AX14, migalastat, Ticlopidine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Ticlopidine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Ticlopidine can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ticlopidine.]
[S01GX12, cetirizine, Ticlopidine may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Ticlopidine.]
[D08AE05, chloroxylenol, Ticlopidine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of bleeding can be increased when Lornoxicam is combined with Ticlopidine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Ticlopidine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Ticlopidine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Ticlopidine.]
[L04AA39, emapalumab, The metabolism of Ticlopidine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Ticlopidine.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Ticlopidine.]
[A06AX05, prucalopride, Ticlopidine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AX07, caplacizumab, Ticlopidine may increase the antiplatelet activities of Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Ticlopidine.]
[P02BX04, triclabendazole, The metabolism of Ticlopidine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Ticlopidine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Ticlopidine.]
[N06BA14, solriamfetol, Ticlopidine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Ticlopidine.]
[N05BA09, clobazam, The metabolism of Ticlopidine can be decreased when combined with Clobazam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Ticlopidine.]
[L04AB01, etanercept, The metabolism of Ticlopidine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Ticlopidine can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Ticlopidine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Ticlopidine.]
[N07XX11, pitolisant, The metabolism of Ticlopidine can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ticlopidine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Ticlopidine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Trastuzumab emtansine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Ticlopidine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Ticlopidine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Ticlopidine.]
[N03AX25, cenobamate, The serum concentration of Ticlopidine can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Ticlopidine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Ticlopidine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Ticlopidine.]
[S01XA12, dexpanthenol, Ticlopidine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Ticlopidine.]
[M01AX21, diacetylrhein, The metabolism of Ticlopidine can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Ticlopidine.]
[J05AE05, amprenavir, The metabolism of Ticlopidine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Ticlopidine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Ticlopidine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Ticlopidine.]
[R02AA03, dichlorobenzyl alcohol, Ticlopidine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Ticlopidine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Ticlopidine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Ticlopidine.]
[M01AH02, rofecoxib, The risk or severity of bleeding can be increased when Rofecoxib is combined with Ticlopidine.]
[L01XF03, bexarotene, The risk or severity of bleeding can be increased when Ticlopidine is combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Ticlopidine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Ticlopidine can be decreased when combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of bleeding can be increased when Ticlopidine is combined with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Ticlopidine can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ticlopidine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Ticlopidine.]
[G04BD09, trospium, The metabolism of Ticlopidine can be decreased when combined with Trospium.]
[M01AC04, droxicam, The risk or severity of bleeding can be increased when Droxicam is combined with Ticlopidine.]
[V08CA05, mangafodipir, Ticlopidine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of bleeding can be increased when Dexketoprofen is combined with Ticlopidine.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Ticlopidine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Ticlopidine.]
[L04AC19, satralizumab, The serum concentration of Ticlopidine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Ticlopidine.]
[P01BA01, chloroquine, The metabolism of Ticlopidine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Ticlopidine.]
[N05AA01, chlorpromazine, The metabolism of Ticlopidine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Ticlopidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Ticlopidine.]
[A11CC05, cholecalciferol, The metabolism of Ticlopidine can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, The risk or severity of bleeding can be increased when Ethenzamide is combined with Ticlopidine.]
[N02BA03, choline salicylate, The risk or severity of bleeding can be increased when Ticlopidine is combined with Choline salicylate.]
[M01AB08, etodolac, The risk or severity of bleeding can be increased when Etodolac is combined with Ticlopidine.]
[M02AA06, etofenamate, The risk or severity of bleeding can be increased when Etofenamate is combined with Ticlopidine.]
[B06AC06, berotralstat, The metabolism of Ticlopidine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ticlopidine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Fludarabine.]
[M01AX25, chondroitin sulfates, Ticlopidine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Ticlopidine can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of bleeding can be increased when Fenbufen is combined with Ticlopidine.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Ticlopidine.]
[C01CA19, fenoldopam, Ticlopidine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Ticlopidine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Ticlopidine may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Ticlopidine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Ticlopidine.]
[L03AB10, peginterferon alfa-2b, The risk or severity of bleeding can be increased when Ticlopidine is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Ticlopidine can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Ticlopidine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Ticlopidine.]
[S03AA07, ciprofloxacin, Ticlopidine may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XA01, cisplatin, Ticlopidine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Ticlopidine.]
[H01AC07, somapacitan, The metabolism of Ticlopidine can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Ticlopidine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Ticlopidine.]
[V09AB03, ioflupane I-123, Ticlopidine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ticlopidine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ticlopidine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Ticlopidine can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of bleeding can be increased when Mefenamic acid is combined with Ticlopidine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Ticlopidine.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Ticlopidine.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Ticlopidine.]
[L01EA06, asciminib, The metabolism of Ticlopidine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Ticlopidine can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The risk or severity of bleeding and thrombocytopenia can be increased when Ticlopidine is combined with Abrocitinib.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Ticlopidine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Ticlopidine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ticlopidine.]
[N03AE01, clonazepam, Ticlopidine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Ticlopidine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Ticlopidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Ticlopidine can be decreased when combined with Vonoprazan.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Ticlopidine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Ticlopidine.]
[N05AH02, clozapine, The metabolism of Ticlopidine can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Ticlopidine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The metabolism of Ticlopidine can be decreased when combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Ticlopidine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of bleeding can be increased when Proquazone is combined with Ticlopidine.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Ticlopidine.]
[M04AC01, colchicine, Ticlopidine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Ticlopidine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Ticlopidine.]
[A04AA03, tropisetron, Ticlopidine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Ticlopidine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of bleeding can be increased when Imidazole salicylate is combined with Ticlopidine.]
[L01BB07, nelarabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Nelarabine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Ticlopidine.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Ticlopidine.]
[J05AB14, valganciclovir, Ticlopidine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ticlopidine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ticlopidine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ticlopidine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ticlopidine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ticlopidine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of bleeding can be increased when Valdecoxib is combined with Ticlopidine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Ticlopidine.]
[M01AH04, parecoxib, The risk or severity of bleeding can be increased when Parecoxib is combined with Ticlopidine.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Ticlopidine.]
[N05BA10, ketazolam, Ticlopidine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of bleeding can be increased when Kebuzone is combined with Ticlopidine.]
[L01EA01, imatinib, The serum concentration of Ticlopidine can be increased when it is combined with Imatinib.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Ticlopidine.]
[N03AX09, lamotrigine, Ticlopidine may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Ticlopidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Ticlopidine.]
[M01AB09, lonazolac, The risk or severity of bleeding can be increased when Lonazolac is combined with Ticlopidine.]
[M02AA31, loxoprofen, The risk or severity of bleeding can be increased when Loxoprofen is combined with Ticlopidine.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[C09AA03, lisinopril, Ticlopidine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ticlopidine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Ticlopidine can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Ticlopidine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Ticlopidine.]
[J01DH02, meropenem, Ticlopidine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The metabolism of Ticlopidine can be decreased when combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ticlopidine.]
[N06AX07, minaprine, The risk or severity of bleeding and hemorrhage can be increased when Minaprine is combined with Ticlopidine.]
[S01XA18, cyclosporine, The metabolism of Ticlopidine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Ticlopidine.]
[N06BA07, modafinil, The metabolism of Ticlopidine can be decreased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Ticlopidine.]
[M02AA02, mofebutazone, The risk or severity of bleeding can be increased when Mofebutazone is combined with Ticlopidine.]
[M01AX22, morniflumate, The risk or severity of bleeding can be increased when Morniflumate is combined with Ticlopidine.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Ticlopidine.]
[M01AH05, etoricoxib, The risk or severity of bleeding can be increased when Etoricoxib is combined with Ticlopidine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Ticlopidine.]
[L01DA01, dactinomycin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dactinomycin.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Ticlopidine.]
[L01DB02, daunorubicin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Ticlopidine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Ticlopidine.]
[M01AX01, nabumetone, The risk or severity of bleeding can be increased when Nabumetone is combined with Ticlopidine.]
[N07BB05, nalmefene, Ticlopidine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Ticlopidine.]
[S01GX04, nedocromil, Ticlopidine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of hemorrhage can be increased when Nefazodone is combined with Ticlopidine.]
[C01DX16, nicorandil, Ticlopidine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Ticlopidine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Ticlopidine.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Ticlopidine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of bleeding can be increased when Escitalopram is combined with Ticlopidine.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Ticlopidine.]
[A07EC03, olsalazine, The risk or severity of bleeding can be increased when Olsalazine is combined with Ticlopidine.]
[N06AA01, desipramine, The metabolism of Ticlopidine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[V04CH02, indigo carmine, Ticlopidine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ticlopidine may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of bleeding can be increased when Ticlopidine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of bleeding can be increased when Oxaprozin is combined with Ticlopidine.]
[N03AF02, oxcarbazepine, The metabolism of Ticlopidine can be decreased when combined with Oxcarbazepine.]
[G04BD04, oxybutynin, The metabolism of Ticlopidine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Ticlopidine.]
[L04AB04, adalimumab, The metabolism of Ticlopidine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Ticlopidine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Ticlopidine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Ticlopidine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Ticlopidine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Ticlopidine.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Ticlopidine resulting in a loss in efficacy.]
[C01DA05, pentaerythritol tetranitrate, Ticlopidine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Ticlopidine.]
[P03AC04, permethrin, Ticlopidine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Ticlopidine.]
[R05DA08, pholcodine, Ticlopidine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of bleeding can be increased when Diclofenac is combined with Ticlopidine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[A03AA07, dicyclomine, Ticlopidine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Ticlopidine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Ticlopidine.]
[L01DC04, ixabepilone, The risk or severity of bleeding can be increased when Ticlopidine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Ticlopidine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Ticlopidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Ticlopidine.]
[C08CA03, isradipine, Ticlopidine may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, Ticlopidine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, The risk or severity of bleeding can be increased when Diflunisal is combined with Ticlopidine.]
[C01AA05, digoxin, Ticlopidine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Ticlopidine.]
[N02AA03, hydromorphone, Ticlopidine may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of bleeding can be increased when Ticlopidine is combined with Lenalidomide.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Ticlopidine which could result in a higher serum level.]
[B01AC21, treprostinil, Treprostinil may increase the antiplatelet activities of Ticlopidine.]
[H03BC01, potassium perchlorate, Ticlopidine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Ticlopidine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Ticlopidine.]
[V03AB09, dimercaprol, Ticlopidine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, The metabolism of Ticlopidine can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Ticlopidine.]
[N02BB04, propyphenazone, The risk or severity of bleeding can be increased when Propyphenazone is combined with Ticlopidine.]
[M01AB14, proglumetacin, The risk or severity of bleeding can be increased when Proglumetacin is combined with Ticlopidine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Ticlopidine.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Ticlopidine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Ticlopidine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Ticlopidine is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Ticlopidine is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Ticlopidine can be decreased when combined with Cisapride.]
