[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Antipyrine.]
[M01AC05, lornoxicam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Inotersen.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Mannitol.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Mannitol.]
[L01AD01, carmustine, Mannitol may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Mannitol.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be increased when it is combined with Mannitol.]
[L01XJ03, glasdegib, The serum concentration of Mannitol can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Mannitol is combined with Prucalopride.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Mannitol is combined with Cilazapril.]
[B01AC23, cilostazol, Mannitol may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA09, clarithromycin, The serum concentration of Mannitol can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, Mannitol may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EN01, erdafitinib, The serum concentration of Mannitol can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Mannitol may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Mannitol is combined with Castor oil.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Candesartan.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefaclor.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefadroxil.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefamandole.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefatrizine.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefazolin.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Mannitol.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefmetazole.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefonicid.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefoperazone.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefotaxime.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefotetan.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefotiam.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefoxitin.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefsulodin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftazidime.]
[C03BX03, cicletanine, The risk or severity of adverse effects can be increased when Cicletanine is combined with Mannitol.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ceftriaxone.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefuroxime.]
[L01EJ02, fedratinib, The serum concentration of Mannitol can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Mannitol can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Mannitol can be increased when it is combined with Pitolisant.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Mannitol.]
[N04CX01, istradefylline, The serum concentration of Mannitol can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of adverse effects can be increased when Cyclothiazide is combined with Mannitol.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Mannitol.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Mannitol is combined with Dantron.]
[J01XX09, daptomycin, Mannitol may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cephalexin.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefaloridine.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefalotin.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefapirin.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefradine.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Mannitol.]
[N02CC08, lasmiditan, The serum concentration of Mannitol can be increased when it is combined with Lasmiditan.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Givosiran.]
[M09AX08, golodirsen, Mannitol may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Mannitol.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Mannitol.]
[S01XA12, dexpanthenol, Mannitol may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Mannitol.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Mannitol.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Mannitol.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Mannitol.]
[R02AA03, dichlorobenzyl alcohol, Mannitol may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Mannitol may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Dihydrocodeine.]
[M01AH02, rofecoxib, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Rofecoxib.]
[C08CA16, clevidipine, Mannitol may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, The serum concentration of Mannitol can be increased when it is combined with Dronedarone.]
[C02AA06, methoserpidine, Mannitol may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Mannitol which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Mannitol can be increased when it is combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Mannitol is combined with Opicapone.]
[M01AC04, droxicam, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Droxicam.]
[L01EX19, ripretinib, The serum concentration of Mannitol can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Mannitol may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA27, dexketoprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Dexketoprofen.]
[C08CA17, levamlodipine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Levamlodipine.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Mannitol.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Mannitol.]
[N02AX07, oliceridine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Mannitol may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX23, pralsetinib, The serum concentration of Mannitol can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Mannitol.]
[N05AA01, chlorpromazine, Mannitol may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, Mannitol may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA04, chlorthalidone, The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Mannitol.]
[M03BB03, chlorzoxazone, Mannitol may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA07, ethenzamide, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ethenzamide.]
[N02BA03, choline salicylate, Mannitol may increase the excretion rate of Choline salicylate which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Vinpocetine.]
[M01AB08, etodolac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Mannitol.]
[A16AX20, lonafarnib, The serum concentration of Mannitol can be increased when it is combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Mannitol.]
[M01AX25, chondroitin sulfates, Mannitol may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AD03, voclosporin, The serum concentration of Mannitol can be increased when it is combined with Voclosporin.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Mannitol is combined with Vericiguat.]
[L01EX21, tepotinib, The serum concentration of Mannitol can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Mannitol can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Mannitol.]
[M01AE05, fenbufen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Fenbufen.]
[C01CA19, fenoldopam, Mannitol may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD15, cefdinir, Mannitol may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[S02BA08, fluocinolone acetonide, Mannitol may increase the excretion rate of Fluocinolone acetonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG07, flupirtine, Mannitol may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Mannitol.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Mannitol.]
[H04AA02, dasiglucagon, Mannitol may increase the hypotensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Mannitol.]
[A02BA01, cimetidine, Mannitol may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA04, gadoteridol, Mannitol may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Cinnarizine is combined with Mannitol.]
[L01XX73, sotorasib, The serum concentration of Mannitol can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, Mannitol may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA01, cisplatin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cisplatin.]
[C03DA05, finerenone, The risk or severity of adverse effects can be increased when Finerenone is combined with Mannitol.]
[L04AA48, belumosudil, The serum concentration of Mannitol can be increased when it is combined with Belumosudil.]
[V09AB03, ioflupane I-123, Mannitol may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Mannitol may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Mannitol.]
[V09AX06, florbetaben f-18, Mannitol may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA06, asciminib, The serum concentration of Mannitol can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Mannitol can be increased when it is combined with Maribavir.]
[D11AH08, abrocitinib, The serum concentration of Mannitol can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Mannitol can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The serum concentration of Mannitol can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, Mannitol may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ03, pacritinib, The serum concentration of Mannitol can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Mannitol.]
[N06AA04, clomipramine, Mannitol may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Mannitol may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Clonidine is combined with Mannitol.]
[J05AH02, oseltamivir, Mannitol may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BA03, clopamide, The risk or severity of adverse effects can be increased when Clopamide is combined with Mannitol.]
[N05AH02, clozapine, Mannitol may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Mannitol.]
[A10BK06, sotagliflozin, The serum concentration of Mannitol can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Arbekacin.]
[C02KB01, metyrosine, Mannitol may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Mannitol can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Mannitol may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XB01, colistin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Colistin.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cefpirome.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Mannitol is combined with Desflurane.]
[A04AA03, tropisetron, Mannitol may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX03, nateglinide, Mannitol may increase the excretion rate of Nateglinide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Imidazole salicylate.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Mannitol.]
[B01AC10, indobufen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Indobufen.]
[J05AB14, valganciclovir, Mannitol may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Mannitol may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Mannitol may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Mannitol may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Mannitol may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Mannitol may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Valdecoxib.]
[N02CC05, almotriptan, Mannitol may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Parecoxib.]
[J02AC02, itraconazole, The serum concentration of Mannitol can be increased when it is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Bemiparin.]
[S01AD03, acyclovir, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Acyclovir.]
[N05BA10, ketazolam, Mannitol may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Kebuzone.]
[J02AC04, posaconazole, The serum concentration of Posaconazole can be increased when it is combined with Mannitol.]
[C08CA09, lacidipine, Mannitol may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Mannitol is combined with Lactitol.]
[N03AX09, lamotrigine, Mannitol may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07BC04, lofexidine, Mannitol may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Loxoprofen.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Loracarbef.]
[C09AA03, lisinopril, Mannitol may increase the excretion rate of Lisinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Mannitol is combined with Magnesium carbonate.]
[C08CA11, manidipine, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Manidipine.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Mepindolol.]
[J01DH02, meropenem, Mannitol may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Cyclandelate.]
[C03DA04, eplerenone, The risk or severity of adverse effects can be increased when Eplerenone is combined with Mannitol.]
[N05AD03, metylperon, Mannitol may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, The risk or severity of adverse effects can be increased when Cyclopenthiazide is combined with Mannitol.]
[J05AF07, tenofovir disoproxil, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Tenofovir disoproxil.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Mannitol.]
[S01XA18, cyclosporine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Mannitol.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Moexipril is combined with Mannitol.]
[M02AA02, mofebutazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Morniflumate.]
[C03XA02, conivaptan, The serum concentration of Mannitol can be increased when it is combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Mannitol is combined with Moxonidine.]
[G04BE09, vardenafil, The serum concentration of Mannitol can be increased when it is combined with Vardenafil.]
[M01AH05, etoricoxib, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Etoricoxib.]
[L01AX04, dacarbazine, Mannitol may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Mannitol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Dantrolene.]
[C02CC04, debrisoquin, Mannitol may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Mannitol.]
[M01AX01, nabumetone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Nabumetone.]
[N07BB05, nalmefene, Mannitol may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Mannitol is combined with Potassium lactate.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Mannitol is combined with Nebivolol.]
[S01GX04, nedocromil, Mannitol may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, Mannitol may increase the excretion rate of Nefazodone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Mannitol.]
[L02BB02, nilutamide, Mannitol may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Mannitol.]
[R05DA06, normethadone, The therapeutic efficacy of Mannitol can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Mannitol may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC03, olsalazine, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Olsalazine.]
[N06AA01, desipramine, Mannitol may increase the excretion rate of Desipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[H01BA02, desmopressin, Mannitol may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CH02, indigo carmine, Mannitol may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH03, ertapenem, Mannitol may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Mannitol is combined with Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Oxaprozin.]
[N06BA02, dextroamphetamine, Mannitol may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AC01, dextromoramide, The therapeutic efficacy of Mannitol can be decreased when used in combination with Dextromoramide.]
[N07BC06, heroin, The therapeutic efficacy of Mannitol can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Mannitol may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Mannitol may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Mannitol is combined with Diazoxide.]
[R05DA08, pholcodine, Mannitol may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Mannitol is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Diclofenamide is combined with Mannitol.]
[S01BC03, diclofenac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Foscarnet.]
[A03AA07, dicyclomine, Mannitol may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF02, didanosine, Mannitol may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Mannitol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Mannitol is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Mannitol is combined with Pipamperone.]
[L01DC04, ixabepilone, The serum concentration of Mannitol can be increased when it is combined with Ixabepilone.]
[C03CA03, piretanide, The risk or severity of adverse effects can be increased when Piretanide is combined with Mannitol.]
[C08CA03, isradipine, Mannitol may increase the excretion rate of Isradipine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC04, diflucortolone, Mannitol may increase the excretion rate of Difluocortolone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA11, diflunisal, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Diflunisal.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Mannitol.]
[C01AA05, digoxin, Mannitol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Mannitol may increase the hypotensive activities of Dihydralazine.]
[N02AA03, hydromorphone, Mannitol may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Mannitol may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Atazanavir.]
[B01AC21, treprostinil, Mannitol may increase the hypotensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Mannitol may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Mannitol may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, The risk or severity of adverse effects can be increased when Diltiazem is combined with Mannitol.]
[V03AB09, dimercaprol, Mannitol may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AX03, dimethyl sulfoxide, Mannitol may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Proglumetacin.]
[C05CA03, diosmin, The serum concentration of Mannitol can be increased when it is combined with Diosmin.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Mannitol can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Mannitol is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Mannitol is combined with Dipyridamole.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Mannitol.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Mannitol.]
[S01AX06, resorcinol, Mannitol may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, Mannitol may increase the excretion rate of Disopyramide which could result in a lower serum level and potentially a reduction in efficacy.]
[S02AA12, rifamycin SV, The serum concentration of Mannitol can be increased when it is combined with Rifamycin.]
[N05AX08, risperidone, Mannitol may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Mannitol may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Mannitol may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03XA01, tolvaptan, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Mannitol.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Mannitol.]
[G04BE08, tadalafil, Mannitol may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Ketorolac.]
