[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Teriflunomide.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Teriflunomide.]
[J02AC06, oteseconazole, The serum concentration of Teriflunomide can be increased when it is combined with Oteseconazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Deucravacitinib.]
[A04AA01, ondansetron, The serum concentration of Ondansetron can be decreased when it is combined with Teriflunomide.]
[N05AH02, clozapine, The serum concentration of Clozapine can be decreased when it is combined with Teriflunomide.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Bimekizumab.]
[C10AC02, colestipol, Colestipol may increase the excretion rate of Teriflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Leflunomide is combined with Teriflunomide.]
[A07BA01, activated charcoal, Activated charcoal can cause a decrease in the absorption of Teriflunomide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Teriflunomide.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Teriflunomide.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Teriflunomide.]
[J02AC02, itraconazole, Itraconazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[S01AD03, acyclovir, The serum concentration of Acyclovir can be decreased when it is combined with Teriflunomide.]
[L01EA01, imatinib, The serum concentration of Imatinib can be decreased when it is combined with Teriflunomide.]
[N07BC04, lofexidine, The serum concentration of Lofexidine can be decreased when it is combined with Teriflunomide.]
[S01AE04, lomefloxacin, The serum concentration of Lomefloxacin can be decreased when it is combined with Teriflunomide.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Meprednisone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Teriflunomide.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Teriflunomide.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Teriflunomide.]
[S01XA18, cyclosporine, Teriflunomide may increase the immunosuppressive activities of Cyclosporine.]
[C10AA07, rosuvastatin, The serum concentration of Rosuvastatin can be increased when it is combined with Teriflunomide.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Teriflunomide.]
[J05AF10, entecavir, The serum concentration of Entecavir can be decreased when it is combined with Teriflunomide.]
[M01AH05, etoricoxib, The serum concentration of Etoricoxib can be decreased when it is combined with Teriflunomide.]
[L01AX04, dacarbazine, The serum concentration of Dacarbazine can be decreased when it is combined with Teriflunomide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Teriflunomide.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Teriflunomide.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Teriflunomide.]
[M01AX01, nabumetone, The serum concentration of Nabumetone can be decreased when it is combined with Teriflunomide.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be decreased when it is combined with Teriflunomide.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Teriflunomide.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Teriflunomide.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Teriflunomide.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Teriflunomide.]
[A08AA04, dexfenfluramine, The serum concentration of Dexfenfluramine can be decreased when it is combined with Teriflunomide.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Teriflunomide.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Teriflunomide.]
[N06AB05, paroxetine, The serum concentration of Paroxetine can be decreased when it is combined with Teriflunomide.]
[B01AC04, clopidogrel, The serum concentration of Clopidogrel can be decreased when it is combined with Teriflunomide.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be decreased when it is combined with Teriflunomide.]
[S01BC03, diclofenac, The serum concentration of Diclofenac can be decreased when it is combined with Teriflunomide.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Teriflunomide.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Teriflunomide.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Teriflunomide.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Teriflunomide.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Difluocortolone.]
[C01AA05, digoxin, The excretion of Digoxin can be decreased when combined with Teriflunomide.]
[C02DB01, dihydralazine, The serum concentration of Dihydralazine can be decreased when it is combined with Teriflunomide.]
[C10AX09, ezetimibe, Teriflunomide may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Teriflunomide.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Teriflunomide.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Teriflunomide.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Teriflunomide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be decreased when it is combined with Teriflunomide.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Teriflunomide.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be decreased when it is combined with Teriflunomide.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Teriflunomide.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Teriflunomide.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Teriflunomide.]
[C01BA03, disopyramide, The serum concentration of Disopyramide can be decreased when it is combined with Teriflunomide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Natalizumab.]
[N07XX02, riluzole, The serum concentration of Riluzole can be decreased when it is combined with Teriflunomide.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Teriflunomide.]
[N01BB09, ropivacaine, The serum concentration of Ropivacaine can be decreased when it is combined with Teriflunomide.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Teriflunomide.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be decreased when it is combined with Teriflunomide.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Teriflunomide.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Teriflunomide.]
[A03FA03, domperidone, The serum concentration of Domperidone can be decreased when it is combined with Teriflunomide.]
[N06AA12, doxepin, The serum concentration of Doxepin can be decreased when it is combined with Teriflunomide.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Teriflunomide.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Teriflunomide.]
[N02CC01, sumatriptan, Teriflunomide may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Teriflunomide.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Teriflunomide.]
[J01MA05, temafloxacin, The serum concentration of Temafloxacin can be decreased when it is combined with Teriflunomide.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Teriflunomide.]
[D01BA02, terbinafine, The serum concentration of Terbinafine can be decreased when it is combined with Teriflunomide.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Teriflunomide.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Teriflunomide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Teriflunomide.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Trofosfamide.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Teriflunomide.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Teriflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Teriflunomide.]
[N05CF02, zolpidem, The serum concentration of Zolpidem can be decreased when it is combined with Teriflunomide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Teriflunomide.]
[N05AX11, zotepine, The serum concentration of Zotepine can be decreased when it is combined with Teriflunomide.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Teriflunomide.]
[S01AA17, erythromycin, The excretion of Erythromycin can be decreased when combined with Teriflunomide.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[H05BX01, cinacalcet, The serum concentration of Cinacalcet can be decreased when it is combined with Teriflunomide.]
[G03CA03, estradiol, The serum concentration of Estradiol can be decreased when it is combined with Teriflunomide.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Teriflunomide.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Teriflunomide.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Teriflunomide.]
[L02AA03, ethinyl estradiol, The serum concentration of Ethinylestradiol can be decreased when it is combined with Teriflunomide.]
[L01CB01, etoposide, The serum concentration of Etoposide can be decreased when it is combined with Teriflunomide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Teriflunomide.]
[N06AB08, fluvoxamine, The serum concentration of Fluvoxamine can be decreased when it is combined with Teriflunomide.]
[C01BB03, tocainide, The serum concentration of Tocainide can be decreased when it is combined with Teriflunomide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Teriflunomide.]
[C10AA03, pravastatin, The excretion of Pravastatin can be decreased when combined with Teriflunomide.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Teriflunomide.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Teriflunomide.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Teriflunomide.]
[P02CA03, albendazole, The serum concentration of Albendazole can be decreased when it is combined with Teriflunomide.]
[N03AX26, fenfluramine, The serum concentration of Fenfluramine can be decreased when it is combined with Teriflunomide.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Teriflunomide.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Teriflunomide.]
[C01BC04, flecainide, The serum concentration of Flecainide can be decreased when it is combined with Teriflunomide.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Teriflunomide.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Teriflunomide.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be decreased when it is combined with Teriflunomide.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Teriflunomide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Fluocortolone.]
[V03AZ01, ethanol, The serum concentration of Ethanol can be decreased when it is combined with Teriflunomide.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Teriflunomide.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Teriflunomide.]
[L01BC02, fluorouracil, The serum concentration of Fluorouracil can be decreased when it is combined with Teriflunomide.]
[N06AB03, fluoxetine, The serum concentration of Fluoxetine can be decreased when it is combined with Teriflunomide.]
[L02BB01, flutamide, The serum concentration of Flutamide can be decreased when it is combined with Teriflunomide.]
[V04CX02, folic acid, Teriflunomide may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The serum concentration of Tegafur can be decreased when it is combined with Teriflunomide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Teriflunomide.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be decreased when it is combined with Teriflunomide.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be decreased when it is combined with Teriflunomide.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Teriflunomide.]
[A10BB01, glyburide, Teriflunomide may decrease the excretion rate of Glyburide which could result in a higher serum level.]
[L01EX02, sorafenib, The serum concentration of Sorafenib can be decreased when it is combined with Teriflunomide.]
[B01AA12, fluindione, The therapeutic efficacy of Fluindione can be increased when used in combination with Teriflunomide.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Teriflunomide.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be decreased when it is combined with Teriflunomide.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Teriflunomide.]
[M04AA01, allopurinol, The excretion of Allopurinol can be decreased when combined with Teriflunomide.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Teriflunomide.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Teriflunomide.]
[C03AA03, hydrochlorothiazide, The excretion of Hydrochlorothiazide can be decreased when combined with Teriflunomide.]
[S02BA01, hydrocortisone, The excretion of Hydrocortisone can be decreased when combined with Teriflunomide.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Teriflunomide.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Teriflunomide.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Teriflunomide.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Teriflunomide.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Teriflunomide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be decreased when it is combined with Teriflunomide.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Teriflunomide.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Tixocortol.]
[M03BX02, tizanidine, The serum concentration of Tizanidine can be decreased when it is combined with Teriflunomide.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Teriflunomide.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Teriflunomide.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Teriflunomide.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Teriflunomide.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Teriflunomide.]
[A10BH01, sitagliptin, The excretion of Sitagliptin can be decreased when combined with Teriflunomide.]
[N05CH02, ramelteon, The serum concentration of Ramelteon can be decreased when it is combined with Teriflunomide.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Teriflunomide.]
[L01XX35, anagrelide, The serum concentration of Anagrelide can be decreased when it is combined with Teriflunomide.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Teriflunomide.]
[G04BE01, alprostadil, The excretion of Alprostadil can be decreased when combined with Teriflunomide.]
[J05AB13, penciclovir, The serum concentration of Penciclovir can be decreased when it is combined with Teriflunomide.]
[P02CF01, ivermectin, Teriflunomide may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Teriflunomide.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Teriflunomide.]
[N05AH03, olanzapine, The serum concentration of Olanzapine can be decreased when it is combined with Teriflunomide.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Teriflunomide.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Teriflunomide.]
[S02DA01, lidocaine, The serum concentration of Lidocaine can be decreased when it is combined with Teriflunomide.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Teriflunomide.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Teriflunomide.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Teriflunomide.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Temsirolimus is combined with Teriflunomide.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Teriflunomide.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Nilotinib is combined with Teriflunomide.]
[N06AA21, maprotiline, The serum concentration of Maprotiline can be decreased when it is combined with Teriflunomide.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Teriflunomide.]
[N05CH01, melatonin, The serum concentration of Melatonin can be decreased when it is combined with Teriflunomide.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Teriflunomide.]
[N03AB04, mephenytoin, The serum concentration of Mephenytoin can be decreased when it is combined with Teriflunomide.]
[J05AF05, lamivudine, Teriflunomide may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Teriflunomide.]
[L01BA04, pemetrexed, Teriflunomide may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Teriflunomide.]
[V04CG05, methylene blue, The serum concentration of Methylene blue can be decreased when it is combined with Teriflunomide.]
[R03DA05, aminophylline, The serum concentration of Aminophylline can be decreased when it is combined with Teriflunomide.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Teriflunomide.]
[A03FA01, metoclopramide, The serum concentration of Metoclopramide can be decreased when it is combined with Teriflunomide.]
[C01BB02, mexiletine, The serum concentration of Mexiletine can be decreased when it is combined with Teriflunomide.]
[N06AX03, mianserin, The serum concentration of Mianserin can be decreased when it is combined with Teriflunomide.]
[N02BB03, aminopyrine, The serum concentration of Aminophenazone can be decreased when it is combined with Teriflunomide.]
[C09CA03, valsartan, The excretion of Valsartan can be decreased when combined with Teriflunomide.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Teriflunomide.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Teriflunomide.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Teriflunomide.]
[N06AA09, amitriptyline, The serum concentration of Amitriptyline can be decreased when it is combined with Teriflunomide.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Teriflunomide.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The serum concentration of Eltrombopag can be decreased when it is combined with Teriflunomide.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Teriflunomide.]
[L01EX03, pazopanib, The serum concentration of Pazopanib can be decreased when it is combined with Teriflunomide.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Teriflunomide.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Teriflunomide.]
[G03XC01, raloxifene, Teriflunomide may decrease the excretion rate of Raloxifene which could result in a higher serum level.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Teriflunomide.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Teriflunomide.]
[N04BC04, ropinirole, The metabolism of Ropinirole can be increased when combined with Teriflunomide.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Teriflunomide.]
[M02AA12, naproxen, The serum concentration of Naproxen can be decreased when it is combined with Teriflunomide.]
[A10BG01, troglitazone, The metabolism of Troglitazone can be decreased when combined with Teriflunomide.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Teriflunomide.]
[A10BX02, repaglinide, The serum concentration of Repaglinide can be increased when it is combined with Teriflunomide.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J05AB11, valacyclovir, The excretion of Valaciclovir can be decreased when combined with Teriflunomide.]
[M04AA03, febuxostat, The excretion of Teriflunomide can be decreased when combined with Febuxostat.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Teriflunomide.]
[C08CA04, nicardipine, The metabolism of Nicardipine can be decreased when combined with Teriflunomide.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be decreased when it is combined with Teriflunomide.]
[J01XE01, nitrofurantoin, Teriflunomide may decrease the excretion rate of Nitrofurantoin which could result in a higher serum level.]
[C02KX01, bosentan, The excretion of Bosentan can be decreased when combined with Teriflunomide.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Teriflunomide.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Teriflunomide.]
[C01AC01, ouabain, The excretion of Ouabain can be decreased when combined with Teriflunomide.]
[S01AA04, oxytetracycline, The excretion of Oxytetracycline can be decreased when combined with Teriflunomide.]
[V04CH30, 4-aminohippuric acid, The excretion of Aminohippuric acid can be decreased when combined with Teriflunomide.]
[N05AH05, asenapine, The serum concentration of Asenapine can be decreased when it is combined with Teriflunomide.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Teriflunomide.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Teriflunomide.]
[S01AA14, penicillin G, The excretion of Benzylpenicillin can be decreased when combined with Teriflunomide.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Teriflunomide.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Teriflunomide.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Teriflunomide.]
[C04AD03, pentoxifylline, The serum concentration of Pentoxifylline can be decreased when it is combined with Teriflunomide.]
[N05AB03, perphenazine, The serum concentration of Perphenazine can be decreased when it is combined with Teriflunomide.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Teriflunomide.]
[N02BE03, phenacetin, The serum concentration of Phenacetin can be decreased when it is combined with Teriflunomide.]
[B01AA02, phenindione, The therapeutic efficacy of Phenindione can be increased when used in combination with Teriflunomide.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Teriflunomide.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Teriflunomide.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Teriflunomide.]
[N07BB03, acamprosate, The excretion of Acamprosate can be decreased when combined with Teriflunomide.]
[N05AG02, pimozide, The serum concentration of Pimozide can be decreased when it is combined with Teriflunomide.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Teriflunomide.]
[J01CA12, piperacillin, The excretion of Piperacillin can be decreased when combined with Teriflunomide.]
[J05AE01, saquinavir, Saquinavir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Teriflunomide.]
[J01MA11, grepafloxacin, The serum concentration of Grepafloxacin can be decreased when it is combined with Teriflunomide.]
[C09CA04, irbesartan, The metabolism of Irbesartan can be decreased when combined with Teriflunomide.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Teriflunomide.]
[A10BG02, rosiglitazone, The metabolism of Rosiglitazone can be decreased when combined with Teriflunomide.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Teriflunomide.]
[A03AE01, alosetron, The serum concentration of Alosetron can be decreased when it is combined with Teriflunomide.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Teriflunomide.]
[C03AA05, polythiazide, The excretion of Polythiazide can be decreased when combined with Teriflunomide.]
[J05AE03, ritonavir, Ritonavir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[A10BH03, saxagliptin, The excretion of Saxagliptin can be decreased when combined with Teriflunomide.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Teriflunomide.]
[P02BA01, praziquantel, The serum concentration of Praziquantel can be decreased when it is combined with Teriflunomide.]
[C02CA01, prazosin, Teriflunomide may decrease the excretion rate of Prazosin which could result in a higher serum level.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Teriflunomide.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Teriflunomide.]
[P01BA03, primaquine, The serum concentration of Primaquine can be decreased when it is combined with Teriflunomide.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Teriflunomide.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N05AA03, promazine, The serum concentration of Promazine can be decreased when it is combined with Teriflunomide.]
[C01BC03, propafenone, The serum concentration of Propafenone can be decreased when it is combined with Teriflunomide.]
[R06AX26, fexofenadine, The excretion of Fexofenadine can be decreased when combined with Teriflunomide.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Teriflunomide.]
[C07AA05, propranolol, The serum concentration of Propranolol can be decreased when it is combined with Teriflunomide.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Teriflunomide.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Teriflunomide.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Teriflunomide.]
[P01BC01, quinine, The serum concentration of Quinine can be decreased when it is combined with Teriflunomide.]
[A02BA02, ranitidine, The serum concentration of Ranitidine can be decreased when it is combined with Teriflunomide.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Teriflunomide.]
[N04BD01, selegiline, The serum concentration of Selegiline can be decreased when it is combined with Teriflunomide.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Teriflunomide.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Teriflunomide.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Teriflunomide.]
