[L04AA27, fingolimod, Fingolimod may increase the bradycardic activities of Ivabradine.]
[C03AA03, hydrochlorothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Hydrochlorothiazide is combined with Ivabradine.]
[C03AA02, hydroflumethiazide, The risk or severity of Cardiac Arrhythmia can be increased when Hydroflumethiazide is combined with Ivabradine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ivabradine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Ivabradine is combined with Hydroxyzine.]
[N01AH03, sufentanil, Sufentanil may increase the bradycardic activities of Ivabradine.]
[N06AA02, imipramine, Ivabradine may increase the QTc-prolonging activities of Imipramine.]
[H01BA04, terlipressin, Ivabradine may increase the QTc-prolonging activities of Terlipressin.]
[M03BX02, tizanidine, Tizanidine may increase the bradycardic activities of Ivabradine.]
[C03BA11, indapamide, The risk or severity of Cardiac Arrhythmia can be increased when Indapamide is combined with Ivabradine.]
[N06AX17, milnacipran, The metabolism of Ivabradine can be decreased when combined with Milnacipran.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Ivabradine.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Anagrelide is combined with Ivabradine.]
[C07AA01, alprenolol, Alprenolol may increase the bradycardic activities of Ivabradine.]
[C03BA02, quinethazone, The risk or severity of Cardiac Arrhythmia can be increased when Quinethazone is combined with Ivabradine.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Ivabradine.]
[J04AC01, isoniazid, The metabolism of Ivabradine can be decreased when combined with Isoniazid.]
[J02AB02, ketoconazole, The metabolism of Ivabradine can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Ivabradine can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ivabradine.]
[R06AX25, mizolastine, Ivabradine may increase the QTc-prolonging activities of Mizolastine.]
[J01MB02, nalidixic acid, Ivabradine may increase the QTc-prolonging activities of Nalidixic acid.]
[C07AG01, labetalol, Labetalol may increase the bradycardic activities of Ivabradine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Ivabradine.]
[N03AX18, lacosamide, Lacosamide may increase the bradycardic activities of Ivabradine.]
[C03CC01, ethacrynic acid, The risk or severity of Cardiac Arrhythmia can be increased when Etacrynic acid is combined with Ivabradine.]
[C08EX01, lidoflazine, Lidoflazine may increase the bradycardic activities of Ivabradine.]
[A07DA03, loperamide, Loperamide may increase the bradycardic activities of Ivabradine.]
[C10AA02, lovastatin, The metabolism of Ivabradine can be decreased when combined with Lovastatin.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the bradycardic activities of Ivabradine.]
[L01EA03, nilotinib, The metabolism of Ivabradine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Ivabradine.]
[C01AA08, medigoxin, Ivabradine may increase the bradycardic activities of Metildigoxin.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Ivabradine.]
[N05AC03, mesoridazine, Ivabradine may increase the QTc-prolonging activities of Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Paliperidone is combined with Ivabradine.]
[A04AA04, dolasetron, Ivabradine may increase the QTc-prolonging activities of Dolasetron.]
[H01CB03, lanreotide, Lanreotide may increase the bradycardic activities of Ivabradine.]
[N07BC02, methadone, Ivabradine may increase the QTc-prolonging activities of Methadone.]
[H03BB02, methimazole, The metabolism of Ivabradine can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The risk or severity of QTc prolongation can be increased when Methotrimeprazine is combined with Ivabradine.]
[C03AA08, methyclothiazide, The risk or severity of Cardiac Arrhythmia can be increased when Methyclothiazide is combined with Ivabradine.]
[C02AB01, methyldopa, Methyldopa may increase the bradycardic activities of Ivabradine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Metoclopramide is combined with Ivabradine.]
[C03BA08, metolazone, The risk or severity of Cardiac Arrhythmia can be increased when Metolazone is combined with Ivabradine.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ivabradine.]
[S02AA13, miconazole, The metabolism of Ivabradine can be decreased when combined with Miconazole.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Ivabradine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Mifepristone is combined with Ivabradine.]
[L01XX23, mitotane, The metabolism of Ivabradine can be increased when combined with Mitotane.]
[C01BD01, amiodarone, Amiodarone may increase the bradycardic activities of Ivabradine.]
[N06AA09, amitriptyline, Ivabradine may increase the QTc-prolonging activities of Amitriptyline.]
[L01EX03, pazopanib, Ivabradine may increase the QTc-prolonging activities of Pazopanib.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Ivabradine.]
[N06AA17, amoxapine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ivabradine.]
[N03AB05, fosphenytoin, The metabolism of Ivabradine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Nadolol may increase the bradycardic activities of Ivabradine.]
[V03AB15, naloxone, The metabolism of Ivabradine can be decreased when combined with Naloxone.]
[N01AH06, remifentanil, Remifentanil may increase the bradycardic activities of Ivabradine.]
[C01CX08, levosimendan, Ivabradine may increase the QTc-prolonging activities of Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Iloperidone is combined with Ivabradine.]
[N06AX23, desvenlafaxine, The metabolism of Ivabradine can be decreased when combined with Desvenlafaxine.]
[C08CA04, nicardipine, The metabolism of Ivabradine can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, Nifedipine may increase the bradycardic activities of Ivabradine.]
[C08CA06, nimodipine, Nimodipine may increase the bradycardic activities of Ivabradine.]
[C08CA07, nisoldipine, Nisoldipine may increase the bradycardic activities of Ivabradine.]
[C08CA08, nitrendipine, Nitrendipine may increase the bradycardic activities of Ivabradine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ivabradine.]
[N06AA10, nortriptyline, The risk or severity of QTc prolongation can be increased when Nortriptyline is combined with Ivabradine.]
[G02CA02, nylidrin, Nylidrin may increase the bradycardic activities of Ivabradine.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Ivabradine.]
[S02AA16, ofloxacin, Ivabradine may increase the QTc-prolonging activities of Ofloxacin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Ivabradine.]
[C07AA02, oxprenolol, Oxprenolol may increase the bradycardic activities of Ivabradine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Ivabradine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Asenapine is combined with Ivabradine.]
[G04BE02, papaverine, Ivabradine may increase the QTc-prolonging activities of Papaverine.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Ivabradine.]
[C07AA23, penbutolol, Penbutolol may increase the bradycardic activities of Ivabradine.]
[N05AG03, penfluridol, Penfluridol may increase the bradycardic activities of Ivabradine.]
[N05CA01, pentobarbital, The metabolism of Ivabradine can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, Perhexiline may increase the bradycardic activities of Ivabradine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Ivabradine.]
[N03AA02, phenobarbital, The metabolism of Ivabradine can be increased when combined with Phenobarbital.]
[N03AB02, phenytoin, The metabolism of Ivabradine can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, Ivabradine may increase the QTc-prolonging activities of Levofloxacin.]
[C08CX01, mibefradil, Mibefradil may increase the bradycardic activities of Ivabradine.]
[N05AG02, pimozide, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Ivabradine.]
[C07AA03, pindolol, Pindolol may increase the bradycardic activities of Ivabradine.]
[J05AE01, saquinavir, Ivabradine may increase the QTc-prolonging activities of Saquinavir.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Grepafloxacin is combined with Ivabradine.]
[J05AG02, delavirdine, The metabolism of Ivabradine can be decreased when combined with Delavirdine.]
[C03AA05, polythiazide, The risk or severity of Cardiac Arrhythmia can be increased when Polythiazide is combined with Ivabradine.]
[J05AE03, ritonavir, The serum concentration of Ivabradine can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, Practolol may increase the bradycardic activities of Ivabradine.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Ivabradine.]
[R06AX05, antazoline, Ivabradine may increase the QTc-prolonging activities of Antazoline.]
[C01DX02, prenylamine, Prenylamine may increase the bradycardic activities of Ivabradine.]
[P01BA03, primaquine, The metabolism of Ivabradine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Ivabradine can be increased when combined with Primidone.]
[C10AX02, probucol, Ivabradine may increase the QTc-prolonging activities of Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Procainamide is combined with Ivabradine.]
[N05AB04, prochlorperazine, Ivabradine may increase the QTc-prolonging activities of Prochlorperazine.]
[N05AA03, promazine, Ivabradine may increase the QTc-prolonging activities of Promazine.]
[R06AD02, promethazine, The risk or severity of QTc prolongation can be increased when Promethazine is combined with Ivabradine.]
[C01BC03, propafenone, Propafenone may increase the bradycardic activities of Ivabradine.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Romidepsin is combined with Ivabradine.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ivabradine.]
[C07AA05, propranolol, Propranolol may increase the bradycardic activities of Ivabradine.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Ivabradine.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Ivabradine.]
[R06AC01, pyrilamine, The risk or severity of QTc prolongation can be increased when Mepyramine is combined with Ivabradine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Ivabradine.]
[P01BC01, quinine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Ivabradine.]
[J04AB02, rifampin, The metabolism of Ivabradine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, Ivabradine may increase the QTc-prolonging activities of Roxithromycin.]
[C07AA07, sotalol, Sotalol may increase the bradycardic activities of Ivabradine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ivabradine.]
