[S02DA03, antipyrine, The metabolism of Flunarizine can be decreased when combined with Antipyrine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Flunarizine.]
[L03AB06, interferon alfa-n1, The metabolism of Flunarizine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Carvedilol may increase the arrhythmogenic activities of Flunarizine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Flunarizine.]
[B02BX08, avatrombopag, The metabolism of Flunarizine can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Flunarizine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Flunarizine.]
[C07AB08, celiprolol, Flunarizine may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Flunarizine.]
[L01XX62, ivosidenib, The metabolism of Flunarizine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Flunarizine.]
[N03AX17, stiripentol, The metabolism of Flunarizine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Flunarizine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Flunarizine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Flunarizine is combined with Carbromal.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, Flunarizine may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Flunarizine.]
[R03BB08, revefenacin, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Flunarizine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Flunarizine can be decreased when combined with Carmustine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Flunarizine.]
[C01BG07, cifenline, Flunarizine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of hyperkalemia can be increased when Cilazapril is combined with Flunarizine.]
[B01AC23, cilostazol, The metabolism of Flunarizine can be decreased when combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Flunarizine is combined with Cinitapride.]
[S01ED05, carteolol, Flunarizine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Flunarizine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Flunarizine.]
[J01FA09, clarithromycin, The metabolism of Flunarizine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Flunarizine.]
[N05BA09, clobazam, The metabolism of Flunarizine can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Flunarizine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Flunarizine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Flunarizine can be increased when combined with Etanercept.]
[A12CC06, magnesium lactate, The risk or severity of hypotension can be increased when Magnesium lactate is combined with Flunarizine.]
[L01EM03, alpelisib, The serum concentration of Flunarizine can be decreased when it is combined with Alpelisib.]
[J01DD01, cefotaxime, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Cyamemazine.]
[C03BX03, cicletanine, Flunarizine may increase the arrhythmogenic activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flunarizine.]
[L01EJ02, fedratinib, The metabolism of Flunarizine can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Flunarizine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Flunarizine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Flunarizine.]
[A10AE03, insulin, regular, pork, The metabolism of Flunarizine can be increased when combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Flunarizine.]
[J01DB03, cephalothin, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Cefalotin.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Flunarizine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Flunarizine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Flunarizine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Flunarizine.]
[N03AX25, cenobamate, The serum concentration of Flunarizine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Flunarizine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Flunarizine.]
[R06AB02, dexchlorpheniramine, The metabolism of Flunarizine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Flunarizine.]
[L01EX18, avapritinib, The metabolism of Flunarizine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Flunarizine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Flunarizine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Flunarizine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Flunarizine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Flunarizine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Flunarizine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Flunarizine.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Flunarizine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Flunarizine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Flunarizine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Flunarizine.]
[M01AH02, rofecoxib, The metabolism of Flunarizine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Flunarizine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Flunarizine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Flunarizine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Flunarizine.]
[L01AA02, chlorambucil, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Flunarizine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Flunarizine.]
[A03AA08, dihexyverine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Flunarizine can be decreased when combined with Capmatinib.]
[G04BD09, trospium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Droxicam.]
[M02AA27, dexketoprofen, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Flunarizine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Flunarizine.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Dyclonine.]
[P01BB01, proguanil, The metabolism of Flunarizine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Flunarizine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Flunarizine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Flunarizine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Flunarizine can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Flunarizine.]
[N05AA01, chlorpromazine, The metabolism of Flunarizine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Flunarizine.]
[A11CC05, cholecalciferol, The metabolism of Flunarizine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Ethenzamide.]
[N06BX18, vinpocetine, Flunarizine may increase the arrhythmogenic activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Flunarizine.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Flunarizine.]
[M01AB08, etodolac, The risk or severity of hyperkalemia can be increased when Etodolac is combined with Flunarizine.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Flunarizine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Flunarizine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Flunarizine may increase the arrhythmogenic activities of Hydroquinine.]
[P03AX07, abametapir, The serum concentration of Flunarizine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Flunarizine can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Flunarizine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Flunarizine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Flunarizine.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Fenbufen.]
[N06BA10, fenethylline, Flunarizine may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB07, flumequine, The metabolism of Flunarizine can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The metabolism of Flunarizine can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Flunarizine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Flunarizine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Flunarizine can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of Flunarizine can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Flunarizine.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Flunarizine.]
[J01MB06, cinoxacin, The metabolism of Flunarizine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Flunarizine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Flunarizine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Flunarizine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Flunarizine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Finerenone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Flunarizine is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Flunarizine can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Flunarizine.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Gliquidone.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of Flunarizine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Flunarizine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Flunarizine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Flunarizine.]
[C10AB01, clofibrate, The metabolism of Flunarizine can be decreased when combined with Clofibrate.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Flunarizine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Flunarizine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Flunarizine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Flunarizine.]
[C01EB24, mavacamten, The serum concentration of Flunarizine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Tirzepatide.]
[J02AC06, oteseconazole, The therapeutic efficacy of Oteseconazole can be increased when used in combination with Flunarizine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Flunarizine.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Flunarizine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Flunarizine.]
[N05AH02, clozapine, The metabolism of Flunarizine can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Flunarizine.]
[H01AC08, somatrogon, The metabolism of Flunarizine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Cocaine.]
[C02KB01, metyrosine, Flunarizine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Flunarizine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Flunarizine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Flunarizine.]
[A03AB10, hexocyclium, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Flunarizine can be decreased when it is combined with Leflunomide.]
[C01BA13, hydroquinidine, Flunarizine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, The risk or severity of hypotension can be increased when Hydrotalcite is combined with Flunarizine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Flunarizine.]
[A04AA03, tropisetron, Flunarizine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Flunarizine is combined with Ifenprodil.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Flunarizine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Flunarizine can be decreased when combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Flunarizine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Valganciclovir.]
[M01AH03, valdecoxib, The risk or severity of hyperkalemia can be increased when Valdecoxib is combined with Flunarizine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Flunarizine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Flunarizine.]
[M01AH04, parecoxib, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Flunarizine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Flunarizine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Flunarizine.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Flunarizine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Flunarizine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Flunarizine may increase the arrhythmogenic activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Flunarizine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Flunarizine.]
[N07BC04, lofexidine, The therapeutic efficacy of Flunarizine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Flunarizine can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Flunarizine.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Loxoprofen.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Lisinopril is combined with Flunarizine.]
[A02AD02, magaldrate, The risk or severity of hypotension can be increased when Magaldrate is combined with Flunarizine.]
[A06AD01, magnesium carbonate, The risk or severity of hypotension can be increased when Magnesium carbonate is combined with Flunarizine.]
[C08CA11, manidipine, Flunarizine may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Medifoxamine.]
[C07AA14, mepindolol, The risk or severity of bradycardia can be increased when Flunarizine is combined with Mepindolol.]
[R06AD07, mequitazine, The metabolism of Flunarizine can be decreased when combined with Mequitazine.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Flunarizine.]
[R06AD04, methdilazine, The therapeutic efficacy of Flunarizine can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Cyclandelate may increase the arrhythmogenic activities of Flunarizine.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Flunarizine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Flunarizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Flunarizine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The risk or severity of hyperkalemia can be increased when Eplerenone is combined with Flunarizine.]
[N05AD03, metylperon, Flunarizine may increase the arrhythmogenic activities of Melperone.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Flunarizine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Flunarizine.]
[S01XA18, cyclosporine, The metabolism of Flunarizine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Flunarizine.]
[N06BA07, modafinil, The metabolism of Flunarizine can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of hyperkalemia can be increased when Moexipril is combined with Flunarizine.]
[C10AA07, rosuvastatin, The metabolism of Flunarizine can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Flunarizine can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Flunarizine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Flunarizine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Flunarizine can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Flunarizine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Flunarizine.]
[J04BA02, dapsone, The metabolism of Flunarizine can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Flunarizine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Flunarizine can be decreased when combined with Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[M01AX01, nabumetone, The metabolism of Flunarizine can be decreased when combined with Nabumetone.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Flunarizine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Nordazepam.]
[C07AB12, nebivolol, Flunarizine may increase the arrhythmogenic activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Flunarizine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Flunarizine is combined with Niaprazine.]
[C01DX16, nicorandil, Flunarizine may increase the arrhythmogenic activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Flunarizine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Flunarizine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Flunarizine.]
[C01CA23, theodrenaline, Flunarizine may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, Flunarizine may increase the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Flunarizine is combined with Normethadone.]
[N06AB10, escitalopram, The serum concentration of Flunarizine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Flunarizine.]
[N06AA01, desipramine, The metabolism of Flunarizine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may increase the arrhythmogenic activities of Flunarizine.]
[C09XA02, aliskiren, The risk or severity of hyperkalemia can be increased when Flunarizine is combined with Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Oxaprozin is combined with Flunarizine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Flunarizine.]
[S03BA01, dexamethasone, The metabolism of Flunarizine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Flunarizine is combined with Oxiracetam.]
[N04AA08, dexetimide, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Flunarizine can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Flunarizine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Flunarizine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Flunarizine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Flunarizine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Flunarizine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Flunarizine.]
[N06AB05, paroxetine, The metabolism of Flunarizine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Flunarizine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Flunarizine.]
[C04AD01, pentifylline, Flunarizine may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Flunarizine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Flunarizine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Flunarizine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Flunarizine.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Flunarizine is combined with Dibenzepin.]
