[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Medroxyprogesterone acetate.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Medroxyprogesterone acetate.]
[J01CA06, bacampicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Bacampicillin.]
[L01EF02, ribociclib, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A06AH05, naldemedine, Medroxyprogesterone acetate may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Medroxyprogesterone acetate may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Pregabalin.]
[N03AX30, beclamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Beclamide.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Medroxyprogesterone acetate.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Medroxyprogesterone acetate can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Medroxyprogesterone acetate may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J05AF06, abacavir, Medroxyprogesterone acetate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Medroxyprogesterone acetate may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L01EX10, midostaurin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Medroxyprogesterone acetate.]
[L04AC14, sarilumab, The metabolism of Medroxyprogesterone acetate can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Medroxyprogesterone acetate may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Medroxyprogesterone acetate.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Medroxyprogesterone acetate.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Medroxyprogesterone acetate.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Medroxyprogesterone acetate.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Medroxyprogesterone acetate.]
[C07AB07, bisoprolol, Medroxyprogesterone acetate may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The serum concentration of Budesonide can be increased when it is combined with Medroxyprogesterone acetate.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Medroxyprogesterone acetate.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Medroxyprogesterone acetate.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Medroxyprogesterone acetate.]
[R06AX18, acrivastine, Medroxyprogesterone acetate may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Carbamazepine.]
[J01CA03, carbenicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Carbenicillin.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Medroxyprogesterone acetate.]
[N03AX24, cannabidiol, The metabolism of Medroxyprogesterone acetate can be increased when combined with Cannabidiol.]
[L04AA37, baricitinib, Medroxyprogesterone acetate may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01GB14, plazomicin, Medroxyprogesterone acetate may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Medroxyprogesterone acetate.]
[L01XX62, ivosidenib, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Medroxyprogesterone acetate may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Medroxyprogesterone acetate can be increased when combined with Tecovirimat.]
[J01AA13, eravacycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Eravacycline.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Medroxyprogesterone acetate.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Medroxyprogesterone acetate.]
[J01AA14, sarecycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Omadacycline.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Medroxyprogesterone acetate.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Medroxyprogesterone acetate may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Medroxyprogesterone acetate.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Medroxyprogesterone acetate can be increased when combined with Lorlatinib.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Medroxyprogesterone acetate.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Medroxyprogesterone acetate.]
[A06AX05, prucalopride, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Prucalopride.]
[B01AC23, cilostazol, Medroxyprogesterone acetate may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Medroxyprogesterone acetate.]
[N06AX27, esketamine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Medroxyprogesterone acetate.]
[J01FA09, clarithromycin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Medroxyprogesterone acetate may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N06AX29, brexanolone, The metabolism of Medroxyprogesterone acetate can be increased when combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Medroxyprogesterone acetate.]
[N05BA09, clobazam, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Medroxyprogesterone acetate.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Medroxyprogesterone acetate.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Medroxyprogesterone acetate.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Medroxyprogesterone acetate.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CF03, methicillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Meticillin.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Medroxyprogesterone acetate.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Medroxyprogesterone acetate.]
[N07XX11, pitolisant, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Medroxyprogesterone acetate.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Medroxyprogesterone acetate.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Medroxyprogesterone acetate.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Medroxyprogesterone acetate.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Medroxyprogesterone acetate.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Medroxyprogesterone acetate.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Medroxyprogesterone acetate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Medroxyprogesterone acetate.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Medroxyprogesterone acetate.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Medroxyprogesterone acetate.]
[N03AX25, cenobamate, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[M09AX08, golodirsen, Medroxyprogesterone acetate may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Medroxyprogesterone acetate may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Medroxyprogesterone acetate.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Medroxyprogesterone acetate.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Medroxyprogesterone acetate.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Medroxyprogesterone acetate.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Medroxyprogesterone acetate.]
[J05AE05, amprenavir, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Medroxyprogesterone acetate.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Medroxyprogesterone acetate.]
[R02AA03, dichlorobenzyl alcohol, Medroxyprogesterone acetate may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Medroxyprogesterone acetate.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Medroxyprogesterone acetate.]
[M01AH02, rofecoxib, The metabolism of Medroxyprogesterone acetate can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Medroxyprogesterone acetate.]
[N03AG02, dipropylacetamide, The metabolism of Medroxyprogesterone acetate can be increased when combined with Valpromide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Medroxyprogesterone acetate.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Medroxyprogesterone acetate.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Medroxyprogesterone acetate.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[V08CA05, mangafodipir, Medroxyprogesterone acetate may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Medroxyprogesterone acetate.]
[B01AE02, lepirudin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Lepirudin.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Medroxyprogesterone acetate can be increased when combined with Clomethiazole.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Dyclonine.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Medroxyprogesterone acetate.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Medroxyprogesterone acetate.]
[L04AC19, satralizumab, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Medroxyprogesterone acetate.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Medroxyprogesterone acetate.]
[L01EX23, pralsetinib, The metabolism of Medroxyprogesterone acetate can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Medroxyprogesterone acetate.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, Medroxyprogesterone acetate may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Medroxyprogesterone acetate can be increased when combined with Vinpocetine.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Medroxyprogesterone acetate.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Medroxyprogesterone acetate.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Medroxyprogesterone acetate.]
[M01AX25, chondroitin sulfates, Medroxyprogesterone acetate may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Medroxyprogesterone acetate can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The metabolism of Medroxyprogesterone acetate can be increased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[C01CA19, fenoldopam, Medroxyprogesterone acetate may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Medroxyprogesterone acetate.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Medroxyprogesterone acetate.]
[N02BG07, flupirtine, Medroxyprogesterone acetate may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Medroxyprogesterone acetate.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Medroxyprogesterone acetate.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Medroxyprogesterone acetate.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N02BF01, gabapentin, The metabolism of Medroxyprogesterone acetate can be increased when combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Medroxyprogesterone acetate.]
[L01XX73, sotorasib, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Medroxyprogesterone acetate.]
[S03AA07, ciprofloxacin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Medroxyprogesterone acetate may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Medroxyprogesterone acetate.]
[L01XX74, belzutifan, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Medroxyprogesterone acetate may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Medroxyprogesterone acetate may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Medroxyprogesterone acetate may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Medroxyprogesterone acetate.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Medroxyprogesterone acetate.]
[N06AX25, St. John's wort extract, The metabolism of Medroxyprogesterone acetate can be increased when combined with St. John's Wort.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Medroxyprogesterone acetate.]
[B01AD11, tenecteplase, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Medroxyprogesterone acetate can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Medroxyprogesterone acetate can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Medroxyprogesterone acetate.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Medroxyprogesterone acetate.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Medroxyprogesterone acetate is combined with Clonidine.]
[C01EB24, mavacamten, The serum concentration of Medroxyprogesterone acetate can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[A10BX16, tirzepatide, Tirzepatide can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Medroxyprogesterone acetate which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Medroxyprogesterone acetate.]
[J01CF02, cloxacillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01GB12, arbekacin, Medroxyprogesterone acetate may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Medroxyprogesterone acetate can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Medroxyprogesterone acetate is combined with Cocaine.]
[M09AX11, palovarotene, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Palovarotene.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J01CA18, hetacillin, The therapeutic efficacy of Medroxyprogesterone acetate can be decreased when used in combination with Hetacillin.]
[M04AC01, colchicine, Medroxyprogesterone acetate may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Medroxyprogesterone acetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Medroxyprogesterone acetate may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Medroxyprogesterone acetate.]
[A04AA03, tropisetron, Medroxyprogesterone acetate may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The metabolism of Medroxyprogesterone acetate can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Medroxyprogesterone acetate.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Medroxyprogesterone acetate.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Medroxyprogesterone acetate.]
[J01FA15, telithromycin, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Medroxyprogesterone acetate.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
[J05AB14, valganciclovir, Medroxyprogesterone acetate may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Medroxyprogesterone acetate may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Medroxyprogesterone acetate may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Medroxyprogesterone acetate may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Medroxyprogesterone acetate may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Medroxyprogesterone acetate may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Medroxyprogesterone acetate.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Medroxyprogesterone acetate.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Medroxyprogesterone acetate.]
[J02AC02, itraconazole, The metabolism of Medroxyprogesterone acetate can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of adverse effects can be increased when Medroxyprogesterone acetate is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Medroxyprogesterone acetate which could result in a higher serum level.]
