[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Chloroquine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Chloroquine.]
[L01BC06, capecitabine, Chloroquine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Chloroquine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Chloroquine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Chloroquine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The risk or severity of QTc prolongation can be decreased when Chloroquine is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Chloroquine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Chloroquine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Chloroquine can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Chloroquine can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Chloroquine.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Chloroquine.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Chloroquine.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Chloroquine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Chloroquine.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Chloroquine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Chloroquine.]
[N03AX24, cannabidiol, The metabolism of Chloroquine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Chloroquine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Chloroquine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Chloroquine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01GB14, plazomicin, Chloroquine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Chloroquine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Chloroquine.]
[L01XX62, ivosidenib, The metabolism of Chloroquine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Chloroquine.]
[A16AX14, migalastat, Chloroquine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Chloroquine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Chloroquine can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Chloroquine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Chloroquine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Chloroquine.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroquine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Chloroquine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Chloroquine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Chloroquine.]
[L04AA39, emapalumab, The metabolism of Chloroquine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Chloroquine is combined with Amifampridine.]
[A06AX05, prucalopride, Chloroquine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Chloroquine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Chloroquine.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Chloroquine.]
[J01FA09, clarithromycin, The metabolism of Chloroquine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Chloroquine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N06AX29, brexanolone, The therapeutic efficacy of Brexanolone can be decreased when used in combination with Chloroquine.]
[N05BA09, clobazam, The metabolism of Chloroquine can be decreased when combined with Clobazam.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Chloroquine.]
[H02AB14, cloprednol, The metabolism of Chloroquine can be increased when combined with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Chloroquine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Chloroquine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Chloroquine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Chloroquine can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Chloroquine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Chloroquine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Chloroquine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Chloroquine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Chloroquine.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Chloroquine.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Chloroquine.]
[N03AX25, cenobamate, The serum concentration of Chloroquine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Chloroquine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Chloroquine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Chloroquine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Chloroquine.]
[S01XA12, dexpanthenol, Chloroquine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Chloroquine.]
[M01AX21, diacetylrhein, The metabolism of Chloroquine can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The therapeutic efficacy of Remdesivir can be decreased when used in combination with Chloroquine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chloroquine.]
[H02CA02, osilodrostat, The metabolism of Chloroquine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Chloroquine can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Chloroquine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Chloroquine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Chloroquine.]
[R02AA03, dichlorobenzyl alcohol, Chloroquine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Chloroquine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Chloroquine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Chloroquine.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Chloroquine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Chloroquine.]
[C01BD07, dronedarone, The metabolism of Chloroquine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The therapeutic efficacy of Valpromide can be decreased when used in combination with Chloroquine.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S03AA08, chloramphenicol, The metabolism of Chloroquine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Chloroquine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Chloroquine.]
[D07XB03, fluprednidene, The metabolism of Chloroquine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Chloroquine can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[V08CA05, mangafodipir, Chloroquine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Chloroquine can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N05CM02, chlormethiazole, The therapeutic efficacy of Clomethiazole can be decreased when used in combination with Chloroquine.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Dyclonine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Chloroquine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Chloroquine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Chloroquine.]
[P01BB01, proguanil, The metabolism of Chloroquine can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Chloroquine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Chloroquine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Chloroquine.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Chloroquine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Chloroquine.]
[N05AA01, chlorpromazine, The metabolism of Chloroquine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chloroquine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Chloroquine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Chloroquine.]
[A11CC05, cholecalciferol, The metabolism of Chloroquine can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N06BX18, vinpocetine, The therapeutic efficacy of Vinpocetine can be decreased when used in combination with Chloroquine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Etofibrate.]
[B06AC06, berotralstat, The metabolism of Chloroquine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Chloroquine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Chloroquine.]
[M01AX25, chondroitin sulfates, Chloroquine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Chloroquine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The therapeutic efficacy of Felbamate can be decreased when used in combination with Chloroquine.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01CA19, fenoldopam, Chloroquine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Chloroquine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Chloroquine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N02BG07, flupirtine, Chloroquine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Chloroquine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Chloroquine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Chloroquine can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The serum concentration of the active metabolites of Chloroquine can be increased when Chloroquine is used in combination with Cimetidine.]
[N02BF01, gabapentin, The therapeutic efficacy of Gabapentin can be decreased when used in combination with Chloroquine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Chloroquine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Chloroquine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Chloroquine.]
[L01XA01, cisplatin, Chloroquine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Chloroquine.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Chloroquine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Chloroquine can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Chloroquine can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Chloroquine can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Chloroquine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Chloroquine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Chloroquine.]
[N03AE01, clonazepam, The therapeutic efficacy of Clonazepam can be decreased when used in combination with Chloroquine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Chloroquine.]
[C01EB24, mavacamten, The serum concentration of Chloroquine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Chloroquine.]
[H01CC04, linzagolix, The serum concentration of Chloroquine can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Chloroquine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Chloroquine can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Chloroquine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Chloroquine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Chloroquine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Chloroquine.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Colchicine.]
[J01XB01, colistin, Chloroquine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Chloroquine.]
[A04AA03, tropisetron, Chloroquine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Chloroquine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Chloroquine.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Chloroquine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Chloroquine.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Desloratadine.]
[J05AB14, valganciclovir, Chloroquine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Chloroquine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Chloroquine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Chloroquine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Chloroquine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Chloroquine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Chloroquine.]
[A03AX10, isometheptene, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Chloroquine.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Chloroquine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Emedastine.]
[N05BA10, ketazolam, Chloroquine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Chloroquine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Chloroquine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Chloroquine.]
[V03AF07, rasburicase, The risk or severity of methemoglobinemia can be increased when Rasburicase is combined with Chloroquine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Chloroquine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Chloroquine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Nafarelin.]
[S01BA03, cortisone, The metabolism of Chloroquine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Chloroquine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Chloroquine can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C09AA03, lisinopril, Chloroquine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Chloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA10, magnesium phosphate, The risk or severity of neuromuscular blockade can be increased when Chloroquine is combined with Magnesium phosphate.]
[C08CA11, manidipine, The metabolism of Chloroquine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Mebeverine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Chloroquine.]
[H02AB15, meprednisone, The metabolism of Chloroquine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Chloroquine.]
[J01DH02, meropenem, Chloroquine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Chloroquine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
