[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Eszopiclone.]
[N05AD06, bromperidol, The risk or severity of CNS depression can be increased when Bromperidol is combined with Eszopiclone.]
[N05CD09, brotizolam, The risk or severity of CNS depression can be increased when Brotizolam is combined with Eszopiclone.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The serum concentration of Eszopiclone can be decreased when it is combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Eszopiclone can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of CNS depression can be increased when Butobarbital is combined with Eszopiclone.]
[J05AX18, letermovir, The metabolism of Eszopiclone can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of CNS depression can be increased when Butriptyline is combined with Eszopiclone.]
[N01BX04, capsaicin, The metabolism of Eszopiclone can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of CNS depression can be increased when Vinylbital is combined with Eszopiclone.]
[R06AX18, acrivastine, Eszopiclone may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Eszopiclone can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of CNS depression can be increased when Carbamazepine is combined with Eszopiclone.]
[A03AA03, camylofine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of CNS depression can be increased when Carbinoxamine is combined with Eszopiclone.]
[B02BX09, fostamatinib, The metabolism of Eszopiclone can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of CNS depression can be increased when Cannabidiol is combined with Eszopiclone.]
[B02BX08, avatrombopag, The metabolism of Eszopiclone can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Eszopiclone may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01GB14, plazomicin, Eszopiclone may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Eszopiclone.]
[L01XX62, ivosidenib, The serum concentration of Eszopiclone can be decreased when it is combined with Ivosidenib.]
[A16AX14, migalastat, Eszopiclone may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The risk or severity of CNS depression can be increased when Stiripentol is combined with Eszopiclone.]
[J05AX24, tecovirimat, The serum concentration of Eszopiclone can be decreased when it is combined with Tecovirimat.]
[S01GX12, cetirizine, The risk or severity of CNS depression can be increased when Cetirizine is combined with Eszopiclone.]
[N05CM04, carbromal, The risk or severity of CNS depression can be increased when Carbromal is combined with Eszopiclone.]
[N01BA04, chloroprocaine, The risk or severity of CNS depression can be increased when Chloroprocaine is combined with Eszopiclone.]
[D08AE05, chloroxylenol, Eszopiclone may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Eszopiclone.]
[R03BB08, revefenacin, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The serum concentration of Eszopiclone can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Eszopiclone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Eszopiclone.]
[A06AX05, prucalopride, Eszopiclone may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Eszopiclone may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of CNS depression can be increased when Cinitapride is combined with Eszopiclone.]
[P02BX04, triclabendazole, The metabolism of Eszopiclone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Eszopiclone is combined with Esketamine.]
[J01FA09, clarithromycin, The serum concentration of Eszopiclone can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of CNS depression can be increased when Solriamfetol is combined with Eszopiclone.]
[N06AX29, brexanolone, The risk or severity of CNS depression can be increased when Brexanolone is combined with Eszopiclone.]
[N05BA09, clobazam, The risk or severity of CNS depression can be increased when Clobazam is combined with Eszopiclone.]
[N05BA22, cloxazolam, The risk or severity of CNS depression can be increased when Cloxazolam is combined with Eszopiclone.]
[C09CA06, candesartan, The metabolism of Eszopiclone can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Eszopiclone can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Eszopiclone can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of CNS depression can be increased when Cyamemazine is combined with Eszopiclone.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Eszopiclone.]
[N07XX11, pitolisant, The serum concentration of Eszopiclone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Eszopiclone.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of CNS depression can be increased when Yohimbine is combined with Eszopiclone.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DB09, cephradine, The serum concentration of Eszopiclone can be decreased when it is combined with Cefradine.]
[N02CC08, lasmiditan, The risk or severity of CNS depression can be increased when Lasmiditan is combined with Eszopiclone.]
[N03AX25, cenobamate, The serum concentration of Eszopiclone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M09AX08, golodirsen, Eszopiclone may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of CNS depression can be increased when Dexbrompheniramine is combined with Eszopiclone.]
[S01XA12, dexpanthenol, Eszopiclone may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of CNS depression can be increased when Dezocine is combined with Eszopiclone.]
[N05CM21, lemborexant, The risk or severity of CNS depression can be increased when Lemborexant is combined with Eszopiclone.]
[N05AD10, lumateperone, The risk or severity of CNS depression can be increased when Lumateperone is combined with Eszopiclone.]
[J05AB16, remdesivir, The metabolism of Eszopiclone can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Eszopiclone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Eszopiclone can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of CNS depression can be increased when Frovatriptan is combined with Eszopiclone.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Eszopiclone.]
[N05CC04, dichloralphenazone, The risk or severity of CNS depression can be increased when Dichloralphenazone is combined with Eszopiclone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Eszopiclone.]
[R02AA03, dichlorobenzyl alcohol, Eszopiclone may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Eszopiclone may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of CNS depression can be increased when Difenoxin is combined with Eszopiclone.]
[N02AA08, dihydrocodeine, The risk or severity of CNS depression can be increased when Dihydrocodeine is combined with Eszopiclone.]
[N02CC06, eletriptan, The risk or severity of CNS depression can be increased when Eletriptan is combined with Eszopiclone.]
[M01AH02, rofecoxib, The serum concentration of Eszopiclone can be decreased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The serum concentration of Eszopiclone can be decreased when it is combined with Bexarotene.]
[C08CA16, clevidipine, The serum concentration of Eszopiclone can be decreased when it is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Eszopiclone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of CNS depression can be increased when Valpromide is combined with Eszopiclone.]
[J01FA13, dirithromycin, The metabolism of Eszopiclone can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Eszopiclone can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of CNS depression can be increased when Chlordiazepoxide is combined with Eszopiclone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Eszopiclone.]
[A03AA08, dihexyverine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[V08CA05, mangafodipir, Eszopiclone may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Eszopiclone can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of CNS depression can be increased when Clomethiazole is combined with Eszopiclone.]
[M03BB02, chlormezanone, The risk or severity of CNS depression can be increased when Chlormezanone is combined with Eszopiclone.]
[R02AD04, dyclonine, The risk or severity of CNS depression can be increased when Dyclonine is combined with Eszopiclone.]
[N05CD14, remimazolam, The risk or severity of CNS depression can be increased when Remimazolam is combined with Eszopiclone.]
[L04AC19, satralizumab, The serum concentration of Eszopiclone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Eszopiclone is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Eszopiclone.]
[L01EX23, pralsetinib, The serum concentration of Eszopiclone can be decreased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of CNS depression can be increased when Chlorpheniramine is combined with Eszopiclone.]
[N05AA01, chlorpromazine, The risk or severity of CNS depression can be increased when Chlorpromazine is combined with Eszopiclone.]
[A10BB02, chlorpropamide, Eszopiclone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of CNS depression can be increased when Chlorprothixene is combined with Eszopiclone.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of CNS depression can be increased when Chlorzoxazone is combined with Eszopiclone.]
[N05BX03, etifoxine, The risk or severity of CNS depression can be increased when Etifoxine is combined with Eszopiclone.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N02BA03, choline salicylate, Eszopiclone may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of CNS depression can be increased when Vinpocetine is combined with Eszopiclone.]
[N05BA18, ethyl loflazepate, The risk or severity of CNS depression can be increased when Ethyl loflazepate is combined with Eszopiclone.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Eszopiclone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Eszopiclone can be increased when it is combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Eszopiclone may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Eszopiclone can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of CNS depression can be increased when Febarbamate is combined with Eszopiclone.]
[N03AX10, felbamate, The risk or severity of CNS depression can be increased when Felbamate is combined with Eszopiclone.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C01CA19, fenoldopam, Eszopiclone may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Eszopiclone may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[R03BA03, flunisolide, The serum concentration of Eszopiclone can be decreased when it is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The serum concentration of Eszopiclone can be decreased when it is combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Eszopiclone may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[N01AB05, trichloroethylene, The risk or severity of CNS depression can be increased when Trichloroethylene is combined with Eszopiclone.]
[A02BA01, cimetidine, The metabolism of Eszopiclone can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of CNS depression can be increased when Gabapentin is combined with Eszopiclone.]
[V08CA04, gadoteridol, Eszopiclone may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[L01XX73, sotorasib, The serum concentration of Eszopiclone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Eszopiclone can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Eszopiclone may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of CNS depression can be increased when Citalopram is combined with Eszopiclone.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Eszopiclone can be decreased when combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Eszopiclone may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Eszopiclone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Eszopiclone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of CNS depression can be increased when Clemastine is combined with Eszopiclone.]
[N06AX25, St. John's wort extract, The risk or severity of CNS depression can be increased when St. John's Wort is combined with Eszopiclone.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Eszopiclone.]
[J04BA01, clofazimine, The metabolism of Eszopiclone can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The serum concentration of Eszopiclone can be decreased when it is combined with Clofibrate.]
[B06AX04, mitapivat, The serum concentration of Eszopiclone can be decreased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of CNS depression can be increased when Levobupivacaine is combined with Eszopiclone.]
[N06AA04, clomipramine, The risk or severity of CNS depression can be increased when Clomipramine is combined with Eszopiclone.]
[N03AE01, clonazepam, The risk or severity of CNS depression can be increased when Clonazepam is combined with Eszopiclone.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Eszopiclone.]
[C01EB24, mavacamten, The serum concentration of Eszopiclone can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of CNS depression can be increased when Clothiapine is combined with Eszopiclone.]
[H01CC04, linzagolix, The serum concentration of Eszopiclone can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of CNS depression can be increased when Clotiazepam is combined with Eszopiclone.]
[A04AA01, ondansetron, The risk or severity of CNS depression can be increased when Ondansetron is combined with Eszopiclone.]
[A04AA02, granisetron, The risk or severity of CNS depression can be increased when Granisetron is combined with Eszopiclone.]
[N05AH02, clozapine, The risk or severity of CNS depression can be increased when Clozapine is combined with Eszopiclone.]
[J01GB12, arbekacin, Eszopiclone may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of CNS depression can be increased when Halazepam is combined with Eszopiclone.]
[H01AC08, somatrogon, The metabolism of Eszopiclone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Eszopiclone may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Eszopiclone can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of CNS depression can be increased when Codeine is combined with Eszopiclone.]
[M03AC05, hexafluorenium, The risk or severity of CNS depression can be increased when Hexafluronium is combined with Eszopiclone.]
[M04AC01, colchicine, The metabolism of Eszopiclone can be decreased when combined with Colchicine.]
[A03AB10, hexocyclium, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Eszopiclone may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of CNS depression can be increased when Desflurane is combined with Eszopiclone.]
[A04AA03, tropisetron, The risk or severity of CNS depression can be increased when Tropisetron is combined with Eszopiclone.]
[C04AX28, ifenprodil, The risk or severity of CNS depression can be increased when Ifenprodil is combined with Eszopiclone.]
[A10BX03, nateglinide, Eszopiclone may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01FA15, telithromycin, The serum concentration of Eszopiclone can be increased when it is combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of CNS depression can be increased when Desloratadine is combined with Eszopiclone.]
[J05AB14, valganciclovir, Eszopiclone may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Eszopiclone may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Eszopiclone may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Eszopiclone may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Eszopiclone may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Eszopiclone may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[H01AX01, pegvisomant, The serum concentration of Eszopiclone can be decreased when it is combined with Pegvisomant.]
[N02CC05, almotriptan, The risk or severity of CNS depression can be increased when Almotriptan is combined with Eszopiclone.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J02AC02, itraconazole, The serum concentration of Eszopiclone can be increased when it is combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of CNS depression can be increased when Ketazolam is combined with Eszopiclone.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Eszopiclone can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of Eszopiclone can be increased when it is combined with Posaconazole.]
[N03AX09, lamotrigine, The risk or severity of CNS depression can be increased when Lamotrigine is combined with Eszopiclone.]
[S01GX02, levocabastine, The risk or severity of CNS depression can be increased when Levocabastine is combined with Eszopiclone.]
[N07BC04, lofexidine, The therapeutic efficacy of Eszopiclone can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Eszopiclone can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of CNS depression can be increased when Lormetazepam is combined with Eszopiclone.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C09AA03, lisinopril, Eszopiclone may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Eszopiclone may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Eszopiclone can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of CNS depression can be increased when Medifoxamine is combined with Eszopiclone.]
[R06AD07, mequitazine, The metabolism of Eszopiclone can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Eszopiclone may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N04AA03, methixene, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of CNS depression can be increased when Cyclizine is combined with Eszopiclone.]
[N05CA10, cyclobarbital, The risk or severity of CNS depression can be increased when Cyclobarbital is combined with Eszopiclone.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of CNS depression can be increased when Melperone is combined with Eszopiclone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Eszopiclone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Eszopiclone can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The serum concentration of Eszopiclone can be decreased when it is combined with Cyclophosphamide.]
[N06AX07, minaprine, The risk or severity of CNS depression can be increased when Minaprine is combined with Eszopiclone.]
[S01XA18, cyclosporine, The metabolism of Eszopiclone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of CNS depression can be increased when Moclobemide is combined with Eszopiclone.]
[N06BA07, modafinil, The serum concentration of Eszopiclone can be decreased when it is combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of CNS depression can be increased when Cyproheptadine is combined with Eszopiclone.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[C03XA02, conivaptan, The serum concentration of Eszopiclone can be increased when it is combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Eszopiclone can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Eszopiclone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The serum concentration of Eszopiclone can be increased when it is combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of CNS depression can be increased when Dantrolene is combined with Eszopiclone.]
[J04BA02, dapsone, The metabolism of Eszopiclone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Eszopiclone can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of CNS depression can be increased when Deanol is combined with Eszopiclone.]
[A04AD11, nabilone, The risk or severity of CNS depression can be increased when Nabilone is combined with Eszopiclone.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Eszopiclone which could result in a higher serum level.]
[N07BB05, nalmefene, Eszopiclone may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of CNS depression can be increased when Nordazepam is combined with Eszopiclone.]
[S01GX04, nedocromil, Eszopiclone may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of CNS depression can be increased when Nefazodone is combined with Eszopiclone.]
[N05CM16, niaprazine, The risk or severity of CNS depression can be increased when Niaprazine is combined with Eszopiclone.]
[C01DX16, nicorandil, Eszopiclone may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Eszopiclone can be decreased when combined with Nilutamide.]
