[S02DA03, antipyrine, The metabolism of Ozanimod can be decreased when combined with Antipyrine.]
[R06AX12, terfenadine, The metabolism of Ozanimod can be decreased when combined with Terfenadine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Ozanimod.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Ozanimod.]
[C08CA02, felodipine, The metabolism of Ozanimod can be decreased when combined with Felodipine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Ozanimod.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Ozanimod.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Ozanimod.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Ozanimod.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Ozanimod.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Ozanimod.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Ozanimod.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Ozanimod.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Ozanimod.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ozanimod.]
[N05CF04, eszopiclone, The metabolism of Ozanimod can be decreased when combined with Eszopiclone.]
[C10AB04, gemfibrozil, The metabolism of Ozanimod can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, Dasatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EH01, lapatinib, The metabolism of Ozanimod can be decreased when combined with Lapatinib.]
[L01EX02, sorafenib, The metabolism of Ozanimod can be decreased when combined with Sorafenib.]
[P01BX01, halofantrine, The metabolism of Ozanimod can be decreased when combined with Halofantrine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ozanimod.]
[C09CA01, losartan, The metabolism of Ozanimod can be decreased when combined with Losartan.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Ozanimod.]
[C08CA10, nilvadipine, The metabolism of Ozanimod can be decreased when combined with Nilvadipine.]
[S02BA01, hydrocortisone, The metabolism of Ozanimod can be increased when combined with Hydrocortisone.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ozanimod.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Ozanimod.]
[J04AB04, rifabutin, The metabolism of Ozanimod can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Ozanimod can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ozanimod.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ozanimod.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ozanimod.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ozanimod.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Ozanimod.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Ozanimod.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ozanimod.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ozanimod.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Ozanimod.]
[A10BH01, sitagliptin, The metabolism of Ozanimod can be decreased when combined with Sitagliptin.]
[C10AA06, cerivastatin, The metabolism of Ozanimod can be decreased when combined with Cerivastatin.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Ozanimod.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Tocilizumab is combined with Ozanimod.]
[N01AX03, ketamine, The metabolism of Ozanimod can be decreased when combined with Ketamine.]
[J02AB02, ketoconazole, The metabolism of Ozanimod can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Ozanimod can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, The metabolism of Ozanimod can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Ozanimod can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Abatacept is combined with Ozanimod.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Ozanimod.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Lomustine is combined with Ozanimod.]
[A07DA03, loperamide, The metabolism of Ozanimod can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Ozanimod can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Temsirolimus is combined with Ozanimod.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Pralatrexate is combined with Ozanimod.]
[L01EA03, nilotinib, Nilotinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Mechlorethamine is combined with Ozanimod.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Ozanimod.]
[N03AB04, mephenytoin, The metabolism of Ozanimod can be decreased when combined with Mephenytoin.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Ozanimod.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Ozanimod.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Ozanimod.]
[V04CG05, methylene blue, The metabolism of Ozanimod can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Ozanimod.]
[P01AB01, metronidazole, The metabolism of Ozanimod can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The metabolism of Ozanimod can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Ozanimod can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The serum concentration of Ozanimod can be increased when it is combined with Mifepristone.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Ozanimod.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Ozanimod.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Ozanimod.]
[N06AA09, amitriptyline, The metabolism of Ozanimod can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Ozanimod can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ozanimod.]
[B02BX05, eltrombopag, Eltrombopag may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Ofatumumab is combined with Ozanimod.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Ozanimod.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Ozanimod.]
[P01BA06, amodiaquine, The metabolism of Ozanimod can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Ozanimod can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Ozanimod.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Ozanimod.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Ozanimod.]
[M02AA12, naproxen, The metabolism of Ozanimod can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Ozanimod can be decreased when combined with Troglitazone.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Ozanimod.]
[A10BX02, repaglinide, The metabolism of Ozanimod can be decreased when combined with Repaglinide.]
[C09CA07, telmisartan, Telmisartan may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[M04AA03, febuxostat, Febuxostat may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Ozanimod.]
[C08CA04, nicardipine, The metabolism of Ozanimod can be decreased when combined with Nicardipine.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Rilonacept is combined with Ozanimod.]
[A02BC01, omeprazole, Omeprazole may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Paramethasone is combined with Ozanimod.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Ozanimod.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ozanimod.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ozanimod.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Pentostatin is combined with Ozanimod.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Ozanimod.]
[N03AA02, phenobarbital, The metabolism of Ozanimod can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Ozanimod.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Ozanimod.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Golimumab is combined with Ozanimod.]
[C10AA05, atorvastatin, The metabolism of Ozanimod can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, Saquinavir may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[S01BC06, piroxicam, The metabolism of Ozanimod can be decreased when combined with Piroxicam.]
[C09CA04, irbesartan, The metabolism of Ozanimod can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Ozanimod can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Ozanimod can be decreased when combined with Rosiglitazone.]
[L02BG03, anastrozole, The metabolism of Ozanimod can be decreased when combined with Anastrozole.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Canakinumab is combined with Ozanimod.]
[J05AE03, ritonavir, The metabolism of Ozanimod can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Ozanimod can be decreased when combined with Pitavastatin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Ozanimod.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Ozanimod.]
[M04AB01, probenecid, The metabolism of Ozanimod can be increased when combined with Probenecid.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Ozanimod.]
[C10AB05, fenofibrate, The metabolism of Ozanimod can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, Progesterone may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N01AX10, propofol, The metabolism of Ozanimod can be decreased when combined with Propofol.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ozanimod.]
[R03DC03, montelukast, The metabolism of Ozanimod can be decreased when combined with Montelukast.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Ozanimod.]
[P01BD01, pyrimethamine, The metabolism of Ozanimod can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Ozanimod can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Ozanimod can be decreased when combined with Quinine.]
[J04AB02, rifampin, The metabolism of Ozanimod can be increased when combined with Rifampicin.]
[A07EC01, sulfasalazine, Sulfasalazine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N05CA06, secobarbital, The metabolism of Ozanimod can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Ozanimod can be decreased when combined with Selegiline.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Ozanimod.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Ozanimod.]
[L01CD04, cabazitaxel, Cabazitaxel may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Ozanimod.]
[C03DA01, spironolactone, The metabolism of Ozanimod can be decreased when combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Ozanimod is combined with Hydrocortisone butyrate.]
