[P02BB01, trichlorfon, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Metrifonate.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Flavoxate.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Flavoxate.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07XX11, pitolisant, Flavoxate may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Flavoxate.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M09AX08, golodirsen, Flavoxate may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01XA12, dexpanthenol, Flavoxate may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R02AA03, dichlorobenzyl alcohol, Flavoxate may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Flavoxate may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C08CA16, clevidipine, Flavoxate may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Flavoxate.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V08CA05, mangafodipir, Flavoxate may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AX07, oliceridine, The risk or severity of urinary retention, reduced gastrointestinal motility, and constipation can be increased when Flavoxate is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BA03, choline salicylate, Flavoxate may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Flavoxate may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Fenozolone.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG07, flupirtine, Flavoxate may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of Tachycardia can be increased when Formoterol is combined with Flavoxate.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01XA01, cisplatin, Flavoxate may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Flavoxate may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Flavoxate may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Flavoxate may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01EA04, clonidine, Clonidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01GB12, arbekacin, Flavoxate may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Flavoxate.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M04AC01, colchicine, Flavoxate may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Flavoxate is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Flavoxate.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Homatropine.]
[J01XB01, colistin, Flavoxate may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J05AB14, valganciclovir, Flavoxate may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Flavoxate may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Flavoxate may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Flavoxate may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Flavoxate may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Flavoxate may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[H01AX01, pegvisomant, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Flavoxate.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R06AX13, loratadine, Flavoxate may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Flavoxate.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Mefenorex.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Flavoxate.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Flavoxate.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Flavoxate.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Moxonidine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A04AD11, nabilone, The risk or severity of Tachycardia and drowsiness can be increased when Flavoxate is combined with Nabilone.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N07BB05, nalmefene, Flavoxate may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01DX16, nicorandil, Flavoxate may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Flavoxate is combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N06AA01, desipramine, Desipramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[V04CH02, indigo carmine, Flavoxate may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Flavoxate.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Flavoxate.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Flavoxate is combined with Diamorphine.]
[P03AC04, permethrin, Flavoxate may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R05DA08, pholcodine, Flavoxate may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Flavoxate.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Flavoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[D07XC04, diflucortolone, Flavoxate may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Flavoxate is combined with Poldine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01AA05, digoxin, Flavoxate may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Flavoxate is combined with Hydromorphone.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Flavoxate may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[V03AB09, dimercaprol, Flavoxate may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Flavoxate is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Flavoxate is combined with Reproterol.]
[S01AX06, resorcinol, Flavoxate may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Flavoxate.]
[N07AA03, distigmine, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Distigmine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
