[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Epirubicin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Epirubicin.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Epirubicin.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Epirubicin.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Epirubicin.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Epirubicin.]
[J02AB02, ketoconazole, The metabolism of Epirubicin can be decreased when combined with Ketoconazole.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Epirubicin is combined with Abatacept.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Epirubicin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Lidocaine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Lomustine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Epirubicin is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mechlorethamine.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Epirubicin.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Epirubicin.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Epirubicin.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Epirubicin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Epirubicin is combined with Melphalan.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Mepivacaine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Epirubicin is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Methotrexate.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Epirubicin.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Methylprednisolone.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Epirubicin.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Epirubicin.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Epirubicin.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Epirubicin is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Epirubicin can be decreased when combined with Eltrombopag.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Epirubicin is combined with Mycophenolic acid.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Epirubicin.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Epirubicin.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Epirubicin.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Epirubicin is combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Epirubicin.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Epirubicin.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Epirubicin.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Epirubicin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Epirubicin is combined with Rilonacept.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Epirubicin.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Epirubicin.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Epirubicin.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Epirubicin.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Epirubicin.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Epirubicin.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Epirubicin.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Epirubicin.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Epirubicin.]
[N03AA02, phenobarbital, The metabolism of Epirubicin can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Epirubicin.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Golimumab.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Epirubicin.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Epirubicin.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Epirubicin is combined with Anastrozole.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Epirubicin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Epirubicin is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Prilocaine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Epirubicin is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Procarbazine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Epirubicin is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Epirubicin.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Epirubicin.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Epirubicin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Epirubicin is combined with Sulfasalazine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Epirubicin is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Epirubicin.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Epirubicin is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Epirubicin.]
[A05AA01, chenodeoxycholic acid, The metabolism of Epirubicin can be decreased when combined with Chenodeoxycholic acid.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Epirubicin is combined with Hydrocortisone butyrate.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Epirubicin is combined with Paclitaxel poliglumex.]
