[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Zidovudine is combined with Antipyrine.]
[J01DD04, ceftriaxone, The excretion of Zidovudine can be decreased when combined with Ceftriaxone.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Zidovudine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[C03AA09, cyclothiazide, The excretion of Zidovudine can be decreased when combined with Cyclothiazide.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Zidovudine.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Zidovudine.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Zidovudine.]
[J01DB03, cephalothin, The excretion of Zidovudine can be decreased when combined with Cefalotin.]
[J01DB09, cephradine, The excretion of Zidovudine can be decreased when combined with Cefradine.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Zidovudine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Zidovudine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The serum concentration of Zidovudine can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Zidovudine can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Zidovudine.]
[N03AX25, cenobamate, The serum concentration of Zidovudine can be decreased when it is combined with Cenobamate.]
[L01EX18, avapritinib, The metabolism of Zidovudine can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Teprotumumab.]
[N05AD10, lumateperone, The metabolism of Lumateperone can be increased when combined with Zidovudine.]
[M01AX21, diacetylrhein, The metabolism of Zidovudine can be decreased when combined with Diacerein.]
[J05AE05, amprenavir, The metabolism of Zidovudine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Zidovudine.]
[N02CC06, eletriptan, The metabolism of Zidovudine can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Zidovudine.]
[C08CA16, clevidipine, The metabolism of Zidovudine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The excretion of Zidovudine can be decreased when combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Zidovudine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Zidovudine.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be decreased when it is combined with Zidovudine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Zidovudine.]
[L01EX17, capmatinib, The serum concentration of Zidovudine can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Droxicam.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Zidovudine can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Zidovudine.]
[M02AA27, dexketoprofen, The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Zidovudine.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Zidovudine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Zidovudine is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Stepronin.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Zidovudine.]
[L04AC19, satralizumab, The serum concentration of Zidovudine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The excretion of Zidovudine can be decreased when combined with Chlorothiazide.]
[A10BB02, chlorpropamide, The excretion of Zidovudine can be decreased when combined with Chlorpropamide.]
[M03BB03, chlorzoxazone, The metabolism of Zidovudine can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, The risk or severity of bleeding can be increased when Zidovudine is combined with Ethenzamide.]
[M01AB08, etodolac, The risk or severity of bleeding can be increased when Zidovudine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of bleeding can be increased when Zidovudine is combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Etofibrate.]
[B06AC06, berotralstat, The metabolism of Zidovudine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Zidovudine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fludarabine.]
[J05AJ04, cabotegravir, The excretion of Zidovudine can be decreased when combined with Cabotegravir.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Zidovudine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Zidovudine can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Zidovudine can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of bleeding can be increased when Zidovudine is combined with Fenbufen.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Zidovudine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Zidovudine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluocinolone acetonide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Zidovudine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Zidovudine.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ponesimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Zidovudine.]
[A02BA01, cimetidine, The excretion of Cimetidine can be decreased when combined with Zidovudine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Zidovudine.]
[J01MB06, cinoxacin, The excretion of Zidovudine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Zidovudine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Zidovudine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Cisplatin.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Zidovudine.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Zidovudine is combined with Belumosudil.]
[P01CA03, fexinidazole, The excretion of Zidovudine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Anifrolumab.]
[M01AG01, mefenamic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Zidovudine can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Zidovudine.]
[N06AX25, St. John's wort extract, The metabolism of Zidovudine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Zidovudine can be decreased when combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Zidovudine.]
[J04BA01, clofazimine, Clofazimine may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Zidovudine.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Zidovudine can be increased when combined with Mitapivat.]
[L01EJ03, pacritinib, The serum concentration of Zidovudine can be increased when it is combined with Pacritinib.]
[C01EB24, mavacamten, The serum concentration of Zidovudine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Zidovudine.]
[J02AC06, oteseconazole, The serum concentration of Zidovudine can be increased when it is combined with Oteseconazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Zidovudine can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Zidovudine.]
[J05AX31, lenacapavir, The metabolism of Lenacapavir can be increased when combined with Zidovudine.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Zidovudine is combined with Clozapine.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Zidovudine can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Zidovudine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Proquazone.]
[R05DA04, codeine, The excretion of Zidovudine can be decreased when combined with Codeine.]
[M04AC01, colchicine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Leflunomide.]
[A10BX03, nateglinide, The excretion of Zidovudine can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of bleeding can be increased when Zidovudine is combined with Imidazole salicylate.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Zidovudine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Zidovudine is combined with Indobufen.]
[J05AB14, valganciclovir, The risk or severity of cytopenia can be increased when Valganciclovir is combined with Zidovudine.]
[M01AH03, valdecoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Valdecoxib.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Zidovudine.]
[M01AH04, parecoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Zidovudine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Zidovudine.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Zidovudine.]
[M01AA06, kebuzone, The risk or severity of bleeding can be increased when Zidovudine is combined with Kebuzone.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be increased when combined with Zidovudine.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Zidovudine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The excretion of Zidovudine can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, The metabolism of Lamotrigine can be increased when combined with Zidovudine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Nafarelin.]
[M01AB09, lonazolac, The risk or severity of bleeding can be increased when Zidovudine is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Zidovudine can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, The risk or severity of bleeding can be increased when Zidovudine is combined with Loxoprofen.]
[C08CA11, manidipine, The metabolism of Zidovudine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Meprednisone.]
[R06AE03, cyclizine, The metabolism of Zidovudine can be decreased when combined with Cyclizine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Zidovudine.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Zidovudine.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Zidovudine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Zidovudine.]
[S01XA18, cyclosporine, Zidovudine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Zidovudine can be decreased when combined with Armodafinil.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be decreased when combined with Zidovudine.]
[M02AA02, mofebutazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of bleeding can be increased when Zidovudine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Zidovudine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Cytarabine.]
[M01AH05, etoricoxib, The risk or severity of bleeding can be increased when Zidovudine is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Zidovudine can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Zidovudine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Daunorubicin.]
[A04AD11, nabilone, The metabolism of Zidovudine can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The risk or severity of bleeding can be increased when Zidovudine is combined with Nabumetone.]
[N06AX06, nefazodone, The metabolism of Zidovudine can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Zidovudine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be increased when combined with Zidovudine.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Zidovudine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Zidovudine.]
[A07EC03, olsalazine, The risk or severity of bleeding can be increased when Zidovudine is combined with Olsalazine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of bleeding can be increased when Zidovudine is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Zidovudine can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Zidovudine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[N06BA02, dextroamphetamine, The metabolism of Zidovudine can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Zidovudine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Zidovudine.]
[N06AB05, paroxetine, The metabolism of Zidovudine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Zidovudine can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Zidovudine.]
[S01BC03, diclofenac, The risk or severity of bleeding can be increased when Zidovudine is combined with Diclofenac.]
[J05AD01, foscarnet, The excretion of Zidovudine can be decreased when combined with Foscarnet.]
[A10BG03, pioglitazone, The metabolism of Zidovudine can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Zidovudine.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Zidovudine which could result in a higher serum level.]
[C08CA03, isradipine, The metabolism of Zidovudine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of bleeding can be increased when Zidovudine is combined with Diflunisal.]
[C10AX09, ezetimibe, The metabolism of Ezetimibe can be increased when combined with Zidovudine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Zidovudine.]
[N02AA03, hydromorphone, The metabolism of Zidovudine can be decreased when combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Zidovudine.]
[J05AE08, atazanavir, The metabolism of Zidovudine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Zidovudine can be decreased when combined with Treprostinil.]
[C08DB01, diltiazem, The metabolism of Zidovudine can be decreased when combined with Diltiazem.]
[N02BB04, propyphenazone, The risk or severity of bleeding can be increased when Zidovudine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of bleeding can be increased when Zidovudine is combined with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Zidovudine.]
[C05CA03, diosmin, The metabolism of Zidovudine can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Zidovudine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Zidovudine.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Zidovudine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Zidovudine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Zidovudine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Zidovudine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Zidovudine is combined with Sirolimus.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Zidovudine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Zidovudine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Zidovudine can be increased when combined with Rifapentine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Zidovudine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Zidovudine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Zidovudine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Zidovudine.]
[S01BC05, ketorolac, The risk or severity of bleeding can be increased when Zidovudine is combined with Ketorolac.]
[N02BA06, salsalate, The risk or severity of bleeding can be increased when Zidovudine is combined with Salsalate.]
[R03AC12, salmeterol, The metabolism of Zidovudine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Zidovudine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Zidovudine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Zidovudine.]
[N06AB06, sertraline, The metabolism of Zidovudine can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Zidovudine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be increased when combined with Zidovudine.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Corticotropin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Zidovudine.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Temozolomide.]
[M01AC02, tenoxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Tenoxicam.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Terbinafine.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Tianeptine.]
[C09AA02, enalapril, The excretion of Zidovudine can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of bleeding can be increased when Zidovudine is combined with Tolfenamic acid.]
[C03CA04, torsemide, The metabolism of Zidovudine can be decreased when combined with Torasemide.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Zidovudine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Zidovudine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Zidovudine.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Zidovudine.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Zidovudine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Zidovudine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Zidovudine can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Zidovudine.]
[N05CF02, zolpidem, The metabolism of Zidovudine can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The risk or severity of bleeding can be increased when Zidovudine is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be increased when combined with Zidovudine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Zidovudine.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Zidovudine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Zidovudine is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Iloprost.]
[N02CA02, ergotamine, The metabolism of Zidovudine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Zidovudine can be decreased when combined with Erythromycin.]
[A02BC02, pantoprazole, The excretion of Zidovudine can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The excretion of Estradiol can be decreased when combined with Zidovudine.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Zidovudine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Zidovudine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be increased when combined with Zidovudine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Zidovudine.]
[M01AC06, meloxicam, The risk or severity of bleeding can be increased when Zidovudine is combined with Meloxicam.]
[L01CB01, etoposide, The metabolism of Etoposide can be increased when combined with Zidovudine.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Zidovudine.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Nizatidine.]
[R06AX12, terfenadine, The metabolism of Zidovudine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Zidovudine.]
[N06AB08, fluvoxamine, The metabolism of Zidovudine can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Zidovudine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Zidovudine.]
[C10AA03, pravastatin, The excretion of Zidovudine can be decreased when combined with Pravastatin.]
[M01CB01, gold sodium thiomalate, The metabolism of Zidovudine can be decreased when combined with Sodium aurothiomalate.]
[A05AA01, chenodeoxycholic acid, The metabolism of Zidovudine can be decreased when combined with Chenodeoxycholic acid.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Zidovudine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Zidovudine.]
[A02BA03, famotidine, The excretion of Famotidine can be decreased when combined with Zidovudine.]
[A16AA01, levocarnitine, The excretion of Levocarnitine can be decreased when combined with Zidovudine.]
[C08CA02, felodipine, The metabolism of Zidovudine can be decreased when combined with Felodipine.]
[M01AE04, fenoprofen, The risk or severity of bleeding can be increased when Zidovudine is combined with Fenoprofen.]
[L03AB02, interferon-beta, The risk or severity of adverse effects can be increased when Human interferon beta is combined with Zidovudine.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Zidovudine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Zidovudine.]
[C01BC04, flecainide, The metabolism of Zidovudine can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The risk or severity of bleeding can be increased when Zidovudine is combined with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Zidovudine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fludrocortisone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Zidovudine.]
[N05CD03, flunitrazepam, The metabolism of Zidovudine can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Zidovudine is combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Zidovudine is combined with Ethanol.]
