[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Palbociclib.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Palbociclib.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Palbociclib.]
[L01XX72, tazemetostat, The metabolism of Palbociclib can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Palbociclib.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Palbociclib.]
[J05AB16, remdesivir, The metabolism of Palbociclib can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Palbociclib can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Palbociclib can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, Palbociclib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, Palbociclib may decrease the excretion rate of Selumetinib which could result in a higher serum level.]
[M01AH02, rofecoxib, The metabolism of Palbociclib can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Palbociclib can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Palbociclib can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Palbociclib can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Palbociclib can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Palbociclib.]
[S03AA08, chloramphenicol, The metabolism of Palbociclib can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Palbociclib.]
[L01EX17, capmatinib, The serum concentration of Palbociclib can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Palbociclib can be increased when combined with Fluprednidene.]
[L01EX19, ripretinib, Palbociclib may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Palbociclib.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Palbociclib is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Palbociclib.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Palbociclib.]
[R06AX22, ebastine, The metabolism of Palbociclib can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, Palbociclib may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Palbociclib.]
[L04AC19, satralizumab, The serum concentration of Palbociclib can be decreased when it is combined with Satralizumab.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Palbociclib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Palbociclib.]
[N05AA01, chlorpromazine, The metabolism of Palbociclib can be increased when combined with Chlorpromazine.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Palbociclib is combined with Choline salicylate.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Palbociclib.]
[A16AX20, lonafarnib, The metabolism of Palbociclib can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Palbociclib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Palbociclib.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Palbociclib is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Palbociclib can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Palbociclib.]
[V03AF12, trilaciclib, Palbociclib may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Palbociclib can be increased when combined with Felbamate.]
[R03BA03, flunisolide, The metabolism of Palbociclib can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Palbociclib can be increased when combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Palbociclib is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ponesimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Palbociclib.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Palbociclib.]
[A02BA01, cimetidine, The absorption of Palbociclib can be decreased when combined with Cimetidine.]
[L01XX73, sotorasib, The serum concentration of Palbociclib can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Palbociclib can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Palbociclib can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Palbociclib.]
[N06AB04, citalopram, The metabolism of Palbociclib can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Palbociclib is combined with Pegcetacoplan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Palbociclib.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Palbociclib is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Palbociclib can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Palbociclib can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Palbociclib can be decreased when it is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Palbociclib can be decreased when combined with Avacopan.]
[N06AX25, St. John's wort extract, The metabolism of Palbociclib can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Palbociclib can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Palbociclib can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Palbociclib.]
[C10AB01, clofibrate, The metabolism of Palbociclib can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Palbociclib can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Palbociclib can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Palbociclib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Palbociclib.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Palbociclib.]
[C01EB24, mavacamten, The serum concentration of Palbociclib can be decreased when it is combined with Mavacamten.]
[J02AC06, oteseconazole, The serum concentration of Palbociclib can be increased when it is combined with Oteseconazole.]
[A02BC08, vonoprazan, The absorption of Palbociclib can be decreased when combined with Vonoprazan.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Deucravacitinib.]
[J05AX31, lenacapavir, The metabolism of Palbociclib can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Palbociclib is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Palbociclib.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Palbociclib can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Palbociclib can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Codeine.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Palbociclib.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Palbociclib is combined with Leflunomide.]
[A02AD04, hydrotalcite, The absorption of Palbociclib can be decreased when combined with Hydrotalcite.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Palbociclib.]
[J01FA15, telithromycin, The metabolism of Palbociclib can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Palbociclib.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Palbociclib.]
[J02AC02, itraconazole, The metabolism of Palbociclib can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Palbociclib.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Palbociclib is combined with Acyclovir.]
[N05BA10, ketazolam, The metabolism of Palbociclib can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Palbociclib can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Palbociclib can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The absorption of Palbociclib can be decreased when combined with Esomeprazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Palbociclib.]
[S01BA03, cortisone, The metabolism of Palbociclib can be increased when combined with Cortisone.]
[A02AD02, magaldrate, The absorption of Palbociclib can be decreased when combined with Magaldrate.]
[A06AD01, magnesium carbonate, The absorption of Palbociclib can be decreased when combined with Magnesium carbonate.]
[C08CA11, manidipine, The metabolism of Palbociclib can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Palbociclib can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Palbociclib can be decreased when combined with Mequitazine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Palbociclib.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Palbociclib.]
[J01FA03, midecamycin, The metabolism of Palbociclib can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Palbociclib.]
[L01AA01, cyclophosphamide, The metabolism of Palbociclib can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Palbociclib may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Palbociclib can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Palbociclib can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Palbociclib can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Palbociclib.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Palbociclib.]
[M01AH05, etoricoxib, The metabolism of Palbociclib can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Palbociclib.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Palbociclib.]
[G03XA01, danazol, The metabolism of Palbociclib can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, The metabolism of Palbociclib can be decreased when combined with Daunorubicin.]
[N06AX06, nefazodone, The metabolism of Palbociclib can be decreased when combined with Nefazodone.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Palbociclib.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Palbociclib.]
[N06AA01, desipramine, The metabolism of Palbociclib can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Palbociclib.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Palbociclib.]
[N03AF02, oxcarbazepine, The metabolism of Palbociclib can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Palbociclib can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Palbociclib can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Palbociclib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Palbociclib.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Cinchocaine.]
[J01CF01, dicloxacillin, The metabolism of Palbociclib can be increased when combined with Dicloxacillin.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Palbociclib.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Palbociclib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Palbociclib is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Palbociclib can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Palbociclib can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Palbociclib can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Palbociclib.]
[C01AA05, digoxin, Palbociclib may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C10AX09, ezetimibe, Palbociclib may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Palbociclib.]
[C04AE04, dihydroergocristine, The metabolism of Palbociclib can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Palbociclib.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Palbociclib.]
[J05AE08, atazanavir, The metabolism of Palbociclib can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Palbociclib can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Palbociclib can be decreased when combined with Dimethyl sulfoxide.]
[C05CA03, diosmin, The metabolism of Palbociclib can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Palbociclib.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Palbociclib.]
[A03FA02, cisapride, The metabolism of Palbociclib can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Palbociclib.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Palbociclib is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Palbociclib can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Palbociclib can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Palbociclib.]
[N07XX02, riluzole, Palbociclib may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Palbociclib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Palbociclib.]
[A04AD12, aprepitant, The metabolism of Palbociclib can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Palbociclib.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Palbociclib.]
[J05AE07, fosamprenavir, The metabolism of Palbociclib can be decreased when combined with Fosamprenavir.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Palbociclib.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Palbociclib.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Palbociclib is combined with Salmeterol.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Dopamine.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Palbociclib.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be increased when it is combined with Palbociclib.]
[B05XA02, sodium bicarbonate, The absorption of Palbociclib can be decreased when combined with Sodium bicarbonate.]
[N02CC01, sumatriptan, Palbociclib may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Palbociclib.]
[H01AA01, corticotropin, The metabolism of Palbociclib can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Palbociclib.]
[D01BA02, terbinafine, The metabolism of Palbociclib can be increased when combined with Terbinafine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Palbociclib.]
[N03AX11, topiramate, The metabolism of Palbociclib can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Toremifene can be increased when it is combined with Palbociclib.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Palbociclib.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Palbociclib.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Palbociclib is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Palbociclib.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Palbociclib.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Palbociclib which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Palbociclib can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Palbociclib can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Palbociclib.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Palbociclib.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Palbociclib.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Palbociclib.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Palbociclib is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Palbociclib.]
[N02CA02, ergotamine, The metabolism of Palbociclib can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Palbociclib can be decreased when combined with Erythromycin.]
[A02BC02, pantoprazole, The absorption of Palbociclib can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Palbociclib.]
[G03CA57, estrogens, conjugated (USP), Palbociclib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Palbociclib can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Palbociclib can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Palbociclib can be increased when combined with Fluticasone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Etidocaine.]
[L01CB01, etoposide, The serum concentration of Etoposide can be increased when it is combined with Palbociclib.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Palbociclib.]
[A02BA04, nizatidine, The absorption of Palbociclib can be decreased when combined with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Palbociclib.]
[R06AX12, terfenadine, The metabolism of Palbociclib can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Palbociclib can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Palbociclib.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Palbociclib which could result in a higher serum level.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Palbociclib.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Palbociclib.]
[A02BA03, famotidine, The absorption of Palbociclib can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Palbociclib can be decreased when combined with Albendazole.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Palbociclib.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Palbociclib.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Palbociclib.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Palbociclib.]
[J01CF05, floxacillin, The metabolism of Palbociclib can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Palbociclib can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Palbociclib.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Palbociclib.]
[D07AC08, fluocinonide, The metabolism of Palbociclib can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Palbociclib can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Palbociclib can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Palbociclib.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Palbociclib.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Palbociclib.]
[N06AB03, fluoxetine, The metabolism of Palbociclib can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Palbociclib.]
[V04CX02, folic acid, Palbociclib may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[J05AE10, darunavir, The serum concentration of Palbociclib can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Palbociclib.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Palbociclib is combined with Ganciclovir.]
[N03AA04, barbexaclone, The metabolism of Palbociclib can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The serum concentration of Dasatinib can be increased when it is combined with Palbociclib.]
[N04BC06, cabergoline, The serum concentration of Cabergoline can be increased when it is combined with Palbociclib.]
[J05AG04, etravirine, The metabolism of Palbociclib can be increased when combined with Etravirine.]
[L01EH01, lapatinib, The metabolism of Palbociclib can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Palbociclib can be decreased when combined with Glyburide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Palbociclib.]
[C02CA04, doxazosin, The metabolism of Palbociclib can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Palbociclib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Palbociclib.]
[D01BA01, griseofulvin, The metabolism of Palbociclib can be increased when combined with Griseofulvin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Palbociclib.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Palbociclib.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Palbociclib.]
[C09CA01, losartan, The metabolism of Palbociclib can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Palbociclib.]
[G03DC01, allylestrenol, The metabolism of Palbociclib can be decreased when combined with Allylestrenol.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Palbociclib.]
[C08CA10, nilvadipine, The metabolism of Palbociclib can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Palbociclib.]
[C02DB02, hydralazine, The metabolism of Palbociclib can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Palbociclib.]
[S02BA01, hydrocortisone, The metabolism of Palbociclib can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Palbociclib.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Palbociclib.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Palbociclib.]
[J04AB04, rifabutin, The metabolism of Palbociclib can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Palbociclib.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Palbociclib.]
[L01AA06, ifosfamide, The metabolism of Palbociclib can be increased when combined with Ifosfamide.]
[N06AA02, imipramine, The serum concentration of Imipramine can be increased when it is combined with Palbociclib.]
[L01CD01, paclitaxel, The metabolism of Palbociclib can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Palbociclib is combined with Tixocortol.]
[L01CE01, topotecan, The serum concentration of Topotecan can be increased when it is combined with Palbociclib.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Palbociclib.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Palbociclib.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Palbociclib.]
[N06AX17, milnacipran, The metabolism of Palbociclib can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Palbociclib.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Articaine.]
[A10BH01, sitagliptin, The serum concentration of Sitagliptin can be increased when it is combined with Palbociclib.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Palbociclib.]
[C10AA06, cerivastatin, The metabolism of Palbociclib can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Palbociclib.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Palbociclib.]
[J04AC01, isoniazid, The metabolism of Palbociclib can be decreased when combined with Isoniazid.]
