[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dolasetron.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Dolasetron can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Dolasetron.]
[A11CC05, cholecalciferol, The metabolism of Dolasetron can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Dolasetron can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Dolasetron can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Dolasetron.]
[P03AX07, abametapir, The serum concentration of Dolasetron can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Felbamate.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Dolasetron.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Dolasetron.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Dolasetron.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Dolasetron is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Dolasetron can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Dolasetron can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Dolasetron.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Dolasetron can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Dolasetron.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Dolasetron is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Clemastine.]
[N06AX25, St. John's wort extract, The metabolism of Dolasetron can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Dolasetron.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Dolasetron.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Dolasetron.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Dolasetron.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Dolasetron.]
[C01EB24, mavacamten, The serum concentration of Dolasetron can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Dolasetron can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Dolasetron can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Cocaine.]
[C02KB01, metyrosine, Dolasetron may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Dolasetron can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Dolasetron.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Dolasetron is combined with Hexafluronium.]
[A03AB10, hexocyclium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Dolasetron is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Dolasetron can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Dolasetron can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Dolasetron.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Dolasetron is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Dolasetron can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Dolasetron can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Dolasetron can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Dolasetron.]
[N03AX09, lamotrigine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Dolasetron.]
[N07BC04, lofexidine, The therapeutic efficacy of Dolasetron can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Lomefloxacin.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Lormetazepam.]
[C08CA11, manidipine, The metabolism of Dolasetron can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Dolasetron.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Dolasetron.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Dolasetron.]
[N04AA03, methixene, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Dolasetron is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Melperone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Dolasetron can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Moclobemide.]
[R06AX02, cyproheptadine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Dolasetron.]
[C03XA02, conivaptan, The metabolism of Dolasetron can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Dolasetron.]
[M01AH05, etoricoxib, The metabolism of Dolasetron can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Dolasetron can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Dolasetron.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Dolasetron.]
[N06AX06, nefazodone, The metabolism of Dolasetron can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Dolasetron.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Escitalopram.]
[G04BD08, solifenacin, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The metabolism of Dolasetron can be decreased when combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Dolasetron.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Dolasetron can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Oxiracetam.]
[N04AA08, dexetimide, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Dolasetron can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Dolasetron can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Dolasetron.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Dolasetron.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Dolasetron.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Dolasetron can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Dolasetron.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Dolasetron.]
[A03AA07, dicyclomine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Dolasetron.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pipamperone.]
[A03AB14, pipenzolate, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Dolasetron.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Dolasetron can be decreased when combined with Isradipine.]
[A03AB11, poldine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Dolasetron.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Dolasetron.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Dolasetron.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Dolasetron.]
[J05AE08, atazanavir, The metabolism of Dolasetron can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Dolasetron.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Dolasetron.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Dolasetron is combined with Pridinol.]
[R06AB03, dimethindene, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Dolasetron can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Progabide.]
[R06AA02, diphenhydramine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Dolasetron.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Dolasetron.]
[S02AA12, rifamycin SV, The metabolism of Dolasetron can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Dolasetron can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Dolasetron.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Dolasetron.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Dolasetron.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Dolasetron.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation and torsade de pointes can be increased when Sunitinib is combined with Dolasetron.]
[A04AD12, aprepitant, The metabolism of Dolasetron can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dolasetron.]
[C01EB18, ranolazine, The serum concentration of Dolasetron can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Dolasetron.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Dolasetron can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Dolasetron can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Dolasetron.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Dolasetron can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Dolasetron.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Dolasetron.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Dolasetron can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Dolasetron.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Dolasetron is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Thiopropazate.]
[G04BD01, emepronium, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Dolasetron.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Dolasetron.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Toremifene.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Dolasetron is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Dolasetron is combined with Triclofos.]
[A03AB08, tridihexethyl, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Dolasetron.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Dolasetron.]
[N04AA12, tropatepine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Dolasetron.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Dolasetron is combined with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Dolasetron.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Dolasetron is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Dolasetron can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Dolasetron.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Dolasetron can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Dolasetron.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Dolasetron can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Dolasetron.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Dolasetron can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Dolasetron can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Dolasetron.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Dolasetron.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Ibutilide.]
[N04AA05, profenamine, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Dolasetron.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Dolasetron.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Dolasetron.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Dolasetron is combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Dolasetron.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Dolasetron.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Dolasetron.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Dolasetron.]
[R06AX12, terfenadine, The metabolism of Dolasetron can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Dolasetron can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Dolasetron can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Dolasetron.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Dolasetron.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Dolasetron.]
[C08CA02, felodipine, The metabolism of Dolasetron can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Dolasetron is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Dolasetron is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Dolasetron.]
[N07AX03, cevimeline, The metabolism of Dolasetron can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Dolasetron.]
[J02AC01, fluconazole, The metabolism of Dolasetron can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Dolasetron is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Dolasetron is combined with Melitracen.]
[V03AZ01, ethanol, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Dolasetron.]
[N06AB03, fluoxetine, The serum concentration of Dolasetron can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Dolasetron.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Dolasetron.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Dolasetron.]
[J05AE10, darunavir, The metabolism of Dolasetron can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Dolasetron is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dolasetron.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Dolasetron is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Dolasetron.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Dolasetron is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Dolasetron is combined with Bifemelane.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Dolasetron.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Dolasetron.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Dolasetron.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Dolasetron is combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Dolasetron.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dolasetron.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Dolasetron is combined with Glutethimide.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Dofetilide.]
