[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cyclobenzaprine.]
[P01CA03, fexinidazole, The metabolism of Cyclobenzaprine can be decreased when combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Cyclobenzaprine can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Cyclobenzaprine can be decreased when combined with Mefenamic acid.]
[J01FF01, clindamycin, Cyclobenzaprine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Cyclobenzaprine.]
[N01BB10, levobupivacaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Cyclobenzaprine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Cyclobenzaprine.]
[C01EB24, mavacamten, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Cyclobenzaprine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Cyclobenzaprine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Cyclobenzaprine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ifenprodil.]
[J01FA15, telithromycin, The metabolism of Cyclobenzaprine can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Desloratadine.]
[N02CC05, almotriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Cyclobenzaprine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Cyclobenzaprine can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levocabastine.]
[N07BC04, lofexidine, The therapeutic efficacy of Cyclobenzaprine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Cyclobenzaprine.]
[N05CD06, lormetazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lormetazepam.]
[A03AA04, mebeverine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Medifoxamine.]
[N04AA03, methixene, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Cyclobenzaprine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Melperone.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Cyclobenzaprine.]
[N06AX07, minaprine, Cyclobenzaprine may increase the serotonergic activities of Minaprine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Cyclobenzaprine.]
[S01XA18, cyclosporine, The metabolism of Cyclobenzaprine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Cyclobenzaprine may increase the serotonergic activities of Moclobemide.]
[N06BA07, modafinil, The metabolism of Cyclobenzaprine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cyproheptadine.]
[C03XA02, conivaptan, The metabolism of Cyclobenzaprine can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Cyclobenzaprine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Cyclobenzaprine.]
[L01AX04, dacarbazine, The metabolism of Cyclobenzaprine can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Cyclobenzaprine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Deanol.]
[A04AD11, nabilone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Cyclobenzaprine can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nordazepam.]
[N06AX06, nefazodone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Cyclobenzaprine.]
[M03AC11, cisatracurium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cisatracurium.]
[R05DA06, normethadone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Escitalopram.]
[G04BD08, solifenacin, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Cyclobenzaprine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxiracetam.]
[N04AA08, dexetimide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Cyclobenzaprine.]
[A03AA01, oxyphencyclimine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Cyclobenzaprine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Cyclobenzaprine.]
[R05DA09, dextromethorphan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Cyclobenzaprine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Cyclobenzaprine.]
[N05BA01, diazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Cyclobenzaprine can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may increase the neurotoxic activities of Cyclobenzaprine.]
[N05AD05, pipamperone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pipamperone.]
[A03AB14, pipenzolate, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Cyclobenzaprine can be decreased when combined with Erlotinib.]
[A08AA03, diethylpropion, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Cyclobenzaprine can be decreased when combined with Isradipine.]
[A03AB11, poldine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C02DB01, dihydralazine, The metabolism of Cyclobenzaprine can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Cyclobenzaprine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Cyclobenzaprine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pridinol.]
[R06AB03, dimethindene, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Cyclobenzaprine.]
[S01HA04, proparacaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Cyclobenzaprine.]
[R06AA02, diphenhydramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Remoxipride.]
[C01BA03, disopyramide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Cyclobenzaprine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Cyclobenzaprine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Rosoxacin.]
[A04AD12, aprepitant, The metabolism of Cyclobenzaprine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Cyclobenzaprine can be decreased when combined with Bortezomib.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Cyclobenzaprine.]
[N06AA16, dothiepin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Cyclobenzaprine.]
[N06AB06, sertraline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Droperidol.]
[A08AA10, sibutramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sibutramine.]
[N05AL02, sultopride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sumatriptan.]
[J01MA05, temafloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Cyclobenzaprine can be decreased when combined with Terbinafine.]
[M03BX07, tetrazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tofisopam.]
[N06AG03, toloxatone, Cyclobenzaprine may increase the serotonergic activities of Toloxatone.]
[N03AX11, topiramate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Topiramate.]
[N05CD11, triazulenone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Triclofos.]
[A03AB08, tridihexethyl, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Enflurane.]
[C02CA06, urapidil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Veralipride.]
[L01CA04, vinorelbine, Vinorelbine may increase the neurotoxic activities of Cyclobenzaprine.]
[S01GX10, epinastine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Cyclobenzaprine can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Cyclobenzaprine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Cyclobenzaprine.]
[G03CA03, estradiol, The metabolism of Cyclobenzaprine can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Cyclobenzaprine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Cyclobenzaprine can be decreased when combined with Ethambutol.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Cyclobenzaprine is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethchlorvynol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Cyclobenzaprine.]
[N04AA05, profenamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethyl chloride.]
[S01XA06, ethylmorphine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Etomidate.]
[L01CB01, etoposide, The metabolism of Cyclobenzaprine can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sertindole.]
[R06AX12, terfenadine, The metabolism of Cyclobenzaprine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Cyclobenzaprine.]
[N06AB08, fluvoxamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Cyclobenzaprine.]
[A02BA03, famotidine, The metabolism of Cyclobenzaprine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Cyclobenzaprine can be increased when combined with Albendazole.]
[N03AX26, fenfluramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fentanyl.]
[G04BD02, flavoxate, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Cyclobenzaprine.]
[J02AC01, fluconazole, The metabolism of Cyclobenzaprine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Melitracen.]
[V03AZ01, ethanol, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Cyclobenzaprine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Flurazepam.]
[N05AG01, fluspirilene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Cyclobenzaprine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Cyclobenzaprine.]
[M03AA01, alcuronium, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alcuronium.]
[G01AX06, furazolidone, Cyclobenzaprine may increase the serotonergic activities of Furazolidone.]
[J05AE10, darunavir, The metabolism of Cyclobenzaprine can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Gallamine.]
[N03AA04, barbexaclone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Cyclobenzaprine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Cyclobenzaprine.]
[N04BC06, cabergoline, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cabergoline.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Cyclobenzaprine.]
[N03AD03, methsuximide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alfentanil.]
[N05CM18, dexmedetomidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Glutethimide.]
[L01EX02, sorafenib, The metabolism of Cyclobenzaprine can be decreased when combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Fluindione.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Haloperidol.]
[N01AB01, halothane, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Halothane.]
[N05AH04, quetiapine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Cyclobenzaprine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Cyclobenzaprine can be decreased when combined with Nilvadipine.]
[R05DA03, hydrocodone, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Cyclobenzaprine.]
[B05CB02, sodium citrate, Cyclobenzaprine may increase the neurotoxic activities of Sodium citrate.]
[H01AC02, somatrem, The metabolism of Cyclobenzaprine can be increased when combined with Somatrem.]
[N01AH03, sufentanil, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sufentanil.]
[N06AA02, imipramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Imipramine.]
[L01CD01, paclitaxel, Cyclobenzaprine may increase the neurotoxic activities of Paclitaxel.]
[M03BX02, tizanidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tizanidine.]
[L03AB04, interferon alfa-2a, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Milnacipran.]
[A03AA30, piperidolate, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Articaine.]
[N05BA12, alprazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alprazolam.]
[N05CH02, ramelteon, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ramelteon.]
[R06AE01, buclizine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[L01XX35, anagrelide, The metabolism of Cyclobenzaprine can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The metabolism of Cyclobenzaprine can be decreased when combined with Interferon alfacon-1.]
[J05AF04, stavudine, Stavudine may increase the neurotoxic activities of Cyclobenzaprine.]
[N06AA13, iprindole, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Iprindole.]
