[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Empagliflozin.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Empagliflozin.]
[S01EA01, epinephrine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Epinephrine.]
[C09AA15, zofenopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Zofenopril.]
[N03AX15, zonisamide, Empagliflozin may increase the diuretic activities of Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin glulisine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Empagliflozin.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Empagliflozin.]
[G03CA03, estradiol, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Estradiol.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Empagliflozin.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Empagliflozin.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Empagliflozin.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Amifostine is combined with Empagliflozin.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Empagliflozin.]
[L04AD02, tacrolimus, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Fleroxacin.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Empagliflozin.]
[L02AE02, leuprolide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Leuprolide.]
[C08CA02, felodipine, The risk or severity of hypoglycemia can be increased when Felodipine is combined with Empagliflozin.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Empagliflozin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Empagliflozin.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Empagliflozin.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Empagliflozin.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Empagliflozin.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Empagliflozin.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Empagliflozin.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Empagliflozin.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Empagliflozin.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Empagliflozin.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Empagliflozin.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Empagliflozin.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Empagliflozin.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Empagliflozin.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Empagliflozin.]
[J05AE10, darunavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, Empagliflozin may increase the diuretic activities of Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Empagliflozin.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Empagliflozin.]
[A10BJ02, liraglutide, Empagliflozin may increase the hypoglycemic activities of Liraglutide.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Empagliflozin.]
[A10BB01, glyburide, Empagliflozin may increase the hypoglycemic activities of Glyburide.]
[A10BB09, gliclazide, Empagliflozin may increase the hypoglycemic activities of Gliclazide.]
[A10BB07, glipizide, Empagliflozin may increase the hypoglycemic activities of Glipizide.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Empagliflozin.]
[C05AE01, nitroglycerin, The risk or severity of adverse effects can be increased when Nitroglycerin is combined with Empagliflozin.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Empagliflozin.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Empagliflozin.]
[C07AB09, esmolol, The risk or severity of adverse effects can be increased when Esmolol is combined with Empagliflozin.]
[C09AA09, fosinopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Fosinopril.]
[S01EX01, guanethidine, Empagliflozin may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Empagliflozin.]
[N05AD01, haloperidol, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Haloperidol.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Empagliflozin.]
[L02AE05, histrelin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Histrelin.]
[S01FB03, ibopamine, Empagliflozin may increase the diuretic activities of Ibopamine.]
[N05AH04, quetiapine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin aspart.]
[C09CA01, losartan, The risk or severity of adverse effects can be increased when Losartan is combined with Empagliflozin.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Empagliflozin.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Empagliflozin.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Empagliflozin.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Empagliflozin.]
[C09AA04, perindopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Perindopril.]
[C02DB02, hydralazine, The risk or severity of adverse effects can be increased when Hydralazine is combined with Empagliflozin.]
[C03AA03, hydrochlorothiazide, Empagliflozin may increase the diuretic activities of Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Empagliflozin.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Empagliflozin.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Empagliflozin.]
[C03AA02, hydroflumethiazide, Empagliflozin may increase the diuretic activities of Hydroflumethiazide.]
[A12BA02, potassium citrate, Empagliflozin may increase the diuretic activities of Potassium citrate.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Hydroxychloroquine.]
[C02AC06, rilmenidine, Empagliflozin may increase the hypotensive activities of Rilmenidine.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Empagliflozin.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Empagliflozin.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Empagliflozin.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Empagliflozin.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Empagliflozin.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Empagliflozin.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Empagliflozin.]
[C03BA11, indapamide, Empagliflozin may increase the diuretic activities of Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Empagliflozin.]
[C02CA02, indoramin, The risk or severity of adverse effects can be increased when Indoramin is combined with Empagliflozin.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Empagliflozin.]
[N01BB08, articaine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, Empagliflozin may increase the hypoglycemic activities of Sitagliptin.]
[A10BH02, vildagliptin, Empagliflozin may increase the hypoglycemic activities of Vildagliptin.]
[C07AA01, alprenolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, Empagliflozin may increase the diuretic activities of Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Empagliflozin.]
[N06AF05, iproniazid, Iproniazid may increase the orthostatic hypotensive activities of Empagliflozin.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the orthostatic hypotensive activities of Empagliflozin.]
[S01EC03, dorzolamide, Empagliflozin may increase the diuretic activities of Dorzolamide.]
[C09AA16, imidapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Imidapril.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Empagliflozin.]
[J04AC01, isoniazid, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, Empagliflozin may increase the hypoglycemic activities of Exenatide.]
[C01DA14, isosorbide mononitrate, The risk or severity of adverse effects can be increased when Isosorbide mononitrate is combined with Empagliflozin.]
[C05AE02, isosorbide dinitrate, The risk or severity of adverse effects can be increased when Isosorbide dinitrate is combined with Empagliflozin.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Isoxsuprine is combined with Empagliflozin.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Empagliflozin.]
[C02KD01, ketanserin, Empagliflozin may increase the hypotensive activities of Ketanserin.]
[N05AH03, olanzapine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Olanzapine.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Empagliflozin is combined with Ketotifen.]
[N04BC09, rotigotine, The risk or severity of adverse effects can be increased when Rotigotine is combined with Empagliflozin.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Empagliflozin.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Labetalol.]
[C02AA05, deserpidine, Empagliflozin may increase the hypotensive activities of Deserpidine.]
[C03CC01, ethacrynic acid, Empagliflozin may increase the diuretic activities of Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Levonorgestrel.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Empagliflozin is combined with Levodopa.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Empagliflozin.]
[C03DB01, amiloride, Empagliflozin may increase the diuretic activities of Amiloride.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Empagliflozin.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Empagliflozin.]
[L01EG01, temsirolimus, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Empagliflozin.]
[L01EA03, nilotinib, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Nilotinib.]
[V04CX04, mannitol, Empagliflozin may increase the diuretic activities of Mannitol.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Empagliflozin.]
[C03BA05, mefruside, Empagliflozin may increase the diuretic activities of Mefruside.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the hypotensive activities of Empagliflozin.]
[C03BC01, mersalyl, Empagliflozin may increase the diuretic activities of Mersalyl.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Empagliflozin.]
[N05AX13, paliperidone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Lanreotide.]
[S01EC05, methazolamide, Empagliflozin may increase the diuretic activities of Methazolamide.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Empagliflozin.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Empagliflozin.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, Empagliflozin may increase the diuretic activities of Methyclothiazide.]
[C02AB01, methyldopa, The risk or severity of adverse effects can be increased when Methyldopa is combined with Empagliflozin.]
[V04CG05, methylene blue, Methylene blue may increase the orthostatic hypotensive activities of Empagliflozin.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Empagliflozin.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Empagliflozin.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Empagliflozin.]
[C03BA08, metolazone, Empagliflozin may increase the diuretic activities of Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Metoprolol.]
[G03XB01, mifepristone, Empagliflozin may increase the hypoglycemic activities of Mifepristone.]
[C09CA03, valsartan, The risk or severity of adverse effects can be increased when Valsartan is combined with Empagliflozin.]
[D11AX01, minoxidil, The risk or severity of adverse effects can be increased when Minoxidil is combined with Empagliflozin.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Empagliflozin.]
[C01BD01, amiodarone, The risk or severity of hypoglycemia can be increased when Amiodarone is combined with Empagliflozin.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Empagliflozin.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Empagliflozin.]
[N05CA02, amobarbital, Amobarbital may increase the hypotensive activities of Empagliflozin.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Empagliflozin.]
[C07AA12, nadolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Empagliflozin.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Empagliflozin.]
[A10BG01, troglitazone, Empagliflozin may increase the hypoglycemic activities of Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Empagliflozin is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Empagliflozin.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Empagliflozin.]
[A10BX02, repaglinide, Empagliflozin may increase the hypoglycemic activities of Repaglinide.]
[C01CX08, levosimendan, The risk or severity of adverse effects can be increased when Levosimendan is combined with Empagliflozin.]
[N05AX14, iloperidone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Iloperidone.]
[J02AA01, amphotericin B, The risk or severity of adverse effects can be increased when Amphotericin B is combined with Empagliflozin.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Empagliflozin.]
[C09CA07, telmisartan, The risk or severity of adverse effects can be increased when Telmisartan is combined with Empagliflozin.]
[C10AD02, niacin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the orthostatic hypotensive activities of Empagliflozin.]
[C08CA04, nicardipine, The risk or severity of hypoglycemia can be increased when Nicardipine is combined with Empagliflozin.]
[C08CA05, nifedipine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Empagliflozin.]
[V03AB22, amyl nitrite, The risk or severity of adverse effects can be increased when Amyl Nitrite is combined with Empagliflozin.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Empagliflozin.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Empagliflozin.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Empagliflozin.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Nitric Oxide is combined with Empagliflozin.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Pramipexole is combined with Empagliflozin.]
[C02DD01, nitroprusside, The risk or severity of adverse effects can be increased when Nitroprusside is combined with Empagliflozin.]
[G03DC02, norethindrone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Empagliflozin.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Empagliflozin.]
[H01CB02, octreotide, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Ofloxacin.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Empagliflozin.]
[G04CA02, tamsulosin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Empagliflozin.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Empagliflozin.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Empagliflozin.]
[N05AH05, asenapine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Asenapine.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Papaverine is combined with Empagliflozin.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Empagliflozin.]
[C02KC01, pargyline, Pargyline may increase the orthostatic hypotensive activities of Empagliflozin.]
[J01MA03, pefloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Empagliflozin.]
[N05CA01, pentobarbital, Pentobarbital may increase the hypotensive activities of Empagliflozin.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Empagliflozin.]
[N06AF03, phenelzine, Phenelzine may increase the orthostatic hypotensive activities of Empagliflozin.]
[A10BA01, phenformin, Empagliflozin may increase the hypoglycemic activities of Phenformin.]
[N03AA02, phenobarbital, Phenobarbital may increase the hypotensive activities of Empagliflozin.]
[C04AX02, phenoxybenzamine, The risk or severity of adverse effects can be increased when Phenoxybenzamine is combined with Empagliflozin.]
[A08AA01, phentermine, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Phentermine.]
[V03AB36, phentolamine, The risk or severity of adverse effects can be increased when Phentolamine is combined with Empagliflozin.]
[N03AB02, phenytoin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Phenytoin.]
[S01AE05, levofloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Empagliflozin.]
[C07AA03, pindolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Pindolol.]
[J05AE01, saquinavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Pipotiazine.]
[C09CA02, eprosartan, The risk or severity of adverse effects can be increased when Eprosartan is combined with Empagliflozin.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Grepafloxacin.]
[C09CA04, irbesartan, The risk or severity of adverse effects can be increased when Irbesartan is combined with Empagliflozin.]
[A10BG02, rosiglitazone, Empagliflozin may increase the hypoglycemic activities of Rosiglitazone.]
[C03AA05, polythiazide, Empagliflozin may increase the diuretic activities of Polythiazide.]
[J05AE03, ritonavir, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Ritonavir.]
[A10BH03, saxagliptin, Empagliflozin may increase the hypoglycemic activities of Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of hypoglycemia can be increased when Empagliflozin is combined with Insulin lispro.]
[C07AB01, practolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Practolol.]
[C02CA01, prazosin, The risk or severity of adverse effects can be increased when Prazosin is combined with Empagliflozin.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Empagliflozin.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Empagliflozin.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Empagliflozin.]
[N03AA03, primidone, Primidone may increase the hypotensive activities of Empagliflozin.]
[M04AB01, probenecid, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Probenecid.]
[S01HA05, procaine, Procaine may increase the orthostatic hypotensive activities of Empagliflozin.]
[L01XB01, procarbazine, Procarbazine may increase the orthostatic hypotensive activities of Empagliflozin.]
[G03DA04, progesterone, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Progesterone.]
[C01BC03, propafenone, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Propafenone.]
[N01AX10, propofol, The risk or severity of adverse effects can be increased when Propofol is combined with Empagliflozin.]
[C07AA05, propranolol, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Propranolol.]
[B01AC09, epoprostenol, The risk or severity of adverse effects can be increased when Epoprostenol is combined with Empagliflozin.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Empagliflozin.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Aripiprazole.]
[P01BC01, quinine, Empagliflozin may increase the hypoglycemic activities of Quinine.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Empagliflozin.]
[C02AA01, rescinnamine, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Empagliflozin is combined with Rescinnamine.]
[C02AA02, reserpine, The risk or severity of adverse effects can be increased when Reserpine is combined with Empagliflozin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Empagliflozin.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Empagliflozin.]
[N05CA06, secobarbital, Secobarbital may increase the hypotensive activities of Empagliflozin.]
[N04BD01, selegiline, Selegiline may increase the orthostatic hypotensive activities of Empagliflozin.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Obinutuzumab is combined with Empagliflozin.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Empagliflozin.]
[C03DA01, spironolactone, Empagliflozin may increase the diuretic activities of Spironolactone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of hyperglycemia can be increased when Hydrocortisone butyrate is combined with Empagliflozin.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A14AA02, stanozolol, Stanozolol may increase the hypoglycemic activities of Metformin.]
[J01GA01, streptomycin, Metformin may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Metformin may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Metformin may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The risk or severity of hypoglycemia can be increased when Sulfadiazine is combined with Metformin.]
[J01ED01, sulfadimethoxine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfadimethoxine.]
[A07AB03, sulfaguanidine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfaguanidine.]
[J01ED02, sulfalene, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfametopyrazine.]
[J01ED07, sulfamerazine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfamerazine.]
[J01EB03, sulfamethazine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfamethazine.]
[S01AB01, sulfamethizole, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of hypoglycemia can be increased when Sulfamethoxazole is combined with Metformin.]
[J01ED05, sulfamethoxypyridazine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfamethoxypyridazine.]
[J01EC03, sulfamoxole, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfamoxole.]
[J01EB04, sulfapyridine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfapyridine.]
[J01EB01, sulfisomidine, The therapeutic efficacy of Metformin can be increased when used in combination with Sulfaisodimidine.]
[S01AB02, sulfisoxazole, The risk or severity of hypoglycemia can be increased when Sulfisoxazole is combined with Metformin.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Metformin which could result in a higher serum level.]
[A10BB04, glibornuride, The risk or severity of hypoglycemia can be increased when Metformin is combined with Glibornuride.]
[A10BC01, glymidine, The therapeutic efficacy of Metformin can be increased when used in combination with Glymidine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Metformin which could result in a higher serum level.]
[R03CC03, terbutaline, Metformin may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Metformin may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may increase the hypoglycemic activities of Metformin.]
[S03AA02, tetracycline, Metformin may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Metformin which could result in a higher serum level.]
[N05AE05, lurasidone, The therapeutic efficacy of Metformin can be decreased when used in combination with Lurasidone.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Metformin which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Metformin may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[A11DA01, thiamine, The serum concentration of Metformin can be increased when it is combined with Thiamine.]
[R06AD03, thiethylperazine, Metformin may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[G04BE06, moxisylyte, Metformin may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Metformin may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Metformin which could result in a higher serum level.]
