[P02BB01, trichlorfon, The therapeutic efficacy of Biperiden can be decreased when used in combination with Metrifonate.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Biperiden.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Biperiden.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AD03, metylperon, The therapeutic efficacy of Biperiden can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Biperiden.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Biperiden is combined with Cyclopentolate.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Moxonidine.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Biperiden.]
[A04AD11, nabilone, The risk or severity of Tachycardia and drowsiness can be increased when Biperiden is combined with Nabilone.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Biperiden.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Biperiden is combined with Normethadone.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Biperiden.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Biperiden.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Biperiden is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Biperiden is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Biperiden.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Biperiden.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Biperiden.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Biperiden.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Biperiden is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Biperiden is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Biperiden.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Biperiden is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Biperiden.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Biperiden is combined with Poldine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Biperiden is combined with Hydromorphone.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Biperiden.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Biperiden is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Procaterol.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Biperiden is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Biperiden.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Biperiden.]
[N07AA03, distigmine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Distigmine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AX08, risperidone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Biperiden.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Biperiden.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Biperiden.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Biperiden.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Biperiden.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AD08, droperidol, The therapeutic efficacy of Biperiden can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Biperiden.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Biperiden.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Biperiden.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V04CX07, edrophonium, The therapeutic efficacy of Biperiden can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Biperiden.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Biperiden.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Biperiden.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Biperiden is combined with Topiramate.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Tramazoline.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Biperiden.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Biperiden is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Xylometazoline.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Biperiden.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AX11, zotepine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Zotepine.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Biperiden.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Biperiden.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Biperiden is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AE03, sertindole, The therapeutic efficacy of Biperiden can be decreased when used in combination with Sertindole.]
[A02BA04, nizatidine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Biperiden.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Biperiden.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Biperiden.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Biperiden.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Biperiden is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Biperiden is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Biperiden is combined with Salbutamol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Biperiden.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Biperiden is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Biperiden.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[V03AZ01, ethanol, Ethanol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AF01, flupenthixol, The therapeutic efficacy of Biperiden can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Biperiden is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AL05, amisulpride, The therapeutic efficacy of Biperiden can be decreased when used in combination with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Biperiden.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Biperiden is combined with Alfentanil.]
[H04AA01, glucagon, Biperiden may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Biperiden.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Biperiden.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Biperiden.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Biperiden.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AH04, quetiapine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Quetiapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Biperiden.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Biperiden.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Biperiden is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Biperiden.]
[C03AA03, hydrochlorothiazide, The serum concentration of Hydrochlorothiazide can be increased when it is combined with Biperiden.]
[R05DA03, hydrocodone, The risk or severity of adverse effects can be increased when Biperiden is combined with Hydrocodone.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Biperiden.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Biperiden is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Biperiden.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Rilmenidine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Biperiden.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Biperiden.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Biperiden is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Biperiden.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C03BA11, indapamide, The serum concentration of Indapamide can be increased when it is combined with Biperiden.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Biperiden is combined with Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Buclizine is combined with Biperiden.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Anagrelide is combined with Biperiden.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Biperiden.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Biperiden.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Isoetharine is combined with Biperiden.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[S01EB07, isoflurophate, The therapeutic efficacy of Biperiden can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CB01, isoproterenol, The therapeutic efficacy of Biperiden can be decreased when used in combination with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AH03, olanzapine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Olanzapine.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Biperiden.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Biperiden is combined with Amantadine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Biperiden.]
[N07AA30, ambenonium, The therapeutic efficacy of Biperiden can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Biperiden.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Biperiden.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AH01, loxapine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Loxapine.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Biperiden.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Biperiden.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Mecamylamine is combined with Biperiden.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Biperiden.]
[P01BC02, mefloquine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06DX01, memantine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Biperiden is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Biperiden is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Biperiden is combined with Meptazinol.]
[N05AC03, mesoridazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Mesoridazine.]
[N05AX13, paliperidone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Paliperidone.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Metaraminol is combined with Biperiden.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Biperiden is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Biperiden is combined with Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Methotrimeprazine.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Methoxamine is combined with Biperiden.]
