[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Diethylstilbestrol.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Diethylstilbestrol.]
[P02BX04, triclabendazole, The metabolism of Diethylstilbestrol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Diethylstilbestrol can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Diethylstilbestrol.]
[J01FA09, clarithromycin, The metabolism of Diethylstilbestrol can be decreased when combined with Clarithromycin.]
[N06AX29, brexanolone, The metabolism of Diethylstilbestrol can be increased when combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Diethylstilbestrol.]
[M05BX06, romosozumab, Diethylstilbestrol may increase the thrombogenic activities of Romosozumab.]
[N05BA09, clobazam, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Clobazam.]
[J01AA11, clomocycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Clomocycline.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Diethylstilbestrol.]
[C09CA06, candesartan, The metabolism of Diethylstilbestrol can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Diethylstilbestrol can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Diethylstilbestrol.]
[L04AC18, risankizumab, Diethylstilbestrol may increase the thrombogenic activities of Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Diethylstilbestrol.]
[L01FX14, polatuzumab vedotin, Diethylstilbestrol may increase the thrombogenic activities of Polatuzumab vedotin.]
[J01DC04, cefaclor, Diethylstilbestrol may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L02BB06, darolutamide, Diethylstilbestrol may decrease the excretion rate of Darolutamide which could result in a higher serum level.]
[J01CF03, methicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Meticillin.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Diethylstilbestrol.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Diethylstilbestrol.]
[N07XX11, pitolisant, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Diethylstilbestrol.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Diethylstilbestrol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Diethylstilbestrol.]
[S01LA06, brolucizumab, Diethylstilbestrol may increase the thrombogenic activities of Brolucizumab.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Diethylstilbestrol.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Diethylstilbestrol.]
[J01DB09, cephradine, The metabolism of Diethylstilbestrol can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Diethylstilbestrol.]
[L01FD01, trastuzumab, Diethylstilbestrol may increase the thrombogenic activities of Trastuzumab.]
[L01FD04, trastuzumab deruxtecan, Diethylstilbestrol may increase the thrombogenic activities of Trastuzumab deruxtecan.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Diethylstilbestrol.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Diethylstilbestrol.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Diethylstilbestrol.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Diethylstilbestrol.]
[N03AX25, cenobamate, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Diethylstilbestrol.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Diethylstilbestrol.]
[L01XX72, tazemetostat, Diethylstilbestrol may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[L01FC02, isatuximab, Diethylstilbestrol may increase the thrombogenic activities of Isatuximab.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Diethylstilbestrol.]
[N02CD05, eptinezumab, Diethylstilbestrol may increase the thrombogenic activities of Eptinezumab.]
[J05AE05, amprenavir, The metabolism of Diethylstilbestrol can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, Diethylstilbestrol may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Diethylstilbestrol.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Diethylstilbestrol.]
[M01AH02, rofecoxib, The metabolism of Diethylstilbestrol can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Diethylstilbestrol can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Diethylstilbestrol.]
[N03AG02, dipropylacetamide, The metabolism of Diethylstilbestrol can be increased when combined with Valpromide.]
[L01FX17, sacituzumab govitecan, Diethylstilbestrol may increase the thrombogenic activities of Sacituzumab govitecan.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Diethylstilbestrol.]
[N04BX04, opicapone, The metabolism of Diethylstilbestrol can be decreased when combined with Opicapone.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Diethylstilbestrol.]
[L01EX19, ripretinib, Diethylstilbestrol may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Diethylstilbestrol can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, Diethylstilbestrol may decrease the anticoagulant activities of Lepirudin.]
[N05CM02, chlormethiazole, The metabolism of Diethylstilbestrol can be increased when combined with Clomethiazole.]
[L04AA47, inebilizumab, Diethylstilbestrol may increase the thrombogenic activities of Inebilizumab.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Diethylstilbestrol.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Diethylstilbestrol.]
[J05AX29, fostemsavir, Diethylstilbestrol may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Diethylstilbestrol.]
[L01FX12, tafasitamab, Diethylstilbestrol may increase the thrombogenic activities of Tafasitamab.]
[L01FX15, belantamab mafodotin, Diethylstilbestrol may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Diethylstilbestrol.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Diethylstilbestrol.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Diethylstilbestrol.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Diethylstilbestrol.]
[N06BX18, vinpocetine, The metabolism of Diethylstilbestrol can be increased when combined with Vinpocetine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Diethylstilbestrol.]
[M02AA06, etofenamate, The therapeutic efficacy of Etofenamate can be decreased when used in combination with Diethylstilbestrol.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Diethylstilbestrol.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Diethylstilbestrol.]
[J06BD04, ansuvimab, Diethylstilbestrol may increase the thrombogenic activities of Ansuvimab.]
[L01FD06, margetuximab, Diethylstilbestrol may increase the thrombogenic activities of Margetuximab.]
[P03AX07, abametapir, The serum concentration of Diethylstilbestrol can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, Diethylstilbestrol may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Diethylstilbestrol can be increased when combined with Felbamate.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Diethylstilbestrol.]
[S01JA01, fluorescein, Diethylstilbestrol may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Diethylstilbestrol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Diethylstilbestrol.]
[S01LA08, bevacizumab, Diethylstilbestrol may increase the thrombogenic activities of Bevacizumab.]
[L01FF07, dostarlimab, Diethylstilbestrol may increase the thrombogenic activities of Dostarlimab.]
[L01FX22, loncastuximab tesirine, Diethylstilbestrol may increase the thrombogenic activities of Loncastuximab tesirine.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N02BF01, gabapentin, The metabolism of Diethylstilbestrol can be increased when combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Diethylstilbestrol.]
[L01FX18, amivantamab, Diethylstilbestrol may increase the thrombogenic activities of Amivantamab.]
[L01XX73, sotorasib, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Diethylstilbestrol.]
[J06BD05, sotrovimab, Diethylstilbestrol may increase the thrombogenic activities of Sotrovimab.]
[S03AA07, ciprofloxacin, The metabolism of Diethylstilbestrol can be decreased when combined with Ciprofloxacin.]
[N06DX03, aducanumab, Diethylstilbestrol may increase the thrombogenic activities of Aducanumab.]
[H01AC07, somapacitan, The therapeutic efficacy of Somapacitan can be decreased when used in combination with Diethylstilbestrol.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Diethylstilbestrol.]
[L04AA51, anifrolumab, Diethylstilbestrol may increase the thrombogenic activities of Anifrolumab.]
[L01XX74, belzutifan, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Belzutifan.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Lonapegsomatropin can be decreased when used in combination with Diethylstilbestrol.]
[L01EB10, mobocertinib, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, Diethylstilbestrol may increase the thrombogenic activities of Tisotumab vedotin.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Diethylstilbestrol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Diethylstilbestrol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Diethylstilbestrol.]
[N06AX25, St. John's wort extract, The metabolism of Diethylstilbestrol can be increased when combined with St. John's Wort.]
[L02BG06, exemestane, The therapeutic efficacy of Exemestane can be decreased when used in combination with Diethylstilbestrol.]
[R03DX11, tezepelumab, Diethylstilbestrol may increase the thrombogenic activities of Tezepelumab.]
[D11AH07, tralokinumab, Diethylstilbestrol may increase the thrombogenic activities of Tralokinumab.]
[L04AA55, sutimlimab, Diethylstilbestrol may increase the thrombogenic activities of Sutimlimab.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Diethylstilbestrol.]
[B01AD11, tenecteplase, Diethylstilbestrol may decrease the anticoagulant activities of Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Diethylstilbestrol can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Diethylstilbestrol can be increased when combined with Mitapivat.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Diethylstilbestrol.]
[N03AE01, clonazepam, The metabolism of Diethylstilbestrol can be increased when combined with Clonazepam.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Diethylstilbestrol.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Diethylstilbestrol.]
[C01EB24, mavacamten, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Mavacamten.]
[L04AC22, spesolimab, Diethylstilbestrol may increase the thrombogenic activities of Spesolimab.]
[A05BA08, glycyrrhizic acid, Diethylstilbestrol may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[L01FX20, tremelimumab, Diethylstilbestrol may increase the thrombogenic activities of Tremelimumab.]
[H01CC04, linzagolix, The serum concentration of Diethylstilbestrol can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Diethylstilbestrol.]
[J01CF02, cloxacillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Diethylstilbestrol can be decreased when combined with Clozapine.]
[L04AA57, ublituximab, Diethylstilbestrol may increase the thrombogenic activities of Ublituximab.]
[L01FE02, panitumumab, Diethylstilbestrol may increase the thrombogenic activities of Panitumumab.]
[H01AC08, somatrogon, The metabolism of Diethylstilbestrol can be increased when combined with Somatrogon.]
[M09AX11, palovarotene, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Palovarotene.]
[L04AC21, bimekizumab, The metabolism of Diethylstilbestrol can be increased when combined with Bimekizumab.]
[J06BB04, hepatitis B immune globulin, Diethylstilbestrol may increase the thrombogenic activities of Hepatitis B immune globulin.]
[J01CA18, hetacillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Hetacillin.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Diethylstilbestrol.]
[L04AA13, leflunomide, Diethylstilbestrol may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C04AX28, ifenprodil, The metabolism of Diethylstilbestrol can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Diethylstilbestrol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Diethylstilbestrol.]
[J01FA15, telithromycin, The metabolism of Diethylstilbestrol can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Diethylstilbestrol.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Diethylstilbestrol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Diethylstilbestrol.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Diethylstilbestrol.]
[J02AC02, itraconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, Diethylstilbestrol may decrease the anticoagulant activities of Bemiparin.]
[L01EA01, imatinib, Diethylstilbestrol may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[J02AC04, posaconazole, The metabolism of Diethylstilbestrol can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Diethylstilbestrol may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Diethylstilbestrol.]
[R06AX13, loratadine, The metabolism of Diethylstilbestrol can be decreased when combined with Loratadine.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Diethylstilbestrol.]
[J01CA14, methampicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Metampicillin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Diethylstilbestrol.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Diethylstilbestrol.]
[N06BA07, modafinil, The metabolism of Diethylstilbestrol can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, Diethylstilbestrol may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Diethylstilbestrol can be decreased when combined with Conivaptan.]
[R03DX05, omalizumab, Diethylstilbestrol may increase the thrombogenic activities of Omalizumab.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Diethylstilbestrol.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Diethylstilbestrol.]
[L01DA01, dactinomycin, Diethylstilbestrol may decrease the excretion rate of Dactinomycin which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Diethylstilbestrol can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Diethylstilbestrol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Diethylstilbestrol.]
[L01DB02, daunorubicin, Diethylstilbestrol may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[G03XX01, prasterone, The risk or severity of adverse effects can be increased when Prasterone is combined with Diethylstilbestrol.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Diethylstilbestrol.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Diethylstilbestrol.]
[J01AA01, demeclocycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Demeclocycline.]
[N06AX06, nefazodone, The metabolism of Diethylstilbestrol can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Diethylstilbestrol can be decreased when combined with Nilutamide.]
[L01FE01, cetuximab, Diethylstilbestrol may increase the thrombogenic activities of Cetuximab.]
[N03AG06, tiagabine, The metabolism of Diethylstilbestrol can be increased when combined with Tiagabine.]
[B01AX05, fondaparinux, Diethylstilbestrol may decrease the anticoagulant activities of Fondaparinux.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Diethylstilbestrol.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Diethylstilbestrol.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Diethylstilbestrol.]
[L01XA03, oxaliplatin, Diethylstilbestrol may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The metabolism of Diethylstilbestrol can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Diethylstilbestrol.]
[G04BD04, oxybutynin, The metabolism of Diethylstilbestrol can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Diethylstilbestrol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Diethylstilbestrol may decrease the excretion rate of Gefitinib which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Diethylstilbestrol.]
[N03AC01, paramethadione, The metabolism of Diethylstilbestrol can be increased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Diethylstilbestrol can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Diethylstilbestrol can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Diethylstilbestrol can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Pheneticillin.]
[N03AD02, phensuximide, The metabolism of Diethylstilbestrol can be increased when combined with Phensuximide.]
[N06AA08, dibenzepin, The serum concentration of Dibenzepin can be increased when it is combined with Diethylstilbestrol.]
[S01BC03, diclofenac, Diethylstilbestrol may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J01CF01, dicloxacillin, The metabolism of Diethylstilbestrol can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The metabolism of Diethylstilbestrol can be decreased when combined with Pioglitazone.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Diethylstilbestrol.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Diethylstilbestrol.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, Diethylstilbestrol may increase the thrombogenic activities of Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Diethylstilbestrol.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Diethylstilbestrol can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Diethylstilbestrol.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Diethylstilbestrol.]
[C01AA05, digoxin, Diethylstilbestrol may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C10AX09, ezetimibe, Diethylstilbestrol may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Diethylstilbestrol may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Diethylstilbestrol.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Diethylstilbestrol.]
[L04AX04, lenalidomide, Diethylstilbestrol may increase the thrombogenic activities of Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Diethylstilbestrol can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Diethylstilbestrol.]
[C08DB01, diltiazem, The metabolism of Diethylstilbestrol can be decreased when combined with Diltiazem.]
[N03AG05, progabide, The metabolism of Diethylstilbestrol can be increased when combined with Progabide.]
[J01CE03, propicillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Propicillin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Diethylstilbestrol.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Diethylstilbestrol.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Diethylstilbestrol.]
[B01AC07, dipyridamole, Diethylstilbestrol may decrease the anticoagulant activities of Dipyridamole.]
[B01AD10, drotrecogin alfa, Diethylstilbestrol may decrease the anticoagulant activities of Drotrecogin alfa.]
[N06AA23, quinupramine, The serum concentration of Quinupramine can be increased when it is combined with Diethylstilbestrol.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Diethylstilbestrol.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Diethylstilbestrol.]
[J06BB01, Rho(D) immune globulin, Diethylstilbestrol may increase the thrombogenic activities of Human Rho(D) immune globulin.]
[L04AA23, natalizumab, Diethylstilbestrol may increase the thrombogenic activities of Natalizumab.]
[P03AA04, disulfiram, Diethylstilbestrol may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Diethylstilbestrol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Diethylstilbestrol can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Diethylstilbestrol can be increased when combined with Riluzole.]
[L04AA21, efalizumab, Diethylstilbestrol may increase the thrombogenic activities of Efalizumab.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Diethylstilbestrol.]
[A04AD12, aprepitant, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Diethylstilbestrol.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Diethylstilbestrol.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Diethylstilbestrol.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Diethylstilbestrol.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[R03AC12, salmeterol, The metabolism of Diethylstilbestrol can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Diethylstilbestrol.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Diethylstilbestrol.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Diethylstilbestrol.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Diethylstilbestrol.]
[J01AA02, doxycycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Doxycycline.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Diethylstilbestrol.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Diethylstilbestrol.]
[C10AA01, simvastatin, Diethylstilbestrol may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[N02CC01, sumatriptan, Diethylstilbestrol may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Diethylstilbestrol.]
[J01CA17, temocillin, The therapeutic efficacy of Diethylstilbestrol can be decreased when used in combination with Temocillin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Diethylstilbestrol.]
[D01BA02, terbinafine, The metabolism of Diethylstilbestrol can be increased when combined with Terbinafine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Diethylstilbestrol.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Diethylstilbestrol.]
[N03AX11, topiramate, The metabolism of Diethylstilbestrol can be increased when combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Diethylstilbestrol.]
[J01AA12, tigecycline, The serum concentration of Diethylstilbestrol can be decreased when it is combined with Tigecycline.]
[B01AC18, triflusal, Diethylstilbestrol may decrease the anticoagulant activities of Triflusal.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Diethylstilbestrol.]
[C05CA04, troxerutin, Diethylstilbestrol may decrease the anticoagulant activities of Troxerutin.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Diethylstilbestrol.]
[J06BB03, varicella-zoster immune globulin, Diethylstilbestrol may increase the thrombogenic activities of Human varicella-zoster immune globulin.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Diethylstilbestrol.]
[C08CA12, mepirodipine, The metabolism of Diethylstilbestrol can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Diethylstilbestrol.]
[N03AX15, zonisamide, The metabolism of Diethylstilbestrol can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Diethylstilbestrol.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Diethylstilbestrol.]
[B01AD03, anistreplase, Diethylstilbestrol may decrease the anticoagulant activities of Anistreplase.]
[N02CA02, ergotamine, The metabolism of Diethylstilbestrol can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[N05CD04, estazolam, The metabolism of Diethylstilbestrol can be increased when combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Diethylstilbestrol.]
[G03CA57, estrogens, conjugated (USP), Diethylstilbestrol may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Diethylstilbestrol.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Diethylstilbestrol.]
[C10AA04, fluvastatin, The metabolism of Diethylstilbestrol can be decreased when combined with Fluvastatin.]
