[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Efavirenz.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be increased when combined with Efavirenz.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Efavirenz.]
[J02AC04, posaconazole, The serum concentration of Posaconazole can be decreased when it is combined with Efavirenz.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Efavirenz.]
[C08CA09, lacidipine, The serum concentration of Lacidipine can be decreased when it is combined with Efavirenz.]
[N03AX09, lamotrigine, The metabolism of Lamotrigine can be increased when combined with Efavirenz.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Efavirenz.]
[S01BA03, cortisone, The metabolism of Cortisone can be decreased when combined with Efavirenz.]
[N07BC04, lofexidine, The therapeutic efficacy of Efavirenz can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Loratadine can be decreased when combined with Efavirenz.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Lormetazepam.]
[C08CA11, manidipine, The serum concentration of Manidipine can be decreased when it is combined with Efavirenz.]
[A03AA04, mebeverine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Meprednisone can be decreased when combined with Efavirenz.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Efavirenz.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Adenosine.]
[N04AA03, methixene, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The serum concentration of Cyclandelate can be decreased when it is combined with Efavirenz.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Efavirenz.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Midecamycin can be decreased when combined with Efavirenz.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Efavirenz.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Minaprine.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be decreased when it is combined with Efavirenz.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Efavirenz can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Efavirenz.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Efavirenz.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Efavirenz.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Efavirenz.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Efavirenz.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Efavirenz.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Efavirenz.]
[G03XA01, danazol, The metabolism of Efavirenz can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Efavirenz.]
[L01DB02, daunorubicin, Efavirenz may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Efavirenz.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Efavirenz.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Efavirenz.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Efavirenz.]
[N03AG06, tiagabine, The metabolism of Tiagabine can be decreased when combined with Efavirenz.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be decreased when combined with Efavirenz.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Efavirenz.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Efavirenz.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Normethadone.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Efavirenz.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Efavirenz.]
[N06AA01, desipramine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C09XA02, aliskiren, The metabolism of Aliskiren can be decreased when combined with Efavirenz.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Efavirenz.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Dexamethasone can be decreased when combined with Efavirenz.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Oxiracetam.]
[N04AA08, dexetimide, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Efavirenz.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Efavirenz.]
[A03AA01, oxyphencyclimine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Efavirenz can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Efavirenz.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Efavirenz.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Efavirenz.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Efavirenz.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Efavirenz resulting in a loss in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Efavirenz.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Efavirenz.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Efavirenz.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Efavirenz.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Efavirenz.]
[A03AA07, dicyclomine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, The metabolism of Pinacidil can be decreased when combined with Efavirenz.]
[A03AX04, pinaverium, The serum concentration of Pinaverium can be decreased when it is combined with Efavirenz.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Efavirenz.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pipamperone.]
[A03AB14, pipenzolate, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Efavirenz.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Efavirenz.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Efavirenz is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Efavirenz.]
[C08CA03, isradipine, The serum concentration of Isradipine can be decreased when it is combined with Efavirenz.]
[D07XC04, diflucortolone, The metabolism of Difluocortolone can be decreased when combined with Efavirenz.]
[A03AB11, poldine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Efavirenz.]
[C01AA05, digoxin, Digoxin may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Efavirenz.]
[C10AX09, ezetimibe, The metabolism of Ezetimibe can be increased when combined with Efavirenz.]
[C04AE04, dihydroergocristine, The serum concentration of Dihydroergocristine can be increased when it is combined with Efavirenz.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Efavirenz.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Efavirenz.]
[J05AE08, atazanavir, The serum concentration of Atazanavir can be decreased when it is combined with Efavirenz.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Efavirenz.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pramocaine.]
[C08DB01, diltiazem, The serum concentration of Diltiazem can be decreased when it is combined with Efavirenz.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Pridinol.]
[R06AB03, dimethindene, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Progabide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Efavirenz.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Efavirenz.]
[R06AA02, diphenhydramine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Diphenoxylate.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Efavirenz.]
[B01AC07, dipyridamole, Efavirenz may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Efavirenz.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Efavirenz.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Efavirenz.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Efavirenz.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Efavirenz.]
[S02AA12, rifamycin SV, The metabolism of Efavirenz can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Rifapentine can be decreased when combined with Efavirenz.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Efavirenz is combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Efavirenz.]
[R06AE09, levocetirizine, The metabolism of Levocetirizine can be decreased when combined with Efavirenz.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Efavirenz.]
[J01MB01, rosoxacin, The metabolism of Efavirenz can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Efavirenz.]
[A04AD12, aprepitant, The metabolism of Aprepitant can be decreased when combined with Efavirenz.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Efavirenz.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Efavirenz.]
[J05AE07, fosamprenavir, The serum concentration of the active metabolites of Fosamprenavir can be reduced when Fosamprenavir is used in combination with Efavirenz resulting in a loss in efficacy.]
[G04BE08, tadalafil, The serum concentration of Tadalafil can be increased when it is combined with Efavirenz.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Efavirenz.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Efavirenz.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Efavirenz.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Efavirenz.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Efavirenz.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Efavirenz.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Efavirenz.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Efavirenz.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[N06AB06, sertraline, The serum concentration of Sertraline can be decreased when it is combined with Efavirenz.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Efavirenz is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Efavirenz.]
[A08AA10, sibutramine, The metabolism of Sibutramine can be decreased when combined with Efavirenz.]
[C10AA01, simvastatin, The serum concentration of Simvastatin can be decreased when it is combined with Efavirenz.]
[G03DB01, dydrogesterone, The metabolism of Dydrogesterone can be decreased when combined with Efavirenz.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Efavirenz is combined with Sumatriptan.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Efavirenz.]
[H01AA01, corticotropin, The metabolism of Corticotropin can be decreased when combined with Efavirenz.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Efavirenz.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Efavirenz.]
[G04BD05, terodiline, The serum concentration of Terodiline can be decreased when it is combined with Efavirenz.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Thiopropazate.]
[G04BD01, emepronium, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Efavirenz.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Efavirenz is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The metabolism of Tolfenamic acid can be decreased when combined with Efavirenz.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Efavirenz.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Efavirenz.]
[L02BA02, toremifene, The metabolism of Toremifene can be decreased when combined with Efavirenz.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Efavirenz.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Efavirenz is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Efavirenz is combined with Triclofos.]
[A03AB08, tridihexethyl, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The metabolism of Trilostane can be decreased when combined with Efavirenz.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Trimethobenzamide.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Efavirenz.]
[N04AA12, tropatepine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Efavirenz.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Efavirenz is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Efavirenz can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Efavirenz is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Efavirenz.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Efavirenz.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Efavirenz.]
[S01GA03, xylometazoline, The serum concentration of Xylometazoline can be decreased when it is combined with Efavirenz.]
[C08CA12, mepirodipine, The metabolism of Barnidipine can be decreased when combined with Efavirenz.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Epinephrine.]
[N05CF02, zolpidem, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The metabolism of Zomepirac can be decreased when combined with Efavirenz.]
[N03AX15, zonisamide, The serum concentration of Zonisamide can be decreased when it is combined with Efavirenz.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Efavirenz.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Efavirenz.]
[C02AC02, guanfacine, The metabolism of Guanfacine can be decreased when combined with Efavirenz.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Moricizine.]
[G02AB03, ergonovine, The serum concentration of Ergometrine can be increased when it is combined with Efavirenz.]
[C04AE01, ergoloid mesylates, USP, The serum concentration of Ergoloid mesylate can be increased when it is combined with Efavirenz.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Efavirenz.]
[S01AA17, erythromycin, The metabolism of Erythromycin can be decreased when combined with Efavirenz.]
[N05CD04, estazolam, The metabolism of Estazolam can be decreased when combined with Efavirenz.]
[A02BC02, pantoprazole, The metabolism of Pantoprazole can be decreased when combined with Efavirenz.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Efavirenz.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Efavirenz.]
[L01XX11, estramustine, The metabolism of Estramustine can be decreased when combined with Efavirenz.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Efavirenz.]
[J04AK02, ethambutol, The metabolism of Efavirenz can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Fluticasone can be increased when combined with Efavirenz.]
[R03BA09, fluticasone furoate, The metabolism of Fluticasone furoate can be decreased when combined with Efavirenz.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Efavirenz.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Efavirenz.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Efavirenz.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Ibutilide.]
[N04AA05, profenamine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The serum concentration of Ethosuximide can be decreased when it is combined with Efavirenz.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Efavirenz.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Efavirenz.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Efavirenz.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Efavirenz.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Efavirenz.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Efavirenz.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Efavirenz.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Efavirenz.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Efavirenz.]
[R06AX12, terfenadine, The metabolism of Efavirenz can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be increased when combined with Efavirenz.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Efavirenz.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Efavirenz.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Efavirenz.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Efavirenz.]
[C10AA03, pravastatin, The serum concentration of Pravastatin can be decreased when it is combined with Efavirenz.]
[A05AA01, chenodeoxycholic acid, The metabolism of Chenodeoxycholic acid can be decreased when combined with Efavirenz.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Efavirenz which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Efavirenz.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Efavirenz.]
[C08CA02, felodipine, The serum concentration of Felodipine can be decreased when it is combined with Efavirenz.]
[C08EA01, fendiline, The serum concentration of Fendiline can be decreased when it is combined with Efavirenz.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Efavirenz.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Efavirenz.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Efavirenz.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Efavirenz.]
[G04BD02, flavoxate, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Flecainide.]
[J01CF05, floxacillin, Flucloxacillin may decrease the excretion rate of Efavirenz which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Efavirenz can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The metabolism of Fludrocortisone can be decreased when combined with Efavirenz.]
[D07XB01, flumethasone, The metabolism of Flumethasone can be decreased when combined with Efavirenz.]
[N07CA03, flunarizine, The serum concentration of Flunarizine can be decreased when it is combined with Efavirenz.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Efavirenz.]
[D07AC08, fluocinonide, The metabolism of Fluocinonide can be decreased when combined with Efavirenz.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Efavirenz is combined with Melitracen.]
[H02AB03, fluocortolone, The metabolism of Fluocortolone can be decreased when combined with Efavirenz.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Efavirenz.]
[N06AB03, fluoxetine, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Efavirenz.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Efavirenz.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be increased when combined with Efavirenz.]
[N05AG01, fluspirilene, The serum concentration of Fluspirilene can be decreased when it is combined with Efavirenz.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Efavirenz.]
[L01BC03, tegafur, The metabolism of Tegafur can be increased when combined with Efavirenz.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Efavirenz is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Efavirenz.]
[J05AE10, darunavir, The serum concentration of Efavirenz can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, The metabolism of Furosemide can be increased when combined with Efavirenz.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Efavirenz is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Efavirenz.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Gallamine.]
[C08DA02, gallopamil, The serum concentration of Gallopamil can be decreased when it is combined with Efavirenz.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Efavirenz is combined with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Efavirenz is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Efavirenz is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Gemfibrozil can be decreased when combined with Efavirenz.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Efavirenz is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Efavirenz.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Efavirenz.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Efavirenz.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Efavirenz.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Efavirenz.]
[N03AD03, methsuximide, The serum concentration of Methsuximide can be decreased when it is combined with Efavirenz.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be decreased when combined with Efavirenz.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Efavirenz.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Efavirenz.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Efavirenz.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Efavirenz.]
[A10BB07, glipizide, The metabolism of Glipizide can be increased when combined with Efavirenz.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Efavirenz is combined with Glutethimide.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Efavirenz.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Efavirenz.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Efavirenz.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Efavirenz.]
