[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Everolimus.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Everolimus.]
[P02BX04, triclabendazole, The metabolism of Everolimus can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Everolimus can be increased when combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Everolimus is combined with Siponimod.]
[J01FA09, clarithromycin, The serum concentration of Everolimus can be increased when it is combined with Clarithromycin.]
[L01EN01, erdafitinib, The serum concentration of Everolimus can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Everolimus can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The serum concentration of Cloprednol can be increased when it is combined with Everolimus.]
[L04AB01, etanercept, The metabolism of Everolimus can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The serum concentration of Cortivazol can be increased when it is combined with Everolimus.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Everolimus can be increased when combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Everolimus.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Everolimus is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Everolimus can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Everolimus can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Everolimus can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Everolimus can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Everolimus may decrease the excretion rate of Lefamulin which could result in a higher serum level.]
[N04CX01, istradefylline, The serum concentration of Everolimus can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Everolimus.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Everolimus.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Everolimus.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Everolimus.]
[J01DB01, cephalexin, The metabolism of Everolimus can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Everolimus can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Everolimus.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Everolimus.]
[N02CC08, lasmiditan, The serum concentration of Everolimus can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Everolimus is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Everolimus can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Everolimus can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Everolimus.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Everolimus.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Everolimus.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Everolimus.]
[L01XX72, tazemetostat, The metabolism of Everolimus can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Teprotumumab.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Everolimus.]
[C10AX15, bempedoic acid, The excretion of Bempedoic acid can be decreased when combined with Everolimus.]
[J05AB16, remdesivir, The metabolism of Everolimus can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Everolimus can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Everolimus can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Everolimus is combined with Ozanimod.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Everolimus.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Everolimus.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Everolimus.]
[M01AH02, rofecoxib, The metabolism of Everolimus can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Everolimus can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Everolimus can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Everolimus can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Everolimus can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Everolimus.]
[S03AA08, chloramphenicol, The metabolism of Everolimus can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Everolimus which could result in a higher serum level.]
[L01EX17, capmatinib, The serum concentration of Everolimus can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Everolimus can be increased when combined with Fluprednidene.]
[L01EX19, ripretinib, The serum concentration of Everolimus can be increased when it is combined with Ripretinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Everolimus.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Everolimus is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Everolimus.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Everolimus.]
[R06AX22, ebastine, The metabolism of Everolimus can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Everolimus.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Everolimus.]
[L04AC19, satralizumab, The serum concentration of Everolimus can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Everolimus.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Everolimus.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Everolimus.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Everolimus.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Everolimus.]
[N05AA01, chlorpromazine, The metabolism of Everolimus can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Everolimus.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Everolimus.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Everolimus.]
[B06AC06, berotralstat, The metabolism of Everolimus can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Everolimus can be increased when it is combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Everolimus.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Everolimus.]
[L04AD03, voclosporin, The serum concentration of Everolimus can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Everolimus can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Everolimus.]
[L01EX25, umbralisib, The serum concentration of Everolimus can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Everolimus.]
[N03AX10, felbamate, The metabolism of Everolimus can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Everolimus.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Everolimus.]
[S02BA08, fluocinolone acetonide, The metabolism of Everolimus can be increased when combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Everolimus.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Everolimus.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Everolimus is combined with Ponesimod.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Everolimus.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Everolimus.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Everolimus.]
[A02BA01, cimetidine, The metabolism of Everolimus can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Everolimus.]
[L01XX73, sotorasib, The serum concentration of Everolimus can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Everolimus can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Everolimus can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Everolimus.]
[N06AB04, citalopram, The metabolism of Everolimus can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Everolimus is combined with Pegcetacoplan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Everolimus.]
[L04AA48, belumosudil, The serum concentration of Everolimus can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Everolimus can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Everolimus can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Everolimus can be decreased when it is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Everolimus.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Everolimus.]
[L04AA59, avacopan, The metabolism of Everolimus can be decreased when combined with Avacopan.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Everolimus.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Everolimus.]
[N06AX25, St. John's wort extract, The metabolism of Everolimus can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Everolimus can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Everolimus can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Everolimus is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The serum concentration of Everolimus can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Everolimus can be increased when it is combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Everolimus.]
[C10AB01, clofibrate, The metabolism of Everolimus can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Everolimus can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Everolimus can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Everolimus.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Everolimus.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Everolimus.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Everolimus.]
[C01EB24, mavacamten, The serum concentration of Everolimus can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Everolimus.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Everolimus is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Everolimus is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Everolimus.]
[J05AX31, lenacapavir, The metabolism of Everolimus can be decreased when combined with Lenacapavir.]
[L01XX77, adagrasib, The serum concentration of Everolimus can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Everolimus can be decreased when combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Everolimus.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Everolimus.]
[A10BK06, sotagliflozin, The serum concentration of Everolimus can be increased when it is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Everolimus can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Everolimus can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Everolimus.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Everolimus.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Everolimus is combined with Leflunomide.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Everolimus.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Everolimus.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Everolimus.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Everolimus.]
[J01FA15, telithromycin, The metabolism of Everolimus can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Everolimus.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Everolimus.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Everolimus.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Everolimus.]
[J02AC02, itraconazole, The serum concentration of Everolimus can be increased when it is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Everolimus.]
[N05BA10, ketazolam, The metabolism of Everolimus can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Everolimus can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Everolimus can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Everolimus.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Everolimus.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Everolimus.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Everolimus is combined with Lisinopril.]
[C08CA11, manidipine, The metabolism of Everolimus can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Everolimus.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Everolimus.]
[R06AD07, mequitazine, The metabolism of Everolimus can be decreased when combined with Mequitazine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Everolimus.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Everolimus.]
[J01FA03, midecamycin, The metabolism of Everolimus can be decreased when combined with Midecamycin.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Everolimus.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Everolimus.]
[L01AA01, cyclophosphamide, The metabolism of Everolimus can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Everolimus.]
[S01XA18, cyclosporine, The serum concentration of Everolimus can be increased when it is combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Everolimus.]
[N06BA07, modafinil, The metabolism of Everolimus can be increased when combined with Modafinil.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Everolimus is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Everolimus can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The serum concentration of Everolimus can be increased when it is combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Everolimus.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Everolimus.]
[M01AH05, etoricoxib, The metabolism of Everolimus can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Everolimus.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Everolimus.]
[G03XA01, danazol, The metabolism of Everolimus can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, The metabolism of Everolimus can be decreased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Everolimus.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Everolimus.]
[N06AX06, nefazodone, The metabolism of Everolimus can be decreased when combined with Nefazodone.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Everolimus.]
[M03AC11, cisatracurium, Everolimus may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Everolimus.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Everolimus.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Everolimus.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Everolimus.]
[N06AA01, desipramine, The metabolism of Everolimus can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Everolimus.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Everolimus.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Everolimus.]
[N03AF02, oxcarbazepine, The metabolism of Everolimus can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Everolimus can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Everolimus can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Everolimus.]
[L04AB04, adalimumab, The metabolism of Everolimus can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Everolimus.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Everolimus.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Everolimus.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Everolimus.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Everolimus.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Everolimus.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Cinchocaine.]
[J01CF01, dicloxacillin, The metabolism of Everolimus can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Everolimus.]
[L01DC04, ixabepilone, The serum concentration of Everolimus can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Everolimus can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Everolimus is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Everolimus can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Everolimus can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Everolimus can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Everolimus.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Everolimus.]
[C10AX09, ezetimibe, The excretion of Ezetimibe can be decreased when combined with Everolimus.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Everolimus.]
[C04AE04, dihydroergocristine, The serum concentration of Dihydroergocristine can be increased when it is combined with Everolimus.]
[N02CA01, dihydroergotamine, The metabolism of Everolimus can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Everolimus.]
[J05AE08, atazanavir, The metabolism of Everolimus can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Everolimus can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Everolimus can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Everolimus.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Everolimus.]
[C05CA03, diosmin, The serum concentration of Everolimus can be increased when it is combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Everolimus.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Diphenhydramine.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Everolimus.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Everolimus.]
[A03FA02, cisapride, The serum concentration of Cisapride can be increased when it is combined with Everolimus.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Everolimus is combined with Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Everolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Everolimus.]
[C01BA03, disopyramide, Everolimus may increase the QTc-prolonging activities of Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Everolimus can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Everolimus can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Everolimus.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Everolimus.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Everolimus.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Everolimus.]
[A04AD12, aprepitant, The metabolism of Everolimus can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Everolimus.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Everolimus.]
[J05AE07, fosamprenavir, The metabolism of Everolimus can be decreased when combined with Fosamprenavir.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Everolimus.]
[C01EB18, ranolazine, The serum concentration of Ranolazine can be increased when it is combined with Everolimus.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Everolimus.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Everolimus.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Everolimus.]
[L01DB01, doxorubicin, The serum concentration of Doxorubicin can be increased when it is combined with Everolimus.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Everolimus.]
[C10AA01, simvastatin, The serum concentration of Everolimus can be increased when it is combined with Simvastatin.]
[C09AA11, spirapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Spirapril.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be decreased when combined with Everolimus.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Everolimus.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Everolimus.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Everolimus.]
[D01BA02, terbinafine, The metabolism of Everolimus can be increased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Everolimus.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Enalapril.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Everolimus.]
[N03AX11, topiramate, The metabolism of Everolimus can be increased when combined with Topiramate.]
[L02BA02, toremifene, The serum concentration of Everolimus can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The excretion of Torasemide can be decreased when combined with Everolimus.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Everolimus is combined with Trandolapril.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Everolimus.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Everolimus.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Everolimus is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Everolimus.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Everolimus.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Everolimus.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Everolimus.]
[C08CA12, mepirodipine, The metabolism of Everolimus can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Everolimus can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Everolimus.]
[C09AA15, zofenopril, The risk or severity of adverse effects can be increased when Everolimus is combined with Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Everolimus.]
[N03AX15, zonisamide, The serum concentration of Everolimus can be increased when it is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Everolimus.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Everolimus.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Everolimus.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Everolimus.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Everolimus.]
[G02AB03, ergonovine, The serum concentration of Ergometrine can be increased when it is combined with Everolimus.]
[C04AE01, ergoloid mesylates, USP, The serum concentration of Ergoloid mesylate can be increased when it is combined with Everolimus.]
[N02CA02, ergotamine, The metabolism of Everolimus can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Everolimus can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The serum concentration of Estazolam can be increased when it is combined with Everolimus.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Everolimus.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Everolimus.]
[J04AK02, ethambutol, The metabolism of Everolimus can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Everolimus can be increased when combined with Fluticasone furoate.]
