[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Memantine.]
[N05AD10, lumateperone, The therapeutic efficacy of Memantine can be decreased when used in combination with Lumateperone.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Memantine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Memantine.]
[R02AA03, dichlorobenzyl alcohol, Memantine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Memantine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C08CA16, clevidipine, Memantine may increase the neuromuscular blocking activities of Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Memantine can be increased when it is combined with Dronedarone.]
[L01EH03, tucatinib, The serum concentration of Memantine can be increased when it is combined with Tucatinib.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Memantine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Memantine.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Memantine.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V08CA05, mangafodipir, Memantine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Memantine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Memantine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The serum concentration of Memantine can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Memantine can be decreased when used in combination with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Memantine can be increased when it is combined with Choline salicylate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Memantine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[V03AF12, trilaciclib, The serum concentration of Memantine can be increased when it is combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Memantine.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03BA03, flunisolide, The therapeutic efficacy of Memantine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluocinolone acetonide.]
[N02BG07, flupirtine, Memantine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Memantine.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Memantine.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01XA01, cisplatin, Memantine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Memantine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Memantine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Memantine.]
[V09AB03, ioflupane I-123, Memantine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Memantine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Memantine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Memantine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Memantine.]
[N01BB10, levobupivacaine, Levobupivacaine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Memantine.]
[N03AE01, clonazepam, Memantine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Memantine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, Vonoprazan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Memantine.]
[N05AH02, clozapine, The therapeutic efficacy of Memantine can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Memantine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, Memantine may increase the neuromuscular blocking activities of Cocaine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Memantine.]
[M04AC01, colchicine, Memantine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Memantine.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Memantine.]
[J01XB01, colistin, Memantine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02AD04, hydrotalcite, Hydrotalcite may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A04AA03, tropisetron, Memantine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Memantine.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03BA08, ciclesonide, The therapeutic efficacy of Memantine can be decreased when used in combination with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Memantine.]
[J05AB14, valganciclovir, Memantine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Memantine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Memantine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Memantine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Memantine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Memantine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05BA10, ketazolam, Memantine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Memantine can be increased when it is combined with Imatinib.]
[A02BC05, esomeprazole, Esomeprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AX09, lamotrigine, The serum concentration of Memantine can be increased when it is combined with Lamotrigine.]
[S01BA03, cortisone, The therapeutic efficacy of Memantine can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, Memantine may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02AD02, magaldrate, Magaldrate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Magnesium carbonate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Memantine.]
[C07AA14, mepindolol, Memantine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Memantine can be decreased when used in combination with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Memantine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The therapeutic efficacy of Memantine can be decreased when used in combination with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Memantine.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Memantine.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Cyproheptadine can be decreased when used in combination with Memantine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07BB05, nalmefene, Memantine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, Memantine may increase the bradycardic activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AX06, nefazodone, Memantine may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Memantine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Memantine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Memantine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Memantine.]
[G04BD08, solifenacin, The therapeutic efficacy of Solifenacin can be decreased when used in combination with Memantine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AA01, desipramine, The serum concentration of Memantine can be increased when it is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[D07XC02, desoximetasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Desoximetasone.]
[V04CH02, indigo carmine, Memantine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Memantine can be decreased when used in combination with Desoxycortone.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S03BA01, dexamethasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Memantine.]
[G04BD04, oxybutynin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Memantine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Memantine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Memantine.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Memantine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Memantine.]
[P03AC04, permethrin, Memantine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Memantine.]
[R05DA08, pholcodine, Memantine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The excretion of Memantine can be decreased when combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Memantine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Memantine.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Memantine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[D07XC04, diflucortolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Memantine.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01AA05, digoxin, Memantine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Memantine which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Memantine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V03AB09, dimercaprol, Memantine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Memantine.]
[M02AX03, dimethyl sulfoxide, Memantine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G02AD02, dinoprostone, The serum concentration of Memantine can be increased when it is combined with Dinoprostone.]
[R06AA02, diphenhydramine, The serum concentration of Memantine can be increased when it is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Memantine can be decreased when used in combination with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Memantine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Memantine.]
[S01AX06, resorcinol, Memantine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The serum concentration of Memantine can be increased when it is combined with Disopyramide.]
[N05AX08, risperidone, The therapeutic efficacy of Memantine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Memantine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01EB18, ranolazine, The serum concentration of Memantine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03AC12, salmeterol, The serum concentration of Memantine can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Memantine.]
[C01CA04, dopamine, The serum concentration of Memantine can be increased when it is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Memantine.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Memantine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R06AA09, doxylamine, The therapeutic efficacy of Doxylamine can be decreased when used in combination with Memantine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Memantine.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Memantine.]
[N05AD08, droperidol, The therapeutic efficacy of Memantine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Memantine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Memantine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AB13, talinolol, Memantine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Memantine can be decreased when used in combination with Corticotropin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C07AA16, tertatolol, Memantine may increase the bradycardic activities of Tertatolol.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Memantine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N06AG03, toloxatone, Memantine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Memantine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Memantine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Memantine.]
[H02CA01, trilostane, The therapeutic efficacy of Memantine can be decreased when used in combination with Trilostane.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Memantine.]
[S01FB02, ephedrine, Memantine may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The metabolism of Epinastine can be decreased when combined with Memantine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01EA01, epinephrine, The serum concentration of Memantine can be increased when it is combined with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Memantine.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AX15, zonisamide, The excretion of Memantine can be decreased when combined with Zonisamide.]
[N05AX11, zotepine, The therapeutic efficacy of Memantine can be decreased when used in combination with Zotepine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Memantine.]
[L03AX05, pidotimod, Memantine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Memantine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Memantine can be increased when it is combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03BA05, fluticasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluticasone.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Memantine.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Memantine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N05AE03, sertindole, The therapeutic efficacy of Memantine can be decreased when used in combination with Sertindole.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02BA04, nizatidine, Nizatidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R06AX12, terfenadine, The therapeutic efficacy of Terfenadine can be decreased when used in combination with Memantine.]
[P01AX07, trimetrexate, Memantine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Memantine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Memantine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Memantine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A02BA03, famotidine, Famotidine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Memantine.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Memantine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Memantine.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Memantine which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Memantine is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Memantine.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Memantine which could result in a higher serum level.]
[J02AX01, flucytosine, Memantine may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Memantine can be decreased when used in combination with Fludrocortisone.]
[V03AB25, flumazenil, Memantine may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[D07XB01, flumethasone, The therapeutic efficacy of Memantine can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Memantine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Memantine.]
[D07AC08, fluocinonide, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Ethanol is combined with Memantine.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01CB05, fluorometholone, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Memantine.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Memantine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Memantine can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The therapeutic efficacy of Memantine can be decreased when used in combination with Fluphenazine.]
[N05CD01, flurazepam, The serum concentration of Memantine can be increased when it is combined with Flurazepam.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Memantine which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Memantine which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Memantine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Memantine.]
