[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Tixocortol.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Tixocortol is combined with Siponimod.]
[N06BA14, solriamfetol, Tixocortol may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Tixocortol.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Tixocortol is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Risankizumab.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Tixocortol is combined with Upadacitinib.]
[N07XX11, pitolisant, Tixocortol may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Tixocortol is combined with Deflazacort.]
[G03DB05, demegestone, The serum concentration of Tixocortol can be increased when it is combined with Demegestone.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Tixocortol.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Tixocortol.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Tixocortol is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The serum concentration of Tixocortol can be increased when it is combined with Desogestrel.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M09AX08, golodirsen, Tixocortol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, The therapeutic efficacy of Dexpanthenol can be decreased when used in combination with Tixocortol.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Tixocortol.]
[S01AE06, gatifloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Gatifloxacin.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ozanimod.]
[R02AA03, dichlorobenzyl alcohol, Tixocortol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The serum concentration of Tixocortol can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Tixocortol.]
[C08CA16, clevidipine, Clevidipine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Tixocortol.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Tixocortol.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Tixocortol.]
[M01AC04, droxicam, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Droxicam.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Dexketoprofen.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Tixocortol is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Tixocortol.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Tixocortol.]
[A10BB02, chlorpropamide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Tixocortol may increase the hypokalemic activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A11CC05, cholecalciferol, The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Tixocortol.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA03, choline salicylate, Tixocortol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[G03DC06, ethynodiol, The serum concentration of Tixocortol can be increased when it is combined with Etynodiol.]
[M01AB08, etodolac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Etofenamate.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Tixocortol.]
[M01AX25, chondroitin sulfates, Tixocortol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Voclosporin.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Fenbufen.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Tixocortol.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Tixocortol.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Tixocortol.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MB06, cinoxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Cisplatin can be decreased when used in combination with Tixocortol.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Tixocortol is combined with Pegcetacoplan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Tixocortol is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Anifrolumab.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Tixocortol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Tixocortol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[A10BB12, glimepiride, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Clenbuterol.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Tixocortol is combined with Ropeginterferon alfa-2b.]
[N01BB10, levobupivacaine, Levobupivacaine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Tixocortol is combined with Deucravacitinib.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BX01, guar gum, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Sotagliflozin.]
[J01GB12, arbekacin, Tixocortol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Proquazone.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Tixocortol.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01XB01, colistin, Tixocortol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Tixocortol is combined with Leflunomide.]
[A04AA03, tropisetron, Tixocortol may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Tixocortol.]
[A10AE04, insulin glargine, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Tixocortol.]
[B01AC10, indobufen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Indobufen.]
[J05AB14, valganciclovir, Valganciclovir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C05BB03, invert sugar, Tixocortol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V08AB05, iopromide, Tixocortol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Tixocortol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Tixocortol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Tixocortol.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Tixocortol is combined with Lanatoside C.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Parecoxib.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05BA10, ketazolam, Ketazolam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Tixocortol.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N07BC04, lofexidine, Lofexidine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01AE04, lomefloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Tixocortol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Tixocortol is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Tixocortol may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Tixocortol.]
[C03AA07, cyclopenthiazide, The risk or severity of electrolyte imbalance can be increased when Tixocortol is combined with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Tixocortol.]
[N06AX07, minaprine, The therapeutic efficacy of Minaprine can be decreased when used in combination with Tixocortol.]
[S01XA18, cyclosporine, Tixocortol may increase the immunosuppressive activities of Cyclosporine.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Tixocortol.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Tixocortol.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Tixocortol.]
[G03XA01, danazol, The risk or severity of fluid retention can be increased when Tixocortol is combined with Danazol.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Tixocortol.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Nabumetone.]
[N07BB05, nalmefene, Nalmefene may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C01DX16, nicorandil, The risk or severity of ulceration can be increased when Tixocortol is combined with Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[G03DB04, nomegestrol, The serum concentration of Tixocortol can be increased when it is combined with Nomegestrol.]
[M03AC11, cisatracurium, The risk or severity of myopathy and weakness can be increased when Cisatracurium is combined with Tixocortol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Tixocortol.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Tixocortol is combined with Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Tixocortol.]
[V04CH02, indigo carmine, Tixocortol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Tixocortol.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Tixocortol.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Tixocortol.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S02DA04, dibucaine, The therapeutic efficacy of Cinchocaine can be decreased when used in combination with Tixocortol.]
[R05DA08, pholcodine, Tixocortol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A10BG03, pioglitazone, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Pioglitazone.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Tixocortol.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Pirarubicin.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Tixocortol.]
[L02AA01, diethylstilbestrol, The serum concentration of Tixocortol can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Tixocortol is combined with Difluocortolone.]
[N02BA11, diflunisal, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Tixocortol is combined with Digoxin.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Tixocortol.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Tixocortol.]
[A11CC02, dihydrotachysterol, The therapeutic efficacy of Dihydrotachysterol can be decreased when used in combination with Tixocortol.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Tixocortol may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Proglumetacin.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Tixocortol.]
[S01AX06, resorcinol, Tixocortol may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Tixocortol is combined with Natalizumab.]
[N07AA03, distigmine, The therapeutic efficacy of Distigmine can be decreased when used in combination with Tixocortol.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Tixocortol.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[J01MB01, rosoxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Tixocortol.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[S01BC05, ketorolac, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Ketorolac.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Salmeterol.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Tixocortol is combined with Dobutamine.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N06AA12, doxepin, Doxepin may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Tixocortol.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[A12CA02, sodium sulfate, Tixocortol may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[V04CX07, edrophonium, The therapeutic efficacy of Edrophonium can be decreased when used in combination with Tixocortol.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Tixocortol.]
[J01MA05, temafloxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Tixocortol.]
[M01AC02, tenoxicam, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Tenoxicam.]
[M01AG02, tolfenamic acid, The risk or severity of gastrointestinal irritation can be increased when Tixocortol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Tixocortol may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Tixocortol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of edema formation can be increased when Trilostane is combined with Tixocortol.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Tixocortol is combined with Trofosfamide.]
[J01MA04, enoxacin, The risk or severity of tendinopathy can be increased when Tixocortol is combined with Enoxacin.]
