[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Frovatriptan.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Frovatriptan.]
[C01CA19, fenoldopam, Frovatriptan may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Frovatriptan is combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Frovatriptan can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Formoterol is combined with Frovatriptan.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Frovatriptan can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Frovatriptan may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Frovatriptan can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Frovatriptan.]
[N07CA02, cinnarizine, The metabolism of Frovatriptan can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Frovatriptan can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Frovatriptan can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Frovatriptan can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Frovatriptan can be decreased when combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Frovatriptan can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Frovatriptan.]
[M01AG01, mefenamic acid, The metabolism of Frovatriptan can be decreased when combined with Mefenamic acid.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Frovatriptan is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Frovatriptan.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Frovatriptan can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Frovatriptan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Frovatriptan.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Frovatriptan.]
[N05AH02, clozapine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Frovatriptan.]
[H01AC08, somatrogon, The metabolism of Frovatriptan can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Frovatriptan may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Frovatriptan can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Frovatriptan.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Frovatriptan.]
[A03AB10, hexocyclium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Frovatriptan can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Frovatriptan is combined with Imidazole salicylate.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Frovatriptan.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Frovatriptan.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Frovatriptan is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Frovatriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Frovatriptan is combined with Parecoxib.]
[S01AD03, acyclovir, The metabolism of Frovatriptan can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Frovatriptan can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, Frovatriptan may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Frovatriptan can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Frovatriptan can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Frovatriptan is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Frovatriptan is combined with Loxoprofen.]
[C09AA03, lisinopril, Frovatriptan may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Frovatriptan may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Frovatriptan is combined with Mefenorex.]
[N04AA03, methixene, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Cyclobarbital.]
[C03DA04, eplerenone, Frovatriptan may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Melperone.]
[C03AA07, cyclopenthiazide, Frovatriptan may decrease the antihypertensive activities of Cyclopenthiazide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Frovatriptan.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Frovatriptan.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Frovatriptan can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Frovatriptan may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Frovatriptan is combined with Morniflumate.]
[C02AC05, moxonidine, Frovatriptan may decrease the antihypertensive activities of Moxonidine.]
[J05AF10, entecavir, The metabolism of Frovatriptan can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Frovatriptan.]
[L01AX04, dacarbazine, The metabolism of Frovatriptan can be decreased when combined with Dacarbazine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Deanol.]
[C02CC04, debrisoquin, Frovatriptan may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[M01AX01, nabumetone, The metabolism of Frovatriptan can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nordazepam.]
[C07AB12, nebivolol, Frovatriptan may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Niaprazine.]
[C01DX16, nicorandil, Frovatriptan may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Frovatriptan.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Frovatriptan.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Frovatriptan.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Escitalopram.]
[G04BD08, solifenacin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Olsalazine.]
[N06AA01, desipramine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Frovatriptan.]
[C09XA02, aliskiren, Frovatriptan may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Frovatriptan.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Frovatriptan.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Oxiracetam.]
[N04AA08, dexetimide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Frovatriptan.]
[A03AA01, oxyphencyclimine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Frovatriptan can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Frovatriptan.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Frovatriptan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Frovatriptan.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Frovatriptan.]
[B01AC04, clopidogrel, The metabolism of Frovatriptan can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Frovatriptan.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Frovatriptan.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Phenacemide.]
[V03AH01, diazoxide, Frovatriptan may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Frovatriptan.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Frovatriptan.]
[S01BC03, diclofenac, The metabolism of Frovatriptan can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Frovatriptan may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pipamperone.]
[A03AB14, pipenzolate, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Frovatriptan can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Frovatriptan.]
[C08CA03, isradipine, Frovatriptan may decrease the antihypertensive activities of Isradipine.]
[A03AB11, poldine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Frovatriptan.]
[C02DB01, dihydralazine, The metabolism of Frovatriptan can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the vasoconstricting activities of Frovatriptan.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the vasoconstricting activities of Frovatriptan.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Frovatriptan.]
[J05AE08, atazanavir, The metabolism of Frovatriptan can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Frovatriptan may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pramocaine.]
[C08DB01, diltiazem, Frovatriptan may decrease the antihypertensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Frovatriptan.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pridinol.]
[R06AB03, dimethindene, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Frovatriptan.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Frovatriptan.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Frovatriptan is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Frovatriptan.]
[R06AA02, diphenhydramine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Quazepam.]
[C09AA06, quinapril, Frovatriptan may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Frovatriptan.]
[C09AA05, ramipril, Frovatriptan may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Reproterol.]
[C01BA03, disopyramide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Frovatriptan can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Frovatriptan.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Frovatriptan.]
[J01MB01, rosoxacin, The metabolism of Frovatriptan can be decreased when combined with Rosoxacin.]
[L01XG01, bortezomib, The metabolism of Frovatriptan can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Frovatriptan may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Frovatriptan.]
[C02KX02, ambrisentan, Frovatriptan may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Frovatriptan is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Frovatriptan.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Frovatriptan.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Frovatriptan.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Frovatriptan.]
[N06AA16, dothiepin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Frovatriptan.]
[N06AA12, doxepin, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sibutramine.]
[C09AA11, spirapril, Frovatriptan may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Frovatriptan.]
[C07AB13, talinolol, Frovatriptan may decrease the antihypertensive activities of Talinolol.]
[J01MA05, temafloxacin, The metabolism of Frovatriptan can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Frovatriptan.]
[G04CA03, terazosin, Frovatriptan may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Frovatriptan can be decreased when combined with Terbinafine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Frovatriptan is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thiopropazate.]
[G04BD01, emepronium, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tianeptine.]
[C09AA02, enalapril, Frovatriptan may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Frovatriptan is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Frovatriptan.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Frovatriptan.]
[C03CA04, torsemide, Frovatriptan may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Frovatriptan is combined with Tramazoline.]
[C09AA10, trandolapril, Frovatriptan may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Triclofos.]
[A03AB08, tridihexethyl, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Frovatriptan.]
[N04AA12, tropatepine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Frovatriptan.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Frovatriptan can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Veralipride.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Frovatriptan.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Frovatriptan is combined with Xylometazoline.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Frovatriptan.]
[C09AA15, zofenopril, Frovatriptan may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Frovatriptan is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Frovatriptan.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Moricizine.]
[G02AB03, ergonovine, Ergometrine may increase the vasoconstricting activities of Frovatriptan.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the vasoconstricting activities of Frovatriptan.]
[N02CA02, ergotamine, Ergotamine may increase the vasoconstricting activities of Frovatriptan.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Frovatriptan.]
[G03CA03, estradiol, The metabolism of Frovatriptan can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Frovatriptan can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Frovatriptan can be decreased when combined with Ethambutol.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Frovatriptan.]
[L02AA03, ethinyl estradiol, The metabolism of Frovatriptan can be decreased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Frovatriptan.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Frovatriptan.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Frovatriptan.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Frovatriptan.]
[L01CB01, etoposide, The metabolism of Frovatriptan can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sertindole.]
[R06AX12, terfenadine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Frovatriptan can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Frovatriptan.]
[A02BA03, famotidine, The metabolism of Frovatriptan can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Frovatriptan can be increased when combined with Albendazole.]
[C08CA02, felodipine, Frovatriptan may decrease the antihypertensive activities of Felodipine.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Frovatriptan.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Frovatriptan.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Salbutamol.]
[G04BD02, flavoxate, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Frovatriptan.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Frovatriptan is combined with Floctafenine.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Melitracen.]
[V03AZ01, ethanol, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Frovatriptan can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Fluoxetine.]
[N05AF01, flupenthixol, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Fluphenazine.]
