[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Amlodipine.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Amlodipine.]
[C07AB13, talinolol, Amlodipine may increase the arrhythmogenic activities of Talinolol.]
[H01AA01, corticotropin, The metabolism of Amlodipine can be increased when combined with Corticotropin.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Amlodipine.]
[G04CA03, terazosin, The risk or severity of hypotension can be increased when Terazosin is combined with Amlodipine.]
[D01BA02, terbinafine, The metabolism of Amlodipine can be increased when combined with Terbinafine.]
[G04BD05, terodiline, Amlodipine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Amlodipine may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Amlodipine.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Amlodipine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Amlodipine.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Amlodipine.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Amlodipine.]
[N03AX11, topiramate, The metabolism of Amlodipine can be increased when combined with Topiramate.]
[C03CA04, torsemide, Torasemide may increase the hypotensive activities of Amlodipine.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Amlodipine.]
[C09AA10, trandolapril, Amlodipine may increase the hypotensive activities of Trandolapril.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Amlodipine.]
[C02CA06, urapidil, The risk or severity of hypotension can be increased when Urapidil is combined with Amlodipine.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Amlodipine.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Amlodipine.]
[S01GA03, xylometazoline, Amlodipine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Amlodipine may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Amlodipine.]
[C09AA15, zofenopril, Amlodipine may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Amlodipine.]
[N03AX15, zonisamide, Amlodipine may increase the arrhythmogenic activities of Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin glulisine.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Amlodipine.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Amlodipine.]
[C01BG01, moricizine, Amlodipine may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Amlodipine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Amlodipine.]
[N02CA02, ergotamine, The metabolism of Amlodipine can be decreased when combined with Ergotamine.]
[C01DA13, erythrityl tetranitrate, Amlodipine may increase the vasodilatory activities of Erythrityl tetranitrate.]
[S01AA17, erythromycin, The risk or severity of adverse effects can be increased when Erythromycin is combined with Amlodipine.]
[R03BA09, fluticasone furoate, The metabolism of Amlodipine can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Amlodipine can be increased when combined with Fluticasone.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Amlodipine.]
[V03AF05, amifostine, Amlodipine may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Amlodipine.]
[N03AD01, ethosuximide, Amlodipine may increase the arrhythmogenic activities of Ethosuximide.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Amlodipine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Amlodipine.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Amlodipine.]
[C01BA05, ajmaline, Amlodipine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, Amlodipine may increase the immunosuppressive activities of Tacrolimus.]
[R06AX12, terfenadine, The metabolism of Amlodipine can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Amlodipine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Amlodipine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Amlodipine may increase the arrhythmogenic activities of Encainide.]
[C08CA02, felodipine, Amlodipine may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Amlodipine may increase the arrhythmogenic activities of Fendiline.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Amlodipine.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Amlodipine.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Amlodipine.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Amlodipine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Clofarabine.]
[C01BC04, flecainide, Amlodipine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, Floctafenine may decrease the antihypertensive activities of Amlodipine.]
[J01CF05, floxacillin, The metabolism of Amlodipine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Amlodipine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Amlodipine may increase the arrhythmogenic activities of Flunarizine.]
[D07AC08, fluocinonide, The metabolism of Amlodipine can be increased when combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Amlodipine.]
[H02AB03, fluocortolone, The metabolism of Amlodipine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Amlodipine can be increased when combined with Ethanol.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Amlodipine.]
[N05AF01, flupenthixol, The risk or severity of hypotension can be increased when Flupentixol is combined with Amlodipine.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the antihypertensive activities of Amlodipine.]
[N05AG01, fluspirilene, Amlodipine may increase the arrhythmogenic activities of Fluspirilene.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Amlodipine.]
[M03AA01, alcuronium, Amlodipine may increase the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Amlodipine.]
[J05AE10, darunavir, The metabolism of Amlodipine can be decreased when combined with Darunavir.]
[C03CA01, furosemide, Amlodipine may increase the hypotensive activities of Furosemide.]
[N06DA04, galantamine, Amlodipine may increase the bradycardic activities of Galantamine.]
[M03AC02, gallamine, Amlodipine may increase the neuromuscular blocking activities of Gallamine.]
[C08DA02, gallopamil, Amlodipine may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, The metabolism of Amlodipine can be increased when combined with Barbexaclone.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Amlodipine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Liraglutide.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Amlodipine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Amlodipine.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Amlodipine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Amlodipine.]
[C05AE01, nitroglycerin, Amlodipine may increase the vasodilatory activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Amlodipine.]
[C02CA04, doxazosin, The risk or severity of hypotension can be increased when Doxazosin is combined with Amlodipine.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Amlodipine.]
[C09AA09, fosinopril, Amlodipine may increase the hypotensive activities of Fosinopril.]
[D01BA01, griseofulvin, The metabolism of Amlodipine can be increased when combined with Griseofulvin.]
[S01EX01, guanethidine, Amlodipine may increase the hypotensive activities of Guanethidine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Amlodipine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Amlodipine.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Amlodipine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Insulin aspart.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Heparin.]
[B05CB03, magnesium citrate, The risk or severity of hypotension can be increased when Magnesium citrate is combined with Amlodipine.]
[A12CC03, magnesium gluconate, The risk or severity of hypotension can be increased when Magnesium gluconate is combined with Amlodipine.]
[A07EC02, mesalamine, Mesalazine may decrease the antihypertensive activities of Amlodipine.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Amlodipine.]
[N05CA16, hexobarbital, Hexobarbital may increase the hypotensive activities of Amlodipine.]
[R03CC05, hexoprenaline, Hexoprenaline may decrease the antihypertensive activities of Amlodipine.]
[C08CA10, nilvadipine, Amlodipine may increase the arrhythmogenic activities of Nilvadipine.]
[M02AA26, nimesulide, Amlodipine may increase the arrhythmogenic activities of Nimesulide.]
[C02DB02, hydralazine, Amlodipine may increase the hypotensive activities of Hydralazine.]
[S02BA01, hydrocortisone, The metabolism of Amlodipine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Hydroflumethiazide.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Amlodipine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Amlodipine.]
[A12BA02, potassium citrate, Potassium citrate may increase the hyperkalemic activities of Amlodipine.]
[G04BD06, propiverine, The risk or severity of hypotension can be increased when Propiverine is combined with Amlodipine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Amlodipine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Amlodipine can be increased when combined with Rifabutin.]
[C02AC06, rilmenidine, Rilmenidine may decrease the antihypertensive activities of Amlodipine.]
[R02AX02, ibuprofen, Ibuprofen may decrease the antihypertensive activities of Amlodipine.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Amlodipine.]
[L01AA06, ifosfamide, The metabolism of Amlodipine can be increased when combined with Ifosfamide.]
[N01AH03, sufentanil, Sufentanil may decrease the antihypertensive activities of Amlodipine.]
[N06AA02, imipramine, The risk or severity of hypotension can be increased when Imipramine is combined with Amlodipine.]
[L01CD01, paclitaxel, The metabolism of Amlodipine can be increased when combined with Paclitaxel.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Tizanidine.]
[S01BC01, indomethacin, Indomethacin may decrease the antihypertensive activities of Amlodipine.]
[C02CA02, indoramin, The risk or severity of hypotension can be increased when Indoramin is combined with Amlodipine.]
[N06AX17, milnacipran, The metabolism of Amlodipine can be decreased when combined with Milnacipran.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Sitagliptin.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Amlodipine can be increased when combined with Cerivastatin.]
[C07AA01, alprenolol, Amlodipine may increase the arrhythmogenic activities of Alprenolol.]
[N06AA13, iprindole, Iprindole may decrease the antihypertensive activities of Amlodipine.]
[N06AF05, iproniazid, Iproniazid may increase the hypotensive activities of Amlodipine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypotensive activities of Amlodipine.]
[S01EC03, dorzolamide, Amlodipine may increase the hypotensive activities of Dorzolamide.]
[R03CC06, isoetharine, Isoetharine may decrease the antihypertensive activities of Amlodipine.]
[C09AA16, imidapril, Amlodipine may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, Isoflurane may decrease the antihypertensive activities of Amlodipine.]
[J04AC01, isoniazid, The metabolism of Amlodipine can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, Isoprenaline may decrease the antihypertensive activities of Amlodipine.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Exenatide.]
[C01DA14, isosorbide mononitrate, Amlodipine may increase the vasodilatory activities of Isosorbide mononitrate.]
[C05AE02, isosorbide dinitrate, Amlodipine may increase the vasodilatory activities of Isosorbide dinitrate.]
[C04AA01, isoxsuprine, Isoxsuprine may decrease the antihypertensive activities of Amlodipine.]
[L04AC07, tocilizumab, The metabolism of Amlodipine can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, Amlodipine may increase the hypotensive activities of Ketanserin.]
[H02CA04, levoketoconazole, The metabolism of Amlodipine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Amlodipine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of hypotension can be increased when Olanzapine is combined with Amlodipine.]
[M02AA10, ketoprofen, Ketoprofen may decrease the antihypertensive activities of Amlodipine.]
[V03AC03, deferasirox, The metabolism of Amlodipine can be increased when combined with Deferasirox.]
[C01CA22, arbutamine, Arbutamine may decrease the antihypertensive activities of Amlodipine.]
[N04BC09, rotigotine, Rotigotine may decrease the antihypertensive activities of Amlodipine.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the antihypertensive activities of Amlodipine.]
[C07AG01, labetalol, The risk or severity of bradycardia can be increased when Amlodipine is combined with Labetalol.]
[C02AA05, deserpidine, Amlodipine may increase the hypotensive activities of Deserpidine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Amlodipine.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Amlodipine.]
[N03AX18, lacosamide, Amlodipine may increase the bradycardic activities of Lacosamide.]
[C03CC01, ethacrynic acid, The risk or severity of adverse effects can be increased when Amlodipine is combined with Etacrynic acid.]
[N04BA01, levodopa, The risk or severity of hypotension and orthostatic hypotension can be increased when Amlodipine is combined with Levodopa.]
[S02DA01, lidocaine, Lidocaine may increase the arrhythmogenic activities of Amlodipine.]
[C08EX01, lidoflazine, Amlodipine may increase the arrhythmogenic activities of Lidoflazine.]
[C03DB01, amiloride, The risk or severity of adverse effects can be increased when Amlodipine is combined with Amiloride.]
[N02CA07, lisuride, Lisuride may decrease the antihypertensive activities of Amlodipine.]
[N06AA07, lofepramine, Lofepramine may decrease the antihypertensive activities of Amlodipine.]
[A07DA03, loperamide, Amlodipine may increase the arrhythmogenic activities of Loperamide.]
[A12AA11, calcium pangamate, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium pangamate.]
[C10AA02, lovastatin, The metabolism of Amlodipine can be decreased when combined with Lovastatin.]
[B05XA11, magnesium chloride, The risk or severity of hypotension can be increased when Magnesium chloride is combined with Amlodipine.]
[G04BX01, magnesium hydroxide, The risk or severity of hypotension can be increased when Magnesium hydroxide is combined with Amlodipine.]
[A12CC10, magnesium oxide, The risk or severity of hypotension can be increased when Magnesium oxide is combined with Amlodipine.]
[V04CC02, magnesium sulfate, Amlodipine may increase the arrhythmogenic activities of Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Amlodipine can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, The risk or severity of adverse effects can be increased when Amlodipine is combined with Mannitol.]
[C02BB01, mecamylamine, Amlodipine may increase the hypotensive activities of Mecamylamine.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the antihypertensive activities of Amlodipine.]
[C01AA08, medigoxin, Amlodipine may increase the arrhythmogenic activities of Metildigoxin.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Amlodipine.]
[B01AB06, nadroparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Nadroparin.]
[B01AB05, enoxaparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Enoxaparin.]
[B01AB04, dalteparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Dalteparin.]
[N05CH01, melatonin, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Melatonin.]
[C01CA11, mephentermine, Mephentermine may decrease the antihypertensive activities of Amlodipine.]
[N03AA01, mephobarbital, The metabolism of Amlodipine can be increased when combined with Methylphenobarbital.]
[L02BG01, aminoglutethimide, The metabolism of Amlodipine can be increased when combined with Aminoglutethimide.]
[N05AX13, paliperidone, The risk or severity of hypotension can be increased when Paliperidone is combined with Amlodipine.]
[C01CA09, metaraminol, Metaraminol may decrease the antihypertensive activities of Amlodipine.]
[A10BA02, metformin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Metformin.]
[H01CB03, lanreotide, Amlodipine may increase the bradycardic activities of Lanreotide.]
[N06BA03, methamphetamine, Metamfetamine may decrease the antihypertensive activities of Amlodipine.]
[S01EC05, methazolamide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Methazolamide.]
[G02CB05, metergoline, Metergoline may decrease the antihypertensive activities of Amlodipine.]
[H03BB02, methimazole, The metabolism of Amlodipine can be decreased when combined with Methimazole.]
[N05CA15, methohexital, Methohexital may increase the hypotensive activities of Amlodipine.]
[N02BG08, ziconotide, Amlodipine may increase the arrhythmogenic activities of Ziconotide.]
[N05AA02, methotrimeprazine, The risk or severity of hypotension can be increased when Methotrimeprazine is combined with Amlodipine.]
[C01CA10, methoxamine, Methoxamine may decrease the antihypertensive activities of Amlodipine.]
[N02BG09, methoxyflurane, Methoxyflurane may decrease the antihypertensive activities of Amlodipine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Amlodipine can be increased when used in combination with Methyclothiazide.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Amlodipine.]
[C02AB01, methyldopa, Amlodipine may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, Methylene blue may increase the hypotensive activities of Amlodipine.]
[G02AB01, methylergonovine, Methylergometrine may decrease the antihypertensive activities of Amlodipine.]
[N06BA04, methylphenidate, Methylphenidate may decrease the antihypertensive activities of Amlodipine.]
[H02AB04, methylprednisolone, The metabolism of Amlodipine can be increased when combined with Methylprednisolone.]
[N02CA04, methysergide, Methysergide may decrease the antihypertensive activities of Amlodipine.]
[C03BA08, metolazone, Amlodipine may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Metoprolol may increase the arrhythmogenic activities of Amlodipine.]
[V04CD01, metyrapone, The metabolism of Amlodipine can be increased when combined with Metyrapone.]
[C01BB02, mexiletine, Mexiletine may increase the arrhythmogenic activities of Amlodipine.]
[N06AX03, mianserin, Mianserin may decrease the antihypertensive activities of Amlodipine.]
[S02AA13, miconazole, The metabolism of Amlodipine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, Aminophenazone may decrease the antihypertensive activities of Amlodipine.]
[B01AB07, parnaparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Parnaparin.]
[C01CA17, midodrine, Midodrine may decrease the antihypertensive activities of Amlodipine.]
[G03XB01, mifepristone, The metabolism of Amlodipine can be increased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Tinzaparin.]
[A06AA01, mineral oil, The therapeutic efficacy of Mineral oil can be decreased when used in combination with Amlodipine.]
[D11AX01, minoxidil, Minoxidil may increase the hypotensive activities of Amlodipine.]
[L01XX23, mitotane, The metabolism of Amlodipine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, Lisdexamfetamine may decrease the antihypertensive activities of Amlodipine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Amlodipine.]
[C01DX12, molsidomine, Molsidomine may increase the hypotensive activities of Amlodipine.]
[C01BD01, amiodarone, The metabolism of Amlodipine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of hypotension can be increased when Amitriptyline is combined with Amlodipine.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Amlodipine.]
[G04BA01, ammonium chloride, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Ammonium chloride.]
[M03AC03, vecuronium, Amlodipine may increase the neuromuscular blocking activities of Vecuronium.]
[N05CA02, amobarbital, The metabolism of Amlodipine can be increased when combined with Amobarbital.]
[G04CA04, silodosin, The risk or severity of orthostatic hypotension and dizziness can be increased when Amlodipine is combined with Silodosin.]
[N06AA17, amoxapine, The risk or severity of hypotension can be increased when Amoxapine is combined with Amlodipine.]
[N03AB05, fosphenytoin, The metabolism of Amlodipine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Amlodipine may increase the arrhythmogenic activities of Nadolol.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Ropinirole is combined with Amlodipine.]
[J01CF06, nafcillin, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Nafcillin.]
[V03AB15, naloxone, The metabolism of Amlodipine can be decreased when combined with Naloxone.]
[S01GA01, naphazoline, Naphazoline may decrease the antihypertensive activities of Amlodipine.]
[N06BA01, amphetamine, Amphetamine may decrease the antihypertensive activities of Amlodipine.]
[M02AA12, naproxen, Naproxen may decrease the antihypertensive activities of Amlodipine.]
[A10BG01, troglitazone, The metabolism of Amlodipine can be increased when combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of orthostatic hypotension and syncope can be increased when Amlodipine is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Amlodipine.]
[N01AH06, remifentanil, Remifentanil may decrease the antihypertensive activities of Amlodipine.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Repaglinide.]
[C01CX08, levosimendan, Amlodipine may increase the arrhythmogenic activities of Levosimendan.]
[N05AX14, iloperidone, The risk or severity of hypotension can be increased when Iloperidone is combined with Amlodipine.]
[J02AA01, amphotericin B, Amlodipine may decrease the nephrotoxic activities of Amphotericin B.]
[N06AX23, desvenlafaxine, The metabolism of Amlodipine can be decreased when combined with Desvenlafaxine.]
[N06AF02, nialamide, Nialamide may increase the hypotensive activities of Amlodipine.]
[C08CA04, nicardipine, Amlodipine may increase the arrhythmogenic activities of Nicardipine.]
[C04AE02, nicergoline, The risk or severity of hypotension can be increased when Nicergoline is combined with Amlodipine.]
[C08CA05, nifedipine, Amlodipine may increase the arrhythmogenic activities of Nifedipine.]
[M02AA17, niflumic acid, Niflumic acid may decrease the antihypertensive activities of Amlodipine.]
[V03AB22, amyl nitrite, Amlodipine may increase the vasodilatory activities of Amyl Nitrite.]
[C08CA06, nimodipine, Amlodipine may increase the arrhythmogenic activities of Nimodipine.]
[C08CA07, nisoldipine, Amlodipine may increase the arrhythmogenic activities of Nisoldipine.]
[C08CA08, nitrendipine, Amlodipine may increase the arrhythmogenic activities of Nitrendipine.]
[R07AX01, nitric oxide, The risk or severity of adverse effects can be increased when Amlodipine is combined with Nitric Oxide.]
[J01XE01, nitrofurantoin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Nitrofurantoin.]
[N04BC05, pramipexole, The risk or severity of adverse effects can be increased when Amlodipine is combined with Pramipexole.]
[C02DD01, nitroprusside, Amlodipine may increase the hypotensive activities of Nitroprusside.]
[N01AX13, nitrous oxide, Nitrous oxide may decrease the antihypertensive activities of Amlodipine.]
[C01CA03, norepinephrine, Norepinephrine may decrease the antihypertensive activities of Amlodipine.]
[C02KX01, bosentan, Amlodipine may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, The risk or severity of hypotension can be increased when Nortriptyline is combined with Amlodipine.]
[G02CA02, nylidrin, Amlodipine may increase the arrhythmogenic activities of Nylidrin.]
[B01AB08, reviparin, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Reviparin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Amlodipine.]
[A02BC01, omeprazole, The metabolism of Amlodipine can be increased when combined with Omeprazole.]
[N06AA05, opipramol, Opipramol may decrease the antihypertensive activities of Amlodipine.]
[R03CB03, metaproterenol, Orciprenaline may decrease the antihypertensive activities of Amlodipine.]
[G04CA02, tamsulosin, The risk or severity of hypotension can be increased when Tamsulosin is combined with Amlodipine.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Amlodipine.]
[C07AA02, oxprenolol, Amlodipine may increase the arrhythmogenic activities of Oxprenolol.]
[C01DX03, oxyfedrine, Oxyfedrine may decrease the antihypertensive activities of Amlodipine.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Amlodipine can be decreased when used in combination with Oxymetazoline.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the antihypertensive activities of Amlodipine.]
[N05AH05, asenapine, The risk or severity of hypotension can be increased when Asenapine is combined with Amlodipine.]
[B01AB09, danaparoid, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Danaparoid.]
[M03AC01, pancuronium, Amlodipine may increase the neuromuscular blocking activities of Pancuronium.]
[G04BE02, papaverine, The risk or severity of adverse effects can be increased when Amlodipine is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Amlodipine can be increased when combined with Paramethasone.]
[C02KC01, pargyline, Pargyline may increase the hypotensive activities of Amlodipine.]
[C07AA23, penbutolol, The risk or severity of bradycardia can be increased when Amlodipine is combined with Penbutolol.]
[N05AG03, penfluridol, Amlodipine may increase the arrhythmogenic activities of Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Amlodipine can be increased when combined with Pentobarbital.]
[C04AD03, pentoxifylline, Pentoxifylline may increase the hypotensive activities of Amlodipine.]
[N04BC02, pergolide, Pergolide may decrease the antihypertensive activities of Amlodipine.]
[C08EX02, perhexiline, Amlodipine may increase the arrhythmogenic activities of Perhexiline.]
[N06AF03, phenelzine, Phenelzine may increase the hypotensive activities of Amlodipine.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Amlodipine can be increased when combined with Phenobarbital.]
[A06AB01, oxyphenisatin, The therapeutic efficacy of Oxyphenisatin can be decreased when used in combination with Amlodipine.]
[C04AX02, phenoxybenzamine, The risk or severity of hypotension can be increased when Phenoxybenzamine is combined with Amlodipine.]
[A08AA01, phentermine, Phentermine may decrease the antihypertensive activities of Amlodipine.]
[V03AB36, phentolamine, The risk or severity of hypotension can be increased when Phentolamine is combined with Amlodipine.]
[M02AA01, phenylbutazone, The metabolism of Amlodipine can be increased when combined with Phenylbutazone.]
[S01GA05, phenylephrine, The risk or severity of hypertension can be decreased when Amlodipine is combined with Phenylephrine.]
[R01BA01, phenylpropanolamine, Phenylpropanolamine may decrease the antihypertensive activities of Amlodipine.]
[N03AB02, phenytoin, The metabolism of Amlodipine can be increased when combined with Phenytoin.]
[C08CX01, mibefradil, Amlodipine may increase the arrhythmogenic activities of Mibefradil.]
[C07AA03, pindolol, The risk or severity of bradycardia can be increased when Amlodipine is combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Amlodipine can be decreased when combined with Saquinavir.]
