[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clobazam.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Clobazam.]
[L04AB02, infliximab, The metabolism of Clobazam can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Clobazam can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Clobazam.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Safinamide.]
[J01MA23, delafloxacin, Clobazam may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Betrixaban can be increased when it is combined with Clobazam.]
[L01BC06, capecitabine, Clobazam may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Clobazam.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Clobazam.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Clobazam.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Clobazam.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Clobazam.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Clobazam.]
[J05AG03, efavirenz, The metabolism of Clobazam can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Clobazam.]
[N04AA11, bornaprine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Clobazam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Clobazam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Clobazam.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Clobazam is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Clobazam.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Clobazam is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Clobazam is combined with Vinylbital.]
[R06AX18, acrivastine, Clobazam may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Clobazam can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Clobazam.]
[A03AA03, camylofine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Clobazam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Clobazam.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Clobazam.]
[L04AA37, baricitinib, Clobazam may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Clobazam.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Clobazam.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01GB14, plazomicin, Clobazam may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Clobazam.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Clobazam.]
[L01XX62, ivosidenib, The metabolism of Clobazam can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Clobazam.]
[A16AX14, migalastat, Clobazam may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Clobazam can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Clobazam.]
[J05AX24, tecovirimat, The metabolism of Clobazam can be decreased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Clobazam.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Clobazam.]
[J01AA14, sarecycline, The serum concentration of Clobazam can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Clobazam.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Clobazam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Clobazam is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Clobazam may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R03DA02, oxtriphylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Clobazam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Clobazam.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Clobazam.]
[L04AA39, emapalumab, The metabolism of Clobazam can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Clobazam.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Clobazam.]
[L01XJ03, glasdegib, The serum concentration of Clobazam can be increased when it is combined with Glasdegib.]
[A06AX05, prucalopride, Clobazam may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Clobazam.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Clobazam is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Clobazam can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Clobazam is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Clobazam.]
[J01FA09, clarithromycin, The metabolism of Clobazam can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Clobazam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Clobazam is combined with Brexanolone.]
[L01EN01, erdafitinib, The serum concentration of Clobazam can be increased when it is combined with Erdafitinib.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Clobazam can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Clobazam.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Clobazam.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Clobazam.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD01, cefotaxime, The therapeutic efficacy of Clobazam can be decreased when used in combination with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Clobazam is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clobazam.]
[L01EJ02, fedratinib, The serum concentration of Clobazam can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Clobazam.]
[N07XX11, pitolisant, The serum concentration of Clobazam can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Clobazam.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Clobazam.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Clobazam.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Clobazam can be increased when used in combination with Yohimbine.]
[J01XX09, daptomycin, The serum concentration of Clobazam can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Clobazam.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DB03, cephalothin, The therapeutic efficacy of Clobazam can be decreased when used in combination with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[G03DB05, demegestone, The serum concentration of Demegestone can be decreased when it is combined with Clobazam.]
[N02CC08, lasmiditan, The serum concentration of Clobazam can be increased when it is combined with Lasmiditan.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Clobazam.]
[G03AC09, desogestrel, The serum concentration of Desogestrel can be decreased when it is combined with Clobazam.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Clobazam.]
[N03AX25, cenobamate, The serum concentration of Clobazam can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M09AX08, golodirsen, Clobazam may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Clobazam.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Clobazam.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Clobazam is combined with Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Clobazam.]
[S01XA12, dexpanthenol, Clobazam may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Clobazam.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Clobazam.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Clobazam.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Clobazam.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Clobazam.]
[H02CA02, osilodrostat, The metabolism of Clobazam can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Clobazam can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Clobazam is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Clobazam is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Clobazam.]
[R02AA03, dichlorobenzyl alcohol, Clobazam may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The serum concentration of Dienogest can be decreased when it is combined with Clobazam.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Clobazam is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Clobazam.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Clobazam.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Clobazam.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Clobazam.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Clobazam is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Clobazam can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Clobazam can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Clobazam is combined with Chlordiazepoxide.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[A03AA08, dihexyverine, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Clobazam.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Clobazam.]
[G04BD09, trospium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Clobazam can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Clobazam may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Clobazam.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clobazam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Clobazam is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Dyclonine.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Clobazam.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Clobazam.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Clobazam.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Remimazolam.]
[N07XX04, sodium oxybate, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Clobazam.]
[L04AC19, satralizumab, The serum concentration of Clobazam can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Clobazam is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Clobazam.]
[L01EX23, pralsetinib, The serum concentration of Clobazam can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Clobazam.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Clobazam.]
[A10BB02, chlorpropamide, Clobazam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Clobazam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Clobazam is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Clobazam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Clobazam is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The serum concentration of Etynodiol can be decreased when it is combined with Clobazam.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Clobazam can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Clobazam can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Clobazam.]
[M01AX25, chondroitin sulfates, Clobazam may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The serum concentration of Clobazam can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Clobazam can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Clobazam can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Clobazam can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Clobazam.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Clobazam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Clobazam is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N06BA10, fenethylline, The therapeutic efficacy of Clobazam can be decreased when used in combination with Fenethylline.]
[C01CA19, fenoldopam, Clobazam may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Clobazam may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Clobazam may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Clobazam may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Clobazam.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Clobazam.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Clobazam is combined with Trichloroethylene.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Clobazam.]
[A02BA01, cimetidine, The metabolism of Clobazam can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Clobazam is combined with Gabapentin.]
[V08CA04, gadoteridol, Clobazam may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Clobazam.]
[L01XX73, sotorasib, The serum concentration of Clobazam can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Clobazam.]
[S03AA07, ciprofloxacin, The metabolism of Clobazam can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Clobazam may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Clobazam.]
[H01AC07, somapacitan, The metabolism of Clobazam can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The serum concentration of Clobazam can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Clobazam.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Clobazam.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Clobazam.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Clobazam.]
[N06AX25, St. John's wort extract, The metabolism of Clobazam can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Clobazam can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Clobazam can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Clobazam.]
[D11AH08, abrocitinib, The serum concentration of Clobazam can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Clobazam can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The serum concentration of Clobazam can be increased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Clobazam can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Clobazam.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Clobazam.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Clobazam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Clobazam.]
[C01EB24, mavacamten, The serum concentration of Clobazam can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Clobazam can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Clobazam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Clobazam.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Clobazam is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Clobazam is combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Clobazam.]
[A10BK06, sotagliflozin, The serum concentration of Clobazam can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Clobazam may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Clobazam is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Clobazam can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Cocaine.]
[C02KB01, metyrosine, Clobazam may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Clobazam can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Clobazam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Clobazam is combined with Hexafluronium.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Clobazam.]
[A03AB10, hexocyclium, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Clobazam may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Clobazam is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Clobazam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Clobazam is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Clobazam.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Clobazam can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Clobazam.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Clobazam is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Clobazam can be decreased when used in combination with Valganciclovir.]
[C05BB03, invert sugar, Clobazam may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Clobazam may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Clobazam may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Clobazam may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Clobazam may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Clobazam.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Clobazam can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Clobazam is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Clobazam which could result in a higher serum level.]
