[S02DA03, antipyrine, The protein binding of Chlorpropamide can be decreased when combined with Antipyrine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01GB14, plazomicin, Chlorpropamide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Chlorpropamide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Chlorpropamide may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Chlorpropamide can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Chlorpropamide.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Carbutamide.]
[D08AE05, chloroxylenol, Chlorpropamide may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The protein binding of Chlorpropamide can be decreased when combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Chlorpropamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A06AX05, prucalopride, Chlorpropamide may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Chlorpropamide.]
[B01AC23, cilostazol, Chlorpropamide may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[C10AB08, ciprofibrate, The risk or severity of hypoglycemia can be increased when Ciprofibrate is combined with Chlorpropamide.]
[A09AB04, citric acid, Citric acid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[P02BX04, triclabendazole, The metabolism of Chlorpropamide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Chlorpropamide.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Chlorpropamide.]
[J01FA09, clarithromycin, The serum concentration of Chlorpropamide can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, Chlorpropamide may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Chlorpropamide.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Chlorpropamide.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Chlorpropamide.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Chlorpropamide.]
[C09CA06, candesartan, The metabolism of Chlorpropamide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Chlorpropamide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Chlorpropamide.]
[L01EM03, alpelisib, The serum concentration of Chlorpropamide can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AA06, cyamemazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N07XX11, pitolisant, Chlorpropamide may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Chlorpropamide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Chlorpropamide.]
[G03DB05, demegestone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Demegestone.]
[G03AC09, desogestrel, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Chlorpropamide.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M09AX08, golodirsen, Chlorpropamide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Chlorpropamide may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Chlorpropamide can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Chlorpropamide can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Chlorpropamide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Chlorpropamide.]
[R02AA03, dichlorobenzyl alcohol, Chlorpropamide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Chlorpropamide.]
[N02CC06, eletriptan, The metabolism of Chlorpropamide can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The protein binding of Chlorpropamide can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Chlorpropamide can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Chlorpropamide can be decreased when combined with Clevidipine.]
[S03AA08, chloramphenicol, The metabolism of Chlorpropamide can be decreased when combined with Chloramphenicol.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Chlorpropamide.]
[M01AC04, droxicam, The protein binding of Chlorpropamide can be decreased when combined with Droxicam.]
[V08CA05, mangafodipir, Chlorpropamide may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Chlorpropamide.]
[M02AA27, dexketoprofen, The protein binding of Chlorpropamide can be decreased when combined with Dexketoprofen.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Chlorpropamide.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Chlorpropamide.]
[L04AC19, satralizumab, The serum concentration of Chlorpropamide can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01EX23, pralsetinib, The metabolism of Chlorpropamide can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlorothiazide.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlorotrianisene.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlorpromazine.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pipemidic acid.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N02BA07, ethenzamide, The protein binding of Chlorpropamide can be decreased when combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Chlorpropamide.]
[G03DC06, ethynodiol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Etynodiol.]
[M01AB08, etodolac, The protein binding of Chlorpropamide can be decreased when combined with Etodolac.]
[M02AA06, etofenamate, The protein binding of Chlorpropamide can be decreased when combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of hypoglycemia can be increased when Etofibrate is combined with Chlorpropamide.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Chlorpropamide.]
[M01AX25, chondroitin sulfates, Chlorpropamide may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01EX21, tepotinib, The metabolism of Chlorpropamide can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Chlorpropamide can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The protein binding of Chlorpropamide can be decreased when combined with Fenbufen.]
[C01CA19, fenoldopam, Chlorpropamide may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C01DX05, chromonar, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Carbocromen.]
[J01MB07, flumequine, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Chlorpropamide.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Chlorpropamide.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Chlorpropamide.]
[N02BG07, flupirtine, Chlorpropamide may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Chlorpropamide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin human.]
[L03AB10, peginterferon alfa-2b, The metabolism of Chlorpropamide can be increased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Follitropin.]
[A02BA01, cimetidine, The serum concentration of Chlorpropamide can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Chlorpropamide.]
[J01MB06, cinoxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Cinoxacin.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Ciprofloxacin.]
[L01XA01, cisplatin, Chlorpropamide may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Chlorpropamide.]
[H01AC07, somapacitan, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Lonapegsomatropin.]
[M01AG01, mefenamic acid, The protein binding of Chlorpropamide can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Chlorpropamide.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Gliquidone.]
[N06AX25, St. John's wort extract, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Chlorpropamide can be decreased when combined with Asciminib.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Chlorpropamide.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Chlorpropamide.]
[C10AB01, clofibrate, The risk or severity of hypoglycemia can be increased when Clofibrate is combined with Chlorpropamide.]
[B06AX04, mitapivat, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Mitapivat.]
[N01BB10, levobupivacaine, Chlorpropamide may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Chlorpropamide.]
[N03AE01, clonazepam, Chlorpropamide may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[C01EB24, mavacamten, The serum concentration of Chlorpropamide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Clopamide.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Chlorpropamide.]
[N05AH02, clozapine, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Sotagliflozin.]
[J01GB12, arbekacin, Chlorpropamide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Chlorpropamide.]
[H01AC08, somatrogon, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Chlorpropamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The protein binding of Chlorpropamide can be decreased when combined with Proquazone.]
[M04AC01, colchicine, Chlorpropamide may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Chlorpropamide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Chlorpropamide can be decreased when combined with Leflunomide.]
[A04AA03, tropisetron, Chlorpropamide may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The protein binding of Chlorpropamide can be decreased when combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Chlorpropamide.]
[B01AC10, indobufen, The protein binding of Chlorpropamide can be decreased when combined with Indobufen.]
[J05AB14, valganciclovir, Chlorpropamide may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Chlorpropamide may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Chlorpropamide may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Chlorpropamide may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Chlorpropamide may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Chlorpropamide may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The protein binding of Chlorpropamide can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Chlorpropamide.]
[N02CC05, almotriptan, Chlorpropamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, The protein binding of Chlorpropamide can be decreased when combined with Parecoxib.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05BA10, ketazolam, Chlorpropamide may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The protein binding of Chlorpropamide can be decreased when combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Chlorpropamide can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Chlorpropamide.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Chlorpropamide.]
[N07BC04, lofexidine, Chlorpropamide may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Lomefloxacin.]
[M01AB09, lonazolac, The protein binding of Chlorpropamide can be decreased when combined with Lonazolac.]
[M02AA31, loxoprofen, The protein binding of Chlorpropamide can be decreased when combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[C09AA03, lisinopril, Chlorpropamide may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Chlorpropamide may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Chlorpropamide can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Chlorpropamide.]
[C07AA14, mepindolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Chlorpropamide.]
[J01DH02, meropenem, Chlorpropamide may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Chlorpropamide.]
[R06AE03, cyclizine, The metabolism of Chlorpropamide can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Chlorpropamide may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Chlorpropamide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Chlorpropamide can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Chlorpropamide.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Chlorpropamide.]
[N06BA07, modafinil, The metabolism of Chlorpropamide can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Rosuvastatin.]
[M02AA02, mofebutazone, The protein binding of Chlorpropamide can be decreased when combined with Mofebutazone.]
[M01AX22, morniflumate, The protein binding of Chlorpropamide can be decreased when combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Chlorpropamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, The protein binding of Chlorpropamide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Chlorpropamide may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Danazol.]
[J04BA02, dapsone, The metabolism of Chlorpropamide can be decreased when combined with Dapsone.]
[A04AD11, nabilone, The metabolism of Chlorpropamide can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The protein binding of Chlorpropamide can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Chlorpropamide may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Chlorpropamide may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Chlorpropamide.]
[C01DX16, nicorandil, Chlorpropamide may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Chlorpropamide can be decreased when combined with Nilutamide.]
[G03DB04, nomegestrol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Nomegestrol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Chlorpropamide.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Chlorpropamide.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Chlorpropamide.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Chlorpropamide.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Chlorpropamide.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Chlorpropamide.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[M01AE12, oxaprozin, The protein binding of Chlorpropamide can be decreased when combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Chlorpropamide.]
[L04AB04, adalimumab, The metabolism of Chlorpropamide can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Chlorpropamide can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Chlorpropamide can be decreased when combined with Paramethadione.]
[H05AA02, teriparatide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Chlorpropamide.]
[B01AC04, clopidogrel, The metabolism of Chlorpropamide can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Chlorpropamide may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Chlorpropamide may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Chlorpropamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Chlorpropamide.]
[R05DA08, pholcodine, Chlorpropamide may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, The protein binding of Chlorpropamide can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[A03AA07, dicyclomine, Chlorpropamide may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Chlorpropamide.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Phthalylsulfathiazole.]
[J05AF02, didanosine, Chlorpropamide may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[G03CC02, dienestrol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Dienestrol.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Chlorpropamide.]
[A10BG03, pioglitazone, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Pioglitazone.]
[C03CA03, piretanide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Chlorpropamide.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Chlorpropamide.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Chlorpropamide.]
[C01AA05, digoxin, Chlorpropamide may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Polyestradiol phosphate.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
