[P02BB01, trichlorfon, The therapeutic efficacy of Doxepin can be decreased when used in combination with Metrifonate.]
[N03AF01, carbamazepine, The metabolism of Doxepin can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Doxepin.]
[A03AA03, camylofine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The risk or severity of Cardiac Arrhythmia can be increased when Carbimazole is combined with Doxepin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L03AB06, interferon alfa-n1, The metabolism of Doxepin can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Carvedilol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Doxepin.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Doxepin.]
[B02BX08, avatrombopag, The metabolism of Doxepin can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Doxepin may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD13, cefpodoxime, Doxepin can cause a decrease in the absorption of Cefpodoxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Doxepin.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01GB14, plazomicin, Doxepin may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be decreased when used in combination with Doxepin.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Doxepin.]
[L01XX62, ivosidenib, The metabolism of Doxepin can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Doxepin.]
[A16AX14, migalastat, Doxepin may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Doxepin can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Doxepin can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Doxepin.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BB06, carbutamide, Doxepin may decrease the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[D08AE05, chloroxylenol, Doxepin may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Doxepin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Doxepin.]
[R03BB08, revefenacin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Doxepin can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Doxepin can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Doxepin can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Doxepin is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Doxepin.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Cibenzoline.]
[C09AA08, cilazapril, Doxepin may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Cilostazol.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[P02BX04, triclabendazole, The metabolism of Doxepin can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Doxepin.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Doxepin is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Doxepin can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Doxepin.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Doxepin.]
[N05BA09, clobazam, The metabolism of Doxepin can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Doxepin.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C09CA06, candesartan, Doxepin may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Doxepin can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Doxepin can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Doxepin can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[S01AA27, cefuroxime, Doxepin can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Doxepin.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Doxepin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Doxepin.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Doxepin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Doxepin.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Doxepin.]
[A10AE03, insulin, regular, pork, Doxepin may decrease the hypoglycemic activities of Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Doxepin.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Doxepin.]
[G03AC09, desogestrel, The metabolism of Doxepin can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Doxepin.]
[N03AX25, cenobamate, The serum concentration of Doxepin can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Doxepin can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Doxepin may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AB02, dexchlorpheniramine, The metabolism of Doxepin can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Doxepin may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Doxepin is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Doxepin can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AX21, diacetylrhein, The metabolism of Doxepin can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Doxepin can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Doxepin can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Doxepin can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Doxepin.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Doxepin.]
[R02AA03, dichlorobenzyl alcohol, Doxepin may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Doxepin may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Doxepin is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Doxepin can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of hypotension can be increased when Doxepin is combined with Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the QTc-prolonging activities of Doxepin.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S03AA08, chloramphenicol, The metabolism of Doxepin can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C02AA06, methoserpidine, Doxepin may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Doxepin.]
[A03AA08, dihexyverine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Doxepin can be decreased when combined with Capmatinib.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Doxepin.]
[G04BD09, trospium, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Droxicam.]
[V08CA05, mangafodipir, Doxepin may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Doxepin.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Doxepin is combined with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Doxepin can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L04AC19, satralizumab, The serum concentration of Doxepin can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Doxepin is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Doxepin can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Doxepin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA06, chlorotrianisene, The serum concentration of Doxepin can be increased when it is combined with Chlorotrianisene.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A10BB02, chlorpropamide, Doxepin may decrease the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A11CC05, cholecalciferol, The metabolism of Doxepin can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Ethenzamide.]
[N02BA03, choline salicylate, Doxepin may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Doxepin can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Doxepin can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Doxepin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Doxepin is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Doxepin can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Doxepin can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Doxepin can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Doxepin.]
[C01CA19, fenoldopam, Doxepin may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Doxepin is combined with Fenozolone.]
[V08CA07, ferric ammonium citrate, Doxepin can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Doxepin can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Doxepin can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Doxepin can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Doxepin can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Doxepin can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Doxepin can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Doxepin is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Flumequine.]
[N02BG07, flupirtine, Doxepin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Doxepin.]
[A10AF01, insulin, regular, human, Doxepin may decrease the hypoglycemic activities of Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Doxepin.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Doxepin can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Doxepin may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Doxepin.]
[B03AB10, ferric maltol, Doxepin can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The metabolism of Doxepin can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Doxepin is combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Doxepin can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The therapeutic efficacy of Sotorasib can be decreased when used in combination with Doxepin.]
[S03AA07, ciprofloxacin, The metabolism of Doxepin can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Doxepin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Doxepin is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Doxepin can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Doxepin is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Doxepin.]
[H01AC09, lonapegsomatropin, The metabolism of Doxepin can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Doxepin may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Doxepin may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Doxepin may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BB12, glimepiride, Doxepin may decrease the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Doxepin may decrease the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Doxepin.]
[J01FF01, clindamycin, Doxepin may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Doxepin can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Doxepin can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Doxepin.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Doxepin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Doxepin.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Doxepin.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Doxepin.]
[C01EB24, mavacamten, The serum concentration of Doxepin can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[A10BX16, tirzepatide, Doxepin may decrease the hypoglycemic activities of Tirzepatide.]
[J02AC06, oteseconazole, Doxepin can cause a decrease in the absorption of Oteseconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Doxepin can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M02AA08, felbinac, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Felbinac.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[A10BX01, guar gum, Doxepin may decrease the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Doxepin may decrease the hypoglycemic activities of Sotagliflozin.]
[J01GB12, arbekacin, Doxepin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[H01AC08, somatrogon, The metabolism of Doxepin can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Doxepin may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Doxepin can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Doxepin is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[M04AC01, colchicine, Doxepin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Doxepin is combined with Homatropine.]
[J01XB01, colistin, Doxepin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Doxepin can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A10BX03, nateglinide, Doxepin may decrease the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Doxepin may decrease the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, Doxepin may decrease the hypoglycemic activities of Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Doxepin can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Doxepin.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J05AB14, valganciclovir, Doxepin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Doxepin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Doxepin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Doxepin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Doxepin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Doxepin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
