[S02DA03, antipyrine, The metabolism of Ibrutinib can be decreased when combined with Antipyrine.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Lepirudin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Ibrutinib is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Ibrutinib.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Ibrutinib.]
[P01BB01, proguanil, The metabolism of Ibrutinib can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Ibrutinib can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Ibrutinib.]
[P01BA01, chloroquine, The metabolism of Ibrutinib can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Ibrutinib can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Ibrutinib.]
[R06AB04, chlorpheniramine, The metabolism of Ibrutinib can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Ibrutinib can be decreased when combined with Chlorpromazine.]
[M03BB03, chlorzoxazone, The metabolism of Ibrutinib can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Ibrutinib can be decreased when combined with Cholecalciferol.]
[B06AC06, berotralstat, The metabolism of Ibrutinib can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ibrutinib can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Ibrutinib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Ibrutinib.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Ibrutinib can be increased when it is combined with Abametapir.]
[G04CB01, finasteride, The metabolism of Ibrutinib can be decreased when combined with Finasteride.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Ibrutinib.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Ibrutinib.]
[R03CC15, formoterol, The metabolism of Ibrutinib can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Ibrutinib.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Ibrutinib.]
[A02BA01, cimetidine, The metabolism of Ibrutinib can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Ibrutinib can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Ibrutinib can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Ibrutinib can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Ibrutinib.]
[N06AB04, citalopram, The metabolism of Ibrutinib can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Ibrutinib can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Anifrolumab.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Ibrutinib.]
[R06AA04, clemastine, The metabolism of Ibrutinib can be decreased when combined with Clemastine.]
[J01FF01, clindamycin, The metabolism of Ibrutinib can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Ibrutinib can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Ibrutinib can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Ibrutinib.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Ibrutinib.]
[C01EB24, mavacamten, The serum concentration of Ibrutinib can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Ibrutinib.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Ibrutinib can be decreased when combined with Ondansetron.]
[L01XX77, adagrasib, The serum concentration of Ibrutinib can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Ibrutinib can be decreased when combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Ibrutinib can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Ibrutinib can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Ibrutinib can be decreased when combined with Codeine.]
[M04AC01, colchicine, The metabolism of Ibrutinib can be decreased when combined with Colchicine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Ibrutinib can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ibrutinib.]
[J01FA15, telithromycin, The metabolism of Ibrutinib can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Ibrutinib.]
[B01AC10, indobufen, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Indobufen.]
[N02CC05, almotriptan, The metabolism of Ibrutinib can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Ibrutinib can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Bemiparin.]
[N05BA10, ketazolam, The metabolism of Ibrutinib can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Ibrutinib can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Ibrutinib can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Ibrutinib.]
[S01BA03, cortisone, The metabolism of Ibrutinib can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Ibrutinib can be decreased when combined with Lofexidine.]
[C08CA11, manidipine, The metabolism of Ibrutinib can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Ibrutinib.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Ibrutinib can be decreased when combined with Mequitazine.]
[C03DA04, eplerenone, The metabolism of Ibrutinib can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The metabolism of Ibrutinib can be decreased when combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Ibrutinib.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Ibrutinib.]
[J01FA03, midecamycin, The metabolism of Ibrutinib can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ibrutinib.]
[N06AX07, minaprine, The metabolism of Ibrutinib can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, Ibrutinib may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Ibrutinib can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Ibrutinib can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Ibrutinib can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Ibrutinib can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Ibrutinib.]
[G04BE09, vardenafil, The metabolism of Ibrutinib can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Ibrutinib can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Ibrutinib.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Ibrutinib.]
[G03XA01, danazol, The metabolism of Ibrutinib can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Ibrutinib can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Ibrutinib can be decreased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Ibrutinib can be decreased when combined with Debrisoquine.]
[C07AB12, nebivolol, The metabolism of Ibrutinib can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Ibrutinib can be decreased when combined with Nefazodone.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Ibrutinib.]
[N06AB10, escitalopram, The serum concentration of Ibrutinib can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Ibrutinib can be decreased when combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Ibrutinib can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Ibrutinib.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Ibrutinib.]
[N03AF02, oxcarbazepine, The metabolism of Ibrutinib can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Ibrutinib can be decreased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Ibrutinib can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Ibrutinib can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Ibrutinib can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Ibrutinib can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Ibrutinib can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Ibrutinib can be decreased when combined with Dextromethorphan.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Ibrutinib.]
[N06AB05, paroxetine, The metabolism of Ibrutinib can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Clopidogrel.]
[A03AX15, peppermint oil, The metabolism of Ibrutinib can be decreased when combined with Peppermint oil.]
[N05BA01, diazepam, The metabolism of Ibrutinib can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Cinchocaine.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Ibrutinib.]
[L01EB02, erlotinib, The metabolism of Ibrutinib can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Ibrutinib can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Ibrutinib can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Difluocortolone.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Ibrutinib.]
[N02CA01, dihydroergotamine, The metabolism of Ibrutinib can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Ibrutinib.]
[J05AE08, atazanavir, The metabolism of Ibrutinib can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Ibrutinib.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Ibrutinib can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Ibrutinib can be decreased when combined with Dimethyl sulfoxide.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dipyridamole.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Drotrecogin alfa.]
[A03FA02, cisapride, The metabolism of Ibrutinib can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Ibrutinib.]
[N05AL04, remoxipride, The metabolism of Ibrutinib can be decreased when combined with Remoxipride.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Ibrutinib can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Ibrutinib can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Ibrutinib can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The metabolism of Ibrutinib can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Ibrutinib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Ibrutinib can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Ibrutinib can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Ibrutinib.]
[G04BE08, tadalafil, The metabolism of Ibrutinib can be decreased when combined with Tadalafil.]
[C02KX02, ambrisentan, The metabolism of Ibrutinib can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ibrutinib can be decreased when combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Ibrutinib can be decreased when combined with Salmeterol.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Ibrutinib.]
[A03FA03, domperidone, The metabolism of Ibrutinib can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Ibrutinib can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Ibrutinib can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Ibrutinib can be decreased when combined with Doxorubicin.]
[N06AB06, sertraline, The metabolism of Ibrutinib can be decreased when combined with Sertraline.]
[C10AA01, simvastatin, The metabolism of Ibrutinib can be decreased when combined with Simvastatin.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Ibrutinib.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Ibrutinib.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Ibrutinib.]
[D01BA02, terbinafine, The metabolism of Ibrutinib can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Ibrutinib.]
[G01AF08, tioconazole, The metabolism of Ibrutinib can be decreased when combined with Tioconazole.]
[N05BA23, tofisopam, The metabolism of Ibrutinib can be decreased when combined with Tofisopam.]
[N06BA09, atomoxetine, The metabolism of Ibrutinib can be decreased when combined with Atomoxetine.]
[B01AC18, triflusal, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Triflusal.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Ibrutinib.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Follitropin can be decreased when used in combination with Ibrutinib.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Troxerutin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Ibrutinib.]
[S01GX10, epinastine, The metabolism of Ibrutinib can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Ibrutinib can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Ibrutinib can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Ibrutinib can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Ibrutinib.]
[N05CF02, zolpidem, The metabolism of Ibrutinib can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The metabolism of Ibrutinib can be decreased when combined with Zonisamide.]
[B01AD03, anistreplase, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Ibrutinib.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Iloprost.]
[N02CA02, ergotamine, The metabolism of Ibrutinib can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Ibrutinib can be decreased when combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Ibrutinib can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Ibrutinib can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Ibrutinib.]
[J04AK02, ethambutol, The metabolism of Ibrutinib can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Ibrutinib can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Ibrutinib can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Ibrutinib can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Ibrutinib can be decreased when combined with Ethinylestradiol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ibrutinib can be decreased when combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Ibrutinib can be decreased when combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Ibrutinib can be decreased when combined with Sertindole.]
[L04AD02, tacrolimus, The metabolism of Ibrutinib can be decreased when combined with Tacrolimus.]
[R06AX11, astemizole, The metabolism of Ibrutinib can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Ibrutinib can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Ibrutinib can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Ibrutinib can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Ibrutinib can be decreased when combined with Encainide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Ibrutinib.]
[B05AA05, dextran, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Ibrutinib.]
[C08CA02, felodipine, The metabolism of Ibrutinib can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Ibrutinib can be decreased when combined with Fenfluramine.]
[B01AD05, plasmin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Ibrutinib.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Ibrutinib.]
[N07AX03, cevimeline, The metabolism of Ibrutinib can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Ibrutinib.]
[J02AC01, fluconazole, The metabolism of Ibrutinib can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Ibrutinib.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Ibrutinib.]
[N07CA03, flunarizine, The metabolism of Ibrutinib can be decreased when combined with Flunarizine.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Ibrutinib.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Fluocortolone is combined with Ibrutinib.]
[V03AZ01, ethanol, The metabolism of Ibrutinib can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Ibrutinib.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Ibrutinib.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Ibrutinib.]
[N06AB03, fluoxetine, The serum concentration of Ibrutinib can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Ibrutinib.]
[N05AB02, fluphenazine, The metabolism of Ibrutinib can be decreased when combined with Fluphenazine.]
[L02BB01, flutamide, The metabolism of Ibrutinib can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Ibrutinib.]
[J05AE10, darunavir, The metabolism of Ibrutinib can be decreased when combined with Darunavir.]
[N06DA04, galantamine, The metabolism of Ibrutinib can be decreased when combined with Galantamine.]
[L01EA02, dasatinib, The metabolism of Ibrutinib can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The metabolism of Ibrutinib can be decreased when combined with Cabergoline.]
[N01AH02, alfentanil, The metabolism of Ibrutinib can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The metabolism of Ibrutinib can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Ibrutinib can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The metabolism of Ibrutinib can be decreased when combined with Dexmedetomidine.]
[C02CA04, doxazosin, The metabolism of Ibrutinib can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, The therapeutic efficacy of Thyrotropin alfa can be decreased when used in combination with Ibrutinib.]
[L01EX02, sorafenib, The metabolism of Ibrutinib can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, The metabolism of Ibrutinib can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Fluindione.]
[P01BX01, halofantrine, The metabolism of Ibrutinib can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Ibrutinib can be decreased when combined with Haloperidol.]
[N05AH04, quetiapine, The metabolism of Ibrutinib can be decreased when combined with Quetiapine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ibrutinib.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Ibrutinib.]
[C09CA01, losartan, The metabolism of Ibrutinib can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Heparin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Ibrutinib.]
[J05AG01, nevirapine, The metabolism of Ibrutinib can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Ibrutinib can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Nimesulide.]
[C02DB02, hydralazine, The metabolism of Ibrutinib can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Ibrutinib.]
[S02BA01, hydrocortisone, The metabolism of Ibrutinib can be decreased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Ibrutinib.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ibrutinib.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Ibrutinib.]
[N05BB01, hydroxyzine, The metabolism of Ibrutinib can be decreased when combined with Hydroxyzine.]
[B05CB02, sodium citrate, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ibrutinib.]
[L01AA06, ifosfamide, The metabolism of Ibrutinib can be decreased when combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Ibrutinib can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Ibrutinib.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Tixocortol.]
[L01CE01, topotecan, The metabolism of Ibrutinib can be decreased when combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Ibrutinib.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Ibrutinib.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ibrutinib.]
[N06AX17, milnacipran, The metabolism of Ibrutinib can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Ibrutinib.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Articaine.]
[N05BA12, alprazolam, The metabolism of Ibrutinib can be decreased when combined with Alprazolam.]
[C10AA06, cerivastatin, The metabolism of Ibrutinib can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Ibrutinib can be decreased when combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Ibrutinib.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Ibrutinib.]
[N06AF05, iproniazid, The metabolism of Ibrutinib can be decreased when combined with Iproniazid.]
[N04BX02, entacapone, The metabolism of Ibrutinib can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Ibrutinib can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding and hemorrhage can be increased when Ibrutinib is combined with Bivalirudin.]
