[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propranolol.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, Propranolol may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Propranolol can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium Phosphate.]
[L01EX10, midostaurin, The metabolism of Propranolol can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The serum concentration of Propranolol can be increased when it is combined with Safinamide.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Propranolol is combined with Bethanechol.]
[J01MA23, delafloxacin, Propranolol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[P03AC02, bioallethrin, Propranolol may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Propranolol is combined with Acetylcholine.]
[L01BC06, capecitabine, Propranolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Propranolol can be increased when it is combined with Enasidenib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Propranolol.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Propranolol.]
[R03AC17, bitolterol, Propranolol may decrease the bronchodilatory activities of Bitolterol.]
[J05AG03, efavirenz, The serum concentration of Propranolol can be decreased when it is combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C07AA17, bopindolol, Propranolol may increase the bradycardic activities of Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Propranolol is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Propranolol can be increased when combined with Budesonide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Propranolol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Propranolol.]
[L01EL02, acalabrutinib, The metabolism of Propranolol can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The serum concentration of Propranolol can be decreased when it is combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Propranolol.]
[C01AA02, acetyldigoxins, Propranolol may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Propranolol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Propranolol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Propranolol.]
[R06AX18, acrivastine, Propranolol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Propranolol may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Propranolol is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The serum concentration of Propranolol can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of Propranolol can be decreased when it is combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium polycarbophil.]
[L03AB06, interferon alfa-n1, The metabolism of Propranolol can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Propranolol may increase the arrhythmogenic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Propranolol.]
[N03AX24, cannabidiol, The serum concentration of Propranolol can be increased when it is combined with Cannabidiol.]
[L04AA37, baricitinib, Propranolol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Propranolol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Propranolol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01GB14, plazomicin, Propranolol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Propranolol may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The serum concentration of Propranolol can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Propranolol can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Propranolol.]
[A16AX14, migalastat, Propranolol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Propranolol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Propranolol can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Propranolol.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Propranolol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Propranolol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Propranolol.]
[D08AE05, chloroxylenol, Propranolol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Propranolol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Propranolol can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Propranolol.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Propranolol.]
[L04AA39, emapalumab, The metabolism of Propranolol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Propranolol can be decreased when combined with Carmustine.]
[A06AX05, prucalopride, Propranolol may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, Propranolol may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Propranolol may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Propranolol.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Propranolol.]
[S01ED05, carteolol, Propranolol may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Propranolol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Propranolol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Propranolol.]
[J01FA09, clarithromycin, The metabolism of Propranolol can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Propranolol.]
[N05BA09, clobazam, The metabolism of Propranolol can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Propranolol can be increased when combined with Cloprednol.]
[C01EB09, ubidecarenone, The therapeutic efficacy of Ubidecarenone can be decreased when used in combination with Propranolol.]
[V03AE07, calcium acetate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Propranolol may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Propranolol can be increased when combined with Etanercept.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Propranolol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The metabolism of Propranolol can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Propranolol can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Propranolol can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C03BX03, cicletanine, Propranolol may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Propranolol.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Propranolol.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Propranolol is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Propranolol can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Propranolol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Propranolol.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Propranolol.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Propranolol.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Propranolol.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Propranolol.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Propranolol.]
[N03AX25, cenobamate, The serum concentration of Propranolol can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Propranolol can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Propranolol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Propranolol can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Propranolol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Propranolol.]
[M01AX21, diacetylrhein, The metabolism of Propranolol can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Propranolol can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Propranolol can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Propranolol can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Propranolol.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Propranolol.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Propranolol.]
[R02AA03, dichlorobenzyl alcohol, Propranolol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Propranolol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Propranolol.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Propranolol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Propranolol.]
[C08CA16, clevidipine, The serum concentration of Propranolol can be increased when it is combined with Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Propranolol.]
[S03AA08, chloramphenicol, The serum concentration of Propranolol can be increased when it is combined with Chloramphenicol.]
[C02AA06, methoserpidine, Propranolol may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Propranolol.]
[L01EX17, capmatinib, The metabolism of Propranolol can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Propranolol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Propranolol.]
[D07XB03, fluprednidene, The metabolism of Propranolol can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Propranolol can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Propranolol.]
[V08CA05, mangafodipir, Propranolol may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Propranolol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Propranolol.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Propranolol.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Propranolol.]
[L04AC19, satralizumab, The serum concentration of Propranolol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Propranolol.]
[P01BA01, chloroquine, The metabolism of Propranolol can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Propranolol can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Propranolol can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Propranolol can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Propranolol can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Propranolol.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Propranolol can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Propranolol can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Propranolol.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Propranolol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Propranolol.]
[N06BX18, vinpocetine, Propranolol may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Propranolol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Propranolol.]
[B06AC06, berotralstat, The metabolism of Propranolol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Propranolol can be increased when it is combined with Lonafarnib.]
[M09AA01, hydroquinine, Propranolol may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Propranolol.]
[M01AX25, chondroitin sulfates, Propranolol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Propranolol.]
[P03AX07, abametapir, The serum concentration of Propranolol can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Propranolol is combined with Vericiguat.]
[V03AF12, trilaciclib, The metabolism of Propranolol can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The serum concentration of Propranolol can be increased when it is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Propranolol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Propranolol is combined with Fenethylline.]
[C01CA19, fenoldopam, Propranolol may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Propranolol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Propranolol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Propranolol can be decreased when combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Propranolol may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Propranolol may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Propranolol may decrease the bronchodilatory activities of Formoterol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Propranolol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Propranolol.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Propranolol.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Propranolol can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Propranolol can be decreased when used in combination with Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Propranolol can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Propranolol may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Propranolol.]
[J01MB06, cinoxacin, The metabolism of Propranolol can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Propranolol can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Propranolol can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Propranolol.]
[N06AB04, citalopram, The serum concentration of Propranolol can be increased when it is combined with Citalopram.]
[H01AC07, somapacitan, The serum concentration of Propranolol can be increased when it is combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Propranolol is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Propranolol.]
[H01AC09, lonapegsomatropin, The metabolism of Propranolol can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Propranolol is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Propranolol may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Propranolol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Propranolol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Propranolol can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Propranolol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Propranolol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Propranolol.]
[R03CC13, clenbuterol, Propranolol may decrease the bronchodilatory activities of Clenbuterol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Propranolol can be decreased when used in combination with Calcium glubionate anhydrous.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Propranolol.]
[N06AX25, St. John's wort extract, The serum concentration of Propranolol can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Propranolol can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Propranolol can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Propranolol.]
[J04BA01, clofazimine, The metabolism of Propranolol can be decreased when combined with Clofazimine.]
[B06AX04, mitapivat, The serum concentration of Propranolol can be decreased when it is combined with Mitapivat.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Propranolol.]
[L01EJ03, pacritinib, The metabolism of Propranolol can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of Propranolol can be increased when it is combined with Clomipramine.]
[N03AE01, clonazepam, Propranolol may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Propranolol.]
[C01EB24, mavacamten, The serum concentration of Propranolol can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Propranolol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Propranolol which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The serum concentration of Propranolol can be increased when it is combined with Vonoprazan.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Propranolol.]
[L01XX77, adagrasib, The serum concentration of Propranolol can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The serum concentration of Propranolol can be increased when it is combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Propranolol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Propranolol.]
[J01GB12, arbekacin, Propranolol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Propranolol can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Propranolol may increase the vasoconstricting activities of Cocaine.]
[C02KB01, metyrosine, Propranolol may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Propranolol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Propranolol.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Propranolol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Propranolol.]
[M04AC01, colchicine, Propranolol may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Propranolol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Propranolol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Propranolol can be decreased when it is combined with Leflunomide.]
[C01BA13, hydroquinidine, Propranolol may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Propranolol.]
[A04AA03, tropisetron, Propranolol may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Propranolol.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Propranolol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Propranolol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Propranolol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Propranolol.]
[J01FA15, telithromycin, The metabolism of Propranolol can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Propranolol.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Propranolol.]
[J05AB14, valganciclovir, Propranolol may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Propranolol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Propranolol may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Propranolol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Propranolol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Propranolol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Propranolol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Propranolol.]
[C01AA06, lanatoside C, Propranolol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Propranolol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Propranolol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Propranolol.]
[J02AC02, itraconazole, The metabolism of Propranolol can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Propranolol is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Propranolol.]
[N05BA10, ketazolam, Propranolol may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Propranolol.]
[L01EA01, imatinib, The serum concentration of Propranolol can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Propranolol can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The serum concentration of Propranolol can be increased when it is combined with Esomeprazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Propranolol.]
[S01EE03, bimatoprost, Propranolol may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Lacidipine may increase the hypotensive activities of Propranolol.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Propranolol.]
[S01BA03, cortisone, The metabolism of Propranolol can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Lofexidine can be decreased when used in combination with Propranolol.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Propranolol.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Propranolol.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Propranolol.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Propranolol which could result in a higher serum level.]
[C09AA03, lisinopril, Propranolol may increase the hypotensive activities of Lisinopril.]
