[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tranylcypromine.]
[C09CA06, candesartan, Tranylcypromine may increase the hypotensive activities of Candesartan.]
[N05AA06, cyamemazine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Cyamemazine.]
[C03BX03, cicletanine, Tranylcypromine may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Tranylcypromine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Tranylcypromine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Tranylcypromine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Tranylcypromine.]
[C03AA09, cyclothiazide, Tranylcypromine may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The therapeutic efficacy of Tranylcypromine can be increased when used in combination with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin pork.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Tranylcypromine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Tranylcypromine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Tranylcypromine.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Tranylcypromine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Tranylcypromine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Tranylcypromine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Tranylcypromine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Tranylcypromine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Tranylcypromine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Tranylcypromine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Tranylcypromine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Tranylcypromine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Tranylcypromine.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Tranylcypromine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Tranylcypromine.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Tranylcypromine.]
[C02AA06, methoserpidine, Tranylcypromine may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Opicapone is combined with Tranylcypromine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Dopexamine.]
[G04BD09, trospium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Tranylcypromine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Tranylcypromine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Tranylcypromine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Tranylcypromine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Tranylcypromine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Tranylcypromine.]
[C03AA04, chlorothiazide, Tranylcypromine may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Tranylcypromine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Tranylcypromine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Tranylcypromine.]
[N05AF03, chlorprothixene, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Tranylcypromine may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Tranylcypromine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Tranylcypromine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Etofenamate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Tranylcypromine.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Naxitamab.]
[C01DX22, vericiguat, Tranylcypromine may increase the orthostatic hypotensive activities of Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Fenbufen.]
[C01CA19, fenoldopam, Tranylcypromine may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Finasteride.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Tranylcypromine.]
[H04AA02, dasiglucagon, Tranylcypromine may increase the hypotensive activities of Dasiglucagon.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Tranylcypromine.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Tranylcypromine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Tranylcypromine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Tranylcypromine.]
[R06AA04, clemastine, Tranylcypromine may increase the anticholinergic activities of Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Tranylcypromine.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Tranylcypromine.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Tranylcypromine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Tranylcypromine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Tranylcypromine.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, Tranylcypromine may increase the orthostatic hypotensive activities of Levobupivacaine.]
[N06AA04, clomipramine, Tranylcypromine may increase the serotonergic activities of Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Tranylcypromine.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Tranylcypromine.]
[A10BX16, tirzepatide, Tranylcypromine may increase the hypoglycemic activities of Tirzepatide.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Tranylcypromine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Tranylcypromine.]
[A10BX01, guar gum, Tranylcypromine may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Tranylcypromine may increase the hypoglycemic activities of Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Halazepam.]
[S02DA02, cocaine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Tranylcypromine may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Tranylcypromine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Tranylcypromine.]
[A03AB10, hexocyclium, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Tranylcypromine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Tranylcypromine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Tranylcypromine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Tranylcypromine may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Tranylcypromine is combined with Insulin glargine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Tranylcypromine.]
[B01AC10, indobufen, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Tranylcypromine.]
[A03AX10, isometheptene, Tranylcypromine may increase the sympathomimetic activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Tranylcypromine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Tranylcypromine.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Tranylcypromine.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Tranylcypromine.]
[C08CA09, lacidipine, Tranylcypromine may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Tranylcypromine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Loxoprofen.]
[C09AA03, lisinopril, Tranylcypromine may increase the hypotensive activities of Lisinopril.]
[C08CA11, manidipine, Tranylcypromine may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Tranylcypromine.]
[R06AD07, mequitazine, Tranylcypromine may increase the anticholinergic activities of Mequitazine.]
[N04AA03, methixene, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, Tranylcypromine may increase the hypertensive activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Tranylcypromine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Tranylcypromine may increase the hypotensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, Tranylcypromine may increase the hypoglycemic activities of Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Tranylcypromine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Tranylcypromine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Tranylcypromine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Tranylcypromine.]
[R06AX02, cyproheptadine, Tranylcypromine may increase the anticholinergic activities of Cyproheptadine.]
[C09AA13, moexipril, Tranylcypromine may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Tranylcypromine.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Morniflumate.]
[C03XA02, conivaptan, Tranylcypromine may increase the orthostatic hypotensive activities of Conivaptan.]
[C02AC05, moxonidine, Tranylcypromine may increase the hypotensive activities of Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Tranylcypromine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Tranylcypromine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Tranylcypromine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Tranylcypromine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Tranylcypromine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Tranylcypromine.]
[N06AX06, nefazodone, Tranylcypromine may increase the serotonergic activities of Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Tranylcypromine.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Tranylcypromine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Tranylcypromine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Tranylcypromine.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Tranylcypromine.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Olsalazine.]
[N06AA01, desipramine, Tranylcypromine may increase the serotonergic activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Tranylcypromine.]
[C09XA02, aliskiren, Tranylcypromine may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxcarbazepine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxiracetam.]
[N04AA08, dexetimide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Tranylcypromine.]
[A03AA01, oxyphencyclimine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Tranylcypromine.]
[N06BA02, dextroamphetamine, Tranylcypromine may increase the hypertensive activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Tranylcypromine is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Tranylcypromine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Tranylcypromine.]
[N06AB05, paroxetine, Tranylcypromine may increase the serotonergic activities of Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Tranylcypromine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Phenacemide.]
[V03AH01, diazoxide, Tranylcypromine may increase the hypotensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Phensuximide.]
[N06AA08, dibenzepin, Tranylcypromine may increase the serotonergic activities of Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Tranylcypromine.]
[R05DA08, pholcodine, Pholcodine may increase the serotonergic activities of Tranylcypromine.]
[S01EC02, dichlorphenamide, Tranylcypromine may increase the orthostatic hypotensive activities of Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Tranylcypromine.]
[A03AA07, dicyclomine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Tranylcypromine may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, Tranylcypromine may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Tranylcypromine may increase the orthostatic hypotensive activities of Pipamperone.]
[A03AB14, pipenzolate, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Tranylcypromine.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Diethylpropion.]
[C08CA03, isradipine, Tranylcypromine may increase the hypotensive activities of Isradipine.]
[A03AB11, poldine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Diflunisal.]
[C02DB01, dihydralazine, Tranylcypromine may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Tranylcypromine.]
[N02AA03, hydromorphone, Tranylcypromine may increase the serotonergic activities of Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Tranylcypromine.]
[B01AC21, treprostinil, Tranylcypromine may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Tranylcypromine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pridinol.]
[R06AB03, dimethindene, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Quazepam.]
[C09AA06, quinapril, Tranylcypromine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Tranylcypromine may increase the orthostatic hypotensive activities of Dipyridamole.]
[N06BA11, dexmethylphenidate, Tranylcypromine may increase the hypertensive activities of Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, Tranylcypromine may increase the serotonergic activities of Quinupramine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Tranylcypromine.]
[C09AA05, ramipril, Tranylcypromine may increase the hypotensive activities of Ramipril.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Tranylcypromine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Reproterol.]
[C01BA03, disopyramide, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Tranylcypromine.]
[N05AX08, risperidone, Tranylcypromine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Levocetirizine.]
[N01BB09, ropivacaine, Tranylcypromine may increase the orthostatic hypotensive activities of Ropivacaine.]
[L01EX01, sunitinib, Tranylcypromine may increase the hypoglycemic activities of Sunitinib.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Tranylcypromine.]
[G04BE08, tadalafil, Tranylcypromine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Tranylcypromine.]
[C02KX02, ambrisentan, Tranylcypromine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Tranylcypromine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Salmeterol.]
[C01CA07, dobutamine, Tranylcypromine may increase the hypertensive activities of Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Tranylcypromine is combined with Domperidone.]
[C01CA04, dopamine, The metabolism of Dopamine can be decreased when combined with Tranylcypromine.]
[N06AA16, dothiepin, Tranylcypromine may increase the serotonergic activities of Dosulepin.]
[R07AB01, doxapram, Tranylcypromine may increase the hypertensive activities of Doxapram.]
[N06AA12, doxepin, Tranylcypromine may increase the serotonergic activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Tranylcypromine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Tranylcypromine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[A08AA10, sibutramine, Tranylcypromine may increase the serotonergic activities of Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Tranylcypromine.]
[C09AA11, spirapril, Tranylcypromine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Sultopride.]
[N02CC01, sumatriptan, The metabolism of Sumatriptan can be decreased when combined with Tranylcypromine.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Tranylcypromine.]
