[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Propafenone.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Propafenone.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Propafenone.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Propafenone.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Propafenone.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Propafenone.]
[L04AA39, emapalumab, The metabolism of Propafenone can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Propafenone.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Propafenone.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Propafenone.]
[C01BG07, cifenline, Propafenone may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Propafenone may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Propafenone.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Propafenone is combined with Cinitapride.]
[S01ED05, carteolol, Propafenone may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Propafenone.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Propafenone.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Propafenone is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Propafenone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Propafenone.]
[N05BA09, clobazam, The metabolism of Propafenone can be decreased when combined with Clobazam.]
[V03AE07, calcium acetate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Propafenone may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Propafenone can be increased when combined with Etanercept.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Propafenone.]
[N05AA06, cyamemazine, The serum concentration of Propafenone can be increased when it is combined with Cyamemazine.]
[C03BX03, cicletanine, Propafenone may increase the arrhythmogenic activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Propafenone.]
[L01EJ02, fedratinib, The serum concentration of Fedratinib can be increased when it is combined with Propafenone.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Propafenone.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Propafenone.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Propafenone.]
[C03AA09, cyclothiazide, Propafenone may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Propafenone.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Propafenone.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Propafenone.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Propafenone.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Propafenone.]
[N03AX25, cenobamate, The serum concentration of Propafenone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Propafenone can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Propafenone.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Propafenone.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Propafenone.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Propafenone.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Propafenone.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Propafenone.]
[M01AX21, diacetylrhein, The metabolism of Propafenone can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Propafenone.]
[S01AE06, gatifloxacin, The metabolism of Propafenone can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Propafenone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Propafenone can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Propafenone.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Propafenone.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Propafenone.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Propafenone.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Propafenone.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Propafenone.]
[C08CA16, clevidipine, Propafenone may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Propafenone may increase the arrhythmogenic activities of Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Propafenone.]
[C02AA06, methoserpidine, Propafenone may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Propafenone.]
[L01EX17, capmatinib, The metabolism of Propafenone can be decreased when combined with Capmatinib.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Propafenone.]
[G04BD09, trospium, The metabolism of Propafenone can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Propafenone.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Propafenone.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Propafenone is combined with Selpercatinib.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Propafenone.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Propafenone.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Propafenone.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Propafenone.]
[P01BB01, proguanil, The metabolism of Propafenone can be decreased when combined with Proguanil.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Propafenone.]
[L04AC19, satralizumab, The serum concentration of Propafenone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Propafenone.]
[P01BA01, chloroquine, The metabolism of Propafenone can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Propafenone.]
[C03AA04, chlorothiazide, Propafenone may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Propafenone.]
[N05AA01, chlorpromazine, The metabolism of Propafenone can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Propafenone.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Propafenone.]
[C03BA04, chlorthalidone, Propafenone may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Propafenone.]
[A11CC05, cholecalciferol, The metabolism of Propafenone can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Propafenone.]
[N06BX18, vinpocetine, Propafenone may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Propafenone.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Propafenone.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Propafenone.]
[A16AX20, lonafarnib, The metabolism of Propafenone can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Propafenone may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Propafenone.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Propafenone is combined with Naxitamab.]
[L04AD03, voclosporin, The serum concentration of Voclosporin can be increased when it is combined with Propafenone.]
[P03AX07, abametapir, The serum concentration of Propafenone can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Propafenone.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Propafenone.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Propafenone.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Propafenone.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Propafenone.]
[C01CA19, fenoldopam, Propafenone may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Propafenone is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Propafenone is combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Propafenone can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Propafenone.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Propafenone.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Propafenone.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Propafenone.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Propafenone is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Propafenone can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Propafenone may decrease the antihypertensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Propafenone.]
[A02BA01, cimetidine, The serum concentration of Propafenone can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Propafenone.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Propafenone.]
[L01XX73, sotorasib, The serum concentration of Propafenone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Propafenone can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Cisplatin may increase the bradycardic activities of Propafenone.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Propafenone can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Finerenone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Propafenone is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Propafenone can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Mobocertinib.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Propafenone.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Propafenone.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Propafenone.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Propafenone.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Propafenone.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Propafenone can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The serum concentration of Propafenone can be decreased when it is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Propafenone can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Propafenone.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Propafenone.]
[L01EJ03, pacritinib, The metabolism of Propafenone can be decreased when combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Propafenone.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Propafenone.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Propafenone.]
[C01EB24, mavacamten, The serum concentration of Propafenone can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Propafenone.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Propafenone.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Propafenone.]
[L01XX77, adagrasib, The serum concentration of Propafenone can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Propafenone can be decreased when combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Propafenone.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Propafenone.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Propafenone.]
[H01AC08, somatrogon, The metabolism of Propafenone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Cocaine.]
[C02KB01, metyrosine, Propafenone may decrease the antihypertensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Propafenone can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Propafenone.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Propafenone.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Propafenone.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Propafenone.]
[L04AA13, leflunomide, The serum concentration of Propafenone can be decreased when it is combined with Leflunomide.]
[C01BA13, hydroquinidine, Propafenone may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, The risk or severity of hypertension can be increased when Propafenone is combined with Desflurane.]
[A04AA03, tropisetron, Propafenone may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Propafenone is combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Propafenone.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Propafenone.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Propafenone.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Propafenone.]
[J01FA15, telithromycin, The metabolism of Propafenone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Propafenone.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Propafenone.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Propafenone.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Propafenone.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Propafenone.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Propafenone.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Propafenone.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Propafenone.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Propafenone.]
[J02AC02, itraconazole, The metabolism of Propafenone can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Propafenone.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Propafenone.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Propafenone.]
[L01EA01, imatinib, The serum concentration of Propafenone can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Propafenone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Propafenone may increase the arrhythmogenic activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Propafenone.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Propafenone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Propafenone.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Propafenone.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Propafenone.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Propafenone.]
[C09AA03, lisinopril, Propafenone may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Propafenone may increase the arrhythmogenic activities of Manidipine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Propafenone is combined with Mefenorex.]
[C07AA14, mepindolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Mepindolol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Propafenone.]
[C01EB10, adenosine, Adenosine may increase the arrhythmogenic activities of Propafenone.]
[C04AX01, cyclandelate, Propafenone may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Propafenone.]
[C03DA04, eplerenone, Propafenone may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, Propafenone may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, Propafenone may decrease the antihypertensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Propafenone.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Propafenone.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Propafenone.]
[S01XA18, cyclosporine, The metabolism of Propafenone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Propafenone.]
[N06BA07, modafinil, The metabolism of Propafenone can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Propafenone.]
[C09AA13, moexipril, Propafenone may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Propafenone.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Propafenone.]
[C03XA02, conivaptan, The metabolism of Propafenone can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Propafenone.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Propafenone.]
[G04BE09, vardenafil, The serum concentration of Vardenafil can be increased when it is combined with Propafenone.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Propafenone.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Propafenone.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Propafenone.]
[G03XA01, danazol, The metabolism of Propafenone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Propafenone is combined with Dantrolene.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Propafenone.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Propafenone.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Propafenone.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Propafenone is combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Propafenone can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Propafenone may increase the arrhythmogenic activities of Nicorandil.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be increased when it is combined with Propafenone.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Propafenone.]
[N06AB10, escitalopram, The serum concentration of Propafenone can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Propafenone.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Propafenone.]
[N06AA01, desipramine, The metabolism of Propafenone can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Propafenone.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Propafenone.]
[C09XA02, aliskiren, Propafenone may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Propafenone.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Propafenone.]
[S03BA01, dexamethasone, The metabolism of Propafenone can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Propafenone can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Propafenone.]
[L04AB04, adalimumab, The metabolism of Propafenone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Propafenone.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Propafenone can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Propafenone.]
[N06AB05, paroxetine, The metabolism of Propafenone can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Propafenone.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be increased when it is combined with Propafenone.]
[V03AH01, diazoxide, Propafenone may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Propafenone is combined with Dibenzepin.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Propafenone.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Propafenone.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Propafenone.]
[C02DG01, pinacidil, Propafenone may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Propafenone may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Propafenone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Propafenone.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Propafenone.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Propafenone.]
[A08AA03, diethylpropion, The therapeutic efficacy of Propafenone can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Propafenone.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Propafenone.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Propafenone.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Propafenone.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Propafenone.]
[C04AE04, dihydroergocristine, Propafenone may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Propafenone may increase the vasoconstricting activities of Dihydroergotamine.]
[J05AE08, atazanavir, The metabolism of Propafenone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Propafenone may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Propafenone.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Propafenone.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Propafenone.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Propafenone.]
[M02AX03, dimethyl sulfoxide, The metabolism of Propafenone can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be increased when it is combined with Propafenone.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Propafenone.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Propafenone.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be increased when it is combined with Propafenone.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Propafenone.]
[C09AA06, quinapril, Propafenone may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the bradycardic activities of Propafenone.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Propafenone is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Propafenone is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Propafenone is combined with Cisapride.]
[C09AA05, ramipril, Propafenone may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Propafenone.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Propafenone.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Propafenone.]
[C01BA03, disopyramide, Propafenone may increase the arrhythmogenic activities of Disopyramide.]
[N07AA03, distigmine, Distigmine may increase the bradycardic activities of Propafenone.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Propafenone.]
[S02AA12, rifamycin SV, The metabolism of Propafenone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Propafenone can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rifaximin can be increased when it is combined with Propafenone.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Propafenone.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Propafenone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Propafenone.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Propafenone.]
[J01MB01, rosoxacin, The metabolism of Propafenone can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Propafenone.]
[A04AD12, aprepitant, The metabolism of Propafenone can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Propafenone.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Propafenone.]
[J05AE07, fosamprenavir, The serum concentration of Propafenone can be increased when it is combined with Fosamprenavir.]
[G04BE08, tadalafil, Propafenone may decrease the antihypertensive activities of Tadalafil.]
