[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Prednisone.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Bumadizone.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Prednisone is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Capsaicin.]
[A10BK04, ertugliflozin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Ertugliflozin.]
[R06AX18, acrivastine, Prednisone may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Prednisone.]
[L02BB05, apalutamide, The metabolism of Prednisone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Prednisone.]
[H03BB01, carbimazole, Carbimazole may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Prednisone.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01GB14, plazomicin, Prednisone may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Prednisone can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Prednisone may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Prednisone can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[A10BB06, carbutamide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Prednisone may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Prednisone.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Ravulizumab.]
[A06AX05, prucalopride, Prednisone may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Prednisone may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Prednisone is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Prednisone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Prednisone may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Prednisone is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Prednisone.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Prednisone is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Risankizumab.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Upadacitinib.]
[N07XX11, pitolisant, The serum concentration of Prednisone can be decreased when it is combined with Pitolisant.]
[C03AA09, cyclothiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Prednisone is combined with Deflazacort.]
[G03DB05, demegestone, The serum concentration of Prednisone can be increased when it is combined with Demegestone.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Prednisone.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Prednisone is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Prednisone is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The serum concentration of Prednisone can be increased when it is combined with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Prednisone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[M09AX08, golodirsen, Prednisone may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, The therapeutic efficacy of Dexpanthenol can be decreased when used in combination with Prednisone.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Teprotumumab.]
[S01AE06, gatifloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Prednisone can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Prednisone is combined with Ozanimod.]
[R02AA03, dichlorobenzyl alcohol, Prednisone may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The serum concentration of Prednisone can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Prednisone.]
[C08CA16, clevidipine, Prednisone may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Prednisone can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The serum concentration of Prednisone can be increased when it is combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Prednisone.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Prednisone.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Prednisone.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Prednisone is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Droxicam.]
[V08CA05, mangafodipir, Prednisone may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be increased when combined with Prednisone.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Prednisone is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Prednisone is combined with Stepronin.]
[L04AC19, satralizumab, The serum concentration of Prednisone can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Chlorothiazide.]
[G03CA06, chlorotrianisene, The serum concentration of Prednisone can be increased when it is combined with Chlorotrianisene.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Prednisone.]
[A10BB02, chlorpropamide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Prednisone may increase the hypokalemic activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Prednisone.]
[A11CC05, cholecalciferol, The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Prednisone.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be decreased when it is combined with Prednisone.]
[G03DC06, ethynodiol, The serum concentration of Prednisone can be increased when it is combined with Etynodiol.]
[M01AB08, etodolac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Prednisone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Prednisone can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Prednisone is combined with Fludarabine.]
[M01AX25, chondroitin sulfates, Prednisone may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Prednisone is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Prednisone can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Fenbufen.]
[C01CA19, fenoldopam, Prednisone may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of tendinopathy can be increased when Prednisone is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Prednisone.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Prednisone.]
[N02BG07, flupirtine, Prednisone may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Prednisone is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Prednisone.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Prednisone.]
[J01MB06, cinoxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Prednisone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Cisplatin can be decreased when used in combination with Prednisone.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Prednisone is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The serum concentration of the active metabolites of Prednisone can be decreased when Prednisone is used in combination with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Prednisone is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The serum concentration of the active metabolites of Prednisone can be decreased when Prednisone is used in combination with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Prednisone may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Prednisone may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Prednisone may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Clenbuterol.]
[J01FF01, clindamycin, The serum concentration of Prednisone can be increased when it is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Prednisone can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Prednisone is combined with Ropeginterferon alfa-2b.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Levobupivacaine.]
[N06AA04, clomipramine, Prednisone may decrease the excretion rate of Clomipramine which could result in a higher serum level.]
[N03AE01, clonazepam, Prednisone may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[C01EB24, mavacamten, The serum concentration of Prednisone can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Prednisone is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Prednisone is combined with Deucravacitinib.]
[N05AH02, clozapine, The metabolism of Prednisone can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Sotagliflozin.]
[J01GB12, arbekacin, Prednisone may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The serum concentration of the active metabolites of Prednisone can be reduced when Prednisone is used in combination with Somatrogon resulting in a loss in efficacy.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Cocaine.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Prednisone is combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Proquazone.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Prednisone.]
[M04AC01, colchicine, Prednisone may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Prednisone may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Prednisone is combined with Leflunomide.]
[A02AD04, hydrotalcite, The bioavailability of Prednisone can be decreased when combined with Hydrotalcite.]
[A04AA03, tropisetron, Prednisone may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Prednisone is combined with Nelarabine.]
[A10AE04, insulin glargine, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Prednisone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Prednisone is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Indobufen.]
[J05AB14, valganciclovir, Prednisone may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Prednisone may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Prednisone may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Prednisone may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Prednisone may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Prednisone may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Prednisone.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Prednisone is combined with Lanatoside C.]
[N02CC05, almotriptan, Prednisone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Prednisone can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N05BA10, ketazolam, Prednisone may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Prednisone.]
[J02AC04, posaconazole, The metabolism of Prednisone can be decreased when combined with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Prednisone.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[N07BC04, lofexidine, Prednisone may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The risk or severity of tendinopathy can be increased when Prednisone is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C09AA03, lisinopril, Prednisone may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A02AD02, magaldrate, The bioavailability of Prednisone can be decreased when combined with Magaldrate.]
[A06AD01, magnesium carbonate, The bioavailability of Prednisone can be decreased when combined with Magnesium carbonate.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Meprednisone.]
[J01DH02, meropenem, Prednisone may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Prednisone may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Prednisone.]
[C03AA07, cyclopenthiazide, The risk or severity of electrolyte imbalance can be increased when Prednisone is combined with Cyclopenthiazide.]
[J01FA03, midecamycin, The serum concentration of Prednisone can be increased when it is combined with Midecamycin.]
[A10BF02, miglitol, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Prednisone.]
[N06AX07, minaprine, The therapeutic efficacy of Minaprine can be decreased when used in combination with Prednisone.]
[S01XA18, cyclosporine, Prednisone may increase the immunosuppressive activities of Cyclosporine.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Prednisone can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Prednisone is combined with Cytarabine.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Prednisone is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Prednisone is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Prednisone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The therapeutic efficacy of Dantrolene can be increased when used in combination with Prednisone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Prednisone is combined with Daunorubicin.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Nabumetone.]
[N07BB05, nalmefene, Prednisone may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Prednisone may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Prednisone can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, The risk or severity of ulceration can be increased when Prednisone is combined with Nicorandil.]
[L02BB02, nilutamide, Prednisone may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[G03DB04, nomegestrol, The serum concentration of Prednisone can be increased when it is combined with Nomegestrol.]
[M03AC11, cisatracurium, The risk or severity of myopathy and weakness can be increased when Cisatracurium is combined with Prednisone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Prednisone.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Olsalazine.]
[N06AA01, desipramine, Prednisone may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Prednisone is combined with Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Prednisone.]
[V04CH02, indigo carmine, Prednisone may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Prednisone.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Prednisone is combined with Dexamethasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Prednisone.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Prednisone may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Prednisone may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Prednisone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Prednisone is combined with Cinchocaine.]
[R05DA08, pholcodine, Prednisone may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Prednisone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal irritation can be increased when Prednisone is combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Prednisone which could result in a higher serum level.]
[A03AA07, dicyclomine, Prednisone may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Prednisone may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[G03CC02, dienestrol, The serum concentration of Prednisone can be increased when it is combined with Dienestrol.]
[A10BG03, pioglitazone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Pioglitazone.]
[L01DC04, ixabepilone, The serum concentration of Prednisone can be increased when it is combined with Ixabepilone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Prednisone is combined with Pirarubicin.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Prednisone is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Prednisone is combined with Piretanide.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Diethylcarbamazine can be decreased when used in combination with Prednisone.]
[L02AA01, diethylstilbestrol, The serum concentration of Prednisone can be increased when it is combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Prednisone can be decreased when combined with Isradipine.]
