[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dapagliflozin.]
[S01GX07, azelastine, The metabolism of Dapagliflozin can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Dapagliflozin can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Plecanatide.]
[L01EF02, ribociclib, The metabolism of Dapagliflozin can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Dapagliflozin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Dapagliflozin.]
[A06AH05, naldemedine, Dapagliflozin may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Dapagliflozin may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Dapagliflozin.]
[N06BC01, caffeine, The metabolism of Dapagliflozin can be decreased when combined with Caffeine.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Dapagliflozin.]
[A10BX06, benfluorex, Dapagliflozin may increase the hypoglycemic activities of Benfluorex.]
[P01CA02, benznidazole, Dapagliflozin may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Dapagliflozin.]
[J05AF06, abacavir, Dapagliflozin may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The metabolism of Dapagliflozin can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Dapagliflozin may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB02, infliximab, The metabolism of Dapagliflozin can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Dapagliflozin can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Dapagliflozin.]
[J01MA23, delafloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Dapagliflozin can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Dapagliflozin.]
[L01XH01, vorinostat, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Dapagliflozin can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Nesiritide is combined with Dapagliflozin.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Dapagliflozin.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Dapagliflozin.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Dapagliflozin.]
[A10BJ06, semaglutide, Dapagliflozin may increase the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The metabolism of Dapagliflozin can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Ertugliflozin.]
[R06AX18, acrivastine, Dapagliflozin may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Captopril.]
[L02BB05, apalutamide, The metabolism of Dapagliflozin can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Dapagliflozin can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Calcium polycarbophil.]
[L03AB06, interferon alfa-n1, The metabolism of Dapagliflozin can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Dapagliflozin.]
[N03AX24, cannabidiol, The metabolism of Dapagliflozin can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Dapagliflozin can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Dapagliflozin may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Dapagliflozin.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Dapagliflozin.]
[J01DD14, ceftibuten, Dapagliflozin may increase the excretion rate of Ceftibuten which could result in a lower serum level and potentially a reduction in efficacy.]
[J01GB14, plazomicin, Dapagliflozin may increase the excretion rate of Plazomicin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB08, celiprolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Dapagliflozin.]
[L01XX62, ivosidenib, The metabolism of Dapagliflozin can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Dapagliflozin.]
[A16AX14, migalastat, Dapagliflozin may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, The metabolism of Dapagliflozin can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Dapagliflozin.]
[S01GX12, cetirizine, Dapagliflozin may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB06, carbutamide, Dapagliflozin may increase the hypoglycemic activities of Carbutamide.]
[D08AE05, chloroxylenol, Dapagliflozin may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Dapagliflozin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Dapagliflozin.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Dapagliflozin.]
[L04AA39, emapalumab, The metabolism of Dapagliflozin can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Dapagliflozin may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Prucalopride.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Dapagliflozin.]
[C09AA08, cilazapril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Cilazapril.]
[B01AC23, cilostazol, Dapagliflozin may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02BX04, triclabendazole, The metabolism of Dapagliflozin can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Dapagliflozin.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Dapagliflozin.]
[J01FA09, clarithromycin, The metabolism of Dapagliflozin can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Dapagliflozin may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Dapagliflozin.]
[N05BA09, clobazam, The metabolism of Dapagliflozin can be decreased when combined with Clobazam.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Dapagliflozin.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Dapagliflozin.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Castor oil.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Dapagliflozin.]
[C09CA06, candesartan, The metabolism of Dapagliflozin can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Dapagliflozin can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Dapagliflozin.]
[L01EM03, alpelisib, The serum concentration of Dapagliflozin can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Dapagliflozin may increase the excretion rate of Cefaclor which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB05, cefadroxil, Dapagliflozin may increase the excretion rate of Cefadroxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC05, cefotetan, Dapagliflozin may increase the excretion rate of Cefotetan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD02, ceftazidime, Dapagliflozin may increase the excretion rate of Ceftazidime which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BX03, cicletanine, Dapagliflozin may increase the hypotensive activities of Cicletanine.]
[J01DD04, ceftriaxone, Dapagliflozin may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Dapagliflozin.]
[L01EJ02, fedratinib, The metabolism of Dapagliflozin can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Dapagliflozin can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Dapagliflozin.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Dapagliflozin can be decreased when combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Dantron.]
[J01XX09, daptomycin, Dapagliflozin may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, Dapagliflozin may increase the excretion rate of Cephalexin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB09, cephradine, Dapagliflozin may increase the excretion rate of Cefradine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Dapagliflozin.]
[G03AC09, desogestrel, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Dapagliflozin.]
[N03AX25, cenobamate, The serum concentration of Dapagliflozin can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Dapagliflozin can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Dapagliflozin may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB02, dexchlorpheniramine, The metabolism of Dapagliflozin can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Dapagliflozin may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Dezocine.]
[L01EX18, avapritinib, The metabolism of Dapagliflozin can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Dapagliflozin can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Dapagliflozin can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Dapagliflozin can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Dapagliflozin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Dapagliflozin.]
[R02AA03, dichlorobenzyl alcohol, Dapagliflozin may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Dapagliflozin.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Dapagliflozin can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Dapagliflozin can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Dapagliflozin can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Dapagliflozin may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, The metabolism of Dapagliflozin can be decreased when combined with Dronedarone.]
[C02AA06, methoserpidine, Dapagliflozin may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Dapagliflozin.]
[L01EX17, capmatinib, The metabolism of Dapagliflozin can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Opicapone.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Dapagliflozin.]
[G04BD09, trospium, The metabolism of Dapagliflozin can be decreased when combined with Trospium.]
[V08CA05, mangafodipir, Dapagliflozin may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Dapagliflozin.]
[M02AA27, dexketoprofen, Dapagliflozin may increase the excretion rate of Dexketoprofen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Dapagliflozin.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Dapagliflozin.]
[P01BB01, proguanil, The metabolism of Dapagliflozin can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Dapagliflozin can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Dapagliflozin can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Dapagliflozin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Dapagliflozin can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Dapagliflozin can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Dapagliflozin may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Chlorthalidone.]
[M03BB03, chlorzoxazone, Dapagliflozin may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC05, cholecalciferol, The metabolism of Dapagliflozin can be decreased when combined with Cholecalciferol.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Dapagliflozin.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Dapagliflozin.]
[M01AB08, etodolac, Dapagliflozin may increase the excretion rate of Etodolac which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC06, berotralstat, The metabolism of Dapagliflozin can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Dapagliflozin can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Dapagliflozin may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AX07, abametapir, The serum concentration of Dapagliflozin can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Dapagliflozin can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Dapagliflozin can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Dapagliflozin can be decreased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Dapagliflozin.]
[C01CA19, fenoldopam, Dapagliflozin may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD15, cefdinir, Dapagliflozin may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB07, flumequine, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Dapagliflozin.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Dapagliflozin.]
[N02BG07, flupirtine, Dapagliflozin may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, The metabolism of Dapagliflozin can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin human.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Dapagliflozin can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Dapagliflozin may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Dapagliflozin can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Dapagliflozin may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Dapagliflozin.]
[J01MB06, cinoxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Dapagliflozin can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Dapagliflozin can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Dapagliflozin may increase the excretion rate of Cisplatin which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Dapagliflozin.]
[H01AC07, somapacitan, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Dapagliflozin.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Lonapegsomatropin.]
[V09AX06, florbetaben f-18, Dapagliflozin may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA04, clemastine, The metabolism of Dapagliflozin can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Dapagliflozin.]
[A10BB12, glimepiride, Dapagliflozin may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Dapagliflozin may increase the hypoglycemic activities of Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Dapagliflozin can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Dapagliflozin can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Dapagliflozin can be decreased when combined with Ropeginterferon alfa-2b.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Dapagliflozin.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Dapagliflozin.]
[C10AB01, clofibrate, The metabolism of Dapagliflozin can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Mitapivat.]
[N01BB10, levobupivacaine, Dapagliflozin may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ03, pacritinib, The metabolism of Dapagliflozin can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Dapagliflozin.]
[N03AE01, clonazepam, Dapagliflozin may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Dapagliflozin.]
[C01EB24, mavacamten, The serum concentration of Dapagliflozin can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Dapagliflozin may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX16, tirzepatide, Dapagliflozin may increase the hypoglycemic activities of Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Clopamide.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Dapagliflozin.]
[N05AH02, clozapine, The metabolism of Dapagliflozin can be decreased when combined with Clozapine.]
[A10BX01, guar gum, Dapagliflozin may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Dapagliflozin may increase the hypoglycemic activities of Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Dapagliflozin.]
[H01AC08, somatrogon, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Somatrogon.]
[S02DA02, cocaine, The metabolism of Dapagliflozin can be decreased when combined with Cocaine.]
[C02KB01, metyrosine, Dapagliflozin may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Dapagliflozin can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Dapagliflozin may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA13, leflunomide, The serum concentration of Dapagliflozin can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Dapagliflozin.]
[A04AA03, tropisetron, Dapagliflozin may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX03, nateglinide, Dapagliflozin may increase the hypoglycemic activities of Nateglinide.]
[H01AC03, mecasermin, Dapagliflozin may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Dapagliflozin is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Dapagliflozin can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Dapagliflozin.]
[J05AB14, valganciclovir, Dapagliflozin may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Dapagliflozin may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Dapagliflozin may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Dapagliflozin may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Dapagliflozin may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Dapagliflozin may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The metabolism of Dapagliflozin can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Dapagliflozin.]
[N02CC05, almotriptan, Dapagliflozin may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Dapagliflozin.]
[J02AC02, itraconazole, The metabolism of Dapagliflozin can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Dapagliflozin may increase the excretion rate of Acyclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA10, ketazolam, Dapagliflozin may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA01, imatinib, The serum concentration of Dapagliflozin can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Dapagliflozin can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Dapagliflozin may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Lactitol.]
[N03AX09, lamotrigine, Dapagliflozin may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Dapagliflozin.]
[N07BC04, lofexidine, Dapagliflozin may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Lomefloxacin.]
[C09AA03, lisinopril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Magnesium carbonate.]
[C08CA11, manidipine, The metabolism of Dapagliflozin can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Dapagliflozin.]
[C07AA14, mepindolol, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Dapagliflozin.]
[R06AD07, mequitazine, The metabolism of Dapagliflozin can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Dapagliflozin may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Dapagliflozin.]
[R06AE03, cyclizine, The metabolism of Dapagliflozin can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, The risk or severity of adverse effects can be increased when Eplerenone is combined with Dapagliflozin.]
[N05AD03, metylperon, Dapagliflozin may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, Dapagliflozin may increase the hypoglycemic activities of Miglitol.]
[J05AF07, tenofovir disoproxil, Dapagliflozin may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Dapagliflozin.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Dapagliflozin.]
[S01XA18, cyclosporine, The metabolism of Dapagliflozin can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Dapagliflozin.]
[N06BA07, modafinil, The metabolism of Dapagliflozin can be decreased when combined with Modafinil.]
[C09AA13, moexipril, The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Dapagliflozin is combined with Moexipril.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Dapagliflozin can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Dapagliflozin is combined with Moxonidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Dapagliflozin.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Dapagliflozin.]
