[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Domperidone.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Domperidone.]
[P03AX07, abametapir, The serum concentration of Domperidone can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Domperidone can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Domperidone.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Domperidone.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Domperidone.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Domperidone.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Domperidone.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Domperidone.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Domperidone.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Domperidone can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Domperidone can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Domperidone.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Domperidone.]
[L01XX73, sotorasib, The serum concentration of Domperidone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Domperidone.]
[L01XA01, cisplatin, The metabolism of Domperidone can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Citalopram is combined with Domperidone.]
[H01AC07, somapacitan, The metabolism of Domperidone can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Domperidone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Domperidone is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Domperidone can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Domperidone.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Domperidone.]
[N06AX25, St. John's wort extract, The metabolism of Domperidone can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Domperidone can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Domperidone.]
[B06AX04, mitapivat, The metabolism of Domperidone can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The metabolism of Domperidone can be decreased when combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Domperidone.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Domperidone.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Domperidone.]
[C01EB24, mavacamten, The serum concentration of Domperidone can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Domperidone.]
[H01CC04, linzagolix, The serum concentration of Domperidone can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Domperidone.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Domperidone.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Domperidone.]
[N05AH02, clozapine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Clozapine.]
[H01AC08, somatrogon, The metabolism of Domperidone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Domperidone can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Domperidone can be decreased when combined with Codeine.]
[A03AB10, hexocyclium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Hexocyclium.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Domperidone can be decreased when used in combination with Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Domperidone can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Domperidone.]
[A10BX03, nateglinide, The metabolism of Domperidone can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Domperidone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Domperidone.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Domperidone.]
[N02CC05, almotriptan, The metabolism of Domperidone can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Domperidone can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Domperidone can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Domperidone.]
[L01EA01, imatinib, The serum concentration of Domperidone can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Domperidone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Domperidone.]
[N03AX09, lamotrigine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Domperidone.]
[S01BA03, cortisone, The metabolism of Domperidone can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Lofexidine is combined with Domperidone.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Domperidone.]
[R06AX13, loratadine, The metabolism of Domperidone can be decreased when combined with Loratadine.]
[C08CA11, manidipine, The metabolism of Domperidone can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Mebeverine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Domperidone.]
[H02AB15, meprednisone, The metabolism of Domperidone can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Domperidone.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Domperidone.]
[N04AA03, methixene, The therapeutic efficacy of Domperidone can be decreased when used in combination with Metixene.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Domperidone.]
[C03DA04, eplerenone, The metabolism of Domperidone can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Domperidone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Domperidone.]
[N06AX07, minaprine, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Minaprine is combined with Domperidone.]
[S01XA18, cyclosporine, The metabolism of Domperidone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Moclobemide is combined with Domperidone.]
[N06BA07, modafinil, The metabolism of Domperidone can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Domperidone.]
[C10AA07, rosuvastatin, The metabolism of Domperidone can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Domperidone can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Domperidone can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Domperidone.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Domperidone.]
[L01AX04, dacarbazine, The metabolism of Domperidone can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Domperidone can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Domperidone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Domperidone can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Domperidone.]
[M01AX01, nabumetone, The metabolism of Domperidone can be decreased when combined with Nabumetone.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Domperidone.]
[N06AX06, nefazodone, The metabolism of Domperidone can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Domperidone can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Domperidone.]
[N06AB10, escitalopram, The serum concentration of Domperidone can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Solifenacin.]
[N06AA01, desipramine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Domperidone.]
[N03AF02, oxcarbazepine, The metabolism of Domperidone can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Domperidone can be increased when combined with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Domperidone can be decreased when used in combination with Dexetimide.]
[G04BD04, oxybutynin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Domperidone.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Domperidone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Domperidone can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Domperidone can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Domperidone can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Domperidone can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Domperidone can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Domperidone.]
[N05BA01, diazepam, The metabolism of Domperidone can be decreased when combined with Diazepam.]
[S01BC03, diclofenac, The metabolism of Domperidone can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Domperidone.]
[A03AA07, dicyclomine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Dicyclomine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Domperidone.]
[A10BG03, pioglitazone, The metabolism of Domperidone can be decreased when combined with Pioglitazone.]
[A03AB14, pipenzolate, The therapeutic efficacy of Domperidone can be decreased when used in combination with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Domperidone.]
[L02AA01, diethylstilbestrol, The metabolism of Domperidone can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Domperidone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Domperidone can be increased when combined with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Poldine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Domperidone.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Domperidone.]
[C02DB01, dihydralazine, The metabolism of Domperidone can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The therapeutic efficacy of Dihydroergotamine can be decreased when used in combination with Domperidone.]
[J05AE08, atazanavir, The metabolism of Domperidone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Domperidone.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Domperidone.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Domperidone.]
[R06AB03, dimethindene, The therapeutic efficacy of Domperidone can be decreased when used in combination with Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Domperidone can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Domperidone.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Domperidone.]
[R06AA02, diphenhydramine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Domperidone can be decreased when combined with Quazepam.]
[A03FA02, cisapride, The metabolism of Domperidone can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Domperidone.]
[N05AL04, remoxipride, The metabolism of Domperidone can be decreased when combined with Remoxipride.]
[C01BA03, disopyramide, The therapeutic efficacy of Domperidone can be decreased when used in combination with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Domperidone.]
[S02AA12, rifamycin SV, The metabolism of Domperidone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Domperidone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Domperidone can be decreased when combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Domperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Domperidone.]
[N01BB09, ropivacaine, The metabolism of Domperidone can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Domperidone.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Domperidone.]
[A04AD12, aprepitant, The metabolism of Domperidone can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Domperidone.]
[G04BE08, tadalafil, The metabolism of Domperidone can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Domperidone can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Domperidone.]
[C01EB18, ranolazine, The serum concentration of Domperidone can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Domperidone can be decreased when combined with Salmeterol.]
[S01AA13, fusidic acid, The metabolism of Domperidone can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Domperidone.]
[M01AG01, mefenamic acid, The metabolism of Domperidone can be decreased when combined with Mefenamic acid.]
[N06AA16, dothiepin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Dosulepin.]
[N06AA12, doxepin, The therapeutic efficacy of Domperidone can be decreased when used in combination with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Domperidone can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Doxylamine.]
[N06AB06, sertraline, The metabolism of Domperidone can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Domperidone.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Domperidone.]
[C10AA01, simvastatin, The metabolism of Domperidone can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Domperidone.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Domperidone.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Domperidone can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Domperidone.]
[G04BD01, emepronium, The therapeutic efficacy of Domperidone can be decreased when used in combination with Emepronium.]
[N06AG03, toloxatone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Toloxatone is combined with Domperidone.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Domperidone.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Toremifene is combined with Domperidone.]
[C03CA04, torsemide, The metabolism of Domperidone can be decreased when combined with Torasemide.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Domperidone can be decreased when used in combination with Tridihexethyl.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Domperidone.]
[N04AA12, tropatepine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Tropatepine.]
[J01MA04, enoxacin, The metabolism of Domperidone can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The metabolism of Domperidone can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Domperidone.]
[N06AX16, venlafaxine, The metabolism of Domperidone can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Domperidone can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Domperidone can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Domperidone.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Domperidone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Domperidone.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Domperidone.]
[C04AE01, ergoloid mesylates, USP, The therapeutic efficacy of Ergoloid mesylate can be decreased when used in combination with Domperidone.]
[N02CA02, ergotamine, The metabolism of Domperidone can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Domperidone.]
[H05BX01, cinacalcet, The metabolism of Domperidone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Domperidone can be decreased when combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Domperidone can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Domperidone can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Domperidone can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Domperidone can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Domperidone can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Domperidone can be decreased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Ibutilide is combined with Domperidone.]
[N04AA05, profenamine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Domperidone.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Domperidone.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Domperidone.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Domperidone.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Domperidone.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Domperidone.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Domperidone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Domperidone.]
[R06AX12, terfenadine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Terfenadine.]
[N06AX12, bupropion, The metabolism of Domperidone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Domperidone can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Domperidone can be decreased when combined with Tocainide.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Domperidone.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Domperidone.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Domperidone.]
[P02CA03, albendazole, The metabolism of Domperidone can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Domperidone can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Domperidone.]
[N03AX26, fenfluramine, The metabolism of Domperidone can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Domperidone can be decreased when combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Domperidone.]
[N07AX03, cevimeline, The metabolism of Domperidone can be decreased when combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Domperidone can be decreased when used in combination with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Domperidone.]
[J02AC01, fluconazole, The metabolism of Domperidone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Domperidone.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Domperidone.]
[D07AC08, fluocinonide, The metabolism of Domperidone can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Domperidone can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Domperidone can be decreased when combined with Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Domperidone.]
[N06AB03, fluoxetine, The serum concentration of Domperidone can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Domperidone can be decreased when combined with Fluphenazine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Domperidone.]
[L02BB01, flutamide, The metabolism of Domperidone can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Domperidone.]
[G01AX06, furazolidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Furazolidone is combined with Domperidone.]
[J05AE10, darunavir, The metabolism of Domperidone can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Domperidone can be decreased when combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Domperidone.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Domperidone.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Domperidone.]
[C10AB04, gemfibrozil, The metabolism of Domperidone can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Domperidone.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Domperidone.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Domperidone.]
[N04BC06, cabergoline, The therapeutic efficacy of Cabergoline can be decreased when used in combination with Domperidone.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Domperidone.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Domperidone.]
[N01AH02, alfentanil, The metabolism of Domperidone can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Domperidone.]
[A10BB01, glyburide, The metabolism of Domperidone can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The metabolism of Domperidone can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Dofetilide is combined with Domperidone.]
[C02CA04, doxazosin, The metabolism of Domperidone can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Domperidone.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Domperidone.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Domperidone.]
[P01BX01, halofantrine, The metabolism of Domperidone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Domperidone can be decreased when combined with Halothane.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Domperidone.]
[N05AH04, quetiapine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Domperidone can be decreased when combined with Irinotecan.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Domperidone.]
[J05AG01, nevirapine, The metabolism of Domperidone can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Domperidone.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Oxatomide is combined with Domperidone.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Domperidone.]
[R05DA03, hydrocodone, The metabolism of Domperidone can be decreased when combined with Hydrocodone.]
[S02BA01, hydrocortisone, The metabolism of Domperidone can be increased when combined with Hydrocortisone.]
[G04BD06, propiverine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Propiverine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Domperidone.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Domperidone is combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Domperidone can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Domperidone can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Domperidone can be decreased when combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Domperidone.]
[H01AC02, somatrem, The metabolism of Domperidone can be increased when combined with Somatrem.]
[N06AA02, imipramine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Domperidone.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Domperidone.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Domperidone.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Domperidone.]
[L03AB04, interferon alfa-2a, The metabolism of Domperidone can be decreased when combined with Interferon alfa-2a.]
[L03AB05, interferon alfa-2b, The metabolism of Domperidone can be decreased when combined with Interferon alfa-2b.]
[N06AX17, milnacipran, The metabolism of Domperidone can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, The therapeutic efficacy of Domperidone can be decreased when used in combination with Piperidolate.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Domperidone.]
[N05BA12, alprazolam, The metabolism of Domperidone can be decreased when combined with Alprazolam.]
[N05CH02, ramelteon, The metabolism of Domperidone can be decreased when combined with Ramelteon.]
[R06AE01, buclizine, The therapeutic efficacy of Domperidone can be decreased when used in combination with Buclizine.]
