[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Norfloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Norfloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Norfloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Norfloxacin.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Etofibrate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Relugolix.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Norfloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Norfloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Norfloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Norfloxacin.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Norfloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Norfloxacin.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Norfloxacin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Norfloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Norfloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Norfloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Norfloxacin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Norfloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Norfloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Norfloxacin.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Norfloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Norfloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Norfloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Norfloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Norfloxacin.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Norfloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Norfloxacin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Norfloxacin.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Norfloxacin.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Norfloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Granisetron.]
[J01CF02, cloxacillin, The serum concentration of Norfloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Norfloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Norfloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Norfloxacin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Norfloxacin.]
[J01CA18, hetacillin, The serum concentration of Norfloxacin can be increased when it is combined with Hetacillin.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Norfloxacin.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Desflurane.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Norfloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Norfloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Norfloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Norfloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Norfloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Norfloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Desloratadine.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Norfloxacin.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Norfloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Norfloxacin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Emedastine.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Norfloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Norfloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Levocabastine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Norfloxacin.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Norfloxacin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Norfloxacin.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Norfloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Norfloxacin.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Norfloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Norfloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Adenosine.]
[J01CA14, methampicillin, The serum concentration of Norfloxacin can be increased when it is combined with Metampicillin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cyclizine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Melperone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Norfloxacin.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Norfloxacin.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Norfloxacin.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Norfloxacin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Norfloxacin.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Norfloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Norfloxacin.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cytarabine is combined with Norfloxacin.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Norfloxacin.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Norfloxacin.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Norfloxacin.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Norfloxacin.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Norfloxacin.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Norfloxacin.]
[M03AC11, cisatracurium, Norfloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Solifenacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Norfloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Norfloxacin.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Norfloxacin.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Oxaliplatin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Norfloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Norfloxacin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Norfloxacin.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Norfloxacin.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Norfloxacin.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Norfloxacin.]
[J01CE05, phenethicillin, The serum concentration of Norfloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Norfloxacin.]
[J01CF01, dicloxacillin, The serum concentration of Norfloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Norfloxacin.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Norfloxacin.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Norfloxacin.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Norfloxacin.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Norfloxacin.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Norfloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Norfloxacin.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Norfloxacin.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Norfloxacin.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Norfloxacin.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dimenhydrinate.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Norfloxacin.]
[J01CE03, propicillin, The serum concentration of Norfloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Norfloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Norfloxacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Norfloxacin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Norfloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Cisapride.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be increased when used in combination with Norfloxacin.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Norfloxacin.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Norfloxacin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Norfloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Norfloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Norfloxacin.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Norfloxacin.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Norfloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ranolazine.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Norfloxacin.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Norfloxacin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Doxepin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Norfloxacin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Droperidol.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Norfloxacin.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Norfloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Norfloxacin.]
[J01CG02, tazobactam, The excretion of Tazobactam can be decreased when combined with Norfloxacin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Norfloxacin can be increased when it is combined with Temocillin.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Norfloxacin.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Terbinafine is combined with Norfloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Terodiline.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Enalapril is combined with Norfloxacin.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Norfloxacin.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Norfloxacin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Toremifene.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Norfloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Norfloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Norfloxacin.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Norfloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Norfloxacin.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Norfloxacin.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Norfloxacin.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Norfloxacin.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Norfloxacin.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Norfloxacin.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Norfloxacin.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Valproic acid.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Norfloxacin.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Norfloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Norfloxacin.]
[R03BA09, fluticasone furoate, The risk or severity of tendinopathy can be increased when Fluticasone furoate is combined with Norfloxacin.]
[R03BA05, fluticasone, The risk or severity of tendinopathy can be increased when Fluticasone is combined with Norfloxacin.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Norfloxacin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Norfloxacin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Norfloxacin is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Norfloxacin.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Norfloxacin.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nizatidine is combined with Norfloxacin.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Fleroxacin.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Astemizole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Norfloxacin.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Norfloxacin.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Norfloxacin.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Norfloxacin.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Norfloxacin.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Norfloxacin.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Norfloxacin.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Norfloxacin.]
[M01AE04, fenoprofen, Fenoprofen may increase the neuroexcitatory activities of Norfloxacin.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Norfloxacin.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Norfloxacin.]
[L04AA40, cladribine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cladribine is combined with Norfloxacin.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Norfloxacin.]
[N02BG04, floctafenine, Floctafenine may increase the neuroexcitatory activities of Norfloxacin.]
[J01CF05, floxacillin, The serum concentration of Norfloxacin can be increased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Norfloxacin.]
[H02AA02, fludrocortisone, The risk or severity of tendinopathy can be increased when Fludrocortisone is combined with Norfloxacin.]
[D07XB01, flumethasone, The risk or severity of tendinopathy can be increased when Flumethasone is combined with Norfloxacin.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Norfloxacin.]
[D07AC08, fluocinonide, The risk or severity of tendinopathy can be increased when Fluocinonide is combined with Norfloxacin.]
[H02AB03, fluocortolone, The risk or severity of tendinopathy can be increased when Fluocortolone is combined with Norfloxacin.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ethanol is combined with Norfloxacin.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Norfloxacin.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Norfloxacin.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Flupentixol.]
[S01BC04, flurbiprofen, Flurbiprofen may increase the neuroexcitatory activities of Norfloxacin.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Norfloxacin.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Norfloxacin.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Alendronic acid is combined with Norfloxacin.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Norfloxacin.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Norfloxacin.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Gallopamil.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ganciclovir is combined with Norfloxacin.]
[C10AB04, gemfibrozil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Norfloxacin is combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Norfloxacin.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Norfloxacin.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be increased when used in combination with Norfloxacin.]
