[S02DA03, antipyrine, The metabolism of Lacosamide can be decreased when combined with Antipyrine.]
[J01DD01, cefotaxime, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Cefotaxime.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lacosamide.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Lacosamide.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Lacosamide.]
[N07XX11, pitolisant, The serum concentration of Lacosamide can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Lacosamide can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Lacosamide.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Lacosamide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lacosamide.]
[J01DB01, cephalexin, The metabolism of Lacosamide can be decreased when combined with Cephalexin.]
[J01DB03, cephalothin, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Cefalotin.]
[J01DB09, cephradine, The metabolism of Lacosamide can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Lacosamide can be increased when combined with Deflazacort.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Lacosamide.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Lacosamide.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Lacosamide.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Lacosamide.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Lacosamide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Lacosamide.]
[N03AX25, cenobamate, The serum concentration of Lacosamide can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Lacosamide.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Lacosamide.]
[L01EX18, avapritinib, The metabolism of Lacosamide can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Lacosamide is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Lacosamide.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Lacosamide.]
[M01AX21, diacetylrhein, The metabolism of Lacosamide can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The metabolism of Lacosamide can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Lacosamide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Lacosamide can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lacosamide.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Lacosamide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Lacosamide.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Lacosamide.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Lacosamide.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Lacosamide.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lacosamide.]
[M01AH02, rofecoxib, The metabolism of Lacosamide can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Lacosamide can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Lacosamide can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Lacosamide.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Lacosamide.]
[J01FA13, dirithromycin, The metabolism of Lacosamide can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Lacosamide can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Lacosamide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Lacosamide.]
[A03AA08, dihexyverine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[D07XB03, fluprednidene, The metabolism of Lacosamide can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Lacosamide is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Lacosamide.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Dyclonine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Lacosamide.]
[P01BB01, proguanil, The metabolism of Lacosamide can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Lacosamide is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Lacosamide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Lacosamide is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Lacosamide can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Lacosamide.]
[N05AA01, chlorpromazine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Lacosamide can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Lacosamide.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Lacosamide.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Lacosamide.]
[M01AB08, etodolac, The metabolism of Lacosamide can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The metabolism of Lacosamide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lacosamide can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Lacosamide can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Lacosamide can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Lacosamide is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Lacosamide.]
[N06BA10, fenethylline, Lacosamide may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA03, flunisolide, The metabolism of Lacosamide can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Lacosamide can be increased when combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The metabolism of Lacosamide can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Lacosamide.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Lacosamide is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Lacosamide can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Lacosamide can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Lacosamide.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Lacosamide.]
[L01XX73, sotorasib, The serum concentration of Lacosamide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Lacosamide.]
[S03AA07, ciprofloxacin, The metabolism of Lacosamide can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Lacosamide is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Lacosamide can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Lacosamide is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Lacosamide.]
[L04AA59, avacopan, The metabolism of Lacosamide can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Lacosamide.]
[A10BB12, glimepiride, The metabolism of Lacosamide can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Lacosamide can be decreased when combined with Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Lacosamide can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Lacosamide can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Lacosamide.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Lacosamide.]
[J04BA01, clofazimine, The metabolism of Lacosamide can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Lacosamide can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Lacosamide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Lacosamide can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Lacosamide can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Lacosamide.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Lacosamide.]
[C01EB24, mavacamten, The serum concentration of Lacosamide can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Lacosamide can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Lacosamide.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lacosamide.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Lacosamide.]
[N05AH02, clozapine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Lacosamide.]
[H01AC08, somatrogon, The metabolism of Lacosamide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Cocaine.]
[C02KB01, metyrosine, Lacosamide may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Lacosamide can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Lacosamide.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Lacosamide.]
[A03AB10, hexocyclium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Lacosamide can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Lacosamide.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Lacosamide is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Lacosamide can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Lacosamide can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Lacosamide.]
[J05AB14, valganciclovir, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Valganciclovir.]
[M01AH03, valdecoxib, The metabolism of Lacosamide can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lacosamide.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Lacosamide.]
[J02AC02, itraconazole, The metabolism of Lacosamide can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Lacosamide.]
[L01EA01, imatinib, The metabolism of Lacosamide can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Lacosamide can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Lacosamide can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Lacosamide may increase the bradycardic activities of Lacidipine.]
[N03AX09, lamotrigine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Lacosamide can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Lacosamide can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Lacosamide.]
[C08CA11, manidipine, The metabolism of Lacosamide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Medifoxamine.]
[C07AA14, mepindolol, Lacosamide may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The metabolism of Lacosamide can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Lacosamide can be decreased when combined with Mequitazine.]
[R06AD04, methdilazine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Cyclandelate may increase the bradycardic activities of Lacosamide.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Lacosamide.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Lacosamide is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Lacosamide is combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Lacosamide can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Lacosamide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Lacosamide.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Lacosamide.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lacosamide.]
[N06BA07, modafinil, The metabolism of Lacosamide can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Lacosamide can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Lacosamide can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Lacosamide can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Lacosamide can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lacosamide.]
[J04BA02, dapsone, The metabolism of Lacosamide can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Lacosamide can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[M01AX01, nabumetone, The metabolism of Lacosamide can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Lacosamide can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Lacosamide can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Lacosamide can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Lacosamide.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Lacosamide.]
[C01CA23, theodrenaline, Lacosamide may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Lacosamide.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Lacosamide is combined with Escitalopram.]
[G04BD08, solifenacin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lacosamide.]
[S03BA01, dexamethasone, The metabolism of Lacosamide can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Oxiracetam.]
[N04AA08, dexetimide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Lacosamide can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Lacosamide.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Lacosamide.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Lacosamide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Lacosamide can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Lacosamide.]
[C04AD01, pentifylline, Lacosamide may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Lacosamide.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Lacosamide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Lacosamide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Lacosamide is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Lacosamide can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Lacosamide can be increased when combined with Dicloxacillin.]
[A03AA07, dicyclomine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, Lacosamide may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Pipamperone.]
[A03AB14, pipenzolate, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Lacosamide.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Lacosamide.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Lacosamide.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Lacosamide.]
[C08CA03, isradipine, The metabolism of Lacosamide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Lacosamide can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Lacosamide.]
[C01AA05, digoxin, Digoxin may increase the bradycardic activities of Lacosamide.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Lacosamide.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Lacosamide.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Lacosamide.]
[J05AE08, atazanavir, The metabolism of Lacosamide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Lacosamide can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Lacosamide can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Lacosamide.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Lacosamide is combined with Pridinol.]
[R06AB03, dimethindene, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Lacosamide can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Lacosamide.]
[N06BC02, propentofylline, Lacosamide may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C05CA03, diosmin, The metabolism of Lacosamide can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Proparacaine.]
[R03DA03, proxyphylline, Lacosamide may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Lacosamide.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Lacosamide.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Lacosamide is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Lacosamide.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Lacosamide.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Lacosamide.]
[C01BA03, disopyramide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Lacosamide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Lacosamide can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Lacosamide.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Lacosamide.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Lacosamide.]
[A04AD12, aprepitant, The metabolism of Lacosamide can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Lacosamide.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Lacosamide.]
[J05AE07, fosamprenavir, The metabolism of Lacosamide can be decreased when combined with Fosamprenavir.]
[S01BC05, ketorolac, The metabolism of Lacosamide can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The metabolism of Lacosamide can be decreased when combined with Ranolazine.]
[N06AA16, dothiepin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Lacosamide.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Lacosamide is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Lacosamide.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Lacosamide can be decreased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Lacosamide can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Lacosamide may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Lacosamide.]
[C07AB13, talinolol, Lacosamide may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The metabolism of Lacosamide can be increased when combined with Corticotropin.]
[M01AC02, tenoxicam, The metabolism of Lacosamide can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Lacosamide can be increased when combined with Terbinafine.]
[G04BD05, terodiline, Lacosamide may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, Lacosamide may increase the bradycardic activities of Tertatolol.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Lacosamide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Lacosamide is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Lacosamide is combined with Thiopropazate.]
[G04BD01, emepronium, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Lacosamide.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Lacosamide may increase the bradycardic activities of Tolfenamic acid.]
