[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vinylbital.]
[R06AX18, acrivastine, Brivaracetam may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Brivaracetam can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Brivaracetam.]
[A03AA03, camylofine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Brivaracetam.]
[C07AG02, carvedilol, The metabolism of Brivaracetam can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Brivaracetam.]
[B02BX08, avatrombopag, The metabolism of Brivaracetam can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Brivaracetam may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01GB14, plazomicin, Brivaracetam may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Brivaracetam can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Brivaracetam can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Brivaracetam.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Brivaracetam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Brivaracetam.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Brivaracetam may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R03DA02, oxtriphylline, Brivaracetam may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Brivaracetam.]
[R03BB08, revefenacin, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Brivaracetam can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A06AX05, prucalopride, Brivaracetam may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Brivaracetam can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Brivaracetam.]
[J01FA09, clarithromycin, The metabolism of Brivaracetam can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Brivaracetam.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Brivaracetam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Brivaracetam.]
[C09CA06, candesartan, The metabolism of Brivaracetam can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Brivaracetam can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Brivaracetam can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD01, cefotaxime, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Brivaracetam.]
[N07XX11, pitolisant, The serum concentration of Brivaracetam can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Brivaracetam.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Brivaracetam.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB03, cephalothin, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Brivaracetam.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Brivaracetam.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Brivaracetam.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Brivaracetam.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Brivaracetam.]
[N03AX25, cenobamate, The serum concentration of Brivaracetam can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M09AX08, golodirsen, Brivaracetam may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Brivaracetam.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Brivaracetam may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Brivaracetam.]
[L01EX18, avapritinib, The metabolism of Brivaracetam can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Brivaracetam can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Brivaracetam can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Brivaracetam.]
[J05AE05, amprenavir, The metabolism of Brivaracetam can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Brivaracetam.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Brivaracetam.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Brivaracetam.]
[R02AA03, dichlorobenzyl alcohol, Brivaracetam may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Brivaracetam.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Brivaracetam.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Brivaracetam.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Brivaracetam.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Brivaracetam can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Brivaracetam can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Brivaracetam can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Brivaracetam.]
[L01AA02, chlorambucil, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Brivaracetam.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Brivaracetam.]
[A03AA08, dihexyverine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Brivaracetam.]
[G04BD09, trospium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V08CA05, mangafodipir, Brivaracetam may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Brivaracetam.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Dyclonine.]
[P01BB01, proguanil, The metabolism of Brivaracetam can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Brivaracetam is combined with Remimazolam.]
[N07XX04, sodium oxybate, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Brivaracetam can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Brivaracetam is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Brivaracetam can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Brivaracetam.]
[N05AA01, chlorpromazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AF03, chlorprothixene, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Brivaracetam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BA03, choline salicylate, Brivaracetam may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Brivaracetam.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Brivaracetam.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Brivaracetam can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Brivaracetam can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Brivaracetam may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Brivaracetam can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Brivaracetam can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Brivaracetam.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06BA10, fenethylline, Brivaracetam may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BG07, flupirtine, Brivaracetam may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Brivaracetam can be decreased when combined with Formoterol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Brivaracetam can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Brivaracetam can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Brivaracetam.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Brivaracetam can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Brivaracetam can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Brivaracetam can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Brivaracetam may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Brivaracetam.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Brivaracetam.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A10BB12, glimepiride, The metabolism of Brivaracetam can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Brivaracetam can be decreased when combined with Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Brivaracetam can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Brivaracetam can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Brivaracetam.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Brivaracetam.]
[B06AX04, mitapivat, The metabolism of Brivaracetam can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Clomipramine is combined with Brivaracetam.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Brivaracetam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Brivaracetam.]
[C01EB24, mavacamten, The serum concentration of Brivaracetam can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Brivaracetam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Brivaracetam.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Brivaracetam.]
[N05AH02, clozapine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01GB12, arbekacin, Brivaracetam may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Brivaracetam.]
[H01AC08, somatrogon, The metabolism of Brivaracetam can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Cocaine.]
[C02KB01, metyrosine, Brivaracetam may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Brivaracetam can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Brivaracetam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Brivaracetam.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A03AB10, hexocyclium, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Brivaracetam may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Brivaracetam can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Brivaracetam.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Brivaracetam can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Brivaracetam.]
[J05AB14, valganciclovir, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Valganciclovir.]
[C05BB03, invert sugar, Brivaracetam may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V08AB05, iopromide, Brivaracetam may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Brivaracetam may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Brivaracetam may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Brivaracetam.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Brivaracetam can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Brivaracetam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Brivaracetam can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Brivaracetam can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Brivaracetam can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Brivaracetam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Brivaracetam may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Brivaracetam can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Medifoxamine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AD04, methdilazine, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Brivaracetam.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Brivaracetam.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Brivaracetam.]
[S01XA18, cyclosporine, The metabolism of Brivaracetam can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Brivaracetam.]
[N06BA07, modafinil, The metabolism of Brivaracetam can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Brivaracetam can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Brivaracetam can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Brivaracetam can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Brivaracetam can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Brivaracetam.]
[J04BA02, dapsone, The metabolism of Brivaracetam can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N07BB05, nalmefene, Brivaracetam may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Nordazepam.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Brivaracetam can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Niaprazine.]
[C01DX16, nicorandil, Brivaracetam may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Brivaracetam can be decreased when combined with Nilutamide.]
