[P02BB01, trichlorfon, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metrifonate.]
[C03AA04, chlorothiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Thiopental is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Thiopental.]
[N05AF03, chlorprothixene, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Thiopental.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Thiopental is combined with Etifoxine.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be increased when combined with Thiopental.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Thiopental is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Thiopental.]
[A16AX20, lonafarnib, The metabolism of Thiopental can be decreased when combined with Lonafarnib.]
[C01DX22, vericiguat, Thiopental may increase the hypotensive activities of Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Thiopental is combined with Febarbamate.]
[N03AX10, felbamate, The serum concentration of Thiopental can be increased when it is combined with Felbamate.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be decreased when it is combined with Thiopental.]
[C01CA19, fenoldopam, Thiopental may increase the hypotensive activities of Fenoldopam.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Thiopental.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Thiopental.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Thiopental is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Thiopental may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Thiopental can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Thiopental is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Thiopental.]
[L01XA01, cisplatin, The therapeutic efficacy of Thiopental can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The metabolism of Thiopental can be decreased when combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Thiopental can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Thiopental.]
[P01CA03, fexinidazole, The metabolism of Thiopental can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Thiopental.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Thiopental.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Thiopental.]
[N06AX25, St. John's wort extract, The metabolism of Thiopental can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Thiopental can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Thiopental.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Thiopental.]
[B06AX04, mitapivat, The metabolism of Thiopental can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Thiopental can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Thiopental.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Thiopental.]
[C01EB24, mavacamten, The serum concentration of Thiopental can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Thiopental can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Thiopental is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Thiopental is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Thiopental is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Thiopental can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Halazepam.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Cocaine.]
[C02KB01, metyrosine, Thiopental may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Thiopental can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Thiopental is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Thiopental is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Thiopental.]
[A03AB10, hexocyclium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Thiopental is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, Thiopental may increase the hypotensive activities of Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Thiopental is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Thiopental is combined with Ifenprodil.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Thiopental is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Thiopental can be decreased when used in combination with Valganciclovir.]
[H01AX01, pegvisomant, The therapeutic efficacy of Thiopental can be decreased when used in combination with Pegvisomant.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Thiopental is combined with Almotriptan.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Thiopental is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Thiopental.]
[A02BC05, esomeprazole, The metabolism of Thiopental can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Thiopental may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Thiopental.]
[N03AX09, lamotrigine, The serum concentration of Lamotrigine can be decreased when it is combined with Thiopental.]
[N07BC04, lofexidine, The therapeutic efficacy of Thiopental can be increased when used in combination with Lofexidine.]
[R06AX13, loratadine, Thiopental may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Thiopental.]
[C09AA03, lisinopril, Thiopental may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Thiopental.]
[C08CA11, manidipine, The metabolism of Thiopental can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Medifoxamine.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be decreased when it is combined with Thiopental.]
[R06AD04, methdilazine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The metabolism of Cyclandelate can be increased when combined with Thiopental.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Thiopental is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Thiopental is combined with Cyclobarbital.]
[C03DA04, eplerenone, Thiopental may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Thiopental is combined with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypotension and orthostatic hypotension can be increased when Thiopental is combined with Cyclopenthiazide.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Thiopental is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The metabolism of Thiopental can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Thiopental.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be increased when combined with Thiopental.]
[N06AG02, moclobemide, The metabolism of Thiopental can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Thiopental can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Thiopental may increase the hypotensive activities of Moexipril.]
[C03XA02, conivaptan, Thiopental may increase the hypotensive activities of Conivaptan.]
[C02AC05, moxonidine, Thiopental may increase the hypotensive activities of Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Thiopental.]
[M01AH05, etoricoxib, The metabolism of Thiopental can be decreased when combined with Etoricoxib.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Thiopental is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Thiopental is combined with Deanol.]
[C02CC04, debrisoquin, Thiopental may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Nordazepam.]
[C07AB12, nebivolol, Thiopental may increase the hypotensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Thiopental is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Thiopental is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Thiopental.]
[L02BB02, nilutamide, The metabolism of Thiopental can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Thiopental is combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Thiopental.]
[C01CA23, theodrenaline, The serum concentration of Theodrenaline can be decreased when it is combined with Thiopental.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Thiopental.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Thiopental is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Thiopental is combined with Escitalopram.]
[G04BD08, solifenacin, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The metabolism of Desipramine can be increased when combined with Thiopental.]
[C09XA02, aliskiren, Thiopental may increase the hypotensive activities of Aliskiren.]
[N03AF02, oxcarbazepine, The metabolism of Thiopental can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Thiopental can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxiracetam.]
[N04AA08, dexetimide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Thiopental can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Thiopental.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Thiopental is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Thiopental is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Thiopental is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Thiopental.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Thiopental is combined with Diamorphine.]
[C04AD01, pentifylline, The serum concentration of Pentifylline can be decreased when it is combined with Thiopental.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Thiopental is combined with Phenacemide.]
[V03AH01, diazoxide, Thiopental may increase the hypotensive activities of Diazoxide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Thiopental is combined with Phensuximide.]
[N06AA08, dibenzepin, The metabolism of Dibenzepin can be increased when combined with Thiopental.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Cinchocaine.]
[S01EC02, dichlorphenamide, Thiopental may increase the hypotensive activities of Diclofenamide.]
[A03AA07, dicyclomine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Thiopental may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The metabolism of Pinaverium can be increased when combined with Thiopental.]
[N05AD05, pipamperone, Thiopental may increase the hypotensive activities of Pipamperone.]
[A03AB14, pipenzolate, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Thiopental.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Thiopental is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Thiopental.]
[C08CA03, isradipine, Thiopental may increase the hypotensive activities of Isradipine.]
[A03AB11, poldine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C02DB01, dihydralazine, Thiopental may increase the hypotensive activities of Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Thiopental.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Thiopental is combined with Hydromorphone.]
[B01AC21, treprostinil, Thiopental may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Pramocaine.]
[C08DB01, diltiazem, Thiopental may increase the hypotensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Thiopental is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Thiopental is combined with Pridinol.]
[R06AB03, dimethindene, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Thiopental can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Thiopental is combined with Progabide.]
[N06BC02, propentofylline, The serum concentration of Propentofylline can be decreased when it is combined with Thiopental.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Proparacaine.]
[R03DA03, proxyphylline, The serum concentration of Proxyphylline can be decreased when it is combined with Thiopental.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Thiopental is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Quazepam.]
[C09AA06, quinapril, Thiopental may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Thiopental may increase the hypotensive activities of Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Thiopental is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The metabolism of Quinupramine can be increased when combined with Thiopental.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Thiopental is combined with Cisapride.]
[C09AA05, ramipril, Thiopental may increase the hypotensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Thiopental.]
[C01BA03, disopyramide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The therapeutic efficacy of Thiopental can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Thiopental can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Thiopental can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Thiopental is combined with Riluzole.]
[N05AX08, risperidone, Thiopental may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Thiopental is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Ropivacaine.]
[L01XG01, bortezomib, The metabolism of Thiopental can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Thiopental may increase the hypotensive activities of Tadalafil.]
[C02KX02, ambrisentan, Thiopental may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Thiopental.]
[N06AA16, dothiepin, The metabolism of Thiopental can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be increased when combined with Thiopental.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Thiopental.]
[J01AA02, doxycycline, The serum concentration of Doxycycline can be decreased when it is combined with Thiopental.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[N06AB06, sertraline, The metabolism of Thiopental can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, Thiopental may increase the hypotensive activities of Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Thiopental is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Thiopental can be decreased when used in combination with Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Thiopental.]
[C09AA11, spirapril, Thiopental may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, The serum concentration of Dyphylline can be decreased when it is combined with Thiopental.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Thiopental is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Thiopental is combined with Sumatriptan.]
[V04CX07, edrophonium, The therapeutic efficacy of Thiopental can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The serum concentration of Talinolol can be decreased when it is combined with Thiopental.]
[G04CA03, terazosin, Thiopental may increase the hypotensive activities of Terazosin.]
[G04BD05, terodiline, The metabolism of Terodiline can be increased when combined with Thiopental.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be decreased when it is combined with Thiopental.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Thiopental resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Thiopental is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Thiopental is combined with Thiopropazate.]
[G04BD01, emepronium, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be increased when combined with Thiopental.]
[C09AA02, enalapril, Thiopental may increase the hypotensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Thiopental is combined with Tofisopam.]
[N06AG03, toloxatone, Toloxatone may increase the orthostatic hypotensive activities of Thiopental.]
[N03AX11, topiramate, The metabolism of Thiopental can be decreased when combined with Topiramate.]
[C03CA04, torsemide, Thiopental may increase the hypotensive activities of Torasemide.]
[C09AA10, trandolapril, Thiopental may increase the hypotensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Thiopental is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Thiopental is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Thiopental is combined with Triclofos.]
[A03AB08, tridihexethyl, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Thiopental is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Thiopental.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Thiopental is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Thiopental is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Thiopental is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Thiopental.]
[S01GA03, xylometazoline, The metabolism of Xylometazoline can be increased when combined with Thiopental.]
[C08CA12, mepirodipine, Thiopental may increase the hypotensive activities of Barnidipine.]
[C09AA15, zofenopril, Thiopental may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The metabolism of Thiopental can be decreased when combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Thiopental.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Thiopental is combined with Zotepine.]
[C02AC02, guanfacine, Thiopental may increase the hypotensive activities of Guanfacine.]
[B01AC11, iloprost, Thiopental may increase the hypotensive activities of Iloprost.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Thiopental.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Thiopental is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Thiopental is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Ergotamine.]
[N03AG01, valproic acid, The serum concentration of Thiopental can be increased when it is combined with Valproic acid.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Thiopental is combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Thiopental can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Thiopental.]
[J04AK02, ethambutol, The metabolism of Thiopental can be decreased when combined with Ethambutol.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Thiopental.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Thiopental.]
[V03AF05, amifostine, Thiopental may increase the hypotensive activities of Amifostine.]
[N04AA05, profenamine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The metabolism of Ethosuximide can be increased when combined with Thiopental.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Thiopental is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Thiopental is combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Thiopental.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Thiopental is combined with Sertindole.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Thiopental.]
[A02BA04, nizatidine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Nizatidine.]
[R06AX12, terfenadine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Thiopental is combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Thiopental can be decreased when combined with Fluvoxamine.]
[P02CA03, albendazole, The metabolism of Thiopental can be decreased when combined with Albendazole.]
[C08CA02, felodipine, Thiopental may increase the hypotensive activities of Felodipine.]
[C08EA01, fendiline, The metabolism of Fendiline can be increased when combined with Thiopental.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiopental.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Thiopental is combined with Fenoterol.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Thiopental.]
[L01BB06, clofarabine, Thiopental may increase the hypotensive activities of Clofarabine.]
[G04BD02, flavoxate, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J02AC01, fluconazole, The metabolism of Thiopental can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be increased when combined with Thiopental.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Flunitrazepam.]
[N06AA14, melitracen, The metabolism of Melitracen can be increased when combined with Thiopental.]
[V03AZ01, ethanol, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Thiopental.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiopental.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Thiopental is combined with Flurazepam.]
[N05AG01, fluspirilene, The metabolism of Fluspirilene can be increased when combined with Thiopental.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Thiopental is combined with Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the orthostatic hypotensive activities of Thiopental.]
[C03CA01, furosemide, Thiopental may increase the hypotensive activities of Furosemide.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Thiopental is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Thiopental is combined with Amisulpride.]
[N06DA04, galantamine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Thiopental is combined with Gallamine.]
[C08DA02, gallopamil, The metabolism of Gallopamil can be increased when combined with Thiopental.]
[S01AD09, ganciclovir, The therapeutic efficacy of Thiopental can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Thiopental.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Thiopental is combined with Bifemelane.]
[C10AB04, gemfibrozil, The metabolism of Thiopental can be decreased when combined with Gemfibrozil.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Thiopental.]
[C01CA21, cafedrine, The serum concentration of Cafedrine can be decreased when it is combined with Thiopental.]
[J05AG04, etravirine, The metabolism of Thiopental can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Thiopental can be decreased when combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Thiopental.]
