[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Meperidine.]
[C07AB07, bisoprolol, Meperidine may decrease the excretion rate of Bisoprolol which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Meperidine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Meperidine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Meperidine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Meperidine can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Meperidine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Meperidine.]
[J05AX18, letermovir, The metabolism of Meperidine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Meperidine is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Meperidine can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Meperidine is combined with Vinylbital.]
[R06AX18, acrivastine, Meperidine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Meperidine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Meperidine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Meperidine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Meperidine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Carbinoxamine.]
[B02BX09, fostamatinib, The metabolism of Meperidine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Meperidine.]
[L04AA37, baricitinib, Meperidine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01GB14, plazomicin, Meperidine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Meperidine can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Meperidine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Meperidine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Meperidine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Meperidine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Meperidine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Meperidine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Meperidine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Meperidine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Meperidine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Meperidine.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Meperidine.]
[L01ED05, lorlatinib, The metabolism of Meperidine can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Meperidine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Meperidine can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Meperidine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Meperidine.]
[B01AC23, cilostazol, Meperidine may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Meperidine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Meperidine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Meperidine.]
[J01FA09, clarithromycin, The metabolism of Meperidine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Meperidine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Meperidine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Meperidine.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Meperidine is combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Meperidine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Meperidine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Meperidine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Meperidine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Meperidine.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Meperidine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of hypotension and CNS depression can be increased when Cyamemazine is combined with Meperidine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Meperidine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Meperidine.]
[N07XX11, pitolisant, The serum concentration of Meperidine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Meperidine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Meperidine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Meperidine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Meperidine is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Meperidine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Meperidine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Meperidine can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Meperidine can be increased when combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Meperidine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Meperidine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Meperidine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Meperidine.]
[N03AX25, cenobamate, The serum concentration of Meperidine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M09AX08, golodirsen, Meperidine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Meperidine.]
[S01XA12, dexpanthenol, Meperidine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Meperidine can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Meperidine.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Meperidine is combined with Lumateperone.]
[J05AB16, remdesivir, The metabolism of Meperidine can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Meperidine.]
[J05AE05, amprenavir, The metabolism of Meperidine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Meperidine is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Meperidine is combined with Dichloralphenazone.]
[R02AA03, dichlorobenzyl alcohol, Meperidine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Meperidine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Meperidine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Meperidine.]
[M01AH02, rofecoxib, The metabolism of Meperidine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Meperidine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Meperidine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Meperidine.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Meperidine is combined with Valpromide.]
[J01FA13, dirithromycin, The metabolism of Meperidine can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Meperidine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Meperidine is combined with Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Meperidine.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Meperidine.]
[D07XB03, fluprednidene, The metabolism of Meperidine can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Meperidine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Meperidine.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[V08CA05, mangafodipir, Meperidine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Meperidine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Meperidine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Meperidine is combined with Dyclonine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Meperidine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Meperidine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Meperidine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Meperidine is combined with Oliceridine.]
[P01BA01, chloroquine, Meperidine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[L01EX23, pralsetinib, The metabolism of Meperidine can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Meperidine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Meperidine.]
[A10BB02, chlorpropamide, Meperidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Meperidine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Meperidine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Meperidine is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N02BA03, choline salicylate, Meperidine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Meperidine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Meperidine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Meperidine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Meperidine can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Meperidine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Meperidine can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Meperidine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Meperidine is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C01CA19, fenoldopam, Meperidine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Meperidine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[R03BA03, flunisolide, The metabolism of Meperidine can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Meperidine can be increased when combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Meperidine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Meperidine is combined with Trichloroethylene.]
[A02BA01, cimetidine, The serum concentration of Meperidine can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Meperidine is combined with Gabapentin.]
[V08CA04, gadoteridol, Meperidine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Meperidine.]
[L01XX73, sotorasib, The serum concentration of Meperidine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Meperidine.]
[S03AA07, ciprofloxacin, The metabolism of Meperidine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Meperidine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Meperidine can be decreased when combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Meperidine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Meperidine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Meperidine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Meperidine can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Meperidine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N06AX25, St. John's wort extract, The metabolism of Meperidine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Meperidine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Meperidine.]
[J04BA01, clofazimine, The metabolism of Meperidine can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Meperidine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Meperidine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Meperidine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Meperidine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Meperidine.]
[C01EB24, mavacamten, The serum concentration of Meperidine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Meperidine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Meperidine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Meperidine is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Clozapine is combined with Meperidine.]
[J01GB12, arbekacin, Meperidine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Meperidine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Meperidine.]
[C02KB01, metyrosine, Meperidine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Meperidine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Meperidine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Meperidine.]
[M04AC01, colchicine, Meperidine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Meperidine.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Meperidine.]
[J01XB01, colistin, Meperidine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Meperidine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Meperidine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Meperidine is combined with Ifenprodil.]
[A10BX03, nateglinide, Meperidine may decrease the excretion rate of Nateglinide which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Meperidine can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Meperidine.]
[J05AB14, valganciclovir, Meperidine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Meperidine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Meperidine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Meperidine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Meperidine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Meperidine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Meperidine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Meperidine is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Meperidine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Meperidine is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Meperidine can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Meperidine can be decreased when combined with Posaconazole.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Meperidine.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Meperidine.]
[S01BA03, cortisone, The metabolism of Meperidine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Meperidine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C09AA03, lisinopril, Meperidine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Meperidine.]
[C08CA11, manidipine, The metabolism of Meperidine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Meperidine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Meperidine is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Meperidine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Meperidine can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meperidine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Meperidine.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Meperidine can be increased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Meperidine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Meperidine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Meperidine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Meperidine can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Meperidine.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Minaprine is combined with Meperidine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Meperidine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Moclobemide is combined with Meperidine.]
[N06BA07, modafinil, The metabolism of Meperidine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Meperidine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Meperidine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Meperidine can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The metabolism of Meperidine can be decreased when combined with Etoricoxib.]
