[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[J05AG03, efavirenz, The metabolism of Ketamine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C07AA17, bopindolol, Ketamine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Ketamine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Ketamine is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The therapeutic efficacy of Ketamine can be decreased when used in combination with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Ketamine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Ketamine is combined with Butriptyline.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Ketamine is combined with Vinylbital.]
[R06AX18, acrivastine, Ketamine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Ketamine is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The metabolism of Ketamine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Ketamine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Ketamine.]
[C07AG02, carvedilol, Ketamine may increase the bradycardic activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Ketamine.]
[B02BX08, avatrombopag, The metabolism of Ketamine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Ketamine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01GB14, plazomicin, Ketamine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Ketamine may increase the bradycardic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Ketamine.]
[L01XX62, ivosidenib, The metabolism of Ketamine can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Ketamine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Ketamine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Ketamine can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ketamine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Ketamine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Ketamine is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Ketamine.]
[N01BA04, chloroprocaine, Ketamine may increase the neuromuscular blocking activities of Chloroprocaine.]
[D08AE05, chloroxylenol, Ketamine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Ketamine.]
[R03BB08, revefenacin, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Ketamine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Ketamine.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Ketamine is combined with Amifampridine.]
[A06AX05, prucalopride, Ketamine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Ketamine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Ketamine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Ketamine.]
[J01FA09, clarithromycin, The metabolism of Ketamine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Ketamine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Ketamine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Ketamine.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Ketamine.]
[H02AB14, cloprednol, The therapeutic efficacy of Ketamine can be decreased when used in combination with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Ketamine is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Ketamine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Ketamine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The therapeutic efficacy of Ketamine can be decreased when used in combination with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Ketamine can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ketamine.]
[N07XX11, pitolisant, The serum concentration of Ketamine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Ketamine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Ketamine is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[H02AB13, deflazacort, The therapeutic efficacy of Ketamine can be decreased when used in combination with Deflazacort.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Ketamine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Ketamine.]
[G03AC09, desogestrel, The metabolism of Ketamine can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Ketamine.]
[N03AX25, cenobamate, The serum concentration of Ketamine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M09AX08, golodirsen, Ketamine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Ketamine.]
[S01XA12, dexpanthenol, Ketamine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Ketamine.]
[L01EX18, avapritinib, The metabolism of Ketamine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Ketamine.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Ketamine.]
[M01AX21, diacetylrhein, The metabolism of Ketamine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Ketamine.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Ketamine.]
[J05AE05, amprenavir, The metabolism of Ketamine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ketamine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Ketamine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Ketamine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Ketamine.]
[R02AA03, dichlorobenzyl alcohol, Ketamine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Ketamine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Ketamine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Ketamine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ketamine.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Ketamine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Ketamine may increase the neuromuscular blocking activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Ketamine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Ketamine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Ketamine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ketamine.]
[A03AA08, dihexyverine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Ketamine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Dopexamine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Ketamine.]
[G04BD09, trospium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[V08CA05, mangafodipir, Ketamine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Ketamine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Ketamine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Ketamine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Ketamine.]
[P01BB01, proguanil, The metabolism of Ketamine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Ketamine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Ketamine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Ketamine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Ketamine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Ketamine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Ketamine.]
[N05AA01, chlorpromazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Ketamine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Ketamine is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02BA03, choline salicylate, Ketamine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Ketamine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ketamine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Ketamine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ketamine can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Ketamine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Ketamine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Ketamine can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Ketamine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Ketamine.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Ketamine is combined with Fenozolone.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R03BA03, flunisolide, The therapeutic efficacy of Ketamine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Ketamine can be decreased when used in combination with Fluocinolone acetonide.]
[N02BG07, flupirtine, Ketamine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Ketamine can be decreased when combined with Formoterol.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Ketamine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Ketamine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Ketamine can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Ketamine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Ketamine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Ketamine can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Ketamine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Ketamine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Ketamine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Ketamine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Ketamine.]
[V09AB03, ioflupane I-123, Ketamine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ketamine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ketamine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Ketamine.]
[A10BB12, glimepiride, The metabolism of Ketamine can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Ketamine.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Ketamine is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Ketamine.]
[N06AX25, St. John's wort extract, The metabolism of Ketamine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Ketamine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Ketamine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Ketamine.]
[B06AX04, mitapivat, The metabolism of Ketamine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Ketamine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Ketamine is combined with Clomipramine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Ketamine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Ketamine.]
[C01EB24, mavacamten, The serum concentration of Ketamine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Ketamine is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Ketamine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Ketamine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Ketamine.]
[N05AH02, clozapine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01GB12, arbekacin, Ketamine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Ketamine.]
[H01AC08, somatrogon, The metabolism of Ketamine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Ketamine may increase the neuromuscular blocking activities of Cocaine.]
[C02KB01, metyrosine, Ketamine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Ketamine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Ketamine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Ketamine.]
[M04AC01, colchicine, Ketamine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Ketamine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Ketamine can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Ketamine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Ketamine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ketamine is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Ketamine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The therapeutic efficacy of Ketamine can be decreased when used in combination with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Ketamine.]
[J05AB14, valganciclovir, Ketamine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ketamine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ketamine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ketamine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ketamine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ketamine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Ketamine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ketamine.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Ketamine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketamine is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Ketamine can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Ketamine can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Ketamine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AX13, loratadine, The metabolism of Ketamine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Ketamine is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ketamine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Ketamine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Ketamine is combined with Mefenorex.]
[C07AA14, mepindolol, Ketamine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Ketamine.]
[N04AA03, methixene, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Ketamine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Ketamine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Ketamine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Ketamine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Ketamine.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Ketamine.]
[S01XA18, cyclosporine, The metabolism of Ketamine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ketamine.]
[N06BA07, modafinil, The metabolism of Ketamine can be decreased when combined with Modafinil.]
