[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be increased when combined with Certolizumab pegol.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be increased when combined with Certolizumab pegol.]
[L01FF04, avelumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Avelumab.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ocrelizumab.]
[D11AH05, dupilumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Dupilumab.]
[A06AH05, naldemedine, Certolizumab pegol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be increased when combined with Certolizumab pegol.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Caffeine can be increased when combined with Certolizumab pegol.]
[P01CA02, benznidazole, Certolizumab pegol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Certolizumab pegol.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Certolizumab pegol.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be increased when combined with Certolizumab pegol.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Certolizumab pegol.]
[L04AB02, infliximab, The risk or severity of infection can be increased when Infliximab is combined with Certolizumab pegol.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be increased when combined with Certolizumab pegol.]
[L01FF03, durvalumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Durvalumab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Certolizumab pegol.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Sarilumab.]
[J01MA23, delafloxacin, Certolizumab pegol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be increased when combined with Certolizumab pegol.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Certolizumab pegol.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Certolizumab pegol.]
[J06BD01, palivizumab, The risk or severity of adverse effects can be increased when Palivizumab is combined with Certolizumab pegol.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of adverse effects can be increased when Inotuzumab ozogamicin is combined with Certolizumab pegol.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Certolizumab pegol.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Certolizumab pegol.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Certolizumab pegol.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be increased when combined with Certolizumab pegol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be increased when combined with Certolizumab pegol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Certolizumab pegol.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Certolizumab pegol.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Certolizumab pegol.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Certolizumab pegol.]
[J05AX18, letermovir, The metabolism of Letermovir can be increased when combined with Certolizumab pegol.]
[R03DX10, benralizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Benralizumab.]
[B02BX06, emicizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Emicizumab.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be increased when combined with Certolizumab pegol.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Certolizumab pegol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be increased when combined with Certolizumab pegol.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Certolizumab pegol.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Certolizumab pegol.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be increased when combined with Certolizumab pegol.]
[J05AX23, ibalizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ibalizumab.]
[M05BX05, burosumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Burosumab.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be increased when combined with Certolizumab pegol.]
[N02CD01, erenumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Erenumab.]
[A16AB19, pegvaliase, The therapeutic efficacy of Pegvaliase can be decreased when used in combination with Certolizumab pegol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be increased when combined with Certolizumab pegol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be increased when combined with Certolizumab pegol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01GB14, plazomicin, Certolizumab pegol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be increased when combined with Certolizumab pegol.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Certolizumab pegol.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Certolizumab pegol.]
[L04AC17, tildrakizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tildrakizumab.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be increased when combined with Certolizumab pegol.]
[L01FX09, mogamulizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Mogamulizumab.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be increased when combined with Certolizumab pegol.]
[B06AC05, lanadelumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Lanadelumab.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Certolizumab pegol.]
[N02CD03, fremanezumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Fremanezumab.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Certolizumab pegol.]
[L01FF06, cemiplimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Cemiplimab.]
[N02CD02, galcanezumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Galcanezumab.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Certolizumab pegol.]
[L03AX21, elapegademase, The therapeutic efficacy of Elapegademase can be decreased when used in combination with Certolizumab pegol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be increased when combined with Certolizumab pegol.]
[D08AE05, chloroxylenol, Certolizumab pegol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be increased when combined with Certolizumab pegol.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be increased when combined with Certolizumab pegol.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be increased when combined with Certolizumab pegol.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be increased when combined with Certolizumab pegol.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Certolizumab pegol.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be increased when combined with Certolizumab pegol.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Certolizumab pegol.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be increased when combined with Certolizumab pegol.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ravulizumab.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B01AX07, caplacizumab, The risk or severity of adverse effects can be increased when Caplacizumab is combined with Certolizumab pegol.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Certolizumab pegol.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be increased when combined with Certolizumab pegol.]
[N06AX27, esketamine, The metabolism of Esketamine can be increased when combined with Certolizumab pegol.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Certolizumab pegol.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be increased when combined with Certolizumab pegol.]
[N06BA14, solriamfetol, Certolizumab pegol may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Certolizumab pegol.]
[M05BX06, romosozumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Romosozumab.]
[N05BA09, clobazam, The metabolism of Clobazam can be increased when combined with Certolizumab pegol.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Candesartan can be increased when combined with Certolizumab pegol.]
[L04AB01, etanercept, The risk or severity of infection can be increased when Etanercept is combined with Certolizumab pegol.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Certolizumab pegol.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Certolizumab pegol.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be increased when combined with Certolizumab pegol.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be increased when combined with Certolizumab pegol.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Certolizumab pegol.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be increased when combined with Certolizumab pegol.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Certolizumab pegol.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Certolizumab pegol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Certolizumab pegol.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01LA06, brolucizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Brolucizumab.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be increased when combined with Certolizumab pegol.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Certolizumab pegol.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Certolizumab pegol.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Certolizumab pegol.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Trastuzumab deruxtecan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Certolizumab pegol.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Certolizumab pegol.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be increased when combined with Certolizumab pegol.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be increased when combined with Certolizumab pegol.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M09AX08, golodirsen, Certolizumab pegol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be increased when combined with Certolizumab pegol.]
[S01XA12, dexpanthenol, Certolizumab pegol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be increased when combined with Certolizumab pegol.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be increased when combined with Certolizumab pegol.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Certolizumab pegol.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Certolizumab pegol.]
[L01FC02, isatuximab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Isatuximab.]
[N02CD05, eptinezumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Eptinezumab.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be increased when combined with Certolizumab pegol.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be increased when combined with Certolizumab pegol.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be increased when combined with Certolizumab pegol.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Certolizumab pegol.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Certolizumab pegol.]
[R02AA03, dichlorobenzyl alcohol, Certolizumab pegol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Certolizumab pegol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be increased when combined with Certolizumab pegol.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be increased when combined with Certolizumab pegol.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be increased when combined with Certolizumab pegol.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be increased when combined with Certolizumab pegol.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be increased when combined with Certolizumab pegol.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Certolizumab pegol.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Certolizumab pegol.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Certolizumab pegol.]
[L01FX17, sacituzumab govitecan, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Sacituzumab govitecan.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be increased when combined with Certolizumab pegol.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be increased when combined with Certolizumab pegol.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be increased when combined with Certolizumab pegol.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Certolizumab pegol is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Certolizumab pegol.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Certolizumab pegol.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Certolizumab pegol.]
[P01BB01, proguanil, The metabolism of Proguanil can be increased when combined with Certolizumab pegol.]
[L01FX12, tafasitamab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tafasitamab.]
[L01FX15, belantamab mafodotin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be increased when combined with Certolizumab pegol.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Certolizumab pegol.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA06, chlorotrianisene, Chlorotrianisene may increase the thrombogenic activities of Certolizumab pegol.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Certolizumab pegol.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be increased when combined with Certolizumab pegol.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be increased when combined with Certolizumab pegol.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Certolizumab pegol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N02BA03, choline salicylate, Certolizumab pegol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The metabolism of Etodolac can be increased when combined with Certolizumab pegol.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be increased when combined with Certolizumab pegol.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Certolizumab pegol.]
[J06BD04, ansuvimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ansuvimab.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Certolizumab pegol.]
[M01AX25, chondroitin sulfates, Certolizumab pegol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FD06, margetuximab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Margetuximab.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Voclosporin.]
[N03AX10, felbamate, The metabolism of Felbamate can be increased when combined with Certolizumab pegol.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be increased when combined with Certolizumab pegol.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Certolizumab pegol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Certolizumab pegol.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Certolizumab pegol.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be increased when combined with Certolizumab pegol.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be increased when combined with Certolizumab pegol.]
[S01LA08, bevacizumab, The risk or severity of adverse effects can be increased when Bevacizumab is combined with Certolizumab pegol.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Certolizumab pegol.]
[L01FF07, dostarlimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Dostarlimab.]
[L01FX22, loncastuximab tesirine, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Certolizumab pegol.]
[L01FX18, amivantamab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Amivantamab.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Certolizumab pegol.]
[J06BD05, sotrovimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Sotrovimab.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Certolizumab pegol.]
[N06AB04, citalopram, The metabolism of Citalopram can be increased when combined with Certolizumab pegol.]
[N06DX03, aducanumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Aducanumab.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Pegcetacoplan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Certolizumab pegol which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Certolizumab pegol.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Anifrolumab.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be increased when combined with Certolizumab pegol.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Certolizumab pegol.]
[L01FX23, tisotumab vedotin, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tisotumab vedotin.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Certolizumab pegol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Certolizumab pegol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Certolizumab pegol.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be increased when combined with Certolizumab pegol.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be increased when combined with Certolizumab pegol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Certolizumab pegol.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be increased when combined with Certolizumab pegol.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Ropeginterferon alfa-2b.]
[R03DX11, tezepelumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tezepelumab.]
[D11AH07, tralokinumab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Tralokinumab.]
[L04AA55, sutimlimab, The risk or severity of adverse effects can be increased when Certolizumab pegol is combined with Sutimlimab.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be increased when combined with Certolizumab pegol.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be increased when combined with Certolizumab pegol.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Certolizumab pegol.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Certolizumab pegol.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be increased when combined with Certolizumab pegol.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
