[S02DA03, antipyrine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Antipyrine.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Nimodipine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Nimodipine.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Nimodipine.]
[H04AA02, dasiglucagon, Nimodipine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Nimodipine can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, Nimodipine may increase the arrhythmogenic activities of Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Nimodipine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Citalopram.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Finerenone.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Nimodipine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Clemastine.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Gliquidone.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Nimodipine.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of Nimodipine can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Nimodipine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Nimodipine.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Clomipramine.]
[S01EA04, clonidine, Clonidine may increase the atrioventricular blocking (AV block) activities of Nimodipine.]
[C01EB24, mavacamten, The serum concentration of Nimodipine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Tirzepatide.]
[J02AC06, oteseconazole, The therapeutic efficacy of Oteseconazole can be increased when used in combination with Nimodipine.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of hypotension can be increased when Clozapine is combined with Nimodipine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Sotagliflozin.]
[H01AC08, somatrogon, The metabolism of Nimodipine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Cocaine.]
[C02KB01, metyrosine, Nimodipine may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Proquazone.]
[C01BA13, hydroquinidine, Nimodipine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, The risk or severity of hypotension can be increased when Hydrotalcite is combined with Nimodipine.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Nimodipine.]
[A04AA03, tropisetron, Nimodipine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Nimodipine.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Nimodipine can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Desloratadine.]
[M01AH03, valdecoxib, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Nimodipine.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Nimodipine.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Nimodipine.]
[M01AH04, parecoxib, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Nimodipine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Bemiparin.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Emedastine.]
[M01AA06, kebuzone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Nimodipine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Nimodipine can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Nimodipine.]
[S01EE03, bimatoprost, Nimodipine may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Nimodipine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Nimodipine.]
[N03AX09, lamotrigine, Nimodipine may increase the arrhythmogenic activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Nimodipine.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Loxoprofen.]
[C09AA03, lisinopril, Nimodipine may increase the hypotensive activities of Lisinopril.]
[A02AD02, magaldrate, The risk or severity of hypotension can be increased when Magaldrate is combined with Nimodipine.]
[A06AD01, magnesium carbonate, The risk or severity of hypotension can be increased when Magnesium carbonate is combined with Nimodipine.]
[C08CA11, manidipine, Nimodipine may increase the arrhythmogenic activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Nimodipine.]
[C07AA14, mepindolol, The risk or severity of bradycardia can be increased when Nimodipine is combined with Mepindolol.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Nimodipine.]
[C01EB10, adenosine, Nimodipine may increase the arrhythmogenic activities of Adenosine.]
[C04AX01, cyclandelate, Nimodipine may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Nimodipine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Nimodipine.]
[C03DA04, eplerenone, Nimodipine may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, Nimodipine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Nimodipine can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Miglitol.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Nimodipine.]
[S01XA18, cyclosporine, The metabolism of Nimodipine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Nimodipine.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Nimodipine.]
[C09AA13, moexipril, Nimodipine may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Nimodipine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Nimodipine.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Nimodipine.]
[M01AH05, etoricoxib, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Etoricoxib.]
[G03XA01, danazol, The metabolism of Nimodipine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Nimodipine.]
[C02CC04, debrisoquin, Nimodipine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nimodipine is combined with Nabilone.]
[M01AX01, nabumetone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Nabumetone.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Nimodipine.]
[C07AB12, nebivolol, Nimodipine may increase the arrhythmogenic activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Nimodipine can be decreased when combined with Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Nimodipine.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Nimodipine.]
[M03AC11, cisatracurium, Nimodipine may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Nimodipine.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Escitalopram.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Nimodipine.]
[A07EC03, olsalazine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Nimodipine.]
[C01AA07, deslanoside, Nimodipine may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Nimodipine.]
[C09XA02, aliskiren, Nimodipine may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The metabolism of Nimodipine can be increased when combined with Dexamethasone.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Nimodipine.]
[B01AC04, clopidogrel, The therapeutic efficacy of Clopidogrel can be decreased when used in combination with Nimodipine.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Nimodipine.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Nimodipine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Nimodipine is combined with Diclofenamide.]
[S01BC03, diclofenac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Nimodipine.]
[C02DG01, pinacidil, Nimodipine may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Nimodipine may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Nimodipine is combined with Pipamperone.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Erlotinib.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Nimodipine.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Nimodipine.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Nimodipine.]
[N02BA11, diflunisal, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, Nimodipine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Nimodipine.]
[C02DB01, dihydralazine, Nimodipine may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Nimodipine.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension can be increased when Dihydroergotamine is combined with Nimodipine.]
[J05AE08, atazanavir, The metabolism of Nimodipine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Nimodipine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Nimodipine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Nimodipine.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Dimenhydrinate.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Nimodipine.]
[N02BB04, propyphenazone, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Nimodipine.]
[C09AA06, quinapril, Nimodipine may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Nimodipine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Nimodipine.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Nimodipine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Nimodipine.]
[S01XA23, sirolimus, Nimodipine may increase the immunosuppressive activities of Sirolimus.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Nimodipine.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Nimodipine.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Nimodipine.]
[S02AA12, rifamycin SV, The metabolism of Nimodipine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nimodipine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, Nimodipine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Nimodipine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Nimodipine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Nimodipine.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Nimodipine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Nimodipine is combined with Tolvaptan.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Nimodipine.]
[G04BE08, tadalafil, Nimodipine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Nimodipine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Nimodipine.]
[N02BA06, salsalate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Nimodipine.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Nimodipine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Nimodipine.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Nimodipine.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Nimodipine.]
[N06AA12, doxepin, The risk or severity of hypotension can be increased when Doxepin is combined with Nimodipine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Nimodipine.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Nimodipine.]
[N01AB08, sevoflurane, The risk or severity of hypotension can be increased when Sevoflurane is combined with Nimodipine.]
[N05AD08, droperidol, The risk or severity of hypotension can be increased when Droperidol is combined with Nimodipine.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Nimodipine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Nimodipine.]
[C09AA11, spirapril, Nimodipine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Nimodipine.]
[C07AB13, talinolol, Nimodipine may increase the arrhythmogenic activities of Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of hypotension can be increased when Terazosin is combined with Nimodipine.]
[G04BD05, terodiline, Nimodipine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Nimodipine may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Nimodipine.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Nimodipine.]
[C09AA02, enalapril, Nimodipine may increase the hypotensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Nimodipine.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Nimodipine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the hypotensive activities of Nimodipine.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Nimodipine.]
[C09AA10, trandolapril, Nimodipine may increase the hypotensive activities of Trandolapril.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Nimodipine.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Nimodipine.]
[C02CA06, urapidil, The risk or severity of hypotension can be increased when Urapidil is combined with Nimodipine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Nimodipine.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Nimodipine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Nimodipine.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Nimodipine.]
[S01GA03, xylometazoline, Nimodipine may increase the arrhythmogenic activities of Xylometazoline.]
[C08CA12, mepirodipine, Nimodipine may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Nimodipine.]
[C09AA15, zofenopril, Nimodipine may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Zomepirac.]
[N03AX15, zonisamide, Nimodipine may increase the arrhythmogenic activities of Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Insulin glulisine.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Nimodipine.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Nimodipine.]
[C01BG01, moricizine, Nimodipine may increase the arrhythmogenic activities of Moricizine.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Nimodipine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Nimodipine.]
[N02CA02, ergotamine, The metabolism of Nimodipine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, Nimodipine can cause an increase in the absorption of Valproic acid resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[C01DA13, erythrityl tetranitrate, Nimodipine may increase the vasodilatory activities of Erythrityl tetranitrate.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation and hypotension can be increased when Erythromycin is combined with Nimodipine.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Nimodipine.]
[V03AF05, amifostine, Nimodipine may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may increase the arrhythmogenic activities of Nimodipine.]
[N03AD01, ethosuximide, Nimodipine may increase the arrhythmogenic activities of Ethosuximide.]
[M01AC06, meloxicam, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Meloxicam.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Nimodipine.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Nimodipine.]
[C01BA05, ajmaline, Nimodipine may increase the arrhythmogenic activities of Ajmaline.]
[L04AD02, tacrolimus, Nimodipine may increase the immunosuppressive activities of Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Nimodipine.]
[R06AX11, astemizole, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Nimodipine can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Nimodipine can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, Nimodipine may increase the arrhythmogenic activities of Tocainide.]
[C01BC08, encainide, Nimodipine may increase the arrhythmogenic activities of Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Nimodipine.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Nimodipine.]
[C08CA02, felodipine, Nimodipine may increase the arrhythmogenic activities of Felodipine.]
[C08EA01, fendiline, Nimodipine may increase the arrhythmogenic activities of Fendiline.]
[M01AE04, fenoprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Fenoprofen.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Nimodipine.]
[N02AB03, fentanyl, Fentanyl may decrease the antihypertensive activities of Nimodipine.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Nimodipine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Nimodipine is combined with Clofarabine.]
[C01BC04, flecainide, Nimodipine may increase the arrhythmogenic activities of Flecainide.]
[N02BG04, floctafenine, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Floctafenine.]
[J02AC01, fluconazole, The metabolism of Nimodipine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Nimodipine may increase the arrhythmogenic activities of Flunarizine.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Nimodipine.]
[V03AZ01, ethanol, Ethanol may increase the hypotensive activities of Nimodipine.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Nimodipine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Flupentixol.]
[S01BC04, flurbiprofen, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Flurbiprofen.]
[N05AG01, fluspirilene, Nimodipine may increase the arrhythmogenic activities of Fluspirilene.]
[N06BX17, adrafinil, Adrafinil may decrease the antihypertensive activities of Nimodipine.]
[M03AA01, alcuronium, Nimodipine may increase the neuromuscular blocking activities of Alcuronium.]
[G01AX06, furazolidone, Furazolidone may increase the hypotensive activities of Nimodipine.]
[J05AE10, darunavir, The serum concentration of Nimodipine can be increased when it is combined with Darunavir.]
[C03CA01, furosemide, Nimodipine may increase the hypotensive activities of Furosemide.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nimodipine.]
[M03AC02, gallamine, Nimodipine may increase the neuromuscular blocking activities of Gallamine.]
[C08DA02, gallopamil, Nimodipine may increase the arrhythmogenic activities of Gallopamil.]
[N03AA04, barbexaclone, Barbexaclone may increase the hypotensive activities of Nimodipine.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Nimodipine.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Nimodipine.]
[N04BC06, cabergoline, Cabergoline may decrease the antihypertensive activities of Nimodipine.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Liraglutide.]
[A12AA10, calcium gluceptate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium glucoheptonate.]
[A12AA30, calcium levulinate, The therapeutic efficacy of Nimodipine can be decreased when used in combination with Calcium levulinate.]
[N03AD03, methsuximide, Nimodipine may increase the arrhythmogenic activities of Methsuximide.]
[N01AH02, alfentanil, Alfentanil may decrease the antihypertensive activities of Nimodipine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Nimodipine.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glyburide.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Glipizide.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the antihypertensive activities of Nimodipine.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Nimodipine.]
[C05AE01, nitroglycerin, Nimodipine may increase the vasodilatory activities of Nitroglycerin.]
[C01BD04, dofetilide, Dofetilide may increase the arrhythmogenic activities of Nimodipine.]
[C02CA04, doxazosin, The risk or severity of hypotension can be increased when Doxazosin is combined with Nimodipine.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Nimodipine.]
[C07AB09, esmolol, Esmolol may increase the arrhythmogenic activities of Nimodipine.]
[C09AA09, fosinopril, Nimodipine may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Nimodipine may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Nimodipine.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Haloperidol.]
[N01AB01, halothane, Halothane may decrease the antihypertensive activities of Nimodipine.]
