[S02DA03, antipyrine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Antipyrine.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Ciprofibrate.]
[N06BA14, solriamfetol, Bumetanide may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA09, clobazam, Bumetanide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Bumetanide.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Bumetanide is combined with Castor oil.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Ubidecarenone.]
[C09CA06, candesartan, Bumetanide may increase the hypotensive activities of Candesartan.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Bumetanide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Bumetanide.]
[J01DC04, cefaclor, The excretion of Bumetanide can be decreased when combined with Cefaclor.]
[J01DB05, cefadroxil, The excretion of Bumetanide can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Bumetanide can be decreased when combined with Cefamandole.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefatrizine.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Bumetanide.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Bumetanide.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefonicid.]
[J01DD12, cefoperazone, The excretion of Bumetanide can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Bumetanide can be decreased when combined with Cefotaxime.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefotetan.]
[J01DC07, cefotiam, The excretion of Bumetanide can be decreased when combined with Cefotiam.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefoxitin.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefsulodin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Bumetanide.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Bumetanide.]
[J01DD04, ceftriaxone, The excretion of Bumetanide can be decreased when combined with Ceftriaxone.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefuroxime.]
[N07XX11, pitolisant, Bumetanide may increase the excretion rate of Pitolisant which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Bumetanide is combined with Dantron.]
[J01XX09, daptomycin, Bumetanide may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, The excretion of Bumetanide can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Bumetanide.]
[J01DB03, cephalothin, The excretion of Bumetanide can be decreased when combined with Cefalotin.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefapirin.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefradine.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Bumetanide.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Givosiran.]
[M09AX08, golodirsen, Bumetanide may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA12, dexpanthenol, Bumetanide may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Dezocine.]
[R02AA03, dichlorobenzyl alcohol, Bumetanide may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Bumetanide may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Dihydrocodeine.]
[M01AH02, rofecoxib, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Bumetanide may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, The excretion of Bumetanide can be decreased when combined with Dronedarone.]
[C02AA06, methoserpidine, Bumetanide may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Bumetanide is combined with Opicapone.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Bumetanide.]
[M01AC04, droxicam, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Bumetanide may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Bumetanide may increase the hypotensive activities of Levamlodipine.]
[N02AX07, oliceridine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Bumetanide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, Bumetanide may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Bumetanide.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Bumetanide may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA07, ethenzamide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Bumetanide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Choline salicylate.]
[M01AB08, etodolac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Etofibrate.]
[M01AX25, chondroitin sulfates, Bumetanide may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AJ04, cabotegravir, The excretion of Bumetanide can be decreased when combined with Cabotegravir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Bumetanide is combined with Vericiguat.]
[M01AE05, fenbufen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Bumetanide may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Bumetanide.]
[S02BA08, fluocinolone acetonide, Bumetanide may increase the excretion rate of Fluocinolone acetonide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Bumetanide.]
[N02BG07, flupirtine, Bumetanide may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Formoterol is combined with Bumetanide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin human.]
[H04AA02, dasiglucagon, Bumetanide may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The excretion of Bumetanide can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Bumetanide may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA07, ciprofloxacin, Bumetanide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA01, cisplatin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Bumetanide is combined with Cisplatin.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The excretion of Bumetanide can be decreased when combined with Fexinidazole.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Mefenamic acid.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Bumetanide.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Bumetanide.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Clenbuterol is combined with Bumetanide.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Bumetanide.]
[N01BB10, levobupivacaine, Bumetanide may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA04, clomipramine, Bumetanide may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Bumetanide may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of adverse effects can be increased when Clonidine is combined with Bumetanide.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Bumetanide.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Bumetanide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Bumetanide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Bumetanide.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Bumetanide.]
[J01GB12, arbekacin, The serum concentration of Arbekacin can be increased when it is combined with Bumetanide.]
[C02KB01, metyrosine, Bumetanide may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Bumetanide may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Bumetanide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, The serum concentration of Colistin can be increased when it is combined with Bumetanide.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Cefpirome.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Bumetanide is combined with Desflurane.]
[A04AA03, tropisetron, Bumetanide may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Bumetanide.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Bumetanide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Bumetanide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Bumetanide.]
[B01AC10, indobufen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Indobufen.]
[J05AB14, valganciclovir, Bumetanide may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Bumetanide may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Bumetanide may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Bumetanide may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Bumetanide may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Bumetanide may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Bumetanide is combined with Lanatoside C.]
[N02CC05, almotriptan, Bumetanide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Parecoxib.]
[S01AD03, acyclovir, The excretion of Bumetanide can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, Bumetanide may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Kebuzone.]
[A02BC05, esomeprazole, The excretion of Bumetanide can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Bumetanide may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Lactitol.]
[N03AX09, lamotrigine, Bumetanide may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Bumetanide.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Bumetanide.]
[N07BC04, lofexidine, Bumetanide may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Bumetanide.]
[C09AA03, lisinopril, Bumetanide may increase the excretion rate of Lisinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Magnesium carbonate.]
[C08CA11, manidipine, Bumetanide may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Mebeverine.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Bumetanide.]
[J01DH02, meropenem, Bumetanide may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Bumetanide may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Bumetanide.]
[J05AF07, tenofovir disoproxil, Bumetanide may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Bumetanide.]
[S01XA18, cyclosporine, The risk or severity of renal failure can be increased when Bumetanide is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Bumetanide.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Moexipril is combined with Bumetanide.]
[C10AA07, rosuvastatin, The excretion of Rosuvastatin can be decreased when combined with Bumetanide.]
[M02AA02, mofebutazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Bumetanide is combined with Moxonidine.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Bumetanide.]
[M01AH05, etoricoxib, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Bumetanide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC04, debrisoquin, Bumetanide may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Bumetanide.]
[M01AX01, nabumetone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Bumetanide may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Potassium lactate.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Bumetanide is combined with Nebivolol.]
[S01GX04, nedocromil, Bumetanide may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, Bumetanide may increase the excretion rate of Nefazodone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Bumetanide.]
[L02BB02, nilutamide, Bumetanide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Bumetanide.]
[M03AC11, cisatracurium, Bumetanide may decrease the neuromuscular blocking activities of Cisatracurium.]
[R05DA06, normethadone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Bumetanide may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[A07EC03, olsalazine, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, Bumetanide may increase the excretion rate of Desipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Bumetanide is combined with Deslanoside.]
[H01BA02, desmopressin, Bumetanide may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Bumetanide.]
[V04CH02, indigo carmine, Bumetanide may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Bumetanide.]
[J01DH03, ertapenem, Bumetanide may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Bumetanide is combined with Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The excretion of Dexamethasone can be decreased when combined with Bumetanide.]
[N06BA02, dextroamphetamine, Bumetanide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AC01, dextromoramide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Dextromoramide.]
[N07BC06, heroin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Diamorphine.]
[C01DA05, pentaerythritol tetranitrate, Bumetanide may increase the excretion rate of Pentaerythritol tetranitrate which could result in a lower serum level and potentially a reduction in efficacy.]
[P03AC04, permethrin, Bumetanide may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Bumetanide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Bumetanide is combined with Diazoxide.]
[R05DA08, pholcodine, Bumetanide may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[M05BA02, clodronic acid, The risk or severity of hypocalcemia can be increased when Bumetanide is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Bumetanide may decrease the excretion rate of Foscarnet which could result in a higher serum level.]
[A03AA07, dicyclomine, Bumetanide may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Bumetanide.]
[J05AF02, didanosine, Bumetanide may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Bumetanide may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Bumetanide.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Bumetanide is combined with Pipamperone.]
[R03CC07, pirbuterol, The risk or severity of hypokalemia can be increased when Pirbuterol is combined with Bumetanide.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Bumetanide may increase the excretion rate of Isradipine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Bumetanide.]
[N02BA11, diflunisal, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of adverse effects can be increased when Bumetanide is combined with Digoxin.]
[C02DB01, dihydralazine, Bumetanide may increase the hypotensive activities of Dihydralazine.]
[N02AA03, hydromorphone, Bumetanide may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX04, lenalidomide, Bumetanide may increase the excretion rate of Lenalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Atazanavir.]
[B01AC21, treprostinil, Bumetanide may increase the hypotensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, Bumetanide may increase the excretion rate of Potassium perchlorate which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB04, pralidoxime, Bumetanide may increase the excretion rate of Pralidoxime which could result in a lower serum level and potentially a reduction in efficacy.]
[C08DB01, diltiazem, The risk or severity of adverse effects can be increased when Diltiazem is combined with Bumetanide.]
[V03AB09, dimercaprol, Bumetanide may increase the excretion rate of Dimercaprol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC08, procaterol, The risk or severity of hypokalemia can be increased when Procaterol is combined with Bumetanide.]
[M02AX03, dimethyl sulfoxide, Bumetanide may increase the excretion rate of Dimethyl sulfoxide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BB04, propyphenazone, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Proglumetacin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Bumetanide.]
[A07DA01, diphenoxylate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Diphenoxylate.]
[C09AA06, quinapril, The excretion of Quinapril can be decreased when combined with Bumetanide.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Bumetanide is combined with Dipyridamole.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Bumetanide.]
[S01AX06, resorcinol, Bumetanide may increase the excretion rate of Resorcinol which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Bumetanide.]
[N05AX08, risperidone, The risk or severity of hypotension can be increased when Bumetanide is combined with Risperidone.]
[R06AE09, levocetirizine, Bumetanide may increase the excretion rate of Levocetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB09, ropivacaine, Bumetanide may increase the excretion rate of Ropivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Bumetanide.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Bumetanide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC05, ketorolac, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Bumetanide may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Bumetanide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA06, salsalate, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypokalemia can be increased when Salmeterol is combined with Bumetanide.]
[H05BA01, salmon calcitonin, Bumetanide may increase the excretion rate of Salmon calcitonin which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA07, dobutamine, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Bumetanide.]
[C01CA04, dopamine, Bumetanide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA12, doxepin, Bumetanide may increase the excretion rate of Doxepin which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AB06, sennosides, USP, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sennosides.]
[J01AA02, doxycycline, Bumetanide may increase the excretion rate of Doxycycline which could result in a lower serum level and potentially a reduction in efficacy.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sevoflurane.]
[A08AA10, sibutramine, Bumetanide may increase the excretion rate of Sibutramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Simvastatin is combined with Bumetanide.]
[V03AG05, sodium phosphate, Bumetanide may increase the nephrotoxic activities of Sodium phosphate, monobasic.]
[A12CA02, sodium sulfate, The risk or severity of adverse effects can be increased when Bumetanide is combined with Sodium sulfate.]
[C09AA11, spirapril, Bumetanide may increase the hypotensive activities of Spirapril.]
