[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cisapride.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Cisapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Cisapride is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Cisapride.]
[J01FA09, clarithromycin, The serum concentration of Cisapride can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Cisapride is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Cisapride is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Cisapride.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Cisapride.]
[H02AB14, cloprednol, The metabolism of Cisapride can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Cisapride can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Cisapride can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Cisapride can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Cisapride.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Cisapride.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Cisapride.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Cisapride.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Cisapride.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Cisapride.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Cisapride.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Cisapride.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Cisapride.]
[J01DB01, cephalexin, The metabolism of Cisapride can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Cisapride can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Cisapride can be increased when combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Cisapride.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Cisapride.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Cisapride.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Cisapride.]
[N03AX25, cenobamate, The serum concentration of Cisapride can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Cisapride.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Dexchlorpheniramine is combined with Cisapride.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Cisapride is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Cisapride can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Cisapride.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Cisapride is combined with Lumateperone.]
[J05AB16, remdesivir, The metabolism of Cisapride can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cisapride.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Cisapride.]
[J05AE05, amprenavir, The serum concentration of Cisapride can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Cisapride is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Cisapride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Cisapride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Cisapride is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Cisapride.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Cisapride is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Cisapride.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Cisapride.]
[M01AH02, rofecoxib, The metabolism of Cisapride can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Cisapride can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Cisapride.]
[C01BD07, dronedarone, Cisapride may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Cisapride is combined with Valpromide.]
[J01FA13, dirithromycin, The serum concentration of Cisapride can be increased when it is combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Cisapride can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Cisapride.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Cisapride.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Cisapride.]
[A03AA08, dihexyverine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[D07XB03, fluprednidene, The metabolism of Cisapride can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Cisapride.]
[G04BD09, trospium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Cisapride can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Cisapride is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Cisapride is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Cisapride is combined with Dyclonine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Cisapride.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Cisapride.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Cisapride.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Cisapride can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Cisapride is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Cisapride.]
[L01EX23, pralsetinib, The metabolism of Cisapride can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Cisapride.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Cisapride.]
[N05AF03, chlorprothixene, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Cisapride.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Cisapride is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Cisapride is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Cisapride is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Berotralstat is combined with Cisapride.]
[A16AX20, lonafarnib, The metabolism of Cisapride can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Cisapride.]
[P03AX07, abametapir, The serum concentration of Cisapride can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Cisapride is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Cisapride.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Cisapride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Cisapride.]
[R03BA03, flunisolide, The metabolism of Cisapride can be increased when combined with Flunisolide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Cisapride.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Cisapride.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Cisapride is combined with Trichloroethylene.]
[A02BA01, cimetidine, The serum concentration of Cisapride can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Cisapride is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Cisapride.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Cisapride.]
[L01XX73, sotorasib, The serum concentration of Cisapride can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Cisapride.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Cisapride.]
[L01XA01, cisplatin, The metabolism of Cisapride can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Cisapride.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Cisapride.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Cisapride is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Cisapride can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Cisapride.]
[J01FF01, clindamycin, The serum concentration of Cisapride can be increased when it is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Cisapride can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Cisapride can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Cisapride.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Cisapride.]
[C10AB01, clofibrate, The metabolism of Cisapride can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Cisapride can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Cisapride is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Cisapride.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Cisapride.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Cisapride.]
[C01EB24, mavacamten, The serum concentration of Cisapride can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Cisapride.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Cisapride is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Cisapride can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Cisapride.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Cisapride.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Cisapride.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Cisapride can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Cisapride is combined with Cocaine.]
[C02KB01, metyrosine, Cisapride may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Cisapride can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Cisapride.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Cisapride is combined with Hexafluronium.]
[A03AB10, hexocyclium, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Cisapride.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Cisapride is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Cisapride is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Cisapride.]
[J01FA15, telithromycin, The serum concentration of Cisapride can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Cisapride.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Cisapride.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Cisapride.]
[J02AC02, itraconazole, The metabolism of Cisapride can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Cisapride.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Cisapride is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Cisapride.]
[J02AC04, posaconazole, The metabolism of Cisapride can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Cisapride.]
[N03AX09, lamotrigine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Cisapride.]
[S01BA03, cortisone, The metabolism of Cisapride can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Cisapride can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Cisapride.]
[R06AX13, loratadine, The metabolism of Cisapride can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Lormetazepam.]
[C08CA11, manidipine, The metabolism of Cisapride can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Cisapride is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Cisapride.]
[H02AB15, meprednisone, The metabolism of Cisapride can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Cisapride.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Cisapride.]
[N04AA03, methixene, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Cisapride.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Cisapride is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Cisapride.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Cisapride.]
[J01FA03, midecamycin, The serum concentration of Cisapride can be increased when it is combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Cisapride.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Cisapride.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Cisapride.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Cisapride.]
[N06BA07, modafinil, The metabolism of Cisapride can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Cisapride.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Cisapride.]
[C03XA02, conivaptan, The metabolism of Cisapride can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Cisapride.]
[M01AH05, etoricoxib, The metabolism of Cisapride can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Cisapride can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Cisapride is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Cisapride can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Cisapride can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Cisapride is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Cisapride.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Cisapride.]
[N06AX06, nefazodone, The metabolism of Cisapride can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Cisapride is combined with Niaprazine.]
[L02BB02, nilutamide, The metabolism of Cisapride can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Cisapride is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Cisapride.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Cisapride is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Cisapride.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Cisapride.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Cisapride.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Cisapride can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxiracetam.]
[N04AA08, dexetimide, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Cisapride.]
[A03AA01, oxyphencyclimine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Cisapride can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Cisapride.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Cisapride.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Cisapride.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Cisapride is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Cisapride is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Cisapride.]
[B01AC04, clopidogrel, The metabolism of Cisapride can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Cisapride is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Cisapride is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Cisapride is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Cisapride is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Cisapride.]
[S01BC03, diclofenac, The metabolism of Cisapride can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Cisapride can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Cisapride.]
[A03AA07, dicyclomine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Cisapride.]
[A10BG03, pioglitazone, The metabolism of Cisapride can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Cisapride is combined with Pipamperone.]
[A03AB14, pipenzolate, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The serum concentration of Cisapride can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Cisapride.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Cisapride is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Cisapride can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Cisapride can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Cisapride can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Cisapride.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Cisapride.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Cisapride.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Cisapride.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Cisapride.]
[J05AE08, atazanavir, The serum concentration of Cisapride can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Cisapride.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Cisapride is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Cisapride.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Cisapride.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Cisapride is combined with Pridinol.]
[R06AB03, dimethindene, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Cisapride can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Cisapride is combined with Progabide.]
[C05CA03, diosmin, The metabolism of Cisapride can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Cisapride.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Cisapride is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Cisapride is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Cisapride is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Cisapride is combined with Quinupramine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Cisapride.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Cisapride.]
[N07XX04, sodium oxybate, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, The metabolism of Cisapride can be increased when combined with Fluocinolone acetonide.]
[S01XA23, sirolimus, The serum concentration of Cisapride can be increased when it is combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Cisapride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Cisapride.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Cisapride.]
[S02AA12, rifamycin SV, The metabolism of Cisapride can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Cisapride can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Cisapride is combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Cisapride.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Cisapride.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Cisapride.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Cisapride.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Cisapride.]
[A04AD12, aprepitant, The metabolism of Cisapride can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Cisapride.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Cisapride.]
[J05AE07, fosamprenavir, The serum concentration of Cisapride can be increased when it is combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Cisapride.]
[S01BC05, ketorolac, The metabolism of Cisapride can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Cisapride.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Cisapride.]
[R03AC12, salmeterol, The metabolism of Cisapride can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Cisapride.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Cisapride.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Cisapride.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Cisapride.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Cisapride.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Cisapride.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Cisapride is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Cisapride.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Sultopride is combined with Cisapride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Cisapride is combined with Sumatriptan.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Cisapride.]
[H01AA01, corticotropin, The metabolism of Cisapride can be increased when combined with Corticotropin.]
