[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoniazid.]
[J05AF06, abacavir, Isoniazid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Isoniazid.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Isoniazid.]
[L04AB02, infliximab, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Infliximab is combined with Isoniazid.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Isoniazid.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Isoniazid.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Isoniazid.]
[J01MA23, delafloxacin, Isoniazid may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Isoniazid.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Isoniazid.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Isoniazid.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Isoniazid.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Isoniazid.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Isoniazid.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Isoniazid.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Isoniazid.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The serum concentration of Isoniazid can be decreased when it is combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Isoniazid.]
[N06AA15, butriptyline, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Butriptyline.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Isoniazid.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Isoniazid.]
[R06AX18, acrivastine, Isoniazid may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Captopril.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Isoniazid.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Isoniazid.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Isoniazid.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Isoniazid.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Isoniazid.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Isoniazid.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Isoniazid.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Isoniazid.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Isoniazid.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Isoniazid.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01GB14, plazomicin, Isoniazid may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Isoniazid.]
[A16AX14, migalastat, Isoniazid may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Isoniazid can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Isoniazid.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Isoniazid.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Isoniazid.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Isoniazid.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Isoniazid.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Isoniazid may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Isoniazid.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be increased when it is combined with Isoniazid.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Isoniazid.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Isoniazid.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Isoniazid.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Isoniazid.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Isoniazid.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Isoniazid.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Isoniazid is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Isoniazid.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Isoniazid.]
[A03FA08, cinitapride, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Cinitapride.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Isoniazid.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Isoniazid.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Isoniazid is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Isoniazid.]
[N06BA14, solriamfetol, Isoniazid may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N06AX29, brexanolone, The therapeutic efficacy of Brexanolone can be decreased when used in combination with Isoniazid.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Isoniazid.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Isoniazid.]
[D07AB21, clocortolone, The serum concentration of Isoniazid can be decreased when it is combined with Clocortolone.]
[H02AB14, cloprednol, The serum concentration of Isoniazid can be decreased when it is combined with Cloprednol.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Isoniazid.]
[H02AB17, cortivazol, The serum concentration of Isoniazid can be decreased when it is combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Isoniazid.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Isoniazid.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Isoniazid.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Isoniazid.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EX15, pexidartinib, Isoniazid may increase the hepatotoxic activities of Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Isoniazid.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Isoniazid.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Isoniazid.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Isoniazid.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Isoniazid.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Isoniazid.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Isoniazid.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Isoniazid.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Isoniazid.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Isoniazid.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Isoniazid.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Isoniazid.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Isoniazid.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Isoniazid.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Isoniazid.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Isoniazid.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Isoniazid.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Isoniazid.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Isoniazid.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Isoniazid.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[M09AX08, golodirsen, Isoniazid may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Isoniazid.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Isoniazid.]
[S01XA12, dexpanthenol, Isoniazid may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Isoniazid is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Isoniazid.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Isoniazid.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Isoniazid.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Isoniazid.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Isoniazid.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Isoniazid.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Isoniazid.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Isoniazid.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Isoniazid.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Isoniazid.]
[R02AA03, dichlorobenzyl alcohol, Isoniazid may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Isoniazid.]
[D07AC19, difluprednate, The serum concentration of Isoniazid can be decreased when it is combined with Difluprednate.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Isoniazid.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Isoniazid.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Isoniazid.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Isoniazid.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Isoniazid.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Isoniazid.]
[N03AG02, dipropylacetamide, The therapeutic efficacy of Valpromide can be decreased when used in combination with Isoniazid.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Isoniazid.]
[L01EX17, capmatinib, The metabolism of Capmatinib can be decreased when combined with Isoniazid.]
[D07XB03, fluprednidene, The serum concentration of Isoniazid can be decreased when it is combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Isoniazid.]
[V08CA05, mangafodipir, Isoniazid may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The metabolism of Selpercatinib can be decreased when combined with Isoniazid.]
[S01BA14, loteprednol, The serum concentration of Isoniazid can be decreased when it is combined with Loteprednol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Isoniazid.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Dyclonine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Isoniazid.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Isoniazid.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Isoniazid.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Isoniazid.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Isoniazid.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Isoniazid.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Isoniazid.]
[L01EX23, pralsetinib, The metabolism of Pralsetinib can be decreased when combined with Isoniazid.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Isoniazid.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Isoniazid.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Isoniazid.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Isoniazid.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Isoniazid.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N02BA03, choline salicylate, Isoniazid may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Isoniazid.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Isoniazid.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Isoniazid.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Etofibrate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Isoniazid.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Isoniazid.]
[M01AX25, chondroitin sulfates, Isoniazid may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Isoniazid.]
[L01EX21, tepotinib, The metabolism of Tepotinib can be decreased when combined with Isoniazid.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Isoniazid.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N06BA10, fenethylline, The serum concentration of Fenethylline can be increased when it is combined with Isoniazid.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Isoniazid.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R03BA03, flunisolide, The serum concentration of Isoniazid can be decreased when it is combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The serum concentration of Isoniazid can be decreased when it is combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Isoniazid may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Isoniazid.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Isoniazid.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Isoniazid.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Isoniazid.]
[N02BF01, gabapentin, The therapeutic efficacy of Gabapentin can be decreased when used in combination with Isoniazid.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Isoniazid.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Isoniazid.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Isoniazid.]
[L01XA01, cisplatin, Isoniazid may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Isoniazid.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Isoniazid.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Isoniazid.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Isoniazid.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Isoniazid.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Isoniazid.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Isoniazid.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Isoniazid.]
[N02CD07, atogepant, The metabolism of Atogepant can be decreased when combined with Isoniazid.]
[V09AB03, ioflupane I-123, Isoniazid may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Isoniazid may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Isoniazid may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Isoniazid.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Isoniazid.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Isoniazid.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Isoniazid.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Isoniazid.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Isoniazid.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Isoniazid.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Isoniazid.]
[D07AD01, clobetasol, The serum concentration of Isoniazid can be decreased when it is combined with Clobetasol.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Isoniazid.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Isoniazid.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Isoniazid.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Isoniazid.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Isoniazid.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Isoniazid.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Isoniazid.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Isoniazid.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Isoniazid.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Isoniazid which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Isoniazid.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Isoniazid.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Isoniazid.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Isoniazid.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Isoniazid.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Isoniazid.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Isoniazid.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Isoniazid.]
[J01GB12, arbekacin, Isoniazid may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[D07AC12, halometasone, The serum concentration of Isoniazid can be decreased when it is combined with Halometasone.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Isoniazid is combined with Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Isoniazid.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Isoniazid.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Isoniazid.]
[J01XB01, colistin, Isoniazid may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Isoniazid is combined with Leflunomide.]
[A04AA03, tropisetron, Isoniazid may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Isoniazid.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Isoniazid.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Isoniazid.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Isoniazid.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Isoniazid.]
[R03BA08, ciclesonide, The serum concentration of Isoniazid can be decreased when it is combined with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AB14, valganciclovir, Isoniazid may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Isoniazid may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Isoniazid may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Isoniazid may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Isoniazid may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Isoniazid may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Isoniazid.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Isoniazid.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Isoniazid.]
[J02AC02, itraconazole, The serum concentration of Itraconazole can be decreased when it is combined with Isoniazid.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Isoniazid.]
[N05BA10, ketazolam, The metabolism of Ketazolam can be decreased when combined with Isoniazid.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Isoniazid.]
[J02AC04, posaconazole, The metabolism of Posaconazole can be decreased when combined with Isoniazid.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Isoniazid.]
[C08CA09, lacidipine, The metabolism of Lacidipine can be decreased when combined with Isoniazid.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Isoniazid.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Isoniazid.]
