[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moclobemide.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Moclobemide.]
[N07XX11, pitolisant, The metabolism of Moclobemide can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Moclobemide.]
[C03AA09, cyclothiazide, Moclobemide may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin pork.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Moclobemide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Moclobemide.]
[N03AX25, cenobamate, The serum concentration of Moclobemide can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Moclobemide can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Moclobemide.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Moclobemide.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Moclobemide.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Moclobemide can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Moclobemide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Moclobemide can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Moclobemide.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Moclobemide.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Moclobemide.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Moclobemide is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Moclobemide.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Moclobemide.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Moclobemide.]
[C08CA16, clevidipine, Moclobemide may increase the orthostatic hypotensive activities of Clevidipine.]
[C01BD07, dronedarone, The metabolism of Moclobemide can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Moclobemide can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Moclobemide.]
[C02AA06, methoserpidine, Moclobemide may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, Moclobemide may increase the orthostatic hypotensive activities of Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Moclobemide is combined with Dopexamine.]
[G04BD09, trospium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Moclobemide is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Moclobemide is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Moclobemide is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Moclobemide is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Moclobemide.]
[C08CA17, levamlodipine, Moclobemide may increase the hypotensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Moclobemide.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Moclobemide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Moclobemide is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Moclobemide can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Moclobemide may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Moclobemide.]
[N05AA01, chlorpromazine, The metabolism of Moclobemide can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Moclobemide may increase the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Moclobemide may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Moclobemide.]
[A11CC05, cholecalciferol, The metabolism of Moclobemide can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Moclobemide is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Moclobemide.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Moclobemide is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Moclobemide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Moclobemide can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Moclobemide is combined with Naxitamab.]
[C01DX22, vericiguat, Moclobemide may increase the orthostatic hypotensive activities of Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Moclobemide is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Moclobemide.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Moclobemide is combined with Fenbufen.]
[C01CA19, fenoldopam, Moclobemide may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Moclobemide is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Moclobemide is combined with Finasteride.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Moclobemide.]
[L03AB10, peginterferon alfa-2b, The metabolism of Moclobemide can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Moclobemide may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Moclobemide can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Moclobemide.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Moclobemide.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Moclobemide can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Moclobemide.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Moclobemide.]
[R06AA04, clemastine, Moclobemide may increase the anticholinergic activities of Clemastine.]
[A10BB12, glimepiride, Moclobemide may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Moclobemide may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Moclobemide is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Moclobemide can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Moclobemide.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Moclobemide.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Tenecteplase.]
[N01BB10, levobupivacaine, Moclobemide may increase the orthostatic hypotensive activities of Levobupivacaine.]
[N06AA04, clomipramine, Moclobemide may increase the serotonergic activities of Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Moclobemide.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Moclobemide.]
[C01EB24, mavacamten, The serum concentration of Moclobemide can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, Moclobemide may increase the hypoglycemic activities of Tirzepatide.]
[A02BC08, vonoprazan, The metabolism of Moclobemide can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Moclobemide.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Moclobemide.]
[N05AH02, clozapine, The metabolism of Moclobemide can be decreased when combined with Clozapine.]
[A10BX01, guar gum, Moclobemide may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Moclobemide may increase the hypoglycemic activities of Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Moclobemide.]
[S02DA02, cocaine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Moclobemide may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Moclobemide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Moclobemide is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Moclobemide.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Moclobemide.]
[A03AB10, hexocyclium, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Moclobemide.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Moclobemide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Moclobemide is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Moclobemide may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Moclobemide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Moclobemide.]
[B01AC10, indobufen, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Moclobemide.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Moclobemide.]
[A03AX10, isometheptene, Moclobemide may increase the sympathomimetic activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Moclobemide.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Moclobemide is combined with Parecoxib.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Moclobemide is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Moclobemide can be increased when it is combined with Imatinib.]
[A02BC05, esomeprazole, The metabolism of Moclobemide can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, Moclobemide may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Moclobemide can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Moclobemide is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Moclobemide is combined with Loxoprofen.]
[C09AA03, lisinopril, Moclobemide may increase the hypotensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Moclobemide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Moclobemide is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Moclobemide.]
[R06AD07, mequitazine, Moclobemide may increase the anticholinergic activities of Mequitazine.]
[N04AA03, methixene, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, Moclobemide may increase the hypertensive activities of Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Moclobemide is combined with Cyclobarbital.]
[C03DA04, eplerenone, Moclobemide may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Moclobemide is combined with Melperone.]
[C03AA07, cyclopenthiazide, Moclobemide may increase the hypotensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, Moclobemide may increase the hypoglycemic activities of Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Moclobemide.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Moclobemide.]
[S01XA18, cyclosporine, The metabolism of Moclobemide can be decreased when combined with Cyclosporine.]
[S01AA13, fusidic acid, The metabolism of Moclobemide can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Moclobemide can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Moclobemide may increase the anticholinergic activities of Cyproheptadine.]
[C09AA13, moexipril, Moclobemide may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Moclobemide is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Moclobemide is combined with Morniflumate.]
[C03XA02, conivaptan, Moclobemide may increase the orthostatic hypotensive activities of Conivaptan.]
[C02AC05, moxonidine, Moclobemide may increase the hypotensive activities of Moxonidine.]
[M01AH05, etoricoxib, The metabolism of Moclobemide can be decreased when combined with Etoricoxib.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Moclobemide is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Deanol.]
[C02CC04, debrisoquin, Moclobemide may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Moclobemide.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Nordazepam.]
[C07AB12, nebivolol, Moclobemide may increase the hypotensive activities of Nebivolol.]
[N06AX06, nefazodone, Moclobemide may increase the serotonergic activities of Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Niaprazine.]
[C01DX16, nicorandil, Moclobemide may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Moclobemide can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Moclobemide.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Moclobemide is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Moclobemide.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Moclobemide is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Moclobemide.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Escitalopram.]
[G04BD08, solifenacin, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Moclobemide is combined with Olsalazine.]
[N06AA01, desipramine, Moclobemide may increase the serotonergic activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Moclobemide.]
[C09XA02, aliskiren, Moclobemide may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Moclobemide.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Moclobemide.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Oxiracetam.]
[N04AA08, dexetimide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Moclobemide.]
[A03AA01, oxyphencyclimine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Moclobemide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Moclobemide.]
[N06BA02, dextroamphetamine, Moclobemide may increase the hypertensive activities of Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Moclobemide.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Moclobemide.]
[N06AB05, paroxetine, Moclobemide may increase the serotonergic activities of Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Moclobemide.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Moclobemide.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Moclobemide.]
[V03AH01, diazoxide, Moclobemide may increase the hypotensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Moclobemide.]
[N06AA08, dibenzepin, Moclobemide may increase the serotonergic activities of Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Moclobemide.]
[R05DA08, pholcodine, Pholcodine may increase the serotonergic activities of Moclobemide.]
[S01EC02, dichlorphenamide, Moclobemide may increase the orthostatic hypotensive activities of Diclofenamide.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Moclobemide.]
[A03AA07, dicyclomine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Moclobemide may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, Moclobemide may increase the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Moclobemide may increase the orthostatic hypotensive activities of Pipamperone.]
[A03AB14, pipenzolate, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Moclobemide.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Moclobemide is combined with Diethylpropion.]
[C08CA03, isradipine, Moclobemide may increase the hypotensive activities of Isradipine.]
[A03AB11, poldine, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Moclobemide.]
[C02DB01, dihydralazine, Moclobemide may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Moclobemide is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Moclobemide.]
[N02AA03, hydromorphone, Moclobemide may increase the serotonergic activities of Hydromorphone.]
[B01AC21, treprostinil, Moclobemide may increase the hypotensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pramocaine.]
[C08DB01, diltiazem, Moclobemide may increase the hypotensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Moclobemide.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Moclobemide is combined with Pridinol.]
[R06AB03, dimethindene, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Moclobemide can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Moclobemide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Moclobemide is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Moclobemide is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Moclobemide.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Quazepam.]
[C09AA06, quinapril, Moclobemide may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, Moclobemide may increase the orthostatic hypotensive activities of Dipyridamole.]
[N06BA11, dexmethylphenidate, Moclobemide may increase the hypertensive activities of Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Moclobemide is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, Moclobemide may increase the serotonergic activities of Quinupramine.]
[A03FA02, cisapride, The metabolism of Moclobemide can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Moclobemide may increase the hypotensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Moclobemide is combined with Reproterol.]
[C01BA03, disopyramide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Moclobemide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Moclobemide can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Moclobemide.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Moclobemide is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Moclobemide is combined with Levocetirizine.]
[N01BB09, ropivacaine, Moclobemide may increase the orthostatic hypotensive activities of Ropivacaine.]
[L01EX01, sunitinib, Moclobemide may increase the hypoglycemic activities of Sunitinib.]
[L01XG01, bortezomib, The metabolism of Moclobemide can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Moclobemide may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Moclobemide.]
[C02KX02, ambrisentan, Moclobemide may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Moclobemide can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Moclobemide is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Moclobemide.]
[C01CA07, dobutamine, Moclobemide may increase the hypertensive activities of Dobutamine.]
[A03FA03, domperidone, The risk or severity of QTc prolongation, torsade de pointes, and cardiotoxicity can be increased when Moclobemide is combined with Domperidone.]
[C01CA04, dopamine, The metabolism of Dopamine can be decreased when combined with Moclobemide.]
[N06AA16, dothiepin, Moclobemide may increase the serotonergic activities of Dosulepin.]
[R07AB01, doxapram, Moclobemide may increase the hypertensive activities of Doxapram.]
[N06AA12, doxepin, Moclobemide may increase the serotonergic activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Moclobemide can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Moclobemide.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Moclobemide.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[A08AA10, sibutramine, Moclobemide may increase the serotonergic activities of Sibutramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Moclobemide.]
[C09AA11, spirapril, Moclobemide may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Moclobemide is combined with Sultopride.]
[N02CC01, sumatriptan, The metabolism of Sumatriptan can be decreased when combined with Moclobemide.]
[C07AB13, talinolol, Moclobemide may increase the hypotensive activities of Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Moclobemide.]
[G04CA03, terazosin, Moclobemide may increase the hypotensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Moclobemide can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Moclobemide.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Moclobemide is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Moclobemide is combined with Tetrazepam.]
