[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Antipyrine is combined with Lurasidone.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Lurasidone is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Lurasidone.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lurasidone.]
[J05AE05, amprenavir, The metabolism of Lurasidone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lurasidone.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Lurasidone.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Lurasidone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Lurasidone.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Lurasidone.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lurasidone.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Lurasidone.]
[C01BD07, dronedarone, The metabolism of Lurasidone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Lurasidone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Lurasidone.]
[C02AA06, methoserpidine, Lurasidone may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Lurasidone.]
[A03AA08, dihexyverine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Lurasidone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Lurasidone.]
[G04BD09, trospium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Lurasidone is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Lurasidone is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Lurasidone is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Lurasidone.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Lurasidone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Lurasidone.]
[C08CA17, levamlodipine, Lurasidone may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Fostemsavir.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Remimazolam.]
[N07XX04, sodium oxybate, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Lurasidone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Lurasidone is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Chloroquine.]
[C03AA04, chlorothiazide, Lurasidone may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Lurasidone.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the hypotensive activities of Lurasidone.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Lurasidone.]
[N05AF03, chlorprothixene, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Lurasidone may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Lurasidone.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Lurasidone is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Lurasidone.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Lurasidone.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Lurasidone is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Lurasidone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lurasidone can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Lurasidone is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Lurasidone can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Lurasidone is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Lurasidone.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Lurasidone is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Lurasidone.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Lurasidone is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Lurasidone.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lurasidone.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Lurasidone.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Lurasidone.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Lurasidone is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Lurasidone may decrease the antihypertensive activities of Dasiglucagon.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Lurasidone.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Lurasidone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Lurasidone can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Lurasidone is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Lurasidone is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Lurasidone.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Lurasidone.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Lurasidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Clenbuterol is combined with Lurasidone.]
[J01FF01, clindamycin, Clindamycin may increase the neurotoxic activities of Lurasidone.]
[N06AX25, St. John's wort extract, The serum concentration of Lurasidone can be decreased when it is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Lurasidone.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Lurasidone.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Lurasidone.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Clomipramine is combined with Lurasidone.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Lurasidone.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Lurasidone.]
[C01EB24, mavacamten, The serum concentration of Lurasidone can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Lurasidone.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Lurasidone.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Lurasidone.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Lurasidone.]
[L01XX77, adagrasib, The serum concentration of Lurasidone can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Lurasidone can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Lurasidone.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Lurasidone.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Lurasidone.]
[H01AC08, somatrogon, The metabolism of Lurasidone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Lurasidone may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Lurasidone is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Lurasidone.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Lurasidone.]
[A03AB10, hexocyclium, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Lurasidone.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Lurasidone.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Lurasidone.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Lurasidone is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Lurasidone.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Lurasidone.]
[J01FA15, telithromycin, The metabolism of Lurasidone can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Lurasidone is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Lurasidone.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Lurasidone.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Isometheptene is combined with Lurasidone.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lurasidone.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Parecoxib is combined with Lurasidone.]
[J02AC02, itraconazole, The metabolism of Lurasidone can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Lurasidone.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Lurasidone is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Lurasidone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Lacidipine.]
[N03AX09, lamotrigine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Lurasidone.]
[N07BC04, lofexidine, The therapeutic efficacy of Lurasidone can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Lurasidone is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Lurasidone is combined with Loxoprofen.]
[C09AA03, lisinopril, Lurasidone may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Lurasidone may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Lurasidone is combined with Mefenorex.]
[R06AD07, mequitazine, Lurasidone may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Lurasidone.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Lurasidone.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Lurasidone is combined with Cyclobarbital.]
[C03DA04, eplerenone, Lurasidone may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Lurasidone is combined with Melperone.]
[C03AA07, cyclopenthiazide, Lurasidone may decrease the antihypertensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Lurasidone.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Lurasidone.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Lurasidone.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Lurasidone.]
[S01XA18, cyclosporine, The metabolism of Lurasidone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Lurasidone.]
[R06AX02, cyproheptadine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Lurasidone.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Lurasidone is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Lurasidone is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Lurasidone can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Lurasidone may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Lurasidone.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Etoricoxib is combined with Lurasidone.]
[G03XA01, danazol, The metabolism of Lurasidone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lurasidone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Deanol.]
[C02CC04, debrisoquin, Lurasidone may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Lurasidone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Nordazepam.]
[C07AB12, nebivolol, Lurasidone may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the hypotensive activities of Lurasidone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Niaprazine.]
[C01DX16, nicorandil, Lurasidone may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Lurasidone.]
[C01CA23, theodrenaline, Lurasidone may decrease the hypertensive activities of Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Lurasidone.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Lurasidone is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Escitalopram.]
[G04BD08, solifenacin, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Olsalazine is combined with Lurasidone.]
[N06AA01, desipramine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Lurasidone.]
[C09XA02, aliskiren, Lurasidone may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Lurasidone.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lurasidone.]
[S03BA01, dexamethasone, The metabolism of Lurasidone can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Lurasidone is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Lurasidone.]
[G04BD04, oxybutynin, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Lurasidone.]
[A03AA01, oxyphencyclimine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Lurasidone.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Lurasidone.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Lurasidone.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Lurasidone.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Lurasidone.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Lurasidone.]
[V03AH01, diazoxide, Lurasidone may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Lurasidone.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Lurasidone is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Lurasidone.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Lurasidone.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Lurasidone.]
[A03AA07, dicyclomine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may increase the neurotoxic activities of Lurasidone.]
[C02DG01, pinacidil, Lurasidone may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Lurasidone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pipamperone.]
[A03AB14, pipenzolate, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Pirbuterol is combined with Lurasidone.]
[A08AA03, diethylpropion, The therapeutic efficacy of Lurasidone can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The metabolism of Lurasidone can be decreased when combined with Isradipine.]
[A03AB11, poldine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Lurasidone.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Lurasidone.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Lurasidone.]
[C02DB01, dihydralazine, Lurasidone may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Lurasidone is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypotensive activities of Lurasidone.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Lurasidone.]
[J05AE08, atazanavir, The metabolism of Lurasidone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Lurasidone.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Lurasidone can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Lurasidone.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pridinol.]
[R06AB03, dimethindene, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Procaterol is combined with Lurasidone.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Lurasidone.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Lurasidone is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Lurasidone is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Lurasidone.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Lurasidone.]
[C09AA06, quinapril, Lurasidone may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Lurasidone is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Cisapride.]
[C09AA05, ramipril, Lurasidone may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Lurasidone.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Lurasidone is combined with Reproterol.]
[C01BA03, disopyramide, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Lurasidone.]
[S02AA12, rifamycin SV, The metabolism of Lurasidone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Lurasidone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Lurasidone.]
[N05AX08, risperidone, Risperidone may increase the hypotensive activities of Lurasidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Lurasidone.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Lurasidone.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Lurasidone.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be decreased when used in combination with Lurasidone.]
[A04AD12, aprepitant, The metabolism of Lurasidone can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lurasidone.]
[G04BE08, tadalafil, Lurasidone may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Lurasidone.]
[C02KX02, ambrisentan, Lurasidone may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Salsalate is combined with Lurasidone.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Lurasidone.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Lurasidone.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Lurasidone.]
[N06AA16, dothiepin, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Lurasidone.]
[N06AA12, doxepin, Doxepin may increase the hypotensive activities of Lurasidone.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Lurasidone is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Lurasidone.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Sibutramine.]
[C09AA11, spirapril, Lurasidone may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Lurasidone is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Lurasidone.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Lurasidone.]
[G04CA03, terazosin, Terazosin may increase the hypotensive activities of Lurasidone.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Terodiline.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Tetryzoline is combined with Lurasidone.]
