[P02BB01, trichlorfon, The therapeutic efficacy of Metrifonate can be decreased when used in combination with Budesonide.]
[P01CA02, benznidazole, Budesonide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Budesonide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Budesonide.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Budesonide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be increased when combined with Budesonide.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Budesonide.]
[L01EX10, midostaurin, The metabolism of Budesonide can be decreased when combined with Midostaurin.]
[L01FF03, durvalumab, The therapeutic efficacy of Durvalumab can be decreased when used in combination with Budesonide.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Budesonide.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Sarilumab.]
[J01MA23, delafloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Budesonide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Budesonide.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Budesonide.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Budesonide is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Budesonide.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Budesonide.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[R03AC17, bitolterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Budesonide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Budesonide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Budesonide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Budesonide is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MB04, pipemidic acid, The risk or severity of tendinopathy can be increased when Budesonide is combined with Pipemidic acid.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Budesonide.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Budesonide is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Semaglutide.]
[N01BX04, capsaicin, The therapeutic efficacy of Capsaicin can be decreased when used in combination with Budesonide.]
[A10BK04, ertugliflozin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Ertugliflozin.]
[R06AX18, acrivastine, Budesonide may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Budesonide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Budesonide.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Budesonide.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Budesonide is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01GB14, plazomicin, Budesonide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Budesonide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Budesonide may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Budesonide can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Budesonide.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Budesonide.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Budesonide.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BB06, carbutamide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Carbutamide.]
[D08AE05, chloroxylenol, Budesonide may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Budesonide.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Budesonide.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Budesonide.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Ravulizumab.]
[A06AX05, prucalopride, Budesonide may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be increased when combined with Budesonide.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Budesonide.]
[J01FA09, clarithromycin, The metabolism of Budesonide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Budesonide may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Budesonide.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Budesonide is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Budesonide.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Budesonide is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Budesonide.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Budesonide.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Budesonide is combined with Upadacitinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Budesonide.]
[N07XX11, pitolisant, The serum concentration of Budesonide can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Budesonide.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Budesonide.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Budesonide.]
[C03AA09, cyclothiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Budesonide.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Budesonide is combined with Deflazacort.]
[G03DB05, demegestone, The serum concentration of Budesonide can be increased when it is combined with Demegestone.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Budesonide.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Budesonide is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Budesonide.]
[G03AC09, desogestrel, The serum concentration of Budesonide can be increased when it is combined with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Budesonide can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M09AX08, golodirsen, Budesonide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, The therapeutic efficacy of Dexpanthenol can be decreased when used in combination with Budesonide.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Budesonide.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Budesonide.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Budesonide.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Budesonide.]
[S01AE06, gatifloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Budesonide can be decreased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Budesonide.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Budesonide is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Budesonide.]
[R02AA03, dichlorobenzyl alcohol, Budesonide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The serum concentration of Budesonide can be increased when it is combined with Dienogest.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Budesonide.]
[C08CA16, clevidipine, Budesonide may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Budesonide.]
[J01FA13, dirithromycin, The serum concentration of Budesonide can be increased when it is combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Budesonide.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Budesonide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Budesonide.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Budesonide.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Budesonide is combined with Fluprednidene.]
[M01AC04, droxicam, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Droxicam.]
[V08CA05, mangafodipir, Budesonide may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Budesonide.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Dexketoprofen.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Budesonide is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Budesonide is combined with Stepronin.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Budesonide.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Budesonide.]
[L01FX15, belantamab mafodotin, Budesonide may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Budesonide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Budesonide.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Budesonide.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Chlorothiazide.]
[G03CA06, chlorotrianisene, The serum concentration of Budesonide can be increased when it is combined with Chlorotrianisene.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be increased when combined with Budesonide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Budesonide.]
[A10BB02, chlorpropamide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Chlorpropamide.]
[C03BA04, chlorthalidone, Budesonide may increase the hypokalemic activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A11CC05, cholecalciferol, The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Budesonide.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be decreased when it is combined with Budesonide.]
[G03DC06, ethynodiol, The serum concentration of Budesonide can be increased when it is combined with Etynodiol.]
[M01AB08, etodolac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Budesonide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Budesonide can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Budesonide.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Budesonide.]
[M01AX25, chondroitin sulfates, Budesonide may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Budesonide is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Budesonide can be increased when it is combined with Abametapir.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Fenbufen.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Budesonide.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of tendinopathy can be increased when Budesonide is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Budesonide.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Budesonide.]
[S01JA01, fluorescein, Fluorescein may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N02BG07, flupirtine, Budesonide may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[A10AF01, insulin, regular, human, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Budesonide is combined with Ponesimod.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Budesonide.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Budesonide.]
[A02BA01, cimetidine, Cimetidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[J01MB06, cinoxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Budesonide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Budesonide.]
[S03AA07, ciprofloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Cisplatin can be decreased when used in combination with Budesonide.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Budesonide is combined with Pegcetacoplan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Budesonide is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Budesonide.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Anifrolumab.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Budesonide.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Budesonide is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Budesonide.]
[N06AX25, St. John's wort extract, The metabolism of Budesonide can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Budesonide is combined with Ropeginterferon alfa-2b.]
[N01BB10, levobupivacaine, Levobupivacaine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Budesonide.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Budesonide.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Budesonide.]
[C01EB24, mavacamten, The serum concentration of Budesonide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Budesonide.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Budesonide is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Budesonide is combined with Deucravacitinib.]
[A05BA08, glycyrrhizic acid, Budesonide may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Budesonide.]
[L01XX77, adagrasib, The serum concentration of Budesonide can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Budesonide can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Sotagliflozin.]
[J01GB12, arbekacin, Budesonide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Budesonide can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Budesonide is combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Proquazone.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Budesonide.]
[M04AC01, colchicine, Budesonide may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Budesonide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Budesonide is combined with Leflunomide.]
[A02AD04, hydrotalcite, The bioavailability of Budesonide can be decreased when combined with Hydrotalcite.]
[A04AA03, tropisetron, Budesonide may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Mecasermin.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Budesonide is combined with Nelarabine.]
[A10AE04, insulin glargine, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Budesonide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Indobufen.]
[J05AB14, valganciclovir, Budesonide may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Budesonide may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Budesonide may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Budesonide may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Budesonide may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Budesonide may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Budesonide.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Budesonide is combined with Lanatoside C.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Budesonide can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N05BA10, ketazolam, Budesonide may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Budesonide.]
[J02AC04, posaconazole, The metabolism of Budesonide can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, Esomeprazole can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[N07BC04, lofexidine, Budesonide may decrease the excretion rate of Lofexidine which could result in a higher serum level.]
[S01AE04, lomefloxacin, The risk or severity of tendinopathy can be increased when Budesonide is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Lonazolac.]
[R06AX13, loratadine, Loratadine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[A02AD02, magaldrate, The bioavailability of Budesonide can be decreased when combined with Magaldrate.]
[A06AD01, magnesium carbonate, The bioavailability of Budesonide can be decreased when combined with Magnesium carbonate.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Budesonide is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Budesonide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Budesonide may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Budesonide.]
[C03AA07, cyclopenthiazide, The risk or severity of electrolyte imbalance can be increased when Budesonide is combined with Cyclopenthiazide.]
[J01FA03, midecamycin, The serum concentration of Budesonide can be increased when it is combined with Midecamycin.]
[A10BF02, miglitol, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Miglitol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Budesonide.]
[N06AX07, minaprine, The therapeutic efficacy of Minaprine can be decreased when used in combination with Budesonide.]
[S01XA18, cyclosporine, Budesonide may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Budesonide.]
[C10AA07, rosuvastatin, Rosuvastatin may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal irritation can be increased when Budesonide is combined with Mofebutazone.]
