[S02DA03, antipyrine, The metabolism of Encorafenib can be decreased when combined with Antipyrine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Encorafenib.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Encorafenib.]
[M02AX03, dimethyl sulfoxide, The metabolism of Encorafenib can be decreased when combined with Dimethyl sulfoxide.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Diphenhydramine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Cisapride.]
[N05AL04, remoxipride, The metabolism of Encorafenib can be decreased when combined with Remoxipride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Encorafenib.]
[S02AA12, rifamycin SV, The metabolism of Encorafenib can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Encorafenib can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Encorafenib.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Encorafenib.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Encorafenib.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Encorafenib.]
[A04AD12, aprepitant, The metabolism of Encorafenib can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Encorafenib.]
[C01EB18, ranolazine, The serum concentration of Encorafenib can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Encorafenib.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Encorafenib can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Encorafenib.]
[L01DB01, doxorubicin, The metabolism of Encorafenib can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Encorafenib.]
[N06AB06, sertraline, The metabolism of Encorafenib can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Encorafenib.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Encorafenib.]
[C10AA01, simvastatin, The metabolism of Encorafenib can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Encorafenib.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Encorafenib can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Encorafenib.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Encorafenib.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Toremifene.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Encorafenib.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Encorafenib.]
[L01CA04, vinorelbine, The metabolism of Encorafenib can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Encorafenib.]
[N06AX16, venlafaxine, The metabolism of Encorafenib can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Encorafenib can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Encorafenib can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Encorafenib.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Encorafenib.]
[N02CA02, ergotamine, The metabolism of Encorafenib can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The risk or severity of QTc prolongation can be increased when Erythromycin is combined with Encorafenib.]
[H05BX01, cinacalcet, The metabolism of Encorafenib can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Encorafenib can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Encorafenib can be decreased when combined with Fluvastatin.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Encorafenib.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Encorafenib can be decreased when combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Etidocaine.]
[N05AE03, sertindole, The metabolism of Encorafenib can be decreased when combined with Sertindole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Encorafenib.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Tacrolimus is combined with Encorafenib.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Encorafenib.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Encorafenib.]
[R06AX12, terfenadine, The metabolism of Encorafenib can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Encorafenib can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Encorafenib can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Encorafenib.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Leuprolide is combined with Encorafenib.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Famotidine is combined with Encorafenib.]
[C08CA02, felodipine, The metabolism of Encorafenib can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Fendiline is combined with Encorafenib.]
[N03AX26, fenfluramine, The metabolism of Encorafenib can be decreased when combined with Fenfluramine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Encorafenib.]
[N07AX03, cevimeline, The metabolism of Encorafenib can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Encorafenib.]
[J02AC01, fluconazole, The metabolism of Encorafenib can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Encorafenib can be decreased when combined with Flunarizine.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Fluorouracil is combined with Encorafenib.]
[N06AB03, fluoxetine, The serum concentration of Encorafenib can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Encorafenib can be decreased when combined with Fluphenazine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Fluspirilene is combined with Encorafenib.]
[J05AE10, darunavir, The metabolism of Encorafenib can be decreased when combined with Darunavir.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Encorafenib.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Gallopamil is combined with Encorafenib.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Telavancin is combined with Encorafenib.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Encorafenib.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Dasatinib is combined with Encorafenib.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Encorafenib.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Encorafenib.]
[N05CM18, dexmedetomidine, The metabolism of Encorafenib can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Encorafenib can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Encorafenib.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Encorafenib.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Goserelin is combined with Encorafenib.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Encorafenib.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Encorafenib.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Encorafenib.]
[J05AG01, nevirapine, The metabolism of Encorafenib can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Nilvadipine is combined with Encorafenib.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Encorafenib.]
[P01BA02, hydroxychloroquine, The metabolism of Encorafenib can be decreased when combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Hydroxyzine.]
[L01DB06, idarubicin, The metabolism of Encorafenib can be decreased when combined with Idarubicin.]
[N06AA02, imipramine, The metabolism of Encorafenib can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Terlipressin is combined with Encorafenib.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Encorafenib.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Encorafenib.]
[N06AX17, milnacipran, The metabolism of Encorafenib can be decreased when combined with Milnacipran.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Articaine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Encorafenib.]
[C10AA06, cerivastatin, The metabolism of Encorafenib can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Encorafenib can be decreased when combined with Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Encorafenib.]
[N06AF05, iproniazid, The metabolism of Encorafenib can be decreased when combined with Iproniazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Encorafenib.]
[N04BX02, entacapone, The metabolism of Encorafenib can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Encorafenib can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Encorafenib can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Encorafenib can be increased when combined with Tocilizumab.]
[J02AB02, ketoconazole, The metabolism of Encorafenib can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Encorafenib can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Encorafenib.]
[L04AA24, abatacept, The metabolism of Encorafenib can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Encorafenib can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Nalidixic acid is combined with Encorafenib.]
[C07AG01, labetalol, The metabolism of Encorafenib can be decreased when combined with Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Encorafenib.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Lidoflazine is combined with Encorafenib.]
[N02CA07, lisuride, The metabolism of Encorafenib can be decreased when combined with Lisuride.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Loperamide is combined with Encorafenib.]
[C10AA02, lovastatin, The metabolism of Encorafenib can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Encorafenib can be decreased when combined with Temsirolimus.]
[L01EA03, nilotinib, The metabolism of Encorafenib can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Maprotiline is combined with Encorafenib.]
[R06AE05, meclizine, The metabolism of Encorafenib can be decreased when combined with Meclizine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Encorafenib.]
[N03AB04, mephenytoin, The metabolism of Encorafenib can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Mepivacaine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Mesoridazine is combined with Encorafenib.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Dolasetron is combined with Encorafenib.]
[N07BC02, methadone, The risk or severity of QTc prolongation can be increased when Methadone is combined with Encorafenib.]
[N06BA03, methamphetamine, The metabolism of Encorafenib can be decreased when combined with Metamfetamine.]
[H03BB02, methimazole, The metabolism of Encorafenib can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The metabolism of Encorafenib can be decreased when combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Encorafenib can be decreased when combined with Methoxyflurane.]
[V04CG05, methylene blue, The metabolism of Encorafenib can be decreased when combined with Methylene blue.]
[A03FA01, metoclopramide, The metabolism of Encorafenib can be decreased when combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Encorafenib can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Encorafenib.]
[C01BB02, mexiletine, The metabolism of Encorafenib can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Encorafenib can be decreased when combined with Mianserin.]
[S02AA13, miconazole, The metabolism of Encorafenib can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Encorafenib can be decreased when combined with Aminophenazone.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Mifepristone.]
[L01XX23, mitotane, The metabolism of Encorafenib can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Encorafenib can be decreased when combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The metabolism of Encorafenib can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Encorafenib.]
[A04AA05, palonosetron, The metabolism of Encorafenib can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Encorafenib can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Pazopanib is combined with Encorafenib.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Encorafenib.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Encorafenib.]
[N03AB05, fosphenytoin, The metabolism of Encorafenib can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, The metabolism of Encorafenib can be decreased when combined with Nadolol.]
[V03AB15, naloxone, The metabolism of Encorafenib can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Encorafenib can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Encorafenib can be decreased when combined with Amphetamine.]
[N06AX21, duloxetine, The metabolism of Encorafenib can be decreased when combined with Duloxetine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Encorafenib.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Levosimendan is combined with Encorafenib.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Encorafenib can be decreased when combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Encorafenib can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Encorafenib can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Encorafenib can be decreased when combined with Nicergoline.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Encorafenib.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Nimodipine is combined with Encorafenib.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Nitrendipine is combined with Encorafenib.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Norfloxacin is combined with Encorafenib.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Encorafenib.]
[H01CB02, octreotide, The risk or severity of QTc prolongation can be increased when Octreotide is combined with Encorafenib.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Ofloxacin is combined with Encorafenib.]
[L04AC04, rilonacept, The metabolism of Encorafenib can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Encorafenib can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Encorafenib can be decreased when combined with Opium.]
[G04CA02, tamsulosin, The metabolism of Encorafenib can be decreased when combined with Tamsulosin.]
[P02BA02, oxamniquine, The metabolism of Encorafenib can be decreased when combined with Oxamniquine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Oxolinic acid is combined with Encorafenib.]
[C07AA02, oxprenolol, The metabolism of Encorafenib can be decreased when combined with Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Encorafenib can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Encorafenib can be decreased when combined with Oxymorphone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Encorafenib.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Asenapine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Papaverine is combined with Encorafenib.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Encorafenib.]
[G04BD11, fesoterodine, The metabolism of Encorafenib can be decreased when combined with Fesoterodine.]
[C07AA23, penbutolol, The metabolism of Encorafenib can be decreased when combined with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Encorafenib can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The metabolism of Encorafenib can be decreased when combined with Perhexiline.]
[N05AB03, perphenazine, The metabolism of Encorafenib can be decreased when combined with Perphenazine.]
[N02BE03, phenacetin, The metabolism of Encorafenib can be decreased when combined with Phenacetin.]
[A10BA01, phenformin, The metabolism of Encorafenib can be decreased when combined with Phenformin.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Pheniramine is combined with Encorafenib.]
[N03AA02, phenobarbital, The metabolism of Encorafenib can be increased when combined with Phenobarbital.]
[N03AB02, phenytoin, The metabolism of Encorafenib can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Encorafenib can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Encorafenib.]
[C08CX01, mibefradil, The risk or severity of QTc prolongation can be increased when Mibefradil is combined with Encorafenib.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Encorafenib.]
[C07AA03, pindolol, The metabolism of Encorafenib can be decreased when combined with Pindolol.]
[J05AE01, saquinavir, The metabolism of Encorafenib can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The metabolism of Encorafenib can be decreased when combined with Piperazine.]
[N05AC04, pipothiazine, The metabolism of Encorafenib can be decreased when combined with Pipotiazine.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Encorafenib can be decreased when combined with Delavirdine.]
[L04AC08, canakinumab, The metabolism of Encorafenib can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The serum concentration of Encorafenib can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, The metabolism of Encorafenib can be decreased when combined with Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Prajmaline is combined with Encorafenib.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Antazoline is combined with Encorafenib.]
[C01DX02, prenylamine, The risk or severity of QTc prolongation can be increased when Prenylamine is combined with Encorafenib.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Encorafenib can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Encorafenib can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Probucol is combined with Encorafenib.]
[C01BA02, procainamide, The metabolism of Procainamide can be decreased when combined with Encorafenib.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Procaine.]
[N05AB04, prochlorperazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Encorafenib.]
[G03DA04, progesterone, The metabolism of Encorafenib can be decreased when combined with Progesterone.]
[N05AA03, promazine, The risk or severity of QTc prolongation can be increased when Promazine is combined with Encorafenib.]
[R06AD02, promethazine, The metabolism of Encorafenib can be decreased when combined with Promethazine.]
[C01BC03, propafenone, The metabolism of Encorafenib can be decreased when combined with Propafenone.]
[L01XH02, romidepsin, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Romidepsin.]
[N01AX10, propofol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Encorafenib.]
[N02AC04, propoxyphene, The metabolism of Encorafenib can be decreased when combined with Dextropropoxyphene.]
[C07AA05, propranolol, The metabolism of Encorafenib can be decreased when combined with Propranolol.]
[N06AA11, protriptyline, The risk or severity of QTc prolongation can be increased when Protriptyline is combined with Encorafenib.]
[N05AX12, aripiprazole, The risk or severity of QTc prolongation can be increased when Aripiprazole is combined with Encorafenib.]
[R06AC01, pyrilamine, The metabolism of Encorafenib can be decreased when combined with Mepyramine.]
[C01BA01, quinidine, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Quinidine.]
[P01BC01, quinine, The metabolism of Encorafenib can be decreased when combined with Quinine.]
[A02BA02, ranitidine, The metabolism of Encorafenib can be decreased when combined with Ranitidine.]
[J04AB02, rifampin, The metabolism of Encorafenib can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The risk or severity of QTc prolongation can be increased when Roxithromycin is combined with Encorafenib.]
[N04BD01, selegiline, The metabolism of Encorafenib can be decreased when combined with Selegiline.]
[C07AA07, sotalol, The metabolism of Sotalol can be decreased when combined with Encorafenib.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Encorafenib is combined with Valproic acid.]
