[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methoxsalen.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AB14, valganciclovir, Methoxsalen may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Methoxsalen may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Methoxsalen may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Methoxsalen may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Methoxsalen may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Methoxsalen may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02CC05, almotriptan, Methoxsalen may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Methoxsalen.]
[N05BA10, ketazolam, Methoxsalen may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Methoxsalen.]
[N03AX09, lamotrigine, Methoxsalen may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Methoxsalen.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Methoxsalen.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C09AA03, lisinopril, Methoxsalen may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Methoxsalen may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[J01DH02, meropenem, Methoxsalen may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Methoxsalen may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Methoxsalen.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Methoxsalen.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Methoxsalen.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Methoxsalen.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Methoxsalen.]
[N07BB05, nalmefene, Methoxsalen may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Methoxsalen may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Methoxsalen may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Methoxsalen may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Methoxsalen may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Methoxsalen.]
[B01AX05, fondaparinux, Methoxsalen may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06AA01, desipramine, Methoxsalen may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[V04CH02, indigo carmine, Methoxsalen may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Methoxsalen.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Methoxsalen.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Methoxsalen.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Methoxsalen.]
[P03AC04, permethrin, Methoxsalen may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Methoxsalen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA08, pholcodine, Methoxsalen may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Methoxsalen.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A03AA07, dicyclomine, Methoxsalen may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Methoxsalen may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Methoxsalen.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[D07XC04, diflucortolone, Methoxsalen may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01AA05, digoxin, Methoxsalen may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Dihydralazine can be decreased when combined with Methoxsalen.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Methoxsalen may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Methoxsalen may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[V03AB09, dimercaprol, Methoxsalen may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Methoxsalen may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Methoxsalen.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Methoxsalen.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Methoxsalen.]
[S01AX06, resorcinol, Methoxsalen may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Disopyramide can be decreased when combined with Methoxsalen.]
[N07XX02, riluzole, The metabolism of Riluzole can be decreased when combined with Methoxsalen.]
[R06AE09, levocetirizine, Methoxsalen may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The metabolism of Ropivacaine can be decreased when combined with Methoxsalen.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Methoxsalen.]
[G04BE08, tadalafil, Methoxsalen may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01CA07, dobutamine, Methoxsalen may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Methoxsalen.]
[C01CA04, dopamine, Methoxsalen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Methoxsalen.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Methoxsalen.]
[A08AA10, sibutramine, Methoxsalen may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Methoxsalen may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Methoxsalen may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[N02CC01, sumatriptan, Methoxsalen may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[V04CX07, edrophonium, Methoxsalen may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Methoxsalen.]
[L01AX03, temozolomide, Methoxsalen may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Methoxsalen.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06AG03, toloxatone, Methoxsalen may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Methoxsalen may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Methoxsalen.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Methoxsalen.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C02AC02, guanfacine, Methoxsalen may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Methoxsalen.]
[L03AX05, pidotimod, Methoxsalen may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Methoxsalen may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Methoxsalen.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Methoxsalen.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Methoxsalen.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Methoxsalen.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Methoxsalen.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[P01AX07, trimetrexate, Methoxsalen may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Methoxsalen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Methoxsalen.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Methoxsalen.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Methoxsalen may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Methoxsalen may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A16AA01, levocarnitine, Methoxsalen may decrease the excretion rate of Levocarnitine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Methoxsalen.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Methoxsalen.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N02AB03, fentanyl, Methoxsalen may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R03CC02, albuterol, Methoxsalen may decrease the excretion rate of Salbutamol which could result in a higher serum level.]
[L01BB06, clofarabine, Methoxsalen may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[G04BD02, flavoxate, Methoxsalen may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Methoxsalen.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J02AX01, flucytosine, Methoxsalen may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Methoxsalen may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Methoxsalen.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Methoxsalen.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Methoxsalen.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Methoxsalen.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Methoxsalen.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be decreased when combined with Methoxsalen.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Methoxsalen.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S02AA17, fosfomycin, Methoxsalen may decrease the excretion rate of Fosfomycin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Methoxsalen.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01AD09, ganciclovir, Methoxsalen may decrease the excretion rate of Ganciclovir which could result in a higher serum level.]
[C10AB04, gemfibrozil, Methoxsalen may decrease the excretion rate of Gemfibrozil which could result in a higher serum level.]
[J01XA03, telavancin, Methoxsalen may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Methoxsalen.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Methoxsalen.]
[A10BB07, glipizide, Methoxsalen may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Methoxsalen may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Methoxsalen.]
[M01CB04, aurothioglucose, Methoxsalen may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Methoxsalen may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[S01EX01, guanethidine, Methoxsalen may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be decreased when combined with Methoxsalen.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Methoxsalen.]
[N05AH04, quetiapine, Methoxsalen may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Methoxsalen may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[G03DC01, allylestrenol, Methoxsalen may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Methoxsalen.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C09AA04, perindopril, Methoxsalen may decrease the excretion rate of Perindopril which could result in a higher serum level.]
[C02DB02, hydralazine, Methoxsalen may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Methoxsalen may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[G04BD06, propiverine, Methoxsalen may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Methoxsalen may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[B05XA08, sodium acetate, Methoxsalen may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Methoxsalen.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Methoxsalen.]
[R01AD07, tixocortol, Methoxsalen may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Methoxsalen.]
[L01CE01, topotecan, Methoxsalen may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[A11HA07, inositol, Methoxsalen may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Methoxsalen may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Methoxsalen may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Methoxsalen may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Methoxsalen.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Methoxsalen.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Methoxsalen may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Methoxsalen.]
[J04AC01, isoniazid, Methoxsalen may decrease the excretion rate of Isoniazid which could result in a higher serum level.]
[J05AX05, inosine pranobex, Methoxsalen may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Methoxsalen may decrease the excretion rate of Isosorbide mononitrate which could result in a higher serum level.]
[D10BA01, isotretinoin, Methoxsalen may decrease the excretion rate of Isotretinoin which could result in a higher serum level.]
[S01AA24, kanamycin, Methoxsalen may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Methoxsalen may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Methoxsalen may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Methoxsalen.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C07AG01, labetalol, Methoxsalen may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N04BB01, amantadine, Methoxsalen may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[A06AX03, lubiprostone, Methoxsalen may decrease the excretion rate of Lubiprostone which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Methoxsalen.]
[S01AA21, amikacin, Methoxsalen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[B05XA11, magnesium chloride, Methoxsalen may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Methoxsalen may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Methoxsalen may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Methoxsalen.]
[C02BB01, mecamylamine, Methoxsalen may decrease the excretion rate of Mecamylamine which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Methoxsalen.]
[N06DX01, memantine, Methoxsalen may decrease the excretion rate of Memantine which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Methoxsalen.]
[N01BB03, mepivacaine, Methoxsalen may decrease the excretion rate of Mepivacaine which could result in a higher serum level.]
[G04BX16, tiopronin, Methoxsalen may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Methoxsalen may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[N06BA03, methamphetamine, Methoxsalen may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[J05AF05, lamivudine, Methoxsalen may decrease the excretion rate of Lamivudine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methoxsalen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BA04, pemetrexed, Methoxsalen may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Methoxsalen which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Methoxsalen may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Methoxsalen.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methoxsalen may decrease the excretion rate of Methyldopa which could result in a higher serum level.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Methoxsalen.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Methoxsalen.]
[G03EK01, methyltestosterone, Methoxsalen may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Methoxsalen.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Methoxsalen which could result in a lower serum level and potentially a reduction in efficacy.]
