[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[J01MA23, delafloxacin, Fentanyl may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[D01AC10, bifonazole, The metabolism of Fentanyl can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, Fentanyl may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Fentanyl can be decreased when combined with Enasidenib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Fentanyl.]
[C07AB07, bisoprolol, Fentanyl may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Fentanyl can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C07AA17, bopindolol, Fentanyl may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Fentanyl.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Fentanyl may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Fentanyl is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Fentanyl is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Fentanyl can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Fentanyl.]
[J05AX18, letermovir, The metabolism of Fentanyl can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Fentanyl is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Fentanyl can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vinylbital.]
[R06AX18, acrivastine, Fentanyl may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Fentanyl may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Fentanyl can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Fentanyl can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Fentanyl.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Fentanyl.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Fentanyl.]
[C07AG02, carvedilol, Fentanyl may decrease the antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Fentanyl can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Fentanyl.]
[L04AA37, baricitinib, Fentanyl may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01GB14, plazomicin, Fentanyl may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Fentanyl may decrease the antihypertensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Fentanyl can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Fentanyl may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Fentanyl can be decreased when combined with Stiripentol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Fentanyl.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Fentanyl is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Fentanyl may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Fentanyl.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Fentanyl is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Fentanyl.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Fentanyl.]
[L04AA39, emapalumab, The metabolism of Fentanyl can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Gilteritinib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Fentanyl is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Fentanyl.]
[C09AA08, cilazapril, Fentanyl may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, Fentanyl may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Fentanyl can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Fentanyl.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Fentanyl is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Fentanyl can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Fentanyl.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Fentanyl.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Cloxazolam.]
[C09CA06, candesartan, Fentanyl may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Fentanyl can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Fentanyl can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of hypotension and CNS depression can be increased when Cyamemazine is combined with Fentanyl.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fentanyl.]
[N07XX11, pitolisant, The serum concentration of Fentanyl can be decreased when it is combined with Pitolisant.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Fentanyl.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Fentanyl.]
[N03AX25, cenobamate, The metabolism of Fentanyl can be decreased when combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[M09AX08, golodirsen, Fentanyl may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fentanyl.]
[S01XA12, dexpanthenol, Fentanyl may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lumateperone.]
[J05AB16, remdesivir, The metabolism of Fentanyl can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Fentanyl can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Fentanyl can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Fentanyl is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dichloralphenazone.]
[R02AA03, dichlorobenzyl alcohol, Fentanyl may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Fentanyl may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Fentanyl.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Fentanyl.]
[C08CA16, clevidipine, The metabolism of Fentanyl can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Fentanyl can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Valpromide.]
[J01FA13, dirithromycin, The metabolism of Fentanyl can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Fentanyl can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Fentanyl is combined with Chlordiazepoxide.]
[C02AA06, methoserpidine, Fentanyl may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Fentanyl.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Fentanyl.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Fentanyl is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Fentanyl.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Fentanyl is combined with Droxicam.]
[V08CA05, mangafodipir, Fentanyl may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Fentanyl is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Fentanyl is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Fentanyl.]
[C08CA17, levamlodipine, Fentanyl may decrease the antihypertensive activities of Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Fentanyl is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Fentanyl can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Fentanyl is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[L01EX23, pralsetinib, The metabolism of Fentanyl can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Fentanyl.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Fentanyl.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Fentanyl.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Fentanyl is combined with Ethenzamide.]
[N02BA03, choline salicylate, Fentanyl may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Fentanyl.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Fentanyl is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Fentanyl can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Fentanyl can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Fentanyl.]
[M01AX25, chondroitin sulfates, Fentanyl may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Fentanyl is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Fentanyl can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Fentanyl is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Fentanyl is combined with Fenbufen.]
[C01CA19, fenoldopam, Fentanyl may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Fentanyl is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Fentanyl is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02BG07, flupirtine, Fentanyl may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Fentanyl.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Fentanyl is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Fentanyl may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Fentanyl can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Fentanyl is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Fentanyl.]
[L01XX73, sotorasib, The serum concentration of Fentanyl can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Fentanyl can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Fentanyl may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The metabolism of Fentanyl can be decreased when combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fentanyl can be decreased when combined with Fexinidazole.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Fentanyl.]
[V09AB03, ioflupane I-123, Fentanyl may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09AA01, technetium Tc 99m exametazime, Fentanyl may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Fentanyl may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Fentanyl.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Fentanyl is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The metabolism of Fentanyl can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Fentanyl.]
[J04BA01, clofazimine, The metabolism of Fentanyl can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Fentanyl.]
[C01EB24, mavacamten, The serum concentration of Fentanyl can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Fentanyl is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Fentanyl can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Fentanyl may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Fentanyl can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Fentanyl.]
[C02KB01, metyrosine, Fentanyl may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Fentanyl can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Fentanyl is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Fentanyl.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Fentanyl.]
[M04AC01, colchicine, The metabolism of Fentanyl can be decreased when combined with Colchicine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Fentanyl.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Fentanyl.]
[J01XB01, colistin, Fentanyl may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Fentanyl is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Fentanyl is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Fentanyl is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Fentanyl can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Fentanyl is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Fentanyl.]
[J05AB14, valganciclovir, Fentanyl may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Fentanyl may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Fentanyl may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Fentanyl may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Fentanyl may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Fentanyl may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Fentanyl.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Fentanyl.]
[A03AX10, isometheptene, The therapeutic efficacy of Fentanyl can be decreased when used in combination with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Fentanyl is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Fentanyl is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Fentanyl can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05BA10, ketazolam, The metabolism of Fentanyl can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Fentanyl is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Fentanyl can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Fentanyl can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Fentanyl may decrease the antihypertensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Fentanyl.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Fentanyl.]
[N07BC04, lofexidine, The therapeutic efficacy of Fentanyl can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Fentanyl is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Fentanyl is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[C09AA03, lisinopril, Fentanyl may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Fentanyl.]
[C08CA11, manidipine, The metabolism of Fentanyl can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Fentanyl.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Fentanyl is combined with Mefenorex.]
[C07AA14, mepindolol, Fentanyl may increase the bradycardic activities of Mepindolol.]
[R06AD07, mequitazine, The metabolism of Fentanyl can be decreased when combined with Mequitazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Fentanyl.]
[C04AX01, cyclandelate, Fentanyl may increase the bradycardic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the analgesic activities of Fentanyl.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Fentanyl is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Fentanyl is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[J01FA03, midecamycin, The metabolism of Fentanyl can be decreased when combined with Midecamycin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Fentanyl.]
[S01XA18, cyclosporine, The metabolism of Fentanyl can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Fentanyl.]
[R06AX02, cyproheptadine, The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Fentanyl.]
[C09AA13, moexipril, Fentanyl may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Fentanyl is combined with Mofebutazone.]
