[P02BB01, trichlorfon, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Metrifonate.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Oxybutynin.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AB01, etanercept, The metabolism of Oxybutynin can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Oxybutynin can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Oxybutynin.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Oxybutynin.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Oxybutynin.]
[N07XX11, pitolisant, The serum concentration of Oxybutynin can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Oxybutynin.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Oxybutynin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Oxybutynin.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Oxybutynin.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Oxybutynin.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Oxybutynin.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Oxybutynin.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Oxybutynin.]
[N03AX25, cenobamate, The serum concentration of Oxybutynin can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Oxybutynin.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Oxybutynin.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H02CA02, osilodrostat, The metabolism of Oxybutynin can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Oxybutynin can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Oxybutynin.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Oxybutynin.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Oxybutynin.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Oxybutynin.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Oxybutynin.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S03AA08, chloramphenicol, The metabolism of Oxybutynin can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Oxybutynin.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Dopexamine.]
[D07XB03, fluprednidene, The metabolism of Oxybutynin can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Oxybutynin.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Oxybutynin.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Oxybutynin.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L04AC19, satralizumab, The serum concentration of Oxybutynin can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of urinary retention, reduced gastrointestinal motility, and constipation can be increased when Oxybutynin is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Oxybutynin.]
[L01EX23, pralsetinib, The metabolism of Oxybutynin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Oxybutynin.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Oxybutynin.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[B06AC06, berotralstat, The metabolism of Oxybutynin can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Oxybutynin can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Oxybutynin.]
[P03AX07, abametapir, The serum concentration of Oxybutynin can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Fenozolone.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Oxybutynin.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Oxybutynin.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Oxybutynin.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A02BA01, cimetidine, The metabolism of Oxybutynin can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Oxybutynin.]
[L01XX73, sotorasib, The serum concentration of Oxybutynin can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Oxybutynin.]
[S03AA07, ciprofloxacin, The metabolism of Oxybutynin can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Oxybutynin.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Oxybutynin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Oxybutynin.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Oxybutynin.]
[N06AX25, St. John's wort extract, The metabolism of Oxybutynin can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The metabolism of Oxybutynin can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Oxybutynin.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Oxybutynin.]
[C01EB24, mavacamten, The serum concentration of Oxybutynin can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Oxybutynin.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H01AC08, somatrogon, The metabolism of Oxybutynin can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Oxybutynin.]
[L04AC21, bimekizumab, The metabolism of Oxybutynin can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Oxybutynin.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Oxybutynin.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Homatropine.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Oxybutynin.]
[J01FA15, telithromycin, The metabolism of Oxybutynin can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Oxybutynin.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[H01AX01, pegvisomant, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J02AC02, itraconazole, The metabolism of Oxybutynin can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Oxybutynin.]
[J02AC04, posaconazole, The metabolism of Oxybutynin can be decreased when combined with Posaconazole.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Oxybutynin.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01BA03, cortisone, The metabolism of Oxybutynin can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AX13, loratadine, Oxybutynin may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Oxybutynin.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Oxybutynin.]
[H02AB15, meprednisone, The metabolism of Oxybutynin can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Oxybutynin.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Oxybutynin.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Oxybutynin.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03DA04, eplerenone, The metabolism of Oxybutynin can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Oxybutynin.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Cyclopentolate is combined with Oxybutynin.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Oxybutynin.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Oxybutynin.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BA07, modafinil, The metabolism of Oxybutynin can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Oxybutynin.]
[C03XA02, conivaptan, The metabolism of Oxybutynin can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Oxybutynin.]
[G03XA01, danazol, The metabolism of Oxybutynin can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Oxybutynin.]
[L01DB02, daunorubicin, The metabolism of Oxybutynin can be increased when combined with Daunorubicin.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Oxybutynin.]
[A04AD11, nabilone, The risk or severity of Tachycardia and drowsiness can be increased when Oxybutynin is combined with Nabilone.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Oxybutynin.]
[N06AX06, nefazodone, The metabolism of Oxybutynin can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Normethadone.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Oxybutynin.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Oxybutynin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S03BA01, dexamethasone, The metabolism of Oxybutynin can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dexetimide.]
[S01AA13, fusidic acid, The metabolism of Oxybutynin can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Oxybutynin can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Oxybutynin.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Oxybutynin.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[B01AC04, clopidogrel, The metabolism of Oxybutynin can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Oxybutynin.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Oxybutynin.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Oxybutynin.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Oxybutynin.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Oxybutynin.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Oxybutynin.]
[C08CA03, isradipine, The metabolism of Oxybutynin can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Oxybutynin can be increased when combined with Difluocortolone.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Oxybutynin.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Oxybutynin.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Oxybutynin.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Oxybutynin can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Oxybutynin.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C08DB01, diltiazem, The metabolism of Oxybutynin can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Procaterol.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Oxybutynin.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Oxybutynin.]
[N07AA03, distigmine, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, The metabolism of Oxybutynin can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Oxybutynin can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Oxybutynin can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Oxybutynin.]
[A04AD12, aprepitant, The metabolism of Oxybutynin can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Oxybutynin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Oxybutynin.]
[G04BE08, tadalafil, The metabolism of Oxybutynin can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Oxybutynin.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Oxybutynin.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Oxybutynin.]
[R03AC12, salmeterol, The metabolism of Oxybutynin can be decreased when combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Oxybutynin.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Oxybutynin.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Oxybutynin.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Oxybutynin.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Oxybutynin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Oxybutynin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Oxybutynin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Oxybutynin.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Oxybutynin.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[V04CX07, edrophonium, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Oxybutynin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Oxybutynin.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Oxybutynin.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Oxybutynin is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Oxybutynin.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
