[S02DA03, antipyrine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Antipyrine.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Cefaclor is combined with Olsalazine.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Cefadroxil is combined with Olsalazine.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefamandole.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefatrizine.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefazolin.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Olsalazine.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefonicid.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefoperazone.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Cefotaxime is combined with Olsalazine.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefotetan.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Cefotiam is combined with Olsalazine.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefoxitin.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefsulodin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Olsalazine.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Olsalazine.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Ceftriaxone is combined with Olsalazine.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Cefuroxime is combined with Olsalazine.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Olsalazine is combined with Pitolisant.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Olsalazine.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Olsalazine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin pork.]
[J01XX09, daptomycin, Olsalazine may decrease the excretion rate of Daptomycin which could result in a higher serum level.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Cephalexin is combined with Olsalazine.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefaloridine.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Cefalotin is combined with Olsalazine.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Cefapirin is combined with Olsalazine.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefradine.]
[H02AB13, deflazacort, The risk or severity of gastrointestinal irritation can be increased when Deflazacort is combined with Olsalazine.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Givosiran.]
[M09AX08, golodirsen, Olsalazine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Olsalazine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[S01AE06, gatifloxacin, Olsalazine may increase the neuroexcitatory activities of Gatifloxacin.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Frovatriptan is combined with Olsalazine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Olsalazine.]
[R02AA03, dichlorobenzyl alcohol, Olsalazine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Olsalazine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Olsalazine.]
[M01AH02, rofecoxib, The risk or severity of adverse effects can be increased when Rofecoxib is combined with Olsalazine.]
[C08CA16, clevidipine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Clevidipine.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Olsalazine is combined with Dronedarone.]
[C02AA06, methoserpidine, The therapeutic efficacy of Methoserpidine can be decreased when used in combination with Olsalazine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Olsalazine is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of gastrointestinal irritation can be increased when Fluprednidene is combined with Olsalazine.]
[M01AC04, droxicam, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Olsalazine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Olsalazine is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of bleeding and gastrointestinal bleeding can be increased when Olsalazine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, The therapeutic efficacy of Levamlodipine can be decreased when used in combination with Olsalazine.]
[P01BA01, chloroquine, Olsalazine may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Olsalazine.]
[N05AA01, chlorpromazine, The risk or severity of hypertension can be increased when Chlorpromazine is combined with Olsalazine.]
[A10BB02, chlorpropamide, Olsalazine may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Olsalazine.]
[M03BB03, chlorzoxazone, Olsalazine may decrease the excretion rate of Chlorzoxazone which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Olsalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The risk or severity of bleeding, nephrotoxicity, and gastrointestinal bleeding can be increased when Olsalazine is combined with Choline salicylate.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Vinpocetine.]
[M01AB08, etodolac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The risk or severity of adverse effects can be increased when Olsalazine is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Olsalazine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Olsalazine is combined with Naxitamab.]
[M01AE05, fenbufen, The risk or severity of adverse effects can be increased when Olsalazine is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Olsalazine.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Olsalazine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Olsalazine.]
[J01DD15, cefdinir, Olsalazine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, Olsalazine may increase the neuroexcitatory activities of Flumequine.]
[R03BA03, flunisolide, The risk or severity of gastrointestinal irritation can be increased when Flunisolide is combined with Olsalazine.]
[N02BG07, flupirtine, Olsalazine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Formoterol is combined with Olsalazine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Olsalazine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Dasiglucagon can be decreased when used in combination with Olsalazine.]
[A02BA01, cimetidine, Olsalazine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Olsalazine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Cinnarizine is combined with Olsalazine.]
[J01MB06, cinoxacin, Olsalazine may increase the neuroexcitatory activities of Cinoxacin.]
[S03AA07, ciprofloxacin, Olsalazine may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01XA01, cisplatin, Olsalazine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of gastrointestinal bleeding can be increased when Citalopram is combined with Olsalazine.]
[C03DA05, finerenone, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Finerenone.]
[V09AB03, ioflupane I-123, Olsalazine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Olsalazine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Olsalazine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[A10BB12, glimepiride, Olsalazine may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Olsalazine may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Clenbuterol.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, Olsalazine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, The risk or severity of gastrointestinal bleeding can be increased when Clomipramine is combined with Olsalazine.]
[N03AE01, clonazepam, Olsalazine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The therapeutic efficacy of Clonidine can be decreased when used in combination with Olsalazine.]
[J05AH02, oseltamivir, Olsalazine may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[A10BX16, tirzepatide, Olsalazine may increase the hypoglycemic activities of Tirzepatide.]
[M02AA08, felbinac, The risk or severity of adverse effects can be increased when Olsalazine is combined with Felbinac.]
[N05AH02, clozapine, The risk or severity of hypertension can be increased when Clozapine is combined with Olsalazine.]
[A10BX01, guar gum, Olsalazine may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Olsalazine may increase the hypoglycemic activities of Sotagliflozin.]
[J01GB12, arbekacin, Olsalazine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[C02KB01, metyrosine, The therapeutic efficacy of Metyrosine can be decreased when used in combination with Olsalazine.]
[M01AX13, proquazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Proquazone.]
[M04AC01, colchicine, Olsalazine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Olsalazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Olsalazine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[L01XX40, omacetaxine mepesuccinate, The risk or severity of bleeding can be increased when Olsalazine is combined with Omacetaxine mepesuccinate.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Cefpirome.]
[N01AB07, desflurane, The risk or severity of hypertension can be increased when Desflurane is combined with Olsalazine.]
[A04AA03, tropisetron, Olsalazine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Olsalazine is combined with Ifenprodil.]
[A10BX03, nateglinide, Olsalazine may increase the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of adverse effects can be increased when Olsalazine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Olsalazine may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Olsalazine is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of gastrointestinal irritation can be increased when Ciclesonide is combined with Olsalazine.]
[B01AC10, indobufen, The risk or severity of adverse effects can be increased when Olsalazine is combined with Indobufen.]
[J05AB14, valganciclovir, Olsalazine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Olsalazine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Olsalazine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Olsalazine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Olsalazine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Olsalazine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of adverse effects can be increased when Valdecoxib is combined with Olsalazine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be decreased when it is combined with Olsalazine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Olsalazine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Almotriptan is combined with Olsalazine.]
[M01AH04, parecoxib, The risk or severity of adverse effects can be increased when Olsalazine is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Itraconazole is combined with Olsalazine.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Bemiparin.]
[S01AD03, acyclovir, The risk or severity of nephrotoxicity can be increased when Acyclovir is combined with Olsalazine.]
[N05BA10, ketazolam, Olsalazine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Kebuzone.]
[S01EE04, travoprost, The therapeutic efficacy of Travoprost can be decreased when used in combination with Olsalazine.]
[S01EE03, bimatoprost, The therapeutic efficacy of Bimatoprost can be decreased when used in combination with Olsalazine.]
[C08CA09, lacidipine, The therapeutic efficacy of Lacidipine can be decreased when used in combination with Olsalazine.]
[N03AX09, lamotrigine, The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Olsalazine.]
[S01BA03, cortisone, The risk or severity of gastrointestinal irritation can be increased when Cortisone is combined with Olsalazine.]
[N07BC04, lofexidine, The therapeutic efficacy of Lofexidine can be decreased when used in combination with Olsalazine.]
[S01AE04, lomefloxacin, Olsalazine may increase the neuroexcitatory activities of Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of adverse effects can be increased when Olsalazine is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of adverse effects can be increased when Olsalazine is combined with Loxoprofen.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Olsalazine.]
[C09AA03, lisinopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Lisinopril.]
[A06AD01, magnesium carbonate, Olsalazine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The therapeutic efficacy of Manidipine can be decreased when used in combination with Olsalazine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Olsalazine is combined with Mefenorex.]
[C07AA14, mepindolol, Olsalazine may decrease the antihypertensive activities of Mepindolol.]
[H02AB15, meprednisone, The risk or severity of gastrointestinal irritation can be increased when Meprednisone is combined with Olsalazine.]
[J01DH02, meropenem, Olsalazine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Olsalazine is combined with Methoxyphenamine.]
[S01BC10, nepafenac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Nepafenac.]
[C03DA04, eplerenone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Eplerenone.]
[N05AD03, metylperon, Olsalazine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Olsalazine.]
[A10BF02, miglitol, Olsalazine may increase the hypoglycemic activities of Miglitol.]
[J05AF07, tenofovir disoproxil, Olsalazine may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX07, minaprine, The risk or severity of hypertension can be increased when Minaprine is combined with Olsalazine.]
[S01XA18, cyclosporine, The risk or severity of renal failure and hypertension can be increased when Olsalazine is combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Moclobemide is combined with Olsalazine.]
[C09AA13, moexipril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Moexipril.]
[M02AA02, mofebutazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of adverse effects can be increased when Olsalazine is combined with Morniflumate.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Olsalazine.]
[M01AH05, etoricoxib, The risk or severity of adverse effects can be increased when Olsalazine is combined with Etoricoxib.]
[L01AX04, dacarbazine, Olsalazine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Olsalazine.]
[C02CC04, debrisoquin, The therapeutic efficacy of Debrisoquine can be decreased when used in combination with Olsalazine.]
[M01AX01, nabumetone, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Olsalazine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Olsalazine.]
[C07AB12, nebivolol, Olsalazine may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Olsalazine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of gastrointestinal bleeding can be increased when Nefazodone is combined with Olsalazine.]
[C01DX16, nicorandil, The therapeutic efficacy of Nicorandil can be decreased when used in combination with Olsalazine.]
[L02BB02, nilutamide, Olsalazine may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Olsalazine is combined with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Olsalazine is combined with Norfenefrine.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of gastrointestinal bleeding can be increased when Escitalopram is combined with Olsalazine.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Olsalazine is combined with Solifenacin.]
[J01MB04, pipemidic acid, Olsalazine may increase the neuroexcitatory activities of Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of gastrointestinal irritation can be increased when Fluocinolone acetonide is combined with Olsalazine.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Mefenamic acid.]
[N06AA01, desipramine, The risk or severity of gastrointestinal bleeding can be increased when Desipramine is combined with Olsalazine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be decreased when it is combined with Olsalazine.]
[H01BA02, desmopressin, The risk or severity of hypertension, hyponatremia, and water intoxication can be increased when Olsalazine is combined with Desmopressin.]
[D07XC02, desoximetasone, The risk or severity of gastrointestinal irritation can be increased when Desoximetasone is combined with Olsalazine.]
[H02AA03, desoxycorticosterone, The risk or severity of gastrointestinal irritation can be increased when Desoxycortone is combined with Olsalazine.]
[J01DH03, ertapenem, Olsalazine may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[C09XA02, aliskiren, The risk or severity of renal failure and hypertension can be increased when Olsalazine is combined with Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of gastrointestinal irritation can be increased when Dexamethasone is combined with Olsalazine.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Olsalazine.]
[N06AB05, paroxetine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Olsalazine.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Olsalazine is combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Olsalazine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Olsalazine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Olsalazine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, The therapeutic efficacy of Diazoxide can be decreased when used in combination with Olsalazine.]
[N06AA08, dibenzepin, The risk or severity of gastrointestinal bleeding can be increased when Dibenzepin is combined with Olsalazine.]
[R05DA08, pholcodine, Olsalazine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of gastrointestinal bleeding can be increased when Olsalazine is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Olsalazine is combined with Diclofenamide.]
[S01BC03, diclofenac, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Olsalazine is combined with Foscarnet.]
[A03AA07, dicyclomine, Olsalazine may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Olsalazine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, The therapeutic efficacy of Pinacidil can be decreased when used in combination with Olsalazine.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Pinaverium.]
[A10BG03, pioglitazone, Olsalazine may increase the hypoglycemic activities of Pioglitazone.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Pirbuterol.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Olsalazine.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diethylpropion is combined with Olsalazine.]
[C08CA03, isradipine, The therapeutic efficacy of Isradipine can be decreased when used in combination with Olsalazine.]
[D07XC04, diflucortolone, The risk or severity of gastrointestinal irritation can be increased when Difluocortolone is combined with Olsalazine.]
[N02BA11, diflunisal, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be decreased when it is combined with Olsalazine.]
[C01AA05, digoxin, Olsalazine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The therapeutic efficacy of Dihydralazine can be decreased when used in combination with Olsalazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Olsalazine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of hypertension can be increased when Dihydroergotamine is combined with Olsalazine.]
[N02AA03, hydromorphone, Olsalazine may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Olsalazine may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Atazanavir is combined with Olsalazine.]
[B01AC21, treprostinil, The risk or severity of bleeding can be increased when Treprostinil is combined with Olsalazine.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Olsalazine.]
[V03AB04, pralidoxime, Olsalazine may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The risk or severity of bleeding can be increased when Diltiazem is combined with Olsalazine.]
[V03AB09, dimercaprol, Olsalazine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Olsalazine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of adverse effects can be increased when Olsalazine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of adverse effects can be increased when Olsalazine is combined with Proglumetacin.]
[G02AD01, dinoprost, The therapeutic efficacy of Dinoprost can be decreased when used in combination with Olsalazine.]
[C09AA06, quinapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Olsalazine is combined with Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Olsalazine is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of gastrointestinal bleeding can be increased when Quinupramine is combined with Olsalazine.]
[C09AA05, ramipril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Olsalazine is combined with Reproterol.]
[S01AX06, resorcinol, Olsalazine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Olsalazine may increase the hypoglycemic activities of Disopyramide.]
[N05AX08, risperidone, The risk or severity of hypertension can be increased when Risperidone is combined with Olsalazine.]
[R06AE09, levocetirizine, Olsalazine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Olsalazine may decrease the excretion rate of Ropivacaine which could result in a higher serum level.]
[J01MB01, rosoxacin, Olsalazine may increase the neuroexcitatory activities of Rosoxacin.]
[L01EX01, sunitinib, Olsalazine may increase the hypoglycemic activities of Sunitinib.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Olsalazine is combined with Tolvaptan.]
[G04BE08, tadalafil, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Olsalazine.]
[S01BC05, ketorolac, The risk or severity of adverse effects can be increased when Ketorolac is combined with Olsalazine.]
[C02KX02, ambrisentan, The therapeutic efficacy of Ambrisentan can be decreased when used in combination with Olsalazine.]
[C01EB18, ranolazine, Olsalazine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02BA06, salsalate, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Olsalazine.]
[H05BA01, salmon calcitonin, Olsalazine may decrease the excretion rate of Salmon calcitonin which could result in a higher serum level.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Olsalazine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dopamine is combined with Olsalazine.]
[N06AA16, dothiepin, The risk or severity of gastrointestinal bleeding can be increased when Dosulepin is combined with Olsalazine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Olsalazine.]
[N06AA12, doxepin, The risk or severity of gastrointestinal bleeding can be increased when Doxepin is combined with Olsalazine.]
[J01AA02, doxycycline, Olsalazine may decrease the excretion rate of Doxycycline which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of bleeding can be increased when Olsalazine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of hypertension can be increased when Sevoflurane is combined with Olsalazine.]
[N05AD08, droperidol, The risk or severity of hypertension can be increased when Droperidol is combined with Olsalazine.]
[A08AA10, sibutramine, The risk or severity of gastrointestinal bleeding can be increased when Sibutramine is combined with Olsalazine.]
[V03AG05, sodium phosphate, The risk or severity of renal failure can be increased when Sodium phosphate, monobasic is combined with Olsalazine.]
[A12CA02, sodium sulfate, Olsalazine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Olsalazine is combined with Spirapril.]
