[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Diazepam can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Diazepam can be decreased when combined with Enasidenib.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Diazepam.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Diazepam can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N04AA11, bornaprine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Diazepam is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Diazepam is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Diazepam can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Diazepam can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Diazepam can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Diazepam is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Diazepam is combined with Vinylbital.]
[R06AX18, acrivastine, Diazepam may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Diazepam can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the Change in thyroid function activities of Diazepam.]
[A03AA03, camylofine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Diazepam.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Diazepam.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Diazepam.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Diazepam.]
[B02BX08, avatrombopag, The metabolism of Diazepam can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Diazepam may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01GB14, plazomicin, Diazepam may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Diazepam can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Diazepam may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Diazepam can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Diazepam can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Diazepam.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Diazepam.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Diazepam.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Diazepam is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Diazepam.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Diazepam may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R03DA02, oxtriphylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Diazepam.]
[R03BB08, revefenacin, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Diazepam.]
[L04AA39, emapalumab, The metabolism of Diazepam can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Diazepam.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Diazepam.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Diazepam is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Diazepam can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Diazepam.]
[J01FA09, clarithromycin, The metabolism of Diazepam can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Diazepam is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Diazepam is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Diazepam.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Diazepam.]
[H02AB14, cloprednol, The metabolism of Diazepam can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Diazepam is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Diazepam can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Diazepam can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Diazepam can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Diazepam can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD01, cefotaxime, The therapeutic efficacy of Diazepam can be decreased when used in combination with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Diazepam.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Diazepam.]
[N07XX11, pitolisant, The serum concentration of Diazepam can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Diazepam.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Diazepam can be increased when used in combination with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB03, cephalothin, The therapeutic efficacy of Diazepam can be decreased when used in combination with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Diazepam.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Diazepam.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Diazepam.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Diazepam.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Diazepam.]
[N03AX25, cenobamate, The serum concentration of Diazepam can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M09AX08, golodirsen, Diazepam may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Diazepam.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Diazepam may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Diazepam.]
[L01EX18, avapritinib, The metabolism of Diazepam can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Diazepam is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Diazepam is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Diazepam can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Diazepam can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Diazepam can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Diazepam is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Diazepam.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Diazepam is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Diazepam.]
[R02AA03, dichlorobenzyl alcohol, Diazepam may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Diazepam.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Diazepam is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Diazepam.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diazepam.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Diazepam can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Diazepam can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Diazepam.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Diazepam is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Diazepam can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Diazepam can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Diazepam.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Diazepam.]
[A03AA08, dihexyverine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[D07XB03, fluprednidene, The metabolism of Diazepam can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V08CA05, mangafodipir, Diazepam may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Diazepam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Diazepam is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Dyclonine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Diazepam.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Diazepam.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Diazepam is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Diazepam can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Diazepam is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Diazepam can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Diazepam is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AF03, chlorprothixene, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Diazepam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Diazepam is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BA03, choline salicylate, Diazepam may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Diazepam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Diazepam is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Diazepam.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Diazepam can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Diazepam can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Diazepam.]
[M01AX25, chondroitin sulfates, Diazepam may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Diazepam can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Diazepam can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Diazepam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Diazepam is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N06BA10, fenethylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Fenethylline.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Diazepam.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BG07, flupirtine, Diazepam may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Diazepam.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Diazepam.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Diazepam is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Diazepam can be increased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Diazepam.]
[A02BA01, cimetidine, The metabolism of Diazepam can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Diazepam is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Diazepam can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Diazepam can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Diazepam can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Diazepam may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Diazepam is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Diazepam can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Diazepam.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Diazepam.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Diazepam.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Diazepam.]
[V09AB03, ioflupane I-123, Diazepam may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Diazepam may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Diazepam may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Diazepam.]
[A10BB12, glimepiride, The metabolism of Diazepam can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Diazepam.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Diazepam.]
[N06AX25, St. John's wort extract, The metabolism of Diazepam can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Diazepam can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Diazepam.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Diazepam.]
[J04BA01, clofazimine, The metabolism of Diazepam can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Diazepam can be decreased when combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Diazepam.]
[C01EB24, mavacamten, The serum concentration of Diazepam can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Diazepam can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Diazepam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Diazepam is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Diazepam is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Diazepam is combined with Clozapine.]
[J01GB12, arbekacin, Diazepam may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Diazepam.]
[H01AC08, somatrogon, The metabolism of Diazepam can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Cocaine.]
[C02KB01, metyrosine, Diazepam may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Diazepam can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Diazepam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Diazepam is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Diazepam.]
[A03AB10, hexocyclium, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Diazepam may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Diazepam can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Diazepam is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Diazepam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Diazepam is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Diazepam can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Diazepam is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Diazepam can be decreased when used in combination with Valganciclovir.]
[C05BB03, invert sugar, Diazepam may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Diazepam may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Diazepam may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Diazepam may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Diazepam may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Diazepam is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Diazepam can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Diazepam is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Diazepam can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Diazepam can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Diazepam can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The metabolism of Diazepam can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Diazepam can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Diazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Diazepam may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Diazepam can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Diazepam is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Diazepam can be increased when combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AD04, methdilazine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Diazepam is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Diazepam is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Diazepam is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Diazepam.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Diazepam.]
