[J01EC01, sulfamethoxazole, The metabolism of Alfuzosin can be decreased when combined with Sulfamethoxazole.]
[C02DG01, pinacidil, Alfuzosin may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Alfuzosin is combined with Pinaverium.]
[L01EB02, erlotinib, The metabolism of Alfuzosin can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Alfuzosin.]
[A08AA03, diethylpropion, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Alfuzosin can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Alfuzosin can be decreased when combined with Isradipine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Digoxin.]
[C02DB01, dihydralazine, Alfuzosin may increase the hypotensive activities of Dihydralazine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypotensive activities of Alfuzosin.]
[J05AE08, atazanavir, The metabolism of Alfuzosin can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Alfuzosin may increase the hypotensive activities of Treprostinil.]
[C08DB01, diltiazem, The metabolism of Alfuzosin can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dimenhydrinate.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Alfuzosin.]
[M02AX03, dimethyl sulfoxide, The metabolism of Alfuzosin can be decreased when combined with Dimethyl sulfoxide.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Diphenhydramine.]
[C09AA06, quinapril, Alfuzosin may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Alfuzosin.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Cisapride.]
[C09AA05, ramipril, Alfuzosin may increase the hypotensive activities of Ramipril.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Alfuzosin.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Alfuzosin can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Alfuzosin can be increased when combined with Rifapentine.]
[N05AX08, risperidone, Risperidone may increase the hypotensive activities of Alfuzosin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levocetirizine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Alfuzosin can be decreased when combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Alfuzosin can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Alfuzosin.]
[G04BE08, tadalafil, Alfuzosin may increase the hypotensive activities of Tadalafil.]
[C02KX02, ambrisentan, Alfuzosin may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Alfuzosin can be decreased when combined with Ranolazine.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Alfuzosin.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Alfuzosin.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dosulepin.]
[N06AA12, doxepin, Doxepin may increase the hypotensive activities of Alfuzosin.]
[L01DB01, doxorubicin, The metabolism of Alfuzosin can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Doxylamine.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the hypotensive activities of Alfuzosin.]
[C09AA11, spirapril, Alfuzosin may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Sultopride.]
[G01AF05, econazole, The metabolism of Alfuzosin can be decreased when combined with Econazole.]
[C07AB13, talinolol, Alfuzosin may increase the hypotensive activities of Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Temafloxacin.]
[G04CA03, terazosin, Terazosin may increase the hypotensive activities of Alfuzosin.]
[G04BD05, terodiline, The risk or severity of hypotension can be increased when Alfuzosin is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may increase the orthostatic hypotensive activities of Alfuzosin.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Alfuzosin.]
[C09AA02, enalapril, Alfuzosin may increase the hypotensive activities of Enalapril.]
[G01AF08, tioconazole, The metabolism of Alfuzosin can be decreased when combined with Tioconazole.]
[N05BA23, tofisopam, The metabolism of Alfuzosin can be decreased when combined with Tofisopam.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Alfuzosin.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Toremifene.]
[C03CA04, torsemide, Alfuzosin may increase the hypotensive activities of Torasemide.]
[C09AA10, trandolapril, Alfuzosin may increase the hypotensive activities of Trandolapril.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Triptorelin.]
[R03CC11, tulobuterol, The therapeutic efficacy of Tulobuterol can be decreased when used in combination with Alfuzosin.]
[C02CA06, urapidil, Urapidil may increase the hypotensive activities of Alfuzosin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Enoxacin.]
[S01FB02, ephedrine, The therapeutic efficacy of Ephedrine can be decreased when used in combination with Alfuzosin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Epinastine.]
[C01CX07, xamoterol, The therapeutic efficacy of Xamoterol can be decreased when used in combination with Alfuzosin.]
[S01GA03, xylometazoline, The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Alfuzosin.]
[C08CA12, mepirodipine, The metabolism of Alfuzosin can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Alfuzosin can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Alfuzosin may increase the hypotensive activities of Zofenopril.]
[N03AX15, zonisamide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Zonisamide.]
[C02AC02, guanfacine, Alfuzosin may increase the hypotensive activities of Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Moricizine.]
[G02AB03, ergonovine, The therapeutic efficacy of Ergometrine can be decreased when used in combination with Alfuzosin.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypotensive activities of Alfuzosin.]
[N02CA02, ergotamine, The metabolism of Alfuzosin can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Alfuzosin can be decreased when combined with Erythromycin.]
[R03BA09, fluticasone furoate, The metabolism of Alfuzosin can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Alfuzosin can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Alfuzosin can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Gepefrine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Ethosuximide.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be decreased when used in combination with Alfuzosin.]
[N01AX07, etomidate, The therapeutic efficacy of Etomidate can be decreased when used in combination with Alfuzosin.]
[L01CB01, etoposide, The metabolism of Alfuzosin can be decreased when combined with Etoposide.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ajmaline.]
[L04AD02, tacrolimus, The metabolism of Alfuzosin can be decreased when combined with Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Alfuzosin can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Alfuzosin can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Alfuzosin can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Famotidine.]
[C08CA02, felodipine, Alfuzosin may increase the hypotensive activities of Felodipine.]
[C08EA01, fendiline, The risk or severity of hypotension can be increased when Alfuzosin is combined with Fendiline.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Alfuzosin.]
[R03CC02, albuterol, The therapeutic efficacy of Salbutamol can be decreased when used in combination with Alfuzosin.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Flecainide.]
[J02AC01, fluconazole, The metabolism of Alfuzosin can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Flunarizine.]
[V03AZ01, ethanol, The metabolism of Alfuzosin can be decreased when combined with Ethanol.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Alfuzosin.]
[N05AF01, flupenthixol, Flupentixol may increase the hypotensive activities of Alfuzosin.]
[N05AG01, fluspirilene, The risk or severity of hypotension can be increased when Alfuzosin is combined with Fluspirilene.]
[N06BX17, adrafinil, The therapeutic efficacy of Adrafinil can be decreased when used in combination with Alfuzosin.]
[J05AE10, darunavir, The risk or severity of hypotension can be increased when Darunavir is combined with Alfuzosin.]
[C03CA01, furosemide, Alfuzosin may increase the hypotensive activities of Furosemide.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Galantamine.]
[C08DA02, gallopamil, The risk or severity of hypotension can be increased when Alfuzosin is combined with Gallopamil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Alfuzosin can be decreased when combined with Dasatinib.]
[N04BC06, cabergoline, The metabolism of Alfuzosin can be decreased when combined with Cabergoline.]
[N03AD03, methsuximide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Methsuximide.]
[L01EH01, lapatinib, The metabolism of Alfuzosin can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Alfuzosin can be decreased when combined with Glyburide.]
[N05CM18, dexmedetomidine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Alfuzosin.]
[C05AE01, nitroglycerin, Alfuzosin may increase the hypotensive activities of Nitroglycerin.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dofetilide.]
[C02CA04, doxazosin, Doxazosin may increase the hypotensive activities of Alfuzosin.]
[L01EX02, sorafenib, The metabolism of Alfuzosin can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Alfuzosin may increase the hypotensive activities of Esmolol.]
[C09AA09, fosinopril, Alfuzosin may increase the hypotensive activities of Fosinopril.]
[S01EX01, guanethidine, Alfuzosin may increase the hypotensive activities of Guanethidine.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Halofantrine.]
[N05AD01, haloperidol, The metabolism of Alfuzosin can be decreased when combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Histrelin.]
[N05AH04, quetiapine, Quetiapine may increase the hypotensive activities of Alfuzosin.]
[C09CA01, losartan, The metabolism of Alfuzosin can be decreased when combined with Losartan.]
[R03CC05, hexoprenaline, The therapeutic efficacy of Hexoprenaline can be decreased when used in combination with Alfuzosin.]
[C08CA10, nilvadipine, The metabolism of Alfuzosin can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Oxatomide.]
[C09AA04, perindopril, Alfuzosin may increase the hypotensive activities of Perindopril.]
[C02DB02, hydralazine, The metabolism of Alfuzosin can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, Alfuzosin may increase the hypotensive activities of Hydrochlorothiazide.]
[C03AA02, hydroflumethiazide, Alfuzosin may increase the hypotensive activities of Hydroflumethiazide.]
[G04BD06, propiverine, Propiverine may increase the hypotensive activities of Alfuzosin.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Hydroxyzine.]
[C02AC06, rilmenidine, Alfuzosin may increase the hypotensive activities of Rilmenidine.]
[L01AA06, ifosfamide, The metabolism of Alfuzosin can be decreased when combined with Ifosfamide.]
[N06AA02, imipramine, Imipramine may increase the hypotensive activities of Alfuzosin.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Terlipressin.]
[M03BX02, tizanidine, The therapeutic efficacy of Tizanidine can be decreased when used in combination with Alfuzosin.]
[L01CE01, topotecan, The metabolism of Alfuzosin can be decreased when combined with Topotecan.]
[C03BA11, indapamide, Alfuzosin may increase the hypotensive activities of Indapamide.]
[C02CA02, indoramin, Indoramin may increase the hypotensive activities of Alfuzosin.]
[N06AX17, milnacipran, The metabolism of Alfuzosin can be decreased when combined with Milnacipran.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Buclizine.]
[C10AA06, cerivastatin, The metabolism of Alfuzosin can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Anagrelide.]
[C07AA01, alprenolol, Alfuzosin may increase the hypotensive activities of Alprenolol.]
[R03CC06, isoetharine, The therapeutic efficacy of Isoetharine can be decreased when used in combination with Alfuzosin.]
[C09AA16, imidapril, Alfuzosin may increase the hypotensive activities of Imidapril.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Isoflurane.]
[J04AC01, isoniazid, The metabolism of Alfuzosin can be decreased when combined with Isoniazid.]
[R03CB01, isoproterenol, The therapeutic efficacy of Isoprenaline can be decreased when used in combination with Alfuzosin.]
[C04AA01, isoxsuprine, The therapeutic efficacy of Isoxsuprine can be decreased when used in combination with Alfuzosin.]
[C02KD01, ketanserin, Alfuzosin may increase the hypotensive activities of Ketanserin.]
[H02CA04, levoketoconazole, The metabolism of Alfuzosin can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Alfuzosin can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, Olanzapine may increase the hypotensive activities of Alfuzosin.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Mizolastine.]
[C01CA22, arbutamine, The therapeutic efficacy of Arbutamine can be decreased when used in combination with Alfuzosin.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Nalidixic acid.]
[C07AG01, labetalol, Labetalol may increase the hypotensive activities of Alfuzosin.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Amantadine.]
[C02AA05, deserpidine, Alfuzosin may increase the hypotensive activities of Deserpidine.]
[C08EX01, lidoflazine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Lidoflazine.]
[A07DA03, loperamide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Alfuzosin can be decreased when combined with Lovastatin.]
[V04CC02, magnesium sulfate, The risk or severity of hypotension can be increased when Alfuzosin is combined with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Alfuzosin can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Maprotiline.]
[C02BB01, mecamylamine, Alfuzosin may increase the hypotensive activities of Mecamylamine.]
[P01BC02, mefloquine, The metabolism of Alfuzosin can be decreased when combined with Mefloquine.]
[C01CA11, mephentermine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Mephentermine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Mesoridazine.]
[N05AX13, paliperidone, Paliperidone may increase the hypotensive activities of Alfuzosin.]
[C01CA09, metaraminol, The therapeutic efficacy of Metaraminol can be decreased when used in combination with Alfuzosin.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Dolasetron.]
[H01CB03, lanreotide, The metabolism of Alfuzosin can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Alfuzosin can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Metamfetamine.]
[H03BB02, methimazole, The metabolism of Alfuzosin can be decreased when combined with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypotension can be increased when Alfuzosin is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the hypotensive activities of Alfuzosin.]
[C01CA10, methoxamine, The therapeutic efficacy of Methoxamine can be decreased when used in combination with Alfuzosin.]
[C02AB01, methyldopa, Alfuzosin may increase the hypotensive activities of Methyldopa.]
[V04CG05, methylene blue, The metabolism of Alfuzosin can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Alfuzosin can be decreased when combined with Methylergometrine.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Metoclopramide.]
[C03BA08, metolazone, Alfuzosin may increase the hypotensive activities of Metolazone.]
[C07AB02, metoprolol, Alfuzosin may increase the hypotensive activities of Metoprolol.]
[P01AB01, metronidazole, The metabolism of Alfuzosin can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Alfuzosin can be decreased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Alfuzosin can be decreased when combined with Miconazole.]
[N05CD08, midazolam, The metabolism of Alfuzosin can be decreased when combined with Midazolam.]
[C01CA17, midodrine, The therapeutic efficacy of Midodrine can be decreased when used in combination with Alfuzosin.]
[G03XB01, mifepristone, The metabolism of Alfuzosin can be decreased when combined with Mifepristone.]
[C09CA03, valsartan, Alfuzosin may increase the hypotensive activities of Valsartan.]
[D11AX01, minoxidil, Alfuzosin may increase the hypotensive activities of Minoxidil.]
[L01XX23, mitotane, The metabolism of Alfuzosin can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Lisdexamfetamine.]
[L03AC01, aldesleukin, The metabolism of Alfuzosin can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Alfuzosin can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may increase the hypotensive activities of Alfuzosin.]
[L01EX03, pazopanib, The metabolism of Alfuzosin can be decreased when combined with Pazopanib.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Amodiaquine.]
[G04CA04, silodosin, Silodosin may increase the hypotensive activities of Alfuzosin.]
[G03XC01, raloxifene, The metabolism of Alfuzosin can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may increase the hypotensive activities of Alfuzosin.]
[N03AB05, fosphenytoin, The metabolism of Alfuzosin can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Alfuzosin may increase the hypotensive activities of Nadolol.]
[V03AB15, naloxone, The metabolism of Alfuzosin can be decreased when combined with Naloxone.]
[S01GA01, naphazoline, The therapeutic efficacy of Naphazoline can be decreased when used in combination with Alfuzosin.]
[N06BA01, amphetamine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Amphetamine.]
[L01CD02, docetaxel, The metabolism of Alfuzosin can be decreased when combined with Docetaxel.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levosimendan.]
[N05AX14, iloperidone, Iloperidone may increase the hypotensive activities of Alfuzosin.]
[N06AX23, desvenlafaxine, The metabolism of Alfuzosin can be decreased when combined with Desvenlafaxine.]
[C09CA07, telmisartan, Alfuzosin may increase the hypotensive activities of Telmisartan.]
[C08CA04, nicardipine, Nicardipine may increase the hypotensive activities of Alfuzosin.]
[C04AE02, nicergoline, Nicergoline may increase the hypotensive activities of Alfuzosin.]
[C08CA05, nifedipine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Nifedipine.]
[C08CA06, nimodipine, Alfuzosin may increase the hypotensive activities of Nimodipine.]
[C08CA07, nisoldipine, Alfuzosin may increase the hypotensive activities of Nisoldipine.]
[C08CA08, nitrendipine, Alfuzosin may increase the hypotensive activities of Nitrendipine.]
[R07AX01, nitric oxide, The metabolism of Alfuzosin can be decreased when combined with Nitric Oxide.]
[C02DD01, nitroprusside, Alfuzosin may increase the hypotensive activities of Nitroprusside.]
[C01CA03, norepinephrine, The therapeutic efficacy of Norepinephrine can be decreased when used in combination with Alfuzosin.]
[S01AE02, norfloxacin, The metabolism of Alfuzosin can be decreased when combined with Norfloxacin.]
[C02KX01, bosentan, Alfuzosin may increase the hypotensive activities of Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may increase the hypotensive activities of Alfuzosin.]
[R05DA07, noscapine, The metabolism of Alfuzosin can be decreased when combined with Noscapine.]
[G02CA02, nylidrin, The therapeutic efficacy of Nylidrin can be decreased when used in combination with Alfuzosin.]
[H01CB02, octreotide, The metabolism of Alfuzosin can be decreased when combined with Octreotide.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Ofloxacin.]
[J01FA05, oleandomycin, The metabolism of Alfuzosin can be decreased when combined with Oleandomycin.]
[A02BC01, omeprazole, The metabolism of Alfuzosin can be decreased when combined with Omeprazole.]
[R03CB03, metaproterenol, The therapeutic efficacy of Orciprenaline can be decreased when used in combination with Alfuzosin.]
[G04CA02, tamsulosin, Tamsulosin may increase the hypotensive activities of Alfuzosin.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Alfuzosin may increase the hypotensive activities of Oxprenolol.]
[C01DX03, oxyfedrine, The therapeutic efficacy of Oxyfedrine can be decreased when used in combination with Alfuzosin.]
[S01GA04, oxymetazoline, The therapeutic efficacy of Oxymetazoline can be decreased when used in combination with Alfuzosin.]
[A14AA05, oxymetholone, The metabolism of Alfuzosin can be decreased when combined with Oxymetholone.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Alfuzosin.]
[N05AH05, asenapine, Asenapine may increase the hypotensive activities of Alfuzosin.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Papaverine.]
[H02AB05, paramethasone, The metabolism of Alfuzosin can be decreased when combined with Paramethasone.]
[C02KC01, pargyline, Alfuzosin may increase the hypotensive activities of Pargyline.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Pefloxacin.]
[C07AA23, penbutolol, Alfuzosin may increase the hypotensive activities of Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypotension can be increased when Alfuzosin is combined with Penfluridol.]
[N05CA01, pentobarbital, The metabolism of Alfuzosin can be increased when combined with Pentobarbital.]
[N04BC02, pergolide, The therapeutic efficacy of Pergolide can be decreased when used in combination with Alfuzosin.]
[C08EX02, perhexiline, The risk or severity of hypotension can be increased when Alfuzosin is combined with Perhexiline.]
[N06AF03, phenelzine, The metabolism of Alfuzosin can be decreased when combined with Phenelzine.]
[R06AB05, pheniramine, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Pheniramine.]
[N03AA02, phenobarbital, The metabolism of Alfuzosin can be increased when combined with Phenobarbital.]
[C04AX02, phenoxybenzamine, Phenoxybenzamine may increase the hypotensive activities of Alfuzosin.]
[A08AA01, phentermine, The therapeutic efficacy of Alfuzosin can be decreased when used in combination with Phentermine.]
[V03AB36, phentolamine, Phentolamine may increase the hypotensive activities of Alfuzosin.]
[S01GA05, phenylephrine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Alfuzosin.]
[R01BA01, phenylpropanolamine, The therapeutic efficacy of Phenylpropanolamine can be decreased when used in combination with Alfuzosin.]
[N03AB02, phenytoin, The metabolism of Alfuzosin can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Levofloxacin.]
[L02BB03, bicalutamide, The metabolism of Alfuzosin can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Alfuzosin can be decreased when combined with Mibefradil.]
[S01EB01, pilocarpine, The metabolism of Alfuzosin can be decreased when combined with Pilocarpine.]
[N05AG02, pimozide, The metabolism of Alfuzosin can be decreased when combined with Pimozide.]
[C07AA03, pindolol, Alfuzosin may increase the hypotensive activities of Pindolol.]
[J05AE01, saquinavir, The metabolism of Alfuzosin can be decreased when combined with Saquinavir.]
[C09CA02, eprosartan, Alfuzosin may increase the hypotensive activities of Eprosartan.]
[J01MA11, grepafloxacin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Grepafloxacin.]
[N02CX01, pizotyline, Pizotifen may increase the hypotensive activities of Alfuzosin.]
[J05AG02, delavirdine, The metabolism of Alfuzosin can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Alfuzosin can be decreased when combined with Irbesartan.]
[C03AA05, polythiazide, Alfuzosin may increase the hypotensive activities of Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Alfuzosin can be increased when it is combined with Ritonavir.]
[C07AB01, practolol, Alfuzosin may increase the hypotensive activities of Practolol.]
[C01BA08, prajmaline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Prajmaline.]
[C02CA01, prazosin, Prazosin may increase the hypotensive activities of Alfuzosin.]
[R06AX05, antazoline, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Antazoline.]
[C01DX02, prenylamine, The risk or severity of hypotension can be increased when Alfuzosin is combined with Prenylamine.]
[P01BA03, primaquine, The metabolism of Alfuzosin can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Alfuzosin can be increased when combined with Primidone.]
[C10AX02, probucol, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Probucol.]
[C01BA02, procainamide, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Procainamide.]
