[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AA01, desipramine, Desipramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Amikacin is combined with Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CH02, indigo carmine, Indigotindisulfonic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P03AC04, permethrin, Permethrin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CE05, phenethicillin, The serum concentration of Amikacin can be decreased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Cinchocaine.]
[R05DA08, pholcodine, Pholcodine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Clodronic acid.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CF01, dicloxacillin, The serum concentration of Amikacin can be decreased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Amikacin is combined with Foscarnet.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03CA03, piretanide, The serum concentration of Amikacin can be increased when it is combined with Piretanide.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D07XC04, diflucortolone, Difluocortolone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Amikacin is combined with Digitoxin.]
[C01AA05, digoxin, Amikacin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Potassium perchlorate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Pramocaine.]
[V03AB09, dimercaprol, Dimercaprol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CE03, propicillin, The serum concentration of Amikacin can be decreased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Diphenhydramine.]
[S01AX06, resorcinol, Resorcinol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R06AE09, levocetirizine, Levocetirizine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Ropivacaine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AA12, doxepin, Doxepin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A12CA02, sodium sulfate, Sodium sulfate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CG02, tazobactam, The therapeutic efficacy of Amikacin can be decreased when used in combination with Tazobactam.]
[J01CA17, temocillin, The serum concentration of Amikacin can be decreased when it is combined with Temocillin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AG03, toloxatone, Toloxatone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03CA04, torsemide, The serum concentration of Amikacin can be increased when it is combined with Torasemide.]
[N05CC01, chloral hydrate, Chloral hydrate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01XA02, carboplatin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Amikacin is combined with Carboplatin.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L03AX05, pidotimod, Pidotimod may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Etidocaine.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Sodium aurothiomalate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05AA05, dextran, Dextran may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M05BA01, etidronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Etidronic acid.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CF05, floxacillin, The serum concentration of Amikacin can be decreased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC04, flurbiprofen, Flurbiprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BC03, tegafur, Tegafur may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03CA01, furosemide, Furosemide may increase the ototoxic activities of Amikacin.]
[M05BA04, alendronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Alendronic acid.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AD09, ganciclovir, Ganciclovir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C10AB04, gemfibrozil, Gemfibrozil may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01XA03, telavancin, Telavancin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BB07, glipizide, Glipizide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01EX02, sorafenib, Sorafenib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01CB04, aurothioglucose, Aurothioglucose may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01LA03, pegaptanib, Pegaptanib may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Amikacin is combined with Fluindione.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01EX01, guanethidine, Guanethidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05AH04, quetiapine, Quetiapine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BX13, idebenone, Idebenone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01XA14, heparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Heparin.]
[G03DC01, allylestrenol, Allylestrenol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A07EC02, mesalamine, The risk or severity of nephrotoxicity can be increased when Mesalazine is combined with Amikacin.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02DB02, hydralazine, Hydralazine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05XA17, potassium acetate, Potassium acetate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BD06, propiverine, Propiverine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05AA07, hetastarch, Hydroxyethyl Starch may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M05BA07, risedronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Risedronic acid.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05XA08, sodium acetate, Sodium acetate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01AA06, ifosfamide, Ifosfamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R01AD07, tixocortol, Tixocortol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC01, indomethacin, Indomethacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A11HA07, inositol, Inositol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX17, milnacipran, Milnacipran may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01XA28, varenicline, Varenicline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V03AB01, ipecac, Ipecac may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AX05, inosine pranobex, Inosine pranobex may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA24, kanamycin, Amikacin may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Ketamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AC22, prasugrel, Prasugrel may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D10AX03, azelaic acid, Azelaic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03CC01, ethacrynic acid, The serum concentration of Amikacin can be increased when it is combined with Etacrynic acid.]
[J01CA11, amdinocillin, The serum concentration of Amikacin can be decreased when it is combined with Amdinocillin.]
[J01CA08, amdinocillin pivoxil, The serum concentration of Amikacin can be decreased when it is combined with Pivmecillinam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Lidocaine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Pentaerythritol tetranitrate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B05XA11, magnesium chloride, Magnesium chloride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BA05, pralatrexate, Pralatrexate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CX04, mannitol, The risk or severity of nephrotoxicity can be increased when Mannitol is combined with Amikacin.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AA08, medigoxin, The risk or severity of adverse effects can be increased when Amikacin is combined with Metildigoxin.]
[B01AB06, nadroparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Nadroparin.]
[B01AB05, enoxaparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Enoxaparin.]
[B01AB04, dalteparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Dalteparin.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Amikacin is combined with Mepivacaine.]
[G04BX16, tiopronin, Tiopronin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05AX13, paliperidone, Paliperidone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07BC02, methadone, Methadone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA03, methamphetamine, Metamfetamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AF05, lamivudine, Lamivudine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01BA04, pemetrexed, Amikacin may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CG05, methylene blue, Methylene blue may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G03EK01, methyltestosterone, Methyltestosterone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A03FA01, metoclopramide, Metoclopramide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA10, mezlocillin, The serum concentration of Amikacin can be decreased when it is combined with Mezlocillin.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AB07, parnaparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Parnaparin.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AB10, tinzaparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Tinzaparin.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AA09, amitriptyline, Amitriptyline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Certolizumab pegol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BA01, ammonium chloride, Ammonium chloride may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AA12, nadolol, Nadolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CA04, amoxicillin, Amoxicillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CF06, nafcillin, The serum concentration of Amikacin can be decreased when it is combined with Nafcillin.]
[V03AB15, naloxone, Naloxone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S03AA01, neomycin, The risk or severity of nephrotoxicity can be increased when Amikacin is combined with Neomycin.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L03AX16, plerixafor, Plerixafor may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA23, netilmicin, Amikacin may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Desvenlafaxine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01CE01, inamrinone, Amrinone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N07BA01, nicotine, The therapeutic efficacy of Nicotine can be decreased when used in combination with Amikacin.]
[C08CA05, nifedipine, Nifedipine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AB08, reviparin, The therapeutic efficacy of Amikacin can be decreased when used in combination with Reviparin.]
[N02AA02, opium, Opium may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C01AC01, ouabain, The risk or severity of adverse effects can be increased when Amikacin is combined with Ouabain.]
[M05BA08, zoledronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Amikacin is combined with Zoledronic acid.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AB09, danaparoid, The therapeutic efficacy of Amikacin can be decreased when used in combination with Danaparoid.]
[J04AB30, capreomycin, Capreomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BD11, fesoterodine, Fesoterodine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C07AA23, penbutolol, Penbutolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AA14, penicillin G, The serum concentration of Amikacin can be decreased when it is combined with Benzylpenicillin.]
[J01CE09, penicillin G procaine, Procaine benzylpenicillin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J01CE02, penicillin V, The serum concentration of Amikacin can be decreased when it is combined with Phenoxymethylpenicillin.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[L01XX08, pentostatin, Amikacin may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Amikacin is combined with Phenindione.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Amikacin is combined with Phenprocoumon.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01AE05, levofloxacin, Levofloxacin may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[S01EB01, pilocarpine, The therapeutic efficacy of Pilocarpine can be decreased when used in combination with Amikacin.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Amikacin which could result in a higher serum level.]
