[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nabilone.]
[N05CD14, remimazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Nabilone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Nabilone is combined with Oliceridine.]
[L01EX23, pralsetinib, The metabolism of Nabilone can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of adverse effects can be increased when Nabilone is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlorpheniramine.]
[N05AA01, chlorpromazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Nabilone.]
[N05AF03, chlorprothixene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Nabilone.]
[M03BB03, chlorzoxazone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Chlorzoxazone.]
[N05BX03, etifoxine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Etifoxine.]
[N06BX18, vinpocetine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethyl loflazepate.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Nabilone.]
[B06AC06, berotralstat, The metabolism of Nabilone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Nabilone can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Nabilone can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Nabilone is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Nabilone can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Febarbamate.]
[N03AX10, felbamate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Felbamate.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be increased when Nabilone is combined with Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Fenozolone.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Nabilone.]
[N01AB05, trichloroethylene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Nabilone can be increased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Nabilone may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Nabilone can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Nabilone.]
[L01XX73, sotorasib, The serum concentration of Nabilone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Nabilone can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Citalopram.]
[R06AA04, clemastine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clemastine.]
[A10BB12, glimepiride, The metabolism of Nabilone can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Nabilone.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, Nabilone may increase the central nervous system depressant (CNS depressant) activities of St. John's Wort.]
[L01EA06, asciminib, The metabolism of Nabilone can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Nabilone.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Nabilone.]
[N01BB10, levobupivacaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levobupivacaine.]
[N06AA04, clomipramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clomipramine.]
[N03AE01, clonazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Nabilone.]
[C01EB24, mavacamten, The serum concentration of Nabilone can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clothiapine.]
[N05BA21, clotiazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clotiazepam.]
[A04AA01, ondansetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A04AA02, granisetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Granisetron.]
[N05AH02, clozapine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Halazepam.]
[H01AC08, somatrogon, The metabolism of Nabilone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Cocaine may increase the tachycardic activities of Nabilone.]
[C02KB01, metyrosine, Nabilone may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Nabilone can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Codeine.]
[M03AC05, hexafluorenium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Hexafluronium.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia and drowsiness can be increased when Hexocyclium is combined with Nabilone.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia and drowsiness can be increased when Homatropine methylbromide is combined with Nabilone.]
[L04AA13, leflunomide, The metabolism of Nabilone can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Desflurane.]
[A04AA03, tropisetron, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tropisetron.]
[C04AX28, ifenprodil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Nabilone.]
[J01FA15, telithromycin, The metabolism of Nabilone can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Nabilone can be decreased when combined with Valdecoxib.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Nabilone is combined with Isometheptene.]
[N02CC05, almotriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Nabilone.]
[J02AC02, itraconazole, The metabolism of Nabilone can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Nabilone.]
[J02AC04, posaconazole, The metabolism of Nabilone can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Nabilone may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levocabastine.]
[N07BC04, lofexidine, The therapeutic efficacy of Nabilone can be increased when used in combination with Lofexidine.]
[N05CD06, lormetazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Lormetazepam.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Nabilone is combined with Lisinopril.]
[C08CA11, manidipine, The metabolism of Nabilone can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia and drowsiness can be increased when Mebeverine is combined with Nabilone.]
[N06AX13, medifoxamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Nabilone is combined with Mefenorex.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia and drowsiness can be increased when Metixene is combined with Nabilone.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cyclizine.]
[N05CA10, cyclobarbital, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cyclobarbital.]
[C03DA04, eplerenone, The risk or severity of adverse effects can be increased when Nabilone is combined with Eplerenone.]
[N05AD03, metylperon, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Melperone.]
[C03AA07, cyclopenthiazide, Nabilone may increase the hypotensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Nabilone.]
[N06AX07, minaprine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Minaprine.]
[S01XA18, cyclosporine, The metabolism of Nabilone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N06BA07, modafinil, The metabolism of Nabilone can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Nabilone is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Nabilone.]
[C03XA02, conivaptan, The metabolism of Nabilone can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Nabilone is combined with Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Nabilone.]
[M01AH05, etoricoxib, The metabolism of Nabilone can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Nabilone can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[J04BA02, dapsone, The metabolism of Nabilone can be decreased when combined with Dapsone.]
[N06BX04, deanol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Deanol.]
[C02CC04, debrisoquin, Nabilone may increase the hypotensive activities of Debrisoquine.]
[S01AA13, fusidic acid, The metabolism of Nabilone can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Nabilone can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nordazepam.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Nabilone is combined with Nebivolol.]
[N06AX06, nefazodone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Nefazodone.]
[N05CM16, niaprazine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Nabilone.]
[L02BB02, nilutamide, The metabolism of Nabilone can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tiagabine.]
[M03AC11, cisatracurium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Norfenefrine.]
[R05DA06, normethadone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Normethadone.]
[N06AB10, escitalopram, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Escitalopram.]
[G04BD08, solifenacin, The risk or severity of Tachycardia and drowsiness can be increased when Solifenacin is combined with Nabilone.]
[N06AA01, desipramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Nabilone is combined with Aliskiren.]
[N03AF02, oxcarbazepine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Nabilone can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of Tachycardia and drowsiness can be increased when Dexetimide is combined with Nabilone.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia and drowsiness can be increased when Oxybutynin is combined with Nabilone.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia and drowsiness can be increased when Oxyphencyclimine is combined with Nabilone.]
[L04AB04, adalimumab, The metabolism of Nabilone can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Amphetamine.]
[R05DA09, dextromethorphan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dextromethorphan.]
[N03AC01, paramethadione, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Paramethadione.]
[N02AC01, dextromoramide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dextromoramide.]
[N06AB05, paroxetine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Nabilone can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diamorphine.]
[N05BA01, diazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[N03AX07, phenacemide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phenacemide.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Nabilone is combined with Diazoxide.]
[N03AD02, phensuximide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Phensuximide.]
[N06AA08, dibenzepin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dibenzepin.]
[S02DA04, dibucaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cinchocaine.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Nabilone is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Nabilone.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia and drowsiness can be increased when Dicyclomine is combined with Nabilone.]
[C02DG01, pinacidil, Nabilone may increase the hypotensive activities of Pinacidil.]
[N05AD05, pipamperone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia and drowsiness can be increased when Pipenzolate is combined with Nabilone.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Pirbuterol.]
[A08AA03, diethylpropion, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Nabilone can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Nabilone can be decreased when combined with Isradipine.]
[A03AB11, poldine, The risk or severity of Tachycardia and drowsiness can be increased when Poldine is combined with Nabilone.]
[C02DB01, dihydralazine, Nabilone may increase the hypotensive activities of Dihydralazine.]
[N02CA01, dihydroergotamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Nabilone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Nabilone can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pramocaine.]
[C08DB01, diltiazem, The metabolism of Nabilone can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.]
[M03BX03, pridinol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pridinol.]
[R06AB03, dimethindene, The risk or severity of Tachycardia and drowsiness can be increased when Dimetindene is combined with Nabilone.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Procaterol.]
[N03AG05, progabide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Progabide.]
[C05CA03, diosmin, The metabolism of Nabilone can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Diphenoxylate.]
[N05CD10, quazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quazepam.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Nabilone is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Nabilone is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dexmethylphenidate.]
[N06AA23, quinupramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Quinupramine.]
[A03FA02, cisapride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Nabilone.]
[N05AL04, remoxipride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Remoxipride.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of Tachycardia and drowsiness can be increased when Disopyramide is combined with Nabilone.]
[S02AA12, rifamycin SV, The metabolism of Nabilone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nabilone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Riluzole.]
[N05AX08, risperidone, Nabilone may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Levocetirizine.]
[N01BB09, ropivacaine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ropivacaine.]
[A04AD12, aprepitant, The metabolism of Nabilone can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Nabilone can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Nabilone may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Nabilone can be decreased when combined with Ketorolac.]
[C02KX02, ambrisentan, Nabilone may increase the hypotensive activities of Ambrisentan.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Dobutamine.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Dopamine.]
[N06AA16, dothiepin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[N06AB06, sertraline, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[N01AB08, sevoflurane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nabilone.]
[A08AA10, sibutramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sibutramine.]
[C10AA01, simvastatin, The metabolism of Nabilone can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Nabilone may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sultopride.]
[N02CC01, sumatriptan, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sumatriptan.]
[C07AB13, talinolol, Nabilone may increase the hypotensive activities of Talinolol.]
[M01AC02, tenoxicam, The metabolism of Nabilone can be decreased when combined with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Nabilone is combined with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Nabilone.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Tetryzoline.]
[M03BX07, tetrazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tetrazepam.]
[M03BX05, thiocolchicoside, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiocolchicoside.]
[N05AB05, thiopropazate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thiopropazate.]
[G04BD01, emepronium, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tianeptine.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Nabilone is combined with Enalapril.]
[N05BA23, tofisopam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Tofisopam.]
[N06AG03, toloxatone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of Tachycardia can be increased when Atomoxetine is combined with Nabilone.]
[N03AX11, topiramate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Topiramate.]
[C03CA04, torsemide, The metabolism of Nabilone can be decreased when combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Tramazoline.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Nabilone is combined with Trandolapril.]
[N05CD11, triazulenone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Loprazolam.]
[N05CM07, triclofos, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia and drowsiness can be increased when Tridihexethyl is combined with Nabilone.]
[R06AA10, trimethobenzamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trimethobenzamide.]
[N04AA12, tropatepine, The risk or severity of Tachycardia and drowsiness can be increased when Tropatepine is combined with Nabilone.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Tulobuterol.]
[N01AB04, enflurane, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Enflurane.]
[C02CA06, urapidil, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Urapidil.]
[N05AL06, veralipride, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Veralipride.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Ephedrine.]
[S01GX10, epinastine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Epinastine.]
[N06AX16, venlafaxine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Nabilone is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Nabilone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Nabilone can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Nabilone may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zonisamide.]
[N05CF01, zopiclone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zopiclone.]
[N05AX11, zotepine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zotepine.]
[C02AC02, guanfacine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Nabilone is combined with Iloprost.]
[C01BG01, moricizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Moricizine.]
[G02AB03, ergonovine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ergoloid mesylate.]
[N02CA02, ergotamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ergotamine.]
[S01AA17, erythromycin, The metabolism of Nabilone can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Estazolam.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Nabilone.]
[J04AK02, ethambutol, The metabolism of Nabilone can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Nabilone can be decreased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethchlorvynol.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Nabilone.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Nabilone is combined with Amifostine.]
[N04AA05, profenamine, The risk or severity of Tachycardia and drowsiness can be increased when Profenamine is combined with Nabilone.]
[N03AD01, ethosuximide, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethosuximide.]
[N03AB01, ethotoin, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Nabilone.]
[S01XA06, ethylmorphine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Nabilone is combined with Etilefrine.]
[N01AX07, etomidate, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Etomidate.]
[N05AE03, sertindole, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sertindole.]
[R06AX12, terfenadine, The metabolism of Nabilone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[N06AB08, fluvoxamine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fluvoxamine.]
[C08CA02, felodipine, The metabolism of Nabilone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[R03CC04, fenoterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Fenoterol.]
[N02AB03, fentanyl, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Nabilone is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Nabilone is combined with Clofarabine.]
[G04BD02, flavoxate, The risk or severity of Tachycardia and drowsiness can be increased when Flavoxate is combined with Nabilone.]
[C01BC04, flecainide, The metabolism of Nabilone can be decreased when combined with Flecainide.]
[J02AC01, fluconazole, The metabolism of Nabilone can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flunarizine.]
[N05CD03, flunitrazepam, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Flunitrazepam.]
[N06AA14, melitracen, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Melitracen.]
[V03AZ01, ethanol, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC09, floxuridine, The metabolism of Nabilone can be decreased when combined with Floxuridine.]
