[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Thalidomide.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Thalidomide.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Thalidomide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Capsaicin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Thalidomide is combined with Captopril.]
[L02BB05, apalutamide, The metabolism of Thalidomide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AA03, camylofine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Thalidomide.]
[C07AG02, carvedilol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Thalidomide.]
[N03AX24, cannabidiol, Cannabidiol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B02BX08, avatrombopag, The metabolism of Thalidomide can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Baricitinib.]
[C07AB08, celiprolol, Thalidomide may increase the hypotensive activities of Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Thalidomide can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J05AG06, doravirine, The metabolism of Doravirine can be increased when combined with Thalidomide.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Thalidomide.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Thalidomide.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AA06, chlorphenoxamine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Thalidomide.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03BB08, revefenacin, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be increased when combined with Thalidomide.]
[L04AA39, emapalumab, The metabolism of Thalidomide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Thalidomide.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ravulizumab.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Thalidomide is combined with Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Thalidomide.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Thalidomide.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P02BX04, triclabendazole, The metabolism of Thalidomide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Thalidomide is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be increased when combined with Thalidomide.]
[N06BA14, solriamfetol, Solriamfetol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Thalidomide.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Cloprednol.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09CA06, candesartan, The metabolism of Thalidomide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Thalidomide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Thalidomide can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03BX03, cicletanine, Thalidomide may increase the hypotensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Upadacitinib.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be increased when combined with Thalidomide.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Thalidomide.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Thalidomide is combined with Deflazacort.]
[G03DB05, demegestone, Demegestone may increase the thrombogenic activities of Thalidomide.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Thalidomide.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Thalidomide is combined with Diroximel fumarate.]
[G03AC09, desogestrel, Desogestrel may increase the thrombogenic activities of Thalidomide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Thalidomide.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be increased when combined with Thalidomide.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AX03, dezocine, Dezocine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EX18, avapritinib, The metabolism of Thalidomide can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Teprotumumab.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AX21, diacetylrhein, The metabolism of Thalidomide can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Thalidomide.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be increased when combined with Thalidomide.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be increased when combined with Thalidomide.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ozanimod.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be increased when combined with Thalidomide.]
[G03DB08, dienogest, Dienogest may increase the thrombogenic activities of Thalidomide.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AA08, dihydrocodeine, Dihydrocodeine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AH02, rofecoxib, The metabolism of Thalidomide can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Thalidomide.]
[C08CA16, clevidipine, The metabolism of Thalidomide can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Thalidomide.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Thalidomide.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Thalidomide.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02AA06, methoserpidine, Thalidomide may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Thalidomide.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Opicapone.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fluprednidene.]
[G04BD09, trospium, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Thalidomide.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Thalidomide.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Thalidomide is combined with Inebilizumab.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Stepronin.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be increased when combined with Thalidomide.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Thalidomide.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N07XX04, sodium oxybate, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Thalidomide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, Oliceridine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be increased when combined with Thalidomide.]
[L01EX23, pralsetinib, The metabolism of Thalidomide can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of adverse effects can be increased when Chlorothiazide is combined with Thalidomide.]
[G03CA06, chlorotrianisene, Chlorotrianisene may increase the thrombogenic activities of Thalidomide.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BB02, chlorpropamide, The metabolism of Thalidomide can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03BA04, chlorthalidone, The risk or severity of adverse effects can be increased when Chlorthalidone is combined with Thalidomide.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03DC06, ethynodiol, Etynodiol may increase the thrombogenic activities of Thalidomide.]
[M01AB08, etodolac, The metabolism of Thalidomide can be decreased when combined with Etodolac.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be increased when combined with Thalidomide.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Fludarabine.]
[L02BX04, relugolix, The metabolism of Relugolix can be increased when combined with Thalidomide.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Voclosporin.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Thalidomide is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Thalidomide can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be increased when Fenoldopam is combined with Thalidomide.]
[G04CB01, finasteride, The metabolism of Finasteride can be increased when combined with Thalidomide.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Thalidomide.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Thalidomide.]
[R03CC15, formoterol, The metabolism of Thalidomide can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Thalidomide.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Thalidomide.]
[H04AA02, dasiglucagon, Thalidomide may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Thalidomide can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N07CA02, cinnarizine, The metabolism of Thalidomide can be decreased when combined with Cinnarizine.]
[L01XA01, cisplatin, The risk or severity of peripheral neuropathy can be increased when Thalidomide is combined with Cisplatin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Thalidomide is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Thalidomide.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Thalidomide.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be increased when combined with Thalidomide.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AG01, mefenamic acid, The metabolism of Thalidomide can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Thalidomide can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Thalidomide.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Thalidomide.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EA06, asciminib, The metabolism of Thalidomide can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Thalidomide.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Thalidomide.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Thalidomide.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01EA04, clonidine, Clonidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01EB24, mavacamten, The serum concentration of Thalidomide can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be increased when combined with Thalidomide.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Thalidomide is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Thalidomide is combined with Deucravacitinib.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Thalidomide is combined with Cocaine.]
[C02KB01, metyrosine, Thalidomide may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Thalidomide can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Codeine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A03AB10, hexocyclium, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be increased when combined with Thalidomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be increased when combined with Thalidomide.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Thalidomide.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AH03, valdecoxib, The metabolism of Thalidomide can be decreased when combined with Valdecoxib.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Thalidomide.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Thalidomide.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Thalidomide.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Thalidomide.]
[C08CA09, lacidipine, Thalidomide may increase the hypotensive activities of Lacidipine.]
[B03XA02, darbepoetin alfa, The risk or severity of thromboembolism can be increased when Thalidomide is combined with Darbepoetin alfa.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Lisinopril is combined with Thalidomide.]
[C08CA11, manidipine, The metabolism of Thalidomide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Thalidomide is combined with Meprednisone.]
[N04AA03, methixene, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be increased when combined with Thalidomide.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Thalidomide.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Thalidomide.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Thalidomide.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01XA18, cyclosporine, Thalidomide may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06BA07, modafinil, The metabolism of Modafinil can be increased when combined with Thalidomide.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Moexipril is combined with Thalidomide.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Thalidomide.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Conivaptan is combined with Thalidomide.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Moxonidine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Thalidomide.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be increased when combined with Thalidomide.]
[M01AH05, etoricoxib, The metabolism of Thalidomide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Thalidomide.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Thalidomide.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J04BA02, dapsone, The metabolism of Dapsone can be increased when combined with Thalidomide.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Thalidomide.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C02CC04, debrisoquin, Thalidomide may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[M01AX01, nabumetone, The metabolism of Thalidomide can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Thalidomide is combined with Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Thalidomide.]
[L02BB02, nilutamide, The metabolism of Thalidomide can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G03DB04, nomegestrol, Nomegestrol may increase the thrombogenic activities of Thalidomide.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R05DA06, normethadone, Normethadone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Thalidomide.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Thalidomide.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[G04BD08, solifenacin, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Desipramine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Thalidomide.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Thalidomide.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Thalidomide is combined with Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Thalidomide.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S03BA01, dexamethasone, The risk or severity of thromboembolism can be increased when Dexamethasone is combined with Thalidomide.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04AA08, dexetimide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Thalidomide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be increased when combined with Thalidomide.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N02AC01, dextromoramide, Dextromoramide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be increased when combined with Thalidomide.]
[N07BC06, heroin, Diamorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Diazoxide.]
