[S02DA03, antipyrine, Antipyrine may decrease the antihypertensive activities of Hydralazine.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Hydralazine.]
[N07XX11, pitolisant, Hydralazine may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Hydralazine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Hydralazine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Hydralazine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Hydralazine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Hydralazine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Hydralazine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Hydralazine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M09AX08, golodirsen, Hydralazine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Hydralazine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Hydralazine.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Hydralazine.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Hydralazine.]
[R02AA03, dichlorobenzyl alcohol, Hydralazine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Hydralazine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Hydralazine.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Hydralazine.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Hydralazine is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Hydralazine.]
[C02AA06, methoserpidine, Hydralazine may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Hydralazine is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Hydralazine.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Hydralazine.]
[V08CA05, mangafodipir, Hydralazine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Hydralazine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Hydralazine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Hydralazine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Hydralazine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Hydralazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Hydralazine.]
[N02BA03, choline salicylate, Hydralazine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Hydralazine.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Hydralazine.]
[M01AX25, chondroitin sulfates, Hydralazine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Hydralazine.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Hydralazine is combined with Vericiguat.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Hydralazine.]
[C01CA19, fenoldopam, Fenoldopam may increase the hypotensive activities of Hydralazine.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Hydralazine.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Hydralazine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BG07, flupirtine, Hydralazine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Hydralazine.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Hydralazine.]
[H04AA02, dasiglucagon, Hydralazine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Hydralazine.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01XA01, cisplatin, Hydralazine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Hydralazine.]
[V09AB03, ioflupane I-123, Hydralazine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Hydralazine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Hydralazine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Hydralazine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Hydralazine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Hydralazine.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Hydralazine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Clozapine may decrease the antihypertensive activities of Hydralazine.]
[J01GB12, arbekacin, Hydralazine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The therapeutic efficacy of Hydralazine can be decreased when used in combination with Cocaine.]
[C02KB01, metyrosine, Metyrosine may increase the hypotensive activities of Hydralazine.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Hydralazine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Hydralazine.]
[J01XB01, colistin, Hydralazine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Hydralazine.]
[A04AA03, tropisetron, Hydralazine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Hydralazine.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Hydralazine.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Hydralazine.]
[J05AB14, valganciclovir, Hydralazine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Hydralazine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Iodixanol may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V08AB05, iopromide, Hydralazine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Hydralazine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Hydralazine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Hydralazine.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Hydralazine.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Hydralazine.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Hydralazine.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05BA10, ketazolam, Hydralazine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Hydralazine.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Hydralazine.]
[S01EE03, bimatoprost, Bimatoprost may increase the hypotensive activities of Hydralazine.]
[C08CA09, lacidipine, Hydralazine may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N07BC04, lofexidine, Lofexidine may decrease the antihypertensive activities of Hydralazine.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Hydralazine.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Hydralazine.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may increase the hypotensive activities of Hydralazine.]
[A06AD01, magnesium carbonate, Hydralazine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Hydralazine may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Hydralazine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Hydralazine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Hydralazine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Hydralazine can be increased when used in combination with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Hydralazine.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Hydralazine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Hydralazine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Hydralazine.]
[C09AA13, moexipril, Moexipril may increase the hypotensive activities of Hydralazine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Hydralazine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Hydralazine.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Hydralazine.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Hydralazine.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Hydralazine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Hydralazine.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Hydralazine.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02CC04, debrisoquin, Hydralazine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Hydralazine.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Hydralazine.]
[N07BB05, nalmefene, Hydralazine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, Hydralazine may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may decrease the antihypertensive activities of Hydralazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Hydralazine.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Hydralazine.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Hydralazine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Hydralazine.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Hydralazine.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Hydralazine.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Hydralazine.]
[V04CH02, indigo carmine, Hydralazine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C09XA02, aliskiren, Hydralazine may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Hydralazine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Hydralazine.]
[P03AC04, permethrin, Hydralazine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Hydralazine.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Hydralazine.]
[R05DA08, pholcodine, Hydralazine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Hydralazine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02DG01, pinacidil, Hydralazine may increase the hypotensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Hydralazine is combined with Pipamperone.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Hydralazine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Hydralazine.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Hydralazine.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Hydralazine.]
[C08CA03, isradipine, Isradipine may increase the hypotensive activities of Hydralazine.]
[D07XC04, diflucortolone, Hydralazine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Hydralazine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Hydralazine.]
[C01AA05, digoxin, Hydralazine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Hydralazine may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Hydralazine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Hydralazine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Hydralazine.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Hydralazine.]
[H03BC01, potassium perchlorate, Hydralazine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C08DB01, diltiazem, Diltiazem may increase the hypotensive activities of Hydralazine.]
[V03AB09, dimercaprol, Hydralazine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Hydralazine.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the antihypertensive activities of Hydralazine.]
[M01AB14, proglumetacin, Proglumetacin may decrease the antihypertensive activities of Hydralazine.]
[C09AA06, quinapril, Quinapril may increase the hypotensive activities of Hydralazine.]
[B01AC07, dipyridamole, Dipyridamole may increase the antihypertensive activities of Hydralazine.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Hydralazine.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Hydralazine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Hydralazine.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Hydralazine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Hydralazine.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Hydralazine.]
[S01AX06, resorcinol, Hydralazine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N05AX08, risperidone, Hydralazine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, Hydralazine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Hydralazine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Hydralazine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Hydralazine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Hydralazine.]
[G04BE08, tadalafil, Tadalafil may increase the hypotensive activities of Hydralazine.]
[S01BC05, ketorolac, Ketorolac may decrease the antihypertensive activities of Hydralazine.]
[C02KX02, ambrisentan, Hydralazine may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the antihypertensive activities of Hydralazine.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Hydralazine.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Hydralazine.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Hydralazine.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Hydralazine.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Hydralazine.]
[N06AA12, doxepin, Doxepin may decrease the antihypertensive activities of Hydralazine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Hydralazine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Hydralazine.]
[N05AD08, droperidol, Droperidol may decrease the antihypertensive activities of Hydralazine.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Hydralazine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Hydralazine may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Hydralazine.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C07AB13, talinolol, Hydralazine may increase the hypotensive activities of Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the antihypertensive activities of Hydralazine.]
[G04CA03, terazosin, Terazosin may increase the hypotensive activities of Hydralazine.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Hydralazine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Hydralazine.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Hydralazine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the antihypertensive activities of Hydralazine.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Hydralazine.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Hydralazine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Hydralazine.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Hydralazine.]
[N05CC01, chloral hydrate, Hydralazine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Hydralazine.]
[C02CA06, urapidil, Urapidil may decrease the antihypertensive activities of Hydralazine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Hydralazine.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Hydralazine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Hydralazine.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Hydralazine.]
[C08CA12, mepirodipine, Hydralazine may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Hydralazine.]
[C09AA15, zofenopril, Hydralazine may increase the hypotensive activities of Zofenopril.]
[M01AB04, zomepirac, Zomepirac may decrease the antihypertensive activities of Hydralazine.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Hydralazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Hydralazine.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the antihypertensive activities of Hydralazine.]
[B01AC11, iloprost, Iloprost may increase the hypotensive activities of Hydralazine.]
[G02AB03, ergonovine, Ergometrine may decrease the antihypertensive activities of Hydralazine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may decrease the antihypertensive activities of Hydralazine.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Hydralazine.]
[L03AX05, pidotimod, Hydralazine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Estazolam may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C01CA15, gepefrine, Gepefrine may decrease the antihypertensive activities of Hydralazine.]
[V03AF05, amifostine, Hydralazine may increase the hypotensive activities of Amifostine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the antihypertensive activities of Hydralazine.]
[C01CA01, etilefrine, Etilefrine may decrease the antihypertensive activities of Hydralazine.]
[N01AX07, etomidate, Etomidate may decrease the antihypertensive activities of Hydralazine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Hydralazine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Hydralazine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Hydralazine.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Hydralazine.]
[P01AX07, trimetrexate, Trimetrexate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AX12, bupropion, Bupropion may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Hydralazine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Hydralazine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Hydralazine.]
[C08CA02, felodipine, Felodipine may increase the hypotensive activities of Hydralazine.]
[M01AE04, fenoprofen, Fenoprofen may decrease the antihypertensive activities of Hydralazine.]
[R03CC04, fenoterol, Fenoterol may decrease the antihypertensive activities of Hydralazine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Hydralazine.]
[R03CC02, albuterol, Salbutamol may decrease the antihypertensive activities of Hydralazine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Hydralazine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[G04BD02, flavoxate, Flavoxate may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the antihypertensive activities of Hydralazine.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[J02AX01, flucytosine, Flucytosine may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[V03AB25, flumazenil, Flumazenil may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[N06AA14, melitracen, Melitracen may decrease the antihypertensive activities of Hydralazine.]
