[S02DA03, antipyrine, The protein binding of Gliclazide can be decreased when combined with Antipyrine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Gliclazide.]
[C10AB01, clofibrate, The risk or severity of hypoglycemia can be increased when Clofibrate is combined with Gliclazide.]
[B06AX04, mitapivat, The therapeutic efficacy of Gliclazide can be increased when used in combination with Mitapivat.]
[N06AA04, clomipramine, The metabolism of Gliclazide can be decreased when combined with Clomipramine.]
[C01EB24, mavacamten, The serum concentration of Gliclazide can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Clopamide.]
[A02BC08, vonoprazan, The metabolism of Gliclazide can be decreased when combined with Vonoprazan.]
[A04AA01, ondansetron, The metabolism of Gliclazide can be decreased when combined with Ondansetron.]
[N05AH02, clozapine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Gliclazide.]
[H01AC08, somatrogon, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Gliclazide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The protein binding of Gliclazide can be decreased when combined with Proquazone.]
[L04AA13, leflunomide, The metabolism of Gliclazide can be decreased when combined with Leflunomide.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Gliclazide.]
[N02BA16, imidazole-2-hydroxybenzoate, The protein binding of Gliclazide can be decreased when combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Gliclazide.]
[B01AC10, indobufen, The protein binding of Gliclazide can be decreased when combined with Indobufen.]
[M01AH03, valdecoxib, The protein binding of Gliclazide can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Gliclazide.]
[M01AH04, parecoxib, The protein binding of Gliclazide can be decreased when combined with Parecoxib.]
[M01AA06, kebuzone, The protein binding of Gliclazide can be decreased when combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Gliclazide can be decreased when combined with Imatinib.]
[A02BC05, esomeprazole, The metabolism of Gliclazide can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Gliclazide.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Gliclazide.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Lomefloxacin.]
[M01AB09, lonazolac, The protein binding of Gliclazide can be decreased when combined with Lonazolac.]
[M02AA31, loxoprofen, The protein binding of Gliclazide can be decreased when combined with Loxoprofen.]
[C08CA11, manidipine, The metabolism of Gliclazide can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Gliclazide.]
[C07AA14, mepindolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Gliclazide.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Gliclazide.]
[R06AE03, cyclizine, The metabolism of Gliclazide can be decreased when combined with Cyclizine.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Miglitol is combined with Gliclazide.]
[L01AA01, cyclophosphamide, The metabolism of Gliclazide can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Gliclazide.]
[N06AG02, moclobemide, The metabolism of Gliclazide can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Gliclazide can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Rosuvastatin.]
[M02AA02, mofebutazone, The protein binding of Gliclazide can be decreased when combined with Mofebutazone.]
[M01AX22, morniflumate, The protein binding of Gliclazide can be decreased when combined with Morniflumate.]
[M01AH05, etoricoxib, The protein binding of Gliclazide can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Danazol.]
[J04BA02, dapsone, The metabolism of Gliclazide can be decreased when combined with Dapsone.]
[A04AD11, nabilone, The metabolism of Gliclazide can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The protein binding of Gliclazide can be decreased when combined with Nabumetone.]
[C07AB12, nebivolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Gliclazide.]
[L02BB02, nilutamide, The metabolism of Gliclazide can be decreased when combined with Nilutamide.]
[G03DB04, nomegestrol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Nomegestrol.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Gliclazide.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Gliclazide.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Gliclazide.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Gliclazide.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Gliclazide.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Gliclazide.]
[M01AE12, oxaprozin, The protein binding of Gliclazide can be decreased when combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The metabolism of Gliclazide can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Gliclazide.]
[L04AB04, adalimumab, The metabolism of Gliclazide can be increased when combined with Adalimumab.]
[R05DA09, dextromethorphan, The metabolism of Gliclazide can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Gliclazide can be decreased when combined with Paramethadione.]
[H05AA02, teriparatide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Gliclazide.]
[B01AC04, clopidogrel, The metabolism of Gliclazide can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Gliclazide can be decreased when combined with Diazepam.]
[V03AH01, diazoxide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Gliclazide.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, The protein binding of Gliclazide can be decreased when combined with Diclofenac.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Gliclazide can be increased when used in combination with Phthalylsulfathiazole.]
[G03CC02, dienestrol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Dienestrol.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Gliclazide.]
[A10BG03, pioglitazone, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pioglitazone.]
[C03CA03, piretanide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of hypoglycemia can be increased when Isradipine is combined with Gliclazide.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Gliclazide.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Gliclazide.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Polyestradiol phosphate.]
[N02AA03, hydromorphone, The metabolism of Gliclazide can be decreased when combined with Hydromorphone.]
[J05AE08, atazanavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Gliclazide can be decreased when combined with Treprostinil.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Potassium perchlorate.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Gliclazide.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Gliclazide.]
[M02AX03, dimethyl sulfoxide, The metabolism of Gliclazide can be decreased when combined with Dimethyl sulfoxide.]
[G03CA09, promestriene, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Promestriene.]
[N02BB04, propyphenazone, The protein binding of Gliclazide can be decreased when combined with Propyphenazone.]
[M01AB14, proglumetacin, The protein binding of Gliclazide can be decreased when combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Gliclazide can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Gliclazide can be decreased when combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Gliclazide.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Gliclazide.]
[S01XA23, sirolimus, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Gliclazide.]
[S02AA12, rifamycin SV, The metabolism of Gliclazide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Gliclazide can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Sunitinib.]
[L01XG01, bortezomib, The metabolism of Gliclazide can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Fosamprenavir.]
[S01BC05, ketorolac, The protein binding of Gliclazide can be decreased when combined with Ketorolac.]
[N02BA06, salsalate, The protein binding of Gliclazide can be decreased when combined with Salsalate.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Salmon calcitonin.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Gliclazide.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Gliclazide.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Gliclazide.]
[C10AA01, simvastatin, The metabolism of Gliclazide can be decreased when combined with Simvastatin.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Gliclazide can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Gliclazide can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Gliclazide.]
[J01MA05, temafloxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Temafloxacin.]
[M01AC02, tenoxicam, The protein binding of Gliclazide can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Gliclazide can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Gliclazide.]
[C07AA16, tertatolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Gliclazide.]
[G03CX01, tibolone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Tibolone.]
[M01AG02, tolfenamic acid, The protein binding of Gliclazide can be decreased when combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Gliclazide.]
[N03AX11, topiramate, The metabolism of Gliclazide can be decreased when combined with Topiramate.]
[C03CA04, torsemide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Gliclazide.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Follitropin.]
[L02AE04, triptorelin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Gliclazide.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Gliclazide.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Gliclazide.]
[S01EA01, epinephrine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Gliclazide can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, The protein binding of Gliclazide can be decreased when combined with Zomepirac.]
[N03AX15, zonisamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Gliclazide.]
[C01BG01, moricizine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Moricizine.]
[N03AG01, valproic acid, The metabolism of Gliclazide can be decreased when combined with Valproic acid.]
[A02BC02, pantoprazole, The metabolism of Gliclazide can be decreased when combined with Pantoprazole.]
[G03CA03, estradiol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Gliclazide can be decreased when used in combination with Conjugated estrogens.]
[G03CC04, estrone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Estrone.]
[J04AK02, ethambutol, The metabolism of Gliclazide can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Gliclazide.]
[C10AA04, fluvastatin, The metabolism of Gliclazide can be decreased when combined with Fluvastatin.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Gliclazide.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Ethinylestradiol.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Gliclazide.]
[M01AC06, meloxicam, The protein binding of Gliclazide can be decreased when combined with Meloxicam.]
[L04AD02, tacrolimus, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Gliclazide can be increased when used in combination with Fleroxacin.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Gliclazide.]
[N06AB08, fluvoxamine, The metabolism of Gliclazide can be decreased when combined with Fluvoxamine.]
[L02AE02, leuprolide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Leuprolide.]
[P02CA03, albendazole, The metabolism of Gliclazide can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Gliclazide can be decreased when combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Gliclazide.]
[M01AE04, fenoprofen, The protein binding of Gliclazide can be decreased when combined with Fenoprofen.]
[C01BC04, flecainide, The metabolism of Gliclazide can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The protein binding of Gliclazide can be decreased when combined with Floctafenine.]
[J02AC01, fluconazole, The serum concentration of Gliclazide can be increased when it is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Gliclazide.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Gliclazide.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Gliclazide.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Gliclazide.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Gliclazide.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Gliclazide.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Gliclazide.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Gliclazide is combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Gliclazide can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Gliclazide.]
[L01BC02, fluorouracil, The metabolism of Gliclazide can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Gliclazide can be decreased when combined with Fluoxetine.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Gliclazide.]
[N05AB02, fluphenazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Gliclazide.]
[S01BC04, flurbiprofen, The protein binding of Gliclazide can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Gliclazide.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Gliclazide.]
[J05AE10, darunavir, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Gliclazide.]
[C10AB04, gemfibrozil, The metabolism of Gliclazide can be decreased when combined with Gemfibrozil.]
[A10BJ02, liraglutide, Liraglutide may increase the hypoglycemic activities of Gliclazide.]
[J05AG04, etravirine, The metabolism of Gliclazide can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Gliclazide can be decreased when combined with Methsuximide.]
[G03XA02, gestrinone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Gestrinone.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Gliclazide.]
[A10BB01, glyburide, The risk or severity of hypoglycemia can be increased when Glyburide is combined with Gliclazide.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pipemidic acid.]
[M01AG01, mefenamic acid, The protein binding of Gliclazide can be decreased when combined with Mefenamic acid.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Glipizide is combined with Gliclazide.]
[C02CA04, doxazosin, The metabolism of Gliclazide can be decreased when combined with Doxazosin.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Gliclazide.]
[L01EX02, sorafenib, The metabolism of Gliclazide can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the hypoglycemic activities of Gliclazide.]
[B01AA12, fluindione, Gliclazide may increase the anticoagulant activities of Fluindione.]
[L02AE03, goserelin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Gliclazide.]
[N05AD01, haloperidol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Gliclazide.]
[L02AE05, histrelin, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Gliclazide is combined with Insulin aspart.]
[C09CA01, losartan, The metabolism of Gliclazide can be decreased when combined with Losartan.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Gliclazide.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Gliclazide.]
[J05AG01, nevirapine, The metabolism of Gliclazide can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Gliclazide can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The protein binding of Gliclazide can be decreased when combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Gliclazide.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Gliclazide can be increased when used in combination with Hydroxychloroquine.]
[A05AX02, hymecromone, The therapeutic efficacy of Gliclazide can be increased when used in combination with Hymecromone.]
[J04AB04, rifabutin, The metabolism of Gliclazide can be increased when combined with Rifabutin.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Gliclazide.]
[R02AX02, ibuprofen, The protein binding of Gliclazide can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Gliclazide.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Gliclazide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Gliclazide.]
[N06AA02, imipramine, The metabolism of Gliclazide can be decreased when combined with Imipramine.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Gliclazide.]
[C03BA11, indapamide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Gliclazide.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Gliclazide.]
[N01BB08, articaine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may increase the hypoglycemic activities of Gliclazide.]
[N05CH02, ramelteon, The metabolism of Gliclazide can be decreased when combined with Ramelteon.]
[A10BH02, vildagliptin, Vildagliptin may increase the hypoglycemic activities of Gliclazide.]
[C10AA06, cerivastatin, The metabolism of Gliclazide can be decreased when combined with Cerivastatin.]
[C07AA01, alprenolol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Gliclazide.]
[N06AF05, iproniazid, The metabolism of Gliclazide can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Gliclazide.]
[P01AX06, atovaquone, The metabolism of Gliclazide can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The metabolism of Gliclazide can be decreased when combined with Isoniazid.]
[A10BJ01, exenatide, Exenatide may increase the hypoglycemic activities of Gliclazide.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Gliclazide.]
[L04AC07, tocilizumab, The metabolism of Gliclazide can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Gliclazide.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Gliclazide.]
[N05AH03, olanzapine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The protein binding of Gliclazide can be decreased when combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Gliclazide can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Gliclazide is combined with Ketotifen.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Gliclazide.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Gliclazide can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Gliclazide can be increased when used in combination with Labetalol.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Gliclazide.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Gliclazide.]
[N06BA13, armodafinil, The metabolism of Gliclazide can be decreased when combined with Armodafinil.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Gliclazide.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Gliclazide.]
[C10AA02, lovastatin, The metabolism of Gliclazide can be decreased when combined with Lovastatin.]
[G03DC03, lynestrenol, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Lynestrenol.]
[L01EG01, temsirolimus, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Gliclazide.]
[L01EA03, nilotinib, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Nilotinib.]
[M02AA18, meclofenamic acid, The protein binding of Gliclazide can be decreased when combined with Meclofenamic acid.]
[C03BA05, mefruside, The therapeutic efficacy of Gliclazide can be increased when used in combination with Mefruside.]
[N06DX01, memantine, The metabolism of Gliclazide can be decreased when combined with Memantine.]
[N03AB04, mephenytoin, The metabolism of Gliclazide can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The metabolism of Gliclazide can be decreased when combined with Methylphenobarbital.]
[N05AC03, mesoridazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Mesoridazine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Gliclazide.]
[N05AX13, paliperidone, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Lanreotide.]
[N07BC02, methadone, The metabolism of Gliclazide can be decreased when combined with Methadone.]
[S01EC05, methazolamide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Gliclazide.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Gliclazide can be decreased when combined with Methoxyflurane.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Gliclazide.]
