[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trifluoperazine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trifluoperazine.]
[M01AH02, rofecoxib, The metabolism of Trifluoperazine can be decreased when combined with Rofecoxib.]
[C08CA16, clevidipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Clevidipine.]
[C01BD07, dronedarone, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Trifluoperazine.]
[C02AA06, methoserpidine, Trifluoperazine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Trifluoperazine can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Trifluoperazine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Trifluoperazine.]
[P01BE01, artemisinin, The risk or severity of QTc prolongation can be increased when Artemisinin is combined with Trifluoperazine.]
[G04BD09, trospium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Trifluoperazine.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Levamlodipine.]
[P01BB01, proguanil, The risk or severity of QTc prolongation can be increased when Proguanil is combined with Trifluoperazine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Trifluoperazine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Trifluoperazine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Trifluoperazine.]
[C03AA04, chlorothiazide, Trifluoperazine may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Trifluoperazine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Trifluoperazine.]
[N05AF03, chlorprothixene, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Trifluoperazine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Trifluoperazine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Trifluoperazine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Etofenamate.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Trifluoperazine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Trifluoperazine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Trifluoperazine.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Trifluoperazine.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Trifluoperazine can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Trifluoperazine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Trifluoperazine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Trifluoperazine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Trifluoperazine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Trifluoperazine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Gabapentin.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Trifluoperazine can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Trifluoperazine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Trifluoperazine can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Trifluoperazine can be decreased when combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Trifluoperazine can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Trifluoperazine.]
[M01AG01, mefenamic acid, The metabolism of Trifluoperazine can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Trifluoperazine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Trifluoperazine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Trifluoperazine.]
[J01FF01, clindamycin, Trifluoperazine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Trifluoperazine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Trifluoperazine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of desmethylclomipramine, an active metabolite of Clomipramine, can be increased when used in combination with Trifluoperazine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Trifluoperazine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Granisetron.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Trifluoperazine.]
[H01AC08, somatrogon, The metabolism of Trifluoperazine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms and CNS depression can be increased when Metyrosine is combined with Trifluoperazine.]
[L04AC21, bimekizumab, The metabolism of Trifluoperazine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Trifluoperazine can be decreased when it is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Trifluoperazine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Imidazole salicylate.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Trifluoperazine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Trifluoperazine.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Trifluoperazine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Trifluoperazine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Parecoxib.]
[S01AD03, acyclovir, The metabolism of Trifluoperazine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Trifluoperazine can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Lacidipine.]
[N03AX09, lamotrigine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Trifluoperazine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Trifluoperazine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Loxoprofen.]
[C09AA03, lisinopril, Trifluoperazine may decrease the antihypertensive activities of Lisinopril.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Manidipine.]
[A03AA04, mebeverine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Mefenorex.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Trifluoperazine.]
[R06AD07, mequitazine, Trifluoperazine may increase the arrhythmogenic activities of Mequitazine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Trifluoperazine.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Trifluoperazine may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Trifluoperazine may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Trifluoperazine.]
[N06AX07, minaprine, The risk or severity of extrapyramidal symptoms can be increased when Minaprine is combined with Trifluoperazine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Trifluoperazine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Trifluoperazine.]
[N06AG02, moclobemide, The risk or severity of extrapyramidal symptoms can be increased when Moclobemide is combined with Trifluoperazine.]
[N06BA07, modafinil, The metabolism of Trifluoperazine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Trifluoperazine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Morniflumate.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Trifluoperazine.]
[J05AF10, entecavir, The metabolism of Trifluoperazine can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Trifluoperazine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Trifluoperazine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Trifluoperazine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Dantrolene.]
[J04BA02, dapsone, The risk or severity of QTc prolongation can be increased when Dapsone is combined with Trifluoperazine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Deanol.]
[C02CC04, debrisoquin, Trifluoperazine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[M01AX01, nabumetone, The metabolism of Trifluoperazine can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Nordazepam.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Trifluoperazine.]
[N06AX06, nefazodone, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Niaprazine.]
[C01DX16, nicorandil, Trifluoperazine may decrease the antihypertensive activities of Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tiagabine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Trifluoperazine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Trifluoperazine.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Trifluoperazine.]
[R05DA06, normethadone, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Escitalopram.]
[G04BD08, solifenacin, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Olsalazine.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Trifluoperazine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Trifluoperazine.]
[C09XA02, aliskiren, Trifluoperazine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Trifluoperazine.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Trifluoperazine.]
[G04BD04, oxybutynin, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Trifluoperazine.]
[A03AA01, oxyphencyclimine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Trifluoperazine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Trifluoperazine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Trifluoperazine.]
[N02AC01, dextromoramide, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Trifluoperazine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Trifluoperazine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Trifluoperazine.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Phenacemide.]
[V03AH01, diazoxide, Trifluoperazine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Phensuximide.]
[N06AA08, dibenzepin, The serum concentration of Dibenzepin can be increased when it is combined with Trifluoperazine.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Trifluoperazine.]
[S01BC03, diclofenac, The metabolism of Trifluoperazine can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Trifluoperazine may increase the neurotoxic activities of Didanosine.]
[C02DG01, pinacidil, Trifluoperazine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pipamperone.]
[A03AB14, pipenzolate, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Trifluoperazine can be decreased when combined with Erlotinib.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Trifluoperazine.]
[A08AA03, diethylpropion, The therapeutic efficacy of Trifluoperazine can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Isradipine.]
[A03AB11, poldine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Diflunisal.]
[C02DB01, dihydralazine, The metabolism of Trifluoperazine can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N02AA03, hydromorphone, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Trifluoperazine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Trifluoperazine may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pridinol.]
[R06AB03, dimethindene, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be decreased when used in combination with Trifluoperazine.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Trifluoperazine.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Trifluoperazine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Trifluoperazine.]
[R06AA02, diphenhydramine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Quazepam.]
[C09AA06, quinapril, Trifluoperazine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of hypotension and syncope can be increased when Dipyridamole is combined with Trifluoperazine.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The serum concentration of Quinupramine can be increased when it is combined with Trifluoperazine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Trifluoperazine.]
[C09AA05, ramipril, Trifluoperazine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Trifluoperazine.]
[R03CC14, reproterol, The therapeutic efficacy of Reproterol can be decreased when used in combination with Trifluoperazine.]
[C01BA03, disopyramide, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Trifluoperazine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Trifluoperazine.]
[N05AX08, risperidone, Risperidone may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Trifluoperazine.]
[J01MB01, rosoxacin, The metabolism of Trifluoperazine can be decreased when combined with Rosoxacin.]
[L01XG01, bortezomib, The metabolism of Trifluoperazine can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Trifluoperazine.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Trifluoperazine.]
[C02KX02, ambrisentan, Trifluoperazine may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Salsalate.]
[R03AC12, salmeterol, The therapeutic efficacy of Salmeterol can be decreased when used in combination with Trifluoperazine.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Trifluoperazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Trifluoperazine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Dopamine.]
[N06AA16, dothiepin, The serum concentration of Dosulepin can be increased when it is combined with Trifluoperazine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Trifluoperazine.]
[N06AA12, doxepin, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sibutramine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Trifluoperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C09AA11, spirapril, Trifluoperazine may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Trifluoperazine.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Trifluoperazine.]
[J01MA05, temafloxacin, The metabolism of Trifluoperazine can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Trifluoperazine.]
[G04CA03, terazosin, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Trifluoperazine.]
[G04BD05, terodiline, The risk or severity of hypotension can be increased when Trifluoperazine is combined with Terodiline.]
[C07AA16, tertatolol, The serum concentration of Tertatolol can be increased when it is combined with Trifluoperazine.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be decreased when used in combination with Trifluoperazine.]
